시군명,관서명,지방청명,경찰서명,구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
군포시,군포,경기남부청,군포,지구대,12735,경기도 군포시 당동 775-18번지,경기도 군포시 군포로 511,37.3521471441,126.9445851769
군포시,대야,경기남부청,군포,파출소,12755,경기도 군포시 대야미동 654-1번지,경기도 군포시 대야1로24번길 4,37.3278419178,126.9175048860
군포시,금정,경기남부청,군포,파출소,12790,경기도 군포시 금정동 904번지,경기도 군포시 군포로683번길 31,37.3656292075,126.9440453819
군포시,송부,경기남부청,군포,파출소,12784,경기도 군포시 부곡동 1111-1번지,경기도 군포시 번영로 6-4,37.3228125083,126.9399704235
군포시,산본,경기남부청,군포,지구대,12700,경기도 군포시 산본동 1105-4번지,경기도 군포시 수리산로203번길 51,37.3679074263,126.9265801490
김포시,하성,경기남부청,김포,파출소,12568,경기도 김포시 하성면 마곡리 623-1번지,경기도 김포시 하성면 애기봉로 847,37.7198650128,126.6316460719
김포시,운양,경기남부청,김포,지구대,12520,경기도 김포시 운양동 1421-1,경기도 김포시 김포한강11로 156,37.6470060033,126.6799338549
김포시,마산,경기남부청,김포,지구대,12572,경기도 김포시 마산동 647-12번지,경기도 김포시 김포한강8로 176,37.6380392576,126.6445907749
김포시,풍무,경기남부청,김포,파출소,12530,경기도 김포시 풍무동 154-6(풍무2지구),,,
김포시,김포T,경기남부청,김포,파출소,12503,경기도 김포시 고촌읍 전호리 68-10번지,경기도 김포시 고촌읍 아라육로152번길 56,37.5961882375,126.7851038869
김포시,월곶,경기남부청,김포,파출소,12555,경기도 김포시 월곶면 군하리 214번지,경기도 김포시 월곶면 군하로276번길 13,37.7163494633,126.5520272451
김포시,대곶,경기남부청,김포,파출소,12574,경기도 김포시 대곶면 율생리 451-1번지,경기도 김포시 대곶면 율생로 72,37.6509047440,126.5838636693
김포시,고촌,경기남부청,김포,파출소,12541,경기도 김포시 고촌읍 신곡리 1250-1,경기도 김포시 고촌읍 수기로 61,37.5978478684,126.7662041443
김포시,통진,경기남부청,김포,파출소,12529,경기도 김포시 통진읍 마송리 111-19번지,경기도 김포시 통진읍 조강로 83,37.6922546643,126.5976010345
김포시,양촌,경기남부청,김포,파출소,12585,경기도 김포시 양촌읍 양곡리 449-8번지,경기도 김포시 양촌읍 양곡1로68번길 3,37.6567754138,126.6234139226
김포시,장기,경기남부청,김포,지구대,12507,경기도 김포시 장기동 1326번지,경기도 김포시 청송로 36,37.6483898651,126.6677554792
김포시,사우,경기남부청,김포,지구대,12539,경기도 김포시 사우동 246번지,경기도 김포시 사우중로 35-5,37.6184561377,126.7176969247
남양주시,오남,경기북부청,남양주북부,파출소,17887,경기도 남양주시 오남읍 오남리 259-2번지,경기도 남양주시 오남읍 진건오남로 595-14,37.6868703279,127.2103758198
남양주시,별내,경기북부청,남양주북부,파출소,17704,경기도 남양주시 별내동 937번지,경기도 남양주시 두물로 11,37.6556725955,127.1261723135
남양주시,진접,경기북부청,남양주북부,파출소,17990,경기도 남양주시 진접읍 장현리 351-34번지,경기도 남양주시 진접읍 장현로 113,37.7200438230,127.1840355411
남양주시,수동,경기북부청,남양주남부,파출소,17891,경기도 남양주시 수동면 입석리 341-3번지,경기도 남양주시 수동면 비룡로 808,37.7095711478,127.3221402842
남양주시,조안,경기북부청,남양주남부,파출소,17946,경기도 남양주시 조안면 조안리 192-14번지,경기도 남양주시 조안면 북한강로 131,37.5368597924,127.3024147290
남양주시,평내,경기북부청,남양주남부,파출소,17819,경기도 남양주시 평내동 438-12번지,경기도 남양주시 경춘로 1211,37.6450310083,127.2297065327
남양주시,금곡,경기북부청,남양주남부,파출소,17767,경기도 남양주시 금곡동 420-1번지,경기도 남양주시 금곡로 57,37.6343742466,127.2095256498
남양주시,다산2,경기북부청,남양주남부,지구대,17779,경기도 남양주시 다산동 6226번지,경기도 남양주시 다산지금로146번길 36,37.6005962503,127.1700633588
남양주시,와부,경기북부청,남양주남부,파출소,17868,경기도 남양주시 와부읍 덕소리 462-18번지,경기도 남양주시 와부읍 덕소로 63,37.5873610362,127.2099463022
남양주시,호평,경기북부청,남양주남부,파출소,17959,경기도 남양주시 호평동 670번지,경기도 남양주시 호평로68번길 11,37.6551947071,127.2485344002
남양주시,다산1,경기북부청,남양주남부,지구대,17714,경기도 남양주시  경춘로 경춘로439-1,,,
남양주시,천마,경기북부청,남양주남부,파출소,17965,경기도 남양주시 화도읍 묵현리 323-1번지,경기도 남양주시 화도읍 묵현로25번길 39-1,37.6597223796,127.2866249956
남양주시,화도,경기북부청,남양주남부,지구대,17812,경기도 남양주시 화도읍 창현리 736-3번지,경기도 남양주시 화도읍 창현로 8,37.6503093323,127.3057308079
남양주시,청학,경기북부청,남양주북부,파출소,11123,경기도 남양주시 별내면 청학리 412-1번지,경기도 남양주시 별내면 청학로68번길 8,37.7079929570,127.1198854834
남양주시,퇴계원,경기북부청,남양주북부,파출소,11105,경기도 남양주시 퇴계원읍 퇴계원리 266-9번지,경기도 남양주시 퇴계원읍 퇴계원로 58-7,37.6517395818,127.1425958129
남양주시,해밀,경기북부청,남양주북부,파출소,17937,경기도 남양주시 진접읍 금곡리 1012번지,경기도 남양주시 진접읍 해밀예당1로 251,37.7223870557,127.2048136304
남양주시,진건,경기북부청,남양주북부,파출소,11160,경기도 남양주시 진건읍 사능리 600-8번지,경기도 남양주시 진건읍 진건오남로 5,37.6514377863,127.1786809270
동두천시,광암,경기북부청,동두천,파출소,,경기도 동두천시 광암동 495번지,경기도 동두천시 광암로 10,37.8948374317,127.0831340820
동두천시,중앙,경기북부청,동두천,파출소,,경기도 동두천시 보산동 405번지,경기도 동두천시 중앙로 393,37.9132685891,127.0607209662
동두천시,송내,경기북부청,동두천,지구대,18390,경기도 동두천시 지행동 691-7번지,경기도 동두천시 중앙로 157,37.8956967169,127.0520676682
동두천시,생연,경기북부청,동두천,파출소,,경기도 동두천시 생연동 814-7번지,경기도 동두천시 생연로 99,37.9015305359,127.0503374974
동두천시,소요,경기북부청,동두천,파출소,,경기도 동두천시 동두천동 252-3번지,경기도 동두천시 평화로 2695,37.9286376120,127.0564307741
부천시,범박,경기남부청,부천소사,지구대,12053,경기도 부천시 소사구 범박동 156번지,경기도 부천시 소사구 범안로 131,37.4701624889,126.8093644530
부천시,상동,경기남부청,부천원미,지구대,12284,경기도 부천시 원미구 상동 396-3번지,경기도 부천시 원미구 상일로 99,37.4917881395,126.7534197619
부천시,중동,경기남부청,부천원미,지구대,12237,경기도 부천시 원미구 중동 1032-1번지,경기도 부천시 원미구 석천로 203-16,37.5057619173,126.7624903054
부천시,중앙,경기남부청,부천원미,지구대,12282,경기도 부천시 원미구 심곡동 428-2번지,경기도 부천시 원미구 장말로 337,37.4909970044,126.7798861401
부천시,소사,경기남부청,부천소사,지구대,12119,경기도 부천시 소사구 소사본동 51번지,경기도 부천시 소사구 경인로 363,37.4824502813,126.7960179356
부천시,송내,경기남부청,부천소사,지구대,12259,경기도 부천시 소사구 송내동 611-2번지,경기도 부천시 소사구 성주로 147,37.4793525564,126.7726915537
부천시,고강,경기남부청,부천오정,파출소,12139,경기도 부천시 오정구 고강동 276-1번지,경기도 부천시 오정구 역곡로 519,37.5309685299,126.8157307381
부천시,원종,경기남부청,부천오정,지구대,12049,경기도 부천시 오정구 원종동 233-11번지,경기도 부천시 오정구 소사로 778,37.5255623237,126.8052438715
부천시,내동,경기남부청,부천오정,지구대,12105,경기도 부천시 오정구 삼정동 196번지,경기도 부천시 오정구 신흥로 411,37.5204405934,126.7749069749
부천시,약대,경기남부청,부천원미,지구대,12006,경기도 부천시 원미구 약대동 97-1번지,경기도 부천시 원미구 중동로388번길 6,37.5143559743,126.7704283673
부천시,역곡,경기남부청,부천원미,지구대,12029,경기도 부천시 원미구 역곡동 53-11번지,경기도 부천시 원미구 부일로711번길 29,37.4861729755,126.8082443251
부천시,원미,경기남부청,부천원미,지구대,12217,경기도 부천시 원미구 원미동 57번지,경기도 부천시 원미구 원미로149번길 4,37.4961830900,126.7908662083
부천시,계남,경기남부청,부천원미,지구대,12151,경기도 부천시 원미구 중동 1184-1번지,경기도 부천시 원미구 조마루로 252,37.4978779656,126.7716634437
부천시,성곡,경기남부청,부천오정,파출소,12083,경기도 부천시 오정구 여월동 8-36번지,경기도 부천시 오정구 삼작로352번길 42,37.5180001700,126.8006857528
성남시,복정,경기남부청,성남수정,파출소,15887,경기도 성남시 수정구 복정동 695번지,경기도 성남시 수정구 복정로 36,37.4561713068,127.1275067971
성남시,성남위례,경기남부청,성남수정,파출소,15812,경기도 성남시 수정구 창곡동 513-4번지,경기도 성남시 수정구 위례동로 135-2,37.4724096268,127.1496715592
성남시,성호,경기남부청,성남중원,지구대,15860,경기도 성남시 중원구 성남동 2199번지,경기도 성남시 중원구 산성대로 190-6,37.4360733649,127.1399840845
성남시,금광,경기남부청,성남중원,지구대,10057,경기도 성남시 중원구 금광동 3464번지,경기도 성남시 중원구 광명로323번길 26,37.4473586927,127.1613878517
성남시,대원,경기남부청,성남중원,파출소,10068,경기도 성남시 중원구 상대원동 1437번지,경기도 성남시 중원구 둔촌대로 439,37.4329582333,127.1657706082
성남시,상대원2,경기남부청,성남중원,파출소,10135,경기도 성남시 중원구 희망로 373,,,
성남시,은행,경기남부청,성남중원,파출소,10024,경기도 성남시 중원구 은행동 1417-1번지,경기도 성남시 중원구 은행로25번길 14,37.4558159497,127.1653975522
성남시,도촌,경기남부청,성남중원,파출소,10039,경기도 성남시 중원구 도촌동 631번지,경기도 성남시 중원구 도촌북로 43,37.4176207766,127.1545942531
성남시,야탑,경기남부청,분당,지구대,10113,경기도 성남시 분당구 야탑동 505번지,경기도 성남시 분당구 야탑로 76,37.4096150350,127.1273758408
성남시,서현,경기남부청,분당,지구대,10080,경기도 성남시 분당구 서현동 89-5번지,경기도 성남시 분당구 중앙공원로31번길 30,37.3823177933,127.1262571291
성남시,금곡,경기남부청,분당,지구대,10108,경기도 성남시 분당구 금곡동 173번지,경기도 성남시 분당구 성남대로171번길 12,37.3516454294,127.1072933753
성남시,서판교,경기남부청,분당,파출소,10129,경기도 성남시 분당구 운중동 938번지,경기도 성남시 분당구 운중로146번길 6,37.3908750585,127.0789254264
성남시,수내,경기남부청,분당,파출소,10019,경기도 성남시 분당구 수내동 85번지,경기도 성남시 분당구 불정로 253,37.3667600626,127.1262891389
성남시,구미,경기남부청,분당,파출소,12184,경기도 성남시 분당구 구미동 223번지,경기도 성남시 분당구 구미로 107,37.3394755562,127.1207458548
성남시,동판교,경기남부청,분당,파출소,10011,경기도 성남시 분당구 삼평동 716번지,경기도 성남시 분당구 동판교로266번길 24,37.4065311460,127.1157414815
성남시,단대,경기남부청,성남수정,파출소,11902,경기도 성남시 수정구 단대동 101-4번지,경기도 성남시 수정구 단대로 15,37.4522982669,127.1582789805
성남시,산성,경기남부청,성남수정,파출소,11931,경기도 성남시 수정구 신흥동 37번지,경기도 성남시 수정구 수정로279번길 5,37.4498090466,127.1455485891
성남시,중앙,경기남부청,성남수정,파출소,11921,경기도 성남시 수정구 태평동 3498-2번지,경기도 성남시 수정구 수정로 145,37.4424616891,127.1362568230
성남시,신흥,경기남부청,성남수정,지구대,11940,경기도 성남시 수정구 신흥동 3775번지,경기도 성남시 수정구 시민로 150,37.4415482966,127.1441518710
성남시,수진,경기남부청,성남수정,지구대,12801,경기도 성남시 수정구 수진동 4794번지,경기도 성남시 수정구 모란로 1,37.4338202038,127.1284201354
성남시,수진1,경기남부청,성남수정,파출소,11934,경기도 성남시 수정구 수진동 1921번지,경기도 성남시 수정구 탄리로 21,37.4386659322,127.1388751589
성남시,태평4,경기남부청,성남수정,파출소,15880,경기도 성남시 수정구 태평동 7290번지,경기도 성남시 수정구 남문로 128,37.4478660474,127.1408885542
성남시,고등,경기남부청,성남수정,파출소,15820,경기도 성남시 수정구 고등동 587번지,경기도 성남시 수정구 고등공원로 47,37.4297446169,127.1003640298
수원시,당수,경기남부청,수원서부,파출소,10386,경기도 수원시 권선구 당수동 159-1번지,경기도 수원시 권선구 당진로32번길 28-4,37.2917776909,126.9418477356
수원시,세류,경기남부청,수원남부,지구대,10286,경기도 수원시 권선구 세류동 1167-33번지,경기도 수원시 권선구 정조로 370,37.2427407555,127.0152476766
수원시,권선,경기남부청,수원남부,파출소,10275,경기도 수원시 권선구 권선동 1013-23번지,경기도 수원시 권선구 권선로699번길 24-23,37.2598710253,127.0295842244
수원시,태장,경기남부청,수원남부,파출소,10465,경기도 수원시 영통구 망포동 396-1번지,경기도 수원시 영통구 영통로 143,37.2403654707,127.0554225367
수원시,광교,경기남부청,수원남부,지구대,10498,경기도 수원시 영통구 이의동 1347-6번지,경기도 수원시 영통구 에듀타운로 82,37.2886419617,127.0476927505
수원시,매산,경기남부청,수원서부,지구대,10494,경기도 수원시 팔달구 매산로1가 18번지,경기도 수원시 팔달구 덕영대로 944,37.2643537264,127.0016206559
수원시,서호,경기남부청,수원서부,지구대,10518,경기도 수원시 권선구 구운동 938번지,경기도 수원시 권선구 구운로73번길 18-13,37.2807725174,126.9714725255
수원시,고색,경기남부청,수원서부,파출소,10590,경기도 수원시 권선구 탑동 911번지,경기도 수원시 권선구 서부로 1673,37.2587369985,126.9722580508
수원시,고등,경기남부청,수원서부,파출소,,경기도 수원시 팔달구 고등동 105-25번지,경기도 수원시 팔달구 고등로 50,37.2730647826,127.0024768643
수원시,호매실,경기남부청,수원서부,지구대,10447,경기도 수원시 권선구 금곡동 1119-1번지,경기도 수원시 권선구 금곡로 190,37.2731998824,126.9514482671
수원시,유천,경기남부청,수원서부,파출소,10333,경기도 수원시 팔달구 매교동 77-63번지,경기도 수원시 팔달구 매산로116번길 50,37.2691571371,127.0143903748
수원시,장안문,경기남부청,수원중부,지구대,12444,경기도 수원시 장안구 조원동 680-6번지,경기도 수원시 장안구 송정로 113,37.2958093828,127.0095593318
수원시,노송,경기남부청,수원중부,지구대,12437,경기도 수원시 장안구 파장동 566-14번지,경기도 수원시 장안구 이목로 58,37.3103928630,126.9880458789
수원시,화서문,경기남부청,수원중부,지구대,12419,경기도 수원시 팔달구 화서동 647-1번지,경기도 수원시 팔달구 수성로182번길 3,37.2868436209,126.9931692720
수원시,창룡문,경기남부청,수원중부,지구대,12467,경기도 수원시 장안구 연무동 254-11번지,경기도 수원시 장안구 경수대로 758,37.2911100928,127.0220339119
수원시,동부,경기남부청,수원중부,파출소,12403,경기도 수원시 팔달구 지동 480-6번지,경기도 수원시 팔달구 경수대로 621,37.2809371480,127.0297238764
수원시,율천,경기남부청,수원중부,파출소,12452,경기도 수원시 장안구 천천동 557-1번지,경기도 수원시 장안구 하률로 2,37.3027573830,126.9734964712
수원시,행궁,경기남부청,수원중부,파출소,10540,경기도 수원시 팔달구 남수동 11-841번지,경기도 수원시 팔달구 창룡대로 48,37.2830672490,127.0214304935
수원시,인계,경기남부청,수원남부,지구대,10422,경기도 수원시 팔달구 인계동 930-1번지,경기도 수원시 팔달구 장다리로 312,37.2757609341,127.0314367600
수원시,산남,경기남부청,수원남부,지구대,10306,경기도 수원시 영통구 매탄동 1213-2번지,경기도 수원시 영통구 매영로 93-18,37.2687236062,127.0530790741
수원시,곡선,경기남부청,수원남부,지구대,10244,경기도 수원시 권선구 권선동 1268번지,경기도 수원시 권선구 권중로 77,37.2518413096,127.0300175418
수원시,영통,경기남부청,수원남부,지구대,10368,경기도 수원시 영통구 영통동 1046-2번지,경기도 수원시 영통구 청명로 92,37.2548702290,127.0779357026
수원시,매탄,경기남부청,수원남부,지구대,10208,경기도 수원시 팔달구 동수원로 403,,,
시흥시,시화,경기남부청,시흥,파출소,16221,경기도 시흥시 정왕동 1785-4번지,경기도 시흥시 중심상가로 271,37.3401807304,126.7436791281
시흥시,능곡,경기남부청,시흥,파출소,16324,경기도 시흥시 능곡동 613번지,경기도 시흥시 장현능곡로 211,37.3690104233,126.8137937979
시흥시,목감,경기남부청,시흥,파출소,16256,경기도 시흥시 조남동 696번지,경기도 시흥시 목감우회로 17-6,37.3816089683,126.8582848479
시흥시,배곧,경기남부청,시흥,지구대,16375,경기도 시흥시 배곧동 233번지,경기도 시흥시 서울대학로264번길 50,37.3667198507,126.7287655550
시흥시,장곡,경기남부청,시흥,지구대,13588,경기도 시흥시 장곡동 793-3번지,경기도 시흥시 장곡로54번길 25-14,37.3820134573,126.7813023858
시흥시,옥구,경기남부청,시흥,지구대,13490,경기도 시흥시 정왕동 1849-7번지,경기도 시흥시 정왕대로118번길 1,37.3511800775,126.7287326154
시흥시,정왕,경기남부청,시흥,지구대,13623,경기도 시흥시 정왕동 1800-10번지,경기도 시흥시 정왕신길로 216,37.3487809276,126.7410412115
시흥시,은행,경기남부청,시흥,지구대,13615,경기도 시흥시 은행동 541-1번지,경기도 시흥시 은행로 148,37.4442921856,126.7999366565
시흥시,군자,경기남부청,시흥,파출소,13466,경기도 시흥시 거모동 1757-6번지,경기도 시흥시 군자로 513,37.3443246642,126.7853422442
시흥시,매화,경기남부청,시흥,파출소,13420,경기도 시흥시 매화동 202-1번지,경기도 시흥시 매화로 36,37.4160851954,126.8147319092
시흥시,신천,경기남부청,시흥,파출소,16308,경기도 시흥시 신천동 772-24번지,경기도 시흥시 신천로100번안길 15,37.4375888484,126.7868301086
시흥시,대야,경기남부청,시흥,파출소,16347,경기도 시흥시 대야동 494번지,경기도 시흥시 호현로 42,37.4442232091,126.7853992530
안산시,원곡,경기남부청,안산단원,파출소,14419,경기도 안산시 단원구 원곡동 753번지,경기도 안산시 단원구 원곡공원로 30,37.3326534097,126.7946074839
안산시,선부2,경기남부청,안산단원,파출소,14567,경기도 안산시 단원구 선부동 703-3번지,경기도 안산시 단원구 선여불로 19,37.3440656533,126.8038825891
안산시,선부,경기남부청,안산단원,파출소,14537,경기도 안산시 단원구 선부동 1072-5번지,경기도 안산시 단원구 선부광장1로 150,37.3320273457,126.8091861796
안산시,와동,경기남부청,안산단원,파출소,14783,경기도 안산시 단원구 와동 79-2번지,경기도 안산시 단원구 선부로 323,37.3433543396,126.8289749374
안산시,호수,경기남부청,안산단원,지구대,14462,경기도 안산시 단원구 고잔동 712-3번지,경기도 안산시 단원구 광덕2로 127,37.3102865772,126.8248791620
안산시,고잔,경기남부청,안산단원,파출소,11307,경기도 안산시 단원구 고잔동 515번지,경기도 안산시 단원구 화랑로 397,37.3213063087,126.8320942097
안산시,원선,경기남부청,안산단원,파출소,14734,경기도 안산시 단원구 원곡동 821-3번지,경기도 안산시 단원구 원선로 33,37.3280630909,126.7972465096
안산시,공단,경기남부청,안산단원,파출소,14690,경기도 안산시 단원구 원시동 773-6번지,경기도 안산시 단원구 동산로 29,37.3129330112,126.7933811442
안산시,대부,경기남부청,안산단원,파출소,14631,경기도 안산시 단원구 대부북동 294-6번지,경기도 안산시 단원구 대부중앙로 67,37.2450193561,126.5825652974
안산시,본오,경기남부청,안산상록,지구대,14581,경기도 안산시 상록구 본오동 877-3번지,경기도 안산시 상록구 상록수로 12,37.3026553440,126.8612243525
안산시,사동,경기남부청,안산상록,지구대,14672,경기도 안산시 상록구 사동 1304-1번지,경기도 안산시 상록구 석호로 175,37.2969853104,126.8512193109
안산시,본오1,경기남부청,안산상록,파출소,14451,경기도 안산시 상록구 본오동 1153-1번지,경기도 안산시 상록구 샘골로 11,37.2848835313,126.8635405584
안산시,팔곡,경기남부청,안산상록,파출소,,경기도 안산시 상록구 팔곡일동 681-1번지,경기도 안산시 상록구 소학길 8,37.2975122047,126.8875118963
안산시,수암,경기남부청,안산상록,파출소,13600,경기도 안산시 상록구 수암동 502번지,경기도 안산시 상록구 수인로 2026,37.3639579977,126.8764247017
안산시,부곡,경기남부청,안산상록,파출소,14403,경기도 안산시 상록구 부곡동 671-11번지,경기도 안산시 상록구 성호로 324,37.3316504256,126.8607983229
안산시,월피,경기남부청,안산상록,파출소,13357,경기도 안산시 상록구 월피동 512-3번지,경기도 안산시 상록구 안산천서로 215,37.3331577715,126.8463253321
안산시,성포,경기남부청,안산상록,파출소,13228,경기도 안산시 상록구 성포동 593-18번지,경기도 안산시 상록구 예술광장로 47,37.3270518996,126.8473150785
안산시,일동,경기남부청,안산상록,파출소,13156,경기도 안산시 상록구 일동 600-6번지,경기도 안산시 상록구 호동로 118,37.3126596305,126.8643785564
안산시,이동,경기남부청,안산상록,파출소,13520,경기도 안산시 상록구 이동 716-6번지,경기도 안산시 상록구 중보1길 35,37.3072804569,126.8514693952
안산시,반월,경기남부청,안산상록,파출소,13177,경기도 안산시 상록구 건건동 645-1번지,경기도 안산시 상록구 건건로 47,37.3056105634,126.9023864071
