설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
큰솔공원,큰솔공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 큰솔로 67-8,경기도 시흥시 정왕동 1512번지,경기도 시흥시청,031-310-2305,37.3436608,126.7536108000,20190520
정왕종합사회복지관,정왕종합사회복지관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 정왕대로233번길 27-1,경기도 시흥시 정왕동 1800-9번지,경기도 시흥시청,031-310-2305,37.3476633,126.7410055000,20190520
신현보건지소,신현보건지소,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 새우개2길 59,경기도 시흥시 포동 20-14번지,경기도 시흥시청,031-310-2305,37.3968259,126.8063548000,20190520
매화도서관,매화도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 매화로 20,경기도 시흥시 매화동 77-1번지,경기도 시흥시청,031-310-2305,37.4176694,126.8155365000,20190520
장곡문화센터,장곡문화센터,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 인선길 52,경기도 시흥시 장곡동 811-2번지,경기도 시흥시청,031-310-2305,37.3775756,126.7829712000,20190520
솔숲공원,솔숲공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 미산동 286-6,경기도 시흥시 미산동 286-6,경기도 시흥시청,031-310-2305,37.4197018,126.7919723000,20190520
소망공원,소망공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 공단1대로 244,경기도 시흥시 정왕동 1367-1번지,경기도 시흥시청,031-310-2305,37.3353289,126.7284484000,20190520
연꽃테마파크,연꽃테마파크,경기도,시흥시,관광,시흥시,Siheung-free,201612,경기도 시흥시 관곡지로 139,경기도 시흥시 하중동 271,경기도 시흥시청,031-310-2305,37.3968259,126.8063548000,20190520
녹색성장종합체험전시관,녹색성장종합체험전시관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201612,경기도 시흥시 정왕동 1964,경기도 시흥시 정왕동 1964,경기도 시흥시청,031-310-2305,37.3377887,126.7410912000,20190520
과림보건지소,과림보건지소,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 금오로 474,경기도 시흥시 과림동 345-6번지,경기도 시흥시청,031-310-2305,37.4444298,126.8308688000,20190520
옥구공원 숲속도서관,옥구공원 숲속도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 오이도로 58,경기도 시흥시 정왕동 876-25번지,경기도 시흥시청,031-310-2305,37.3518081,126.7009578000,20190520
시청공원,시청공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 시청로 20,경기도 시흥시 장현동 300번지,경기도 시흥시청,031-310-2305,37.3804216,126.8040627000,20190520
작은호수공원(검도수련관 옆),작은호수공원(검도수련관 옆),경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 봉화로 23,경기도 시흥시 정왕동 1774-2번지,경기도 시흥시청,031-310-2305,37.3678460,126.7366948000,20190520
신천동 버스환승정류장,신천동 버스환승정류장,경기도,시흥시,교통시설,시흥시,Siheung-free,201612,경기도 시흥시 신천동 794,경기도 시흥시 신천동 794,경기도 시흥시청,031-310-2305,37.4410831,126.7831198000,20190520
작은자리종합사회복지관,작은자리종합사회복지관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 시흥대로 1087,경기도 시흥시 신천동 882-3번지,경기도 시흥시청,031-310-2305,37.4329376,126.7927994000,20190520
희망공원,희망공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 군자천로131번길 64,경기도 시흥시 정왕동 1358번지,경기도 시흥시청,031-310-2305,37.3359321,126.7150434000,20190520
비둘기공원,비둘기공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 대은로 16-29,경기도 시흥시 은행동 551-2번지,경기도 시흥시청,031-310-2305,37.4414051,126.7952174000,20190520
시흥시 외국인복지센터분관,시흥시 외국인복지센터분관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 군서로50번길 6-1,경기도 시흥시 정왕동 1206-13번지,경기도 시흥시청,031-310-2305,37.3466130,126.7473207000,20190520
월곶주민센터,월곶주민센터,경기도,시흥시,관공서,시흥시,Siheung-free,201712,경기도 시흥시 월곶중앙로 54,경기도 시흥시 월곶동 1006-1번지,경기도 시흥시청,031-310-2305,37.3887083,126.7395071000,20190520
오이도 문화복지센터,오이도 문화복지센터,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 옥터로 47,경기도 시흥시 정왕동 2019-2번지,경기도 시흥시청,031-310-2305,37.3436396,126.6915056000,20190520
매꼴공원,매꼴공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 장곡로70번길 12,경기도 시흥시 장곡동 797번지,경기도 시흥시청,031-310-2305,37.3815192,126.7818010000,20190520
이마트 버스환승정류장,이마트 버스환승정류장,경기도,시흥시,교통시설,시흥시,Siheung-free,201612,경기도 시흥시 정왕대로 210,경기도 시흥시 정왕동 1734-2번지,경기도 시흥시청,031-310-2305,37.3459433,126.7368696000,20190520
정왕역 버스환승정류장,정왕역 버스환승정류장,경기도,시흥시,교통시설,시흥시,Siheung-free,201612,경기도 시흥시 정왕동 2372,경기도 시흥시 정왕동 2372,경기도 시흥시청,031-310-2305,37.3512742,126.7424803000,20190520
정왕체육공원일대,정왕체육공원일대,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 역전로 50,경기도 시흥시 정왕동 2158번지,경기도 시흥시청,031-310-2305,37.3395974,126.7570747000,20190520
월곶역광장,월곶역광장,경기도,시흥시,교통시설,시흥시,Siheung-free,201612,경기도 시흥시 월곶중앙로14번길 56,경기도 시흥시 월곶동 992-8번지,경기도 시흥시청,031-310-2305,37.3918149,126.7427075000,20190520
갯골생태공원,갯골생태공원,경기도,시흥시,관광,시흥시,Siheung-free,201612,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32번지,경기도 시흥시청,031-310-2305,37.3897943,126.7812607000,20190520
거모종합사회복지관,거모종합사회복지관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 군자로466번길 37,경기도 시흥시 거모동 1738-9번지,경기도 시흥시청,031-310-2305,37.3448600,126.7813884000,20190520
능곡주민센터,능곡주민센터,경기도,시흥시,관공서,시흥시,Siheung-free,201712,경기도 시흥시 승지로60번길 28,경기도 시흥시 능곡동 750번지,경기도 시흥시청,031-310-2305,37.3683721,126.8118856000,20190520
도시정보통합센터,도시정보통합센터,경기도,시흥시,관공서,시흥시,Siheung-free,201712,경기도 시흥시 배곧4로 94-52,경기도 시흥시 정왕동 2499번지,경기도 시흥시청,031-310-2305,37.3711842,126.7362550000,20190520
문화의거리(신천동),문화의거리(신천동),경기도,시흥시,지역문화시설,시흥시,Siheung-free,201612,경기도 시흥시 신천동 790,경기도 시흥시 신천동 790,경기도 시흥시청,031-310-2305,37.4424159,126.7848046000,20190520
오이도해양관광단지,오이도해양관광단지,경기도,시흥시,관광,시흥시,Siheung-free,201612,경기도 시흥시 오이도로 173,경기도 시흥시 정왕동 2003-12번지,경기도 시흥시청,031-310-2305,37.3454760,126.6880879000,20190520
일자리지원센터,일자리지원센터,경기도,시흥시,관공서,시흥시,Siheung-free,201612,경기도 시흥시 새재로 30,경기도 시흥시 장현동 272-9번지,경기도 시흥시청,031-310-2305,37.3815328,126.8034579000,20190520
월곳보건지소,월곳보건지소,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 군자로 32,경기도 시흥시 월곶동 460-4번지,경기도 시흥시청,031-310-2305,37.3804385,126.7618780000,20190520
젊음과패기공원,젊음과패기공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 정왕신길로 220,경기도 시흥시 정왕동 1800-6번지,경기도 시흥시청,031-310-2305,37.3486099,126.7410461000,20190520
시흥시청 브리핑룸,시흥시청 브리핑룸,경기도,시흥시,관공서,시흥시,Siheung-free,201612,경기도 시흥시 시청로 20,경기도 시흥시 장현동 300번지,경기도 시흥시청,031-310-2305,37.3804216,126.8040627000,20190520
경기도검도수련관,경기도검도수련관,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 봉화로 23,경기도 시흥시 정왕동 1774-2번지,경기도 시흥시청,031-310-2305,37.3678460,126.7366948000,20190520
장곡동주민센터,장곡동주민센터,경기도,시흥시,관공서,시흥시,Siheung-free,201712,경기도 시흥시 장곡로 50,경기도 시흥시 장곡동 808번지,경기도 시흥시청,031-310-2305,37.3797962,126.7833645000,20190520
청소년수련관 공연장,청소년수련관 공연장,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 은행로 179,경기도 시흥시 대야동 571-2번지,경기도 시흥시청,031-310-2305,37.4460446,126.7969061000,20190520
미관광장,미관광장,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 군자천로 332,경기도 시흥시 정왕동 1756번지,경기도 시흥시청,031-310-2305,37.3456381,126.7344482000,20190520
시흥시 체육관,시흥시 체육관,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 서해안로 1589,경기도 시흥시 대야동 377-27번지,경기도 시흥시청,031-310-2305,37.4477144,126.7848433000,20190520
대야배수지소래산쉼터,대야배수지소래산쉼터,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 대야동 산 171-1,경기도 시흥시 대야동 산 171-1,경기도 시흥시청,031-310-2305,37.4497867,126.7839509000,20190520
목감종합사회복지관,목감종합사회복지관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201612,경기도 시흥시 목감초등길 45,경기도 시흥시 조남동 산9-19번지,경기도 시흥시청,031-310-2305,37.3855898,126.8584316000,20190520
연성보건지소,연성보건지소,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 하중로 136,경기도 시흥시 하중동 399번지,경기도 시흥시청,031-310-2305,37.3984248,126.8005130000,20190520
월곶문화센터,월곶문화센터,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201612,경기도 시흥시 월곶해안로161번길 7,경기도 시흥시 월곶동 1012번지,경기도 시흥시청,031-310-2305,37.3887994,126.7362194000,20190520
능곡도서관,능곡도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 능곡중앙로 85,경기도 시흥시 능곡동 552번지,경기도 시흥시청,031-310-2305,37.3713766,126.8131817000,20190520
대야어린이도서관,대야어린이도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 비둘기공원로 25,경기도 시흥시 대야동 562-4번지,경기도 시흥시청,031-310-2305,37.4438817,126.7924429000,20190520
군자도서관,군자도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 군자로 499,경기도 시흥시 거모동 1508-8번지,경기도 시흥시청,031-310-2305,37.3456379,126.7851906000,20190520

