sigun_nm,bizplc_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,xcrd_vl,ycrd_vl,parmacy_bsn_ar,apnt_ymd
,2층 중앙약국,20260630,"경기도 용인시 수지구 만현로 120, SR프라자 214호 (상현동)",경기도 용인시 수지구 상현동 252 SR프라자,16930,37.3060842,127.0846797,,영업중,,,,,,
,2층스마일약국,20251208,"경기도 성남시 분당구 정자일로 121 (정자동, 더샵스타파크)",경기도 성남시 분당구 정자동 174-1 더샵스타파크,13560,37.3613182,127.1048941,,영업중,,031-604-2609,209246.187569379,428774.799450215,,
,2층약국,20141020,"경기도 안양시 동안구 경수대로 428, 214호 (호계동, 덕유파크)",경기도 안양시 동안구 호계동 873번지 덕유파크 214호,14126,37.3622442,126.9624999,,폐업,20150108,031-427-1350,196609.75025329,428912.306681884,,
,2층약국,20150108,"경기도 안양시 동안구 경수대로 428, 214호 (호계동, 덕유파크)",경기도 안양시 동안구 호계동 873번지 덕유파크 214호,14126,37.3622442,126.9624999,,영업중,,031-427-1350,196609.75025329,428912.306681884,,
,2층엔약국,20210402,"경기도 남양주시 다산중앙로123번길 22-30, 다산 헤리움 그랑비스타 2차 214호 (다산동)",경기도 남양주시 다산동 6058 다산 헤리움 그랑비스타 2차,12248,37.6254939,127.1521047,,영업중,,031-565-8875,213356.995429197,458141.915231658,,
,2층우리약국,20180518,"경기도 의정부시 호동로 67, 화성프라자 2층 207호 (호원동)",경기도 의정부시 호원동 326번지 6호 화성프라자,11631,37.7279018,127.0432869,,폐업,20190318,031-855-8454,203747.064323036,469498.514417136,,
,2층우리약국,20190318,"경기도 의정부시 호동로 67, 화성프라자 2층 207호 (호원동)",경기도 의정부시 호원동 326번지 6호 화성프라자,11631,37.7279018,127.0432869,,영업중,,,203747.064323036,469498.514417136,,
,2층우리약국,20021114,경기도 용인시 수지구 대지로 43,경기도 용인시 수지구 죽전동 484-9,16872,37.328611,127.1142987,,폐업,20030901,031-272-4044,,,,
,2층으뜸약국,20260507,"경기도 고양시 일산서구 중앙로 1388, 2층 201호 (주엽동, 태영프라자)",경기도 고양시 일산서구 주엽동 73 태영프라자,10366,37.6683555,126.7656918,,영업중,,031-912-5364,179238.725261115,462941.223697841,,
,2층종로약국,20250819,"경기도 안산시 단원구 광덕동로 101, 두일빌딩 204호 (고잔동)",경기도 안산시 단원구 고잔동 727-1 두일빌딩,15462,37.3136027,126.8326702,,영업중,,031-482-3300,185096.235960788,423525.159029439,,
,2층푸른약국,20211005,"경기도 고양시 덕양구 권율대로 512, 원흥퍼스트푸르지오시티 209호 (도내동)",경기도 고양시 덕양구 도내동 950 원흥퍼스트푸르지오시티,10551,37.6362874,126.8703476,,영업중,,031-969-3545,188485.337314357,459330.401961716,,
,365 동서약국,20140507,경기도 구리시 체육관로 162 (수택동),경기도 구리시 수택동 376번지,11927,37.5990282,127.1364249,,폐업,20150727,,211977.485441084,455197.677729157,,
,365 동서약국,20150727,경기도 구리시 체육관로 162 (교문동),경기도 구리시 수택동 376번지,11927,37.5990282,127.1364249,,폐업,20170501,031-552-4289,211977.485441084,455197.677729157,,
,365 상록수약국,19980626,경기도 하남시 신평로 57 (신장동),경기도 하남시 신장동 427번지 227호,12968,37.5388739,127.2049839,,영업중,,,218043.137276936,448534.363281488,,
,365 열린큰약국,20210531,"경기도 용인시 수지구 성복2로 38, 성복역 롯데캐슬 골드타운 지상2층 약국코너호 (성복동)",경기도 용인시 수지구 성복동 789 성복역 롯데캐슬 골드타운,16847,37.3127533,127.0817765,,영업중,,,207273.490731332,423410.218285701,,
,365 온가족 약국,20260415,"경기도 화성시 동탄구 동탄순환대로16길 15, 111~112호 (산척동)",경기도 화성시 동탄구 산척동 734-1,18502,37.1737793,127.1203928,,영업중,,,210621.825282506,407999.055091783,,
,365건강약국,20150316,"경기도 성남시 분당구 운중로 131, 503일부호 (운중동, 스타식스메트로)",경기도 성남시 분당구 운중동 964번지 스타식스메트로 503일부호,13461,37.3919435,127.0777671,,폐업,20150504,031-8016-7896,206817.873110834,432208.471404606,,
,365건강약국,20150504,"경기도 성남시 분당구 운중로 131, 503일부호 (운중동, 스타식스메트로)",경기도 성남시 분당구 운중동 964번지,13461,37.3919435,127.0777671,,폐업,20150831,031-8017-7896,206817.873110834,432208.471404606,,
,365건강약국,20150831,"경기도 성남시 분당구 운중로 131, 503일부호 (운중동, 스타식스 메트로)",경기도 성남시 분당구 운중동 964번지 스타식스 메트로 503호,13461,37.3919435,127.0777671,,폐업,20170502,031-8016-7896,206817.873110834,432208.471404606,,
,365구름약국,20240129,"경기도 수원시 장안구 경수대로 979, 2층 (송죽동)",경기도 수원시 장안구 송죽동 452,16303,37.3045377,127.0037816,,영업중,,031-309-8117,200258.934518887,422501.363018989,,
,365굿모닝약국,20191220,"경기도 광명시 디지털로 19, 서림빌딩 107호 (철산동)",경기도 광명시 철산동 426번지 서림빌딩,14240,37.47406,126.8696867,,폐업,20220501,02-2687-7789,188403.235849449,441325.837932445,,
,365그린약국,20200604,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 2층 231호 (금곡동)",경기도 성남시 분당구 금곡동 161번지 천사의도시1 오피스텔 231호,13615,37.3507565,127.1083367,,영업중,,031-717-2267,209524.675442983,427639.852581088,,
,365남문약국,20220923,경기도 수원시 팔달구 정조로 789(팔달로2가),경기도 수원시 팔달구 팔달로2가 90-1,16261,37.2785582,127.0164957,,영업중,,031-251-5558,201392.074044696,419621.81601023,,
,365녹십자약국,20161213,경기도 평택시 중앙로 2 (통복동),경기도 평택시 통복동 111-15번지,17911,36.995399,127.0835321,,영업중,,031-652-3307,207371.348168756,388196.713963158,,
,365능곡온누리약국,20240812,"경기도 시흥시 능곡번영길 30, 센텀시티 121호 (능곡동)",경기도 시흥시 능곡동 898-5 센텀시티,14999,37.3702036,126.8066452,,영업중,,031-435-7897,182800.783926613,429794.882209076,,
,365달빛약국,20240821,"경기도 안양시 동안구 경수대로 876, 1층 일부(4,5)호 (비산동)",경기도 안양시 동안구 비산동 422-12,13954,37.3966218,126.9390488,,영업중,,031-385-3856,,,,
,365돌고래약국,20241203,"경기도 수원시 영통구 광교호수공원로 20, 제판매시설동 제지2층 제B2-20B호 (원천동, 더샵 광교레이크시티)",경기도 수원시 영통구 원천동 605 더샵 광교레이크시티,16515,37.271523,127.0592434,,영업중,,031-546-0640,205289.160317374,418886.436433515,,
,365동서약국,20170501,"경기도 구리시 체육관로 162 (수택동, 온누리약국)",경기도 구리시 수택동 376번지 온누리약국,11927,37.5990282,127.1364249,,영업중,,031-552-4289,211977.485441084,455197.677729157,,
,365드림약국,20120120,"경기도 남양주시 늘을1로16번길 25, 1층 3, 4호 (호평동, 성보빌딩)","경기도 남양주시 호평동 638번지 1층 3, 4호",12149,37.6540738,127.2428924,,영업중,,031-594-3652,221365.019315782,461326.761556667,,
,365드림약국,20171103,"경기도 의정부시 천보로 44, 8층 804호 (민락동)",경기도 의정부시 민락동 804번지 6호,11813,37.744292,127.0962951,,영업중,,031-8092-2365,208436.880902864,471310.707482348,,
,365마음약국,20250821,"경기도 파주시 숲속노을로 128, 서래메디컬프라자 111, 112호 (동패동)",경기도 파주시 동패동 2078,10956,37.7122847,126.7151685,,영업중,,031-957-3653,,,,
,365마트약국,20110516,경기도 안산시 단원구 대부중앙로 105 (대부북동),경기도 안산시 단원구 대부북동 485번지 5호 럭키마트 내,15645,37.2426453,126.5856269,,폐업,20130429,032-881-1071,163169.203720528,415710.152768649,,
,365박달온누리약국,20160404,"경기도 안양시 만안구 양화로 112, 101호 (박달동)",경기도 안양시 만안구 박달동 19번지 4호 101호,13987,37.402757,126.9105982,,영업중,,031-465-3512,,,,
,365밝은약국,20190310,"경기도 광명시 광명로 914-1, 1층 (광명동)",경기도 광명시 광명동 158-72,14220,37.4803542,126.8551679,,영업중,,02-2612-4100,187120.196137757,442028.09047863,,
,365밝은약국,20211124,"경기도 화성시 동탄구 동탄대로 597, 102,103호 (영천동)",경기도 화성시 동탄구 영천동 658-2,18471,37.2070046,127.098341,,폐업,20220528,031-374-4225,208659.431901813,411683.593116145,,
,365베스트약국,20250530,"경기도 파주시 청석로 122, 112, 113, 114호 (동패동)",경기도 파주시 동패동 1661,10956,37.7134418,126.721124,,영업중,,031-943-0422,175338.870754278,467930.772509999,,
,365별약국,20190821,"경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 3층 311호 (하동)",경기도 수원시 영통구 하동 1016번지 광교효성해링턴타워 3층 311호,16514,37.2880507,127.0606475,,영업중,,031-212-1705,205311.283256449,420682.801161761,,
,365보건약국,20230602,"경기도 시흥시 정왕천로411번길 48, 102호 (정왕동)",경기도 시흥시 정왕동 1185-8,15052,37.3470298,126.74772,,영업중,,031-504-1611,177575.929948476,427251.791415519,,
,365봄날약국,20230628,"경기도 시흥시 은행고길 28, 1층 101,102호 (은행동)","경기도 시흥시 은행동 616번지 1층 101,102호",14923,37.4407643,126.7993364,,영업중,,031-8042-3034,182172.965565365,437630.09209119,,
,365봄약국,20170919,"경기도 하남시 미사강변대로 76, 1층 107,108호 (풍산동, 미사베스트프라자)","경기도 하남시 풍산동 504번지 3호 외1필지, 1층 107, 108호미사베스트프라자",12919,37.5566671,127.187625,,폐업,20200601,,216518.219553047,450516.629085223,,
,365사계절약국,20251024,"경기도 부천시 원미구 부일로 730, JW TOWER 1층 일부호 (역곡동)",경기도 부천시 원미구 역곡동 80-2 JW TOWER,14673,37.4854127,126.8107963,,영업중,,032-341-7723,183201.690695744,442599.351523525,,
,365선유약국,20250414,"경기도 파주시 문산읍 사임당로 26, 102호",경기도 파주시 문산읍 선유리 735-1번지 102호,10813,37.8594725,126.7973354,,영업중,,,182090.061341823,484115.59010914,,
,365세심당약국,20201109,"경기도 안성시 인지2길 6, 1층 (인지동)",경기도 안성시 인지동 414-1,17583,37.0052858,127.2674496,,영업중,,031-672-0365,223744.853180895,389313.926683,,
,365수정메디약국,20230501,"경기도 성남시 수정구 수정로 128, 1층 일부호 (수진동)",경기도 성남시 수정구 수진동 18 1층 일부,13327,37.4414379,127.1345886,,영업중,,031-758-3650,211840.164949381,437707.488506328,,
,365스마일약국,20241227,"경기도 오산시 죽담안로 38-15, 1층 103호 (궐동)",경기도 오산시 궐동 783-6번지 1층 103호,18124,37.1636614,127.0521103,,영업중,,070-4032-8864,,,,
,365스마일약국,20221123,"경기도 안양시 동안구 평촌대로217번길 27, 백두프라자 1층 108호 (호계동)",경기도 안양시 동안구 호계동 1049 백두프라자,14072,37.3903288,126.9541431,,영업중,,031-381-8864,195858.489111917,432023.709404664,,
,365시티약국,20150318,"경기도 양주시 화합로 1361, 102호 (덕정동, 아트시티)",경기도 양주시 덕정동 350-93번지 아트시티 102호,11450,37.8435684,127.0624872,,영업중,,031-862-3650,205429.237745616,482334.313900972,,
,365신천중앙약국,20180305,"경기도 시흥시 수인로 3366, 삼영아트빌 1층 (신천동)",경기도 시흥시 신천동 711번지 삼영아트빌 1층,14910,37.4408674,126.7849563,,폐업,20201108,031-313-0542,180900.325295085,437658.771184379,,
,365신흥약국,20250520,"경기도 부천시 오정구 평천로 723, 1층 108,109호 (삼정동)","경기도 부천시 오정구 삼정동 315-1 108호,109호",14495,37.515352,126.7711654,,영업중,,032-671-8166,179700.410561041,445924.213966405,,
,365아란약국,20250912,"경기도 파주시 해올2길 8, 105호 (다율동)",경기도 파주시 다율동 1044-1,10865,37.7337399,126.7308075,,영업중,,031-8035-7694,,,,
,365약국,20170203,"경기도 남양주시 오남읍 진건오남로 813, 104~105호",경기도 남양주시 오남읍 양지리 100-15,12036,37.6989991,127.2019003,,영업중,,031-523-3311,217730.13331093,466301.74456334,,
,365약국,20260310,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 112호 (망월동)",경기도 하남시 망월동 1079 우성르보아파크,12913,37.5667936,127.1892586,,영업중,,,216649.355240933,451627.537678559,,
,365약국,20130108,경기도 수원시 영통구 영통로90번길 4-16 (망포동),경기도 수원시 영통구 망포동 484번지,16692,37.2377805,127.0608267,,폐업,20151210,031-273-3650,205328.052981745,415105.337321816,,
,365약국,20051026,경기도 구리시 경춘로 261,경기도 구리시 인창동 677 GS SQUARE 백화점 8층,11922,37.6026921,127.1437935,,폐업,20071001,031-563-3650,,,,
,365약국,20181018,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 1층 112호 (망월동)",경기도 하남시 망월동 1079번지 우성르보아파크 1층 112호,12913,37.5667936,127.1892586,,폐업,20260213,031-794-0367,216649.355240933,451627.537678559,,
,365약국,20110707,"경기도 수원시 영통구 영통로90번길 4-16 (망포동, 101호)",경기도 수원시 영통구 망포동 484번지   101호,16692,37.2377805,127.0608267,,폐업,20130108,,205328.052981745,415105.337321816,,
,365약국,20221004,"경기도 동두천시 지행로 53, 1층 (지행동)",경기도 동두천시 지행동 693-5,11346,37.8926908,127.0532459,,영업중,,031-858-4435,204613.506024235,487783.686811616,,
,365약국,20080901,"경기도 구리시 경춘로 261 (인창동,롯데백화점 8층)",경기도 구리시 인창동 677번지 롯데백화점 8층,11922,37.6026921,127.1437935,,폐업,20120203,031-563-3650,212647.021160325,455616.655198478,,
,365약국,20071001,경기도 구리시 경춘로 261,경기도 구리시 인창동 677 GS SQUARE 백화점 8층,11922,37.6026921,127.1437935,,폐업,20080901,031-563-3650,,,,
,365약국,20111006,"경기도 고양시 일산동구 중앙로1275번길 60-14, 302호 (장항동, 고일프라자 )",경기도 고양시 일산동구 장항동 769번지 고일프라자 302호,10401,37.6595471,126.769656,,폐업,20210924,031-907-7365,179597.848154617,461945.712930215,,
,365약국,20240314,"경기도 고양시 덕양구 충장로 150, 롯데마트 고양점 1층(일부)호 (행신동)",경기도 고양시 덕양구 행신동 941 롯데마트 고양점,10495,37.6251848,126.8361385,,폐업,20251202,,185469.285638831,458105.907013269,,
,365약국,20241008,"경기도 평택시 소사5길 120, 106호 (소사동)",경기도 평택시 소사동 673-1,18034,36.9916746,127.1264578,,영업중,,031-618-3365,211189.007192131,387791.579930156,,
,365언제나약국,20240814,"경기도 성남시 분당구 불정로 266, 유신제일조합 101-1호 (수내동)",경기도 성남시 분당구 수내동 87-1 유신제일조합,13601,37.3670979,127.1276878,,영업중,,031-698-2306,211239.634498391,429456.03659767,,
,365에펠약국,20201012,"경기도 하남시 미사강변동로 95, 힐스테이트 미사역 그랑파사쥬(12-1BL) B1048호 (망월동)",경기도 하남시 망월동 1100 힐스테이트 미사역 그랑파사쥬(12-1BL),12913,37.5637265,127.1917398,,영업중,,031-791-3650,216873.670459282,451296.310681802,,
,365열린약국,20200629,"경기도 오산시 경기대로 133, 1층 102호 (원동)",경기도 오산시 원동 423-1,18143,37.1367494,127.0727718,,영업중,,031-374-0360,206396.426728334,403877.068604594,,
,365열린약국,20241127,"경기도 평택시 평남로 1047-1, 102호 (동삭동)",경기도 평택시 동삭동 692-6,17849,37.0094287,127.0949206,,영업중,,,208377.185195113,389758.245279853,,
,365열린약국,20160719,"경기도 군포시 번영로 485, 8층 3호 (산본동)",경기도 군포시 산본동 1145-6번지 롯데 피트인 산본 8층 3호,15866,37.3577955,126.9306318,,폐업,20161219,031-8033-1420,193789.410732019,428419.578316283,,
