park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
3호  세교 어린이공원(세교지구),어린이공원,,경기도 평택시 세교동 612-7,37.00638034,127.0876290683,2001.3,,,,,,20100401,경기도 평택시청,031-8024-4248,20260313
대동 어린이공원(소사3지구),어린이공원,,경기도 평택시 소사동 산156-2,,,2680.0,,,,,,20140228,경기도 평택시청,031-8024-4248,20260313
57호,기타,,경기도 화성시 동탄구 장지동 964-2,37.1625665766,127.1065399497,461.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
1호 소공원(화양지구),소공원,,경기도 평택시 현덕면 운정리 272-5,,,1266.0,,,,,,20131004,경기도 평택시청,031-8024-4248,20260313
52호,기타,,경기도 화성시 동탄구 송동 693-1,37.1750365736,127.105434833,520.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
71호,기타,,경기도 화성시 동탄구 오산동 1001-2,37.1870913102,127.0892835106,9892.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
은행골어린이공원,어린이공원,,경기도 용인시 수지구 죽전동 1234,37.3279484593,127.1237408334,1547.0,,,,,,20010209,,,20250801
병점2지구 2호공공공지,기타,,경기도 화성시 효행구 병점동 879,37.2010070803,127.0417872848,172.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
신곡6지구(24호)신곡1공원,소공원,,경기도 김포시 고촌읍 신곡리 1008-47,37.589716204,126.7620109416,2621.0,,,,,,20160531,경기도 김포시 공원관리과,031-5186-4617,20251124
한강근린10,근린공원,,경기도 김포시 운양동 153-1,,,15305.0,배드민턴장+체력단련시설,,,,,20071029,경기도 김포시 공원관리과,031-5186-4627,20251124
당동리어린이집,어린이공원,,경기도 파주시 문산읍 당동리 943,37.8627661531,126.7716612054,4763.2,,조합놀이대,,,,,경기도 파주시청,031-940-8406,20250618
백운호수공원,근린공원,,경기도 의왕시 학의동 산75-5,37.3796794376,127.0059022266,638180.0,,,,,,20020621,경기도 의왕시청,031-345-3533,20251128
상평촌어린이공원(103호),어린이공원,,경기도 안양시 동안구 평촌동 72-5,37.3953093444,126.9764997986,1500.0,,,,,,20071022,경기도 안양시 공원관리과,031-8045-5021,20251126
능말근린공원,근린공원,,경기도 용인시 처인구 역북동 469-1 일원,37.2380353219,127.1989100776,11603.8,,,,,,19740504,,,20250801
제80호 근린공원(신봉 힐링 공원),근린공원,,경기도 용인시 수지구 신봉동 218-7,,,22982.0,,,,,,20181130,,,20250801
은혜어린이공원,어린이공원,,경기도 군포시 금정동 80-1,37.3665153293,126.9433342306,1500.0,,,,,,19851230,경기도 군포시청,031-390-0478,20250912
와우리 문화공원(코리요 문화공원),문화공원,,경기도 화성시 효행구 봉담읍 와우리 595,37.2157904925,126.9673049501,4590.0,,,,,,,,031-5189-6655,20260201
아름,소공원,,경기도 시흥시 배곧동 53,37.3751420174,126.7376734179,2650.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
소공원월동4,소공원,,경기도 시흥시 월곶동 1071-7,37.3781741832,126.764795117,213.3,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
소공원,소공원,,경기도 남양주시 진접읍 연평리 847,37.7059953872,127.1843927588,1203.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
원곡1소공원,소공원,,경기도 안산시 단원구 원곡동 1003-4번지,37.3261019706,126.7962098465,6731.9,,,,,,20131224,경기도 안산시 단원구청,031-481-6415,20260406
거모공원,어린이공원,경기도 시흥시 군자로466번길 92,경기도 시흥시 거모동 1754-1,37.3430747685,126.7843493091,1772.0,체육시설,조합놀이대+그네 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
느티나무(풍동),어린이공원,,경기도 고양시 일산동구 풍동 1259,37.6702991208,126.7984332962,5103.0,,조합놀이대+흔들놀이기구(흔들말)+회전놀이기구,,,,20001018,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
은행나무,소공원,,경기도 부천시 오정구 여월동 243-9,37.5072350037,126.8048557426,504.0,,,,,,20150921,경기도 부천시청,032-625-4843,20250731
묘향어린이공원,어린이공원,,경기도 군포시 산본동 1148-1,37.3613100552,126.9204364941,10125.6,,,,,,19940915,경기도 군포시청,031-390-0478,20250912
지석,근린공원,,경기도 부천시 소사구 범박동 234-2,37.4660996377,126.8156068779,12242.7,,,,,,20051230,경기도 부천시청,032-625-4843,20250731
영신이들 근린공원(지제 세교지구),근린공원,,경기도 평택시 세교동 392답,,,13847.0,,,,,,20130903,경기도 평택시청,031-8024-4248,20260313
꿈동산,어린이공원,,경기도 안산시 상록구 사동 1575번지,37.3026566459,126.8394728883,1586.8,,,,,,19991016,경기도 안산시 상록구청,031-481-5412,20260406
8호 소공원(청계사랑),소공원,,경기도 화성시 동탄구 영천동 538-1,,,4408.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
신촌산업단지 소공원 1호,소공원,,경기도 파주시 신촌동 725-4,37.7283459522,126.6948753473,2520.0,,,,,,,경기도 파주시청,031-940-8406,20250618
은계소공원,소공원,,경기도 시흥시 대야동 648,37.4487897309,126.7969647766,2594.0,,,,,,20100427,경기도 시흥시청,031-310-2694,20251219
7호어린이 용알 어린이공원,어린이공원,,경기도 화성시 만세구 남양읍 남양리 2286,37.2057641734,126.8189635332,2694.9,,,,,,,,031-5189-6655,20260201
삼송근린9(오금),근린공원,,경기도 고양시 덕양구 오금동 643,37.6608933626,126.9067551355,41981.6,체력단련시설,조합놀이대,,,,20061211,경기도 고양시 푸른도시사업소,031-8075-4325,20251215
성지공원,근린공원,,경기도 성남시 분당구 야탑동 195-1,37.4079981877,127.1572970441,94597.4,,,,,,19900622,경기도 성남시 공원과,031-729-4382,20251111
물왕소공원,소공원,,경기도 시흥시 산현동 493,37.3773517232,126.8431399927,1421.0,,,,,,20140922,경기도 시흥시청,031-310-3872,20251219
남양5호 어린이공원,어린이공원,,경기도 화성시 만세구 남양읍 남양리 2053,37.2043611259,126.8323511329,1499.0,,,,,,,,031-5189-6655,20260201
태마당,어린이공원,,경기도 안산시 상록구 부곡동 669-4번지,37.3318395326,126.8620005754,1501.7,,,,,,19850917,경기도 안산시 상록구청,031-481-5412,20260406
황계공원,기타,,경기도 화성시 효행구 황계동 152-116,37.2222483595,127.0172386828,540.0,,,,,,,,031-5189-6655,20260201
수풍소공원,소공원,,경기도 용인시 수지구 풍덕천동 714-4,37.3241549697,127.0969868503,1247.0,,,,,,20090817,,,20250801
파란,소공원,,경기도 고양시 일산동구 중산동 1853,37.6793905581,126.7903883391,1007.2,,,,,,20150630,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
모당,근린공원,,경기도 고양시 일산동구 중산동 1832,37.6780608759,126.7812551622,17237.6,체력단련시설,조합놀이대,화장실,,,20150630,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
탄현근린,근린공원,,경기도 고양시 일산서구 탄현동 산16,37.6999089576,126.7752089519,88210.3,족구장+실내배드민턴장+다목적운동장+체력단련시설,아이놀숲+모래마당+무장애놀이터,화장실+주차장,,수경시설+야외무대+전망대,19740516,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
탄현 1(황룡),어린이공원,경기도 고양시 일산서구 탄현로 73,경기도 고양시 일산서구 탄현동 1475,37.6976586056,126.7673313048,1500.0,체력단련시설,조합놀이대+그네+시소,화장실,,,19901219,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
탄현 3(현중),어린이공원,경기도 고양시 일산서구 현중로 56,경기도 고양시 일산서구 탄현동 1478,37.6955958415,126.7675330909,1500.0,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,19901219,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
탄현 5(탄현),어린이공원,경기도 고양시 일산서구 현중로36번길 20-2,경기도 고양시 일산서구 탄현동 1495,37.6940992489,126.7689202778,1501.0,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,19901219,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
탄현 6(탄중),어린이공원,경기도 고양시 일산서구 탄중로233번길 16,경기도 고양시 일산서구 탄현동 1501,37.6942291933,126.7709833731,1494.0,체력단련시설,조합놀이대+그네+흔들놀이대+철봉,화장실,,,19901219,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
중산 10(한뫼),근린공원,경기도 고양시 일산서구 탄중로 284,경기도 고양시 일산서구 일산동 1558,37.6935498217,126.7762870179,27167.0,체력단련시설,조합놀이대,화장실,,수경시설+야외무대+조형물,19910531,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
새말,어린이공원,경기도 고양시 일산서구 웅비로12번길 5-21,경기도 고양시 일산서구 대화동 2008,37.6844391722,126.7577079265,3987.0,체력단련시설,조합놀이대+그네+시소,,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
왕산,어린이공원,경기도 고양시 일산서구 성저로 24-2,경기도 고양시 일산서구 대화동 2092,37.6821921602,126.7515722345,4326.0,체력단련시설,조합놀이대+그네+시소,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
성저,근린공원,경기도 고양시 일산서구 일산로 655,경기도 고양시 일산서구 대화동 2104,37.6823207861,126.7562320415,50334.0,다목적운동장+체력단련시설,,화장실,,야외무대+시계탑,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
중앙주공2-1소공원,소공원,,경기도 안산시 단원구 고잔동 851-1번지,37.3205623246,126.837342581,4069.8,,,,,,20130521,경기도 안산시 단원구청,031-481-6410,20260406
장성,어린이공원,경기도 고양시 일산서구 강성로214번길 41-10,경기도 고양시 일산서구 대화동 2166,37.676798885,126.753883083,4798.0,체력단련시설,조합놀이대+그네+흔들놀이대+철봉+평행봉,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
대화,근린공원,경기도 고양시 일산서구 강성로 203,경기도 고양시 일산서구 대화동 2201,37.6742302132,126.7538974659,16685.0,체력단련시설,,화장실,,조형물,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
푸름,어린이공원,,경기도 수원시 영통구 영통동 1245,,,1634.4,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
34호소공원,소공원,,경기도 수원시 권선구 호매실동 1413-4,37.2562398772,126.9605024982,454.4,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
35호소공원,소공원,,경기도 수원시 권선구 금곡동 1064,37.2779634388,126.9435494117,421.6,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
까치,어린이공원,경기도 수원시 권선구 수인로621번길 91,경기도 수원시 권선구 당수동 292-1,37.2926956042,126.9358275281,4614.0,,조합놀이대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
다온,어린이공원,,경기도 수원시 권선구 구운동 892,37.2843253149,126.9763176529,1860.0,,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
꽃길,어린이공원,,경기도 수원시 권선구 구운동 910,37.2824817678,126.9734982004,1657.0,,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
세모,어린이공원,,경기도 수원시 권선구 구운동 895,37.2853391861,126.9725352304,2448.0,다목적구장(농구)1,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
하늬,어린이공원,경기도 수원시 권선구 구운로 73번길 10-14,경기도 수원시 권선구 구운동 941-1,37.2806770414,126.9722966658,2143.0,다목적구장(배드민턴)1,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
별솔,어린이공원,,경기도 수원시 권선구 구운동 955,37.2785852822,126.9698844785,1700.0,다목적구장(농구)1,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
다솜,어린이공원,경기도 수원시 권선구 권광로28번길 20,경기도 수원시 권선구 권선동 1264,37.2501043499,127.0284384266,2202.2,,조합놀이대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
우솔,어린이공원,경기도 수원시 권선구 권중로76번길 21,경기도 수원시 권선구 권선동 1261,37.2524491346,127.0287282722,1649.7,,조합놀이대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
아우름,어린이공원,경기도 수원시 권선구 권광로 43,경기도 수원시 권선구 권선동 1333,37.2520487564,127.0277835648,3338.7,,놀이시설2,화장실1,,음수대1,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
다정,어린이공원,경기도 수원시 권선구 경수대로 302번길 32,경기도 수원시 권선구 권선동 1188-1,37.2527297089,127.0222652023,2809.0,다목적구장(족구)1,조합놀이대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
벌말,어린이공원,,경기도 수원시 권선구 평동 21-158,37.2601475983,126.9959969091,1633.0,,조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
풍동(풍식사2),문화공원,,경기도 고양시 일산동구 풍동 184,37.6644638399,126.8036291503,3726.0,야외배드민턴장,,,,,20020218,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
열린문화공원,문화공원,,경기도 의정부시 신곡2동 758-2,37.7496073489,127.0687185217,1501.0,,조합놀이대+ 그네,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,20250620
9호 소공원(예솔),소공원,,경기도 화성시 동탄구 영천동 552-1,,,4373.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
수변공원,근린공원,경기도 고양시 일산동구 연리지로 17-2,경기도 고양시 일산동구 장항동 1798-1,37.6578901257,126.7583237915,81511.2,,,,,,20050421,경기도 고양시 푸른도시사업소,031-8075-4333,20251215
식사근린1(어침이),근린공원,경기도 고양시 일산동구 위시티로 149,경기도 고양시 일산동구 식사동 1478,37.6853735624,126.8122165278,25004.0,실내다목적체육관+체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,20050824,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
식사어린이1(상상),어린이공원,경기도 고양시 일산동구 위시티로 18,경기도 고양시 일산동구 식사동 1588,37.6745572476,126.8075196781,2605.0,,조합놀이대+흔들놀이기구,,,,20050824,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
식사어린이3(바람놀이),어린이공원,,경기도 고양시 일산동구 식사동 1509,37.6816505911,126.809547324,2600.0,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,20050824,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
방죽,어린이공원,,경기도 수원시 영통구 망포동 383-3,37.2398488771,127.0553826119,2135.0,다목적구장(족구)1,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
소문,어린이공원,,경기도 수원시 영통구 망포동 724,37.2399040023,127.0573922013,1846.8,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
온누리,어린이공원,,경기도 수원시 영통구 망포동 523-1,37.2387550737,127.0594317103,887.0,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
수련,어린이공원,,경기도 수원시 영통구 망포동 708,37.2424535429,127.0644907455,1507.1,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
솔빛,어린이공원,,경기도 수원시 영통구 원천동 549-3,37.2682423444,127.0596240932,3230.0,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
51호소공원,소공원,,경기도 수원시 권선구 서둔동 382,37.2639372301,126.9952967316,1479.3,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
54호소공원,소공원,,경기도 수원시 권선구 평동 20-10,37.2619184655,126.997158054,574.0,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
55호소공원,소공원,,경기도 수원시 권선구 평동 177,37.2629119449,126.999642851,1000.0,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
63호소공원,소공원,,경기도 수원시 권선구 호매실동 1347,37.2685482703,126.943568427,515.0,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
64호소공원,소공원,,경기도 수원시 권선구 금곡동 1136-2,37.2711913405,126.9582235418,1051.3,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
64호소공원,소공원,,경기도 수원시 권선구 세류동 1273,37.2616761575,127.0046750977,1478.7,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
70호소공원,소공원,,경기도 수원시 권선구 권선동 1354-67,37.2367772346,127.0232015204,477.9,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
71호소공원,소공원,,경기도 수원시 권선구 권선동 1345-69,37.2403539824,127.0201062522,523.2,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
50호소공원,소공원,,경기도 수원시 권선구 서둔동 323-6,,,1686.5,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
80호소공원,소공원,,경기도 수원시 권선구 서둔동 9-31,37.2701837704,126.9935563328,2573.0,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
52호소공원,소공원,,경기도 수원시 권선구 서둔동 327,,,716.2,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
53호소공원,소공원,,경기도 수원시 권선구 서둔동 321-4,,,579.7,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
16호소공원,소공원,,경기도 수원시 팔달구 화서동 767,37.2838971951,126.9944771888,1603.5,,휴게쉼터,,,,,경기도 수원시 팔달구 녹지공원과,031-5191-7043,20260115
49호소공원,소공원,,경기도 수원시 팔달구 남수동 11-515,37.2831135047,127.0217624984,928.0,,휴게쉼터,,,,,경기도 수원시 화성사업소 문화유산시설과,031-5191-4473,20260115
67호소공원,소공원,경기도 수원시 팔달구 화서문로 75,경기도 수원시 팔달구 북수동 69,37.2861021142,127.016300855,439.0,,휴게쉼터,,,,,경기도 수원시 팔달구 녹지공원과,031-5191-7043,20260115
10호소공원,소공원,,경기도 수원시 영통구 망포동 478,37.2394087627,127.0636601171,1279.0,,휴게쉼터,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
양촌,어린이공원,경기도 고양시 일산서구 일산로 732-3,경기도 고양시 일산서구 대화동 2211,37.6781312969,126.749379006,6555.0,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
장촌,근린공원,경기도 고양시 일산서구 중앙로 1525,경기도 고양시 일산서구 대화동 2241,37.6740167756,126.7515069455,16574.0,체력단련시설,,화장실,,수경시설,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
도화,어린이공원,경기도 고양시 일산서구 일산로 604,경기도 고양시 일산서구 일산동 1043,37.6823045342,126.7622542086,4999.0,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
윗말,어린이공원,경기도 고양시 일산서구 고봉로 189-3,경기도 고양시 일산서구 일산동 1095,37.6772133268,126.7740756565,6400.0,체력단련시설,조합놀이대+그네+시소+흔들놀이대+회전놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
이물재,어린이공원,경기도 고양시 일산서구 고봉로 143-3,경기도 고양시 일산서구 주엽동 39,37.6735387318,126.7716054168,5701.0,체력단련시설,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
영덕소공원,소공원,,경기도 수원시 영통구 영통동 1167,37.2654627276,127.0759575044,1459.4,,휴게쉼터,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
주엽,근린공원,경기도 고양시 일산서구 주화로 65-3,경기도 고양시 일산서구 주엽동 118,37.6686738539,126.7603821956,19614.0,체력단련시설,,화장실,,조형물,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
백암,어린이공원,경기도 고양시 일산서구 주엽로 107,경기도 고양시 일산서구 주엽동 130,37.6695523835,126.7553276512,7875.0,야외배드민턴장+체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
오마,어린이공원,경기도 고양시 일산서구 주엽로 219,경기도 고양시 일산서구 일산동 1375,37.6783036275,126.760967019,5700.0,체력단련시설,조합놀이대+그네+시소+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
강재,어린이공원,경기도 고양시 일산서구 강성로 126,경기도 고양시 일산서구 주엽동 52,37.6725502166,126.763371339,4000.0,,조합놀이대+그네+시소+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
강선,근린공원,경기도 고양시 일산서구 강성로 124,경기도 고양시 일산서구 주엽동 78,37.6711720709,126.7620696172,34384.0,다목적운동장+체력단련시설,,화장실,,조형물,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
회화,어린이공원,경기도 고양시 일산서구 고봉로 25-3,경기도 고양시 일산서구 주엽동 91,37.6656761752,126.7638588009,3803.0,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,19910629,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
후동,근린공원,경기도 고양시 일산서구 일산로 552-1,경기도 고양시 일산서구 일산동 1400,37.6784220382,126.7669421758,19195.0,체력단련시설,,화장실,,수경시설+조형물,19950403,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
문화,근린공원,경기도 고양시 일산서구 일산로 553-1,경기도 고양시 일산서구 일산동 1379,37.6780223086,126.7664357988,40373.0,체력단련시설,,화장실,,수경시설+조형물+시계탑,19950403,경기도 고양시 푸른도시사업소,031-8075-4341,20251215
