faclt_nm,faclt_div_nm,refine_wgs84_lat,refine_wgs84_logt,refine_road_nm_addr,refine_lotno_addr,faclt_telno,room_cnt,plot_ar,build_tfar,aceptnc_posbl_psncnt,parkng_comprt_cnt,convnce_faclt_info,safe_faclt_info,subfaclt_info,opr_hr_info,chrg_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
용문산관광지 야영장,야영장,37.546856,127.582171,경기도 양평군 용문면 용문산로 641,경기도 양평군 용문면 신점리 525-2번지,031-772-8279,54,9700.0,160.0,216,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
소노문 양평,야영장,37.469408,127.532645,경기도 양평군 개군면 신내길7번길 55,경기도 양평군 개군면 공세리 389-7번지,031-770-7504,17,585.0,14.0,68,,"화장실, 개수대","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
중미산자연휴양림,야영장,37.583976,127.456386,경기도 양평군 옥천면 중미산로 1152,경기도 양평군 옥천면 신복리 산172-19번지,031-771-7166,64,6754.0,676.0,256,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
산음자연휴양림,야영장,37.597282,127.570741,경기도 양평군 단월면 고북길 347,경기도 양평군 단월면 산음리 산124번지,031-774-8133,43,5085.0,144.0,172,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
수락 캠핑장,야영장,37.7135138,127.1003953,경기도 의정부시 송산로971번길 99-4,경기도 의정부시 산곡동 603번지,070-4189-2787,6,2966.0,,30,,샤워장+개수대+화장실+매점,"소화기, 대피시설, 대피안내문",,,,031-828-4354,의정부시 문화관광과,20190401
도봉야영장,야영장,37.7393601,127.0730684,경기도 의정부시 창포원로 81,경기도 의정부시 호원동 163번지,000-0000-0000,18,9020.0,,80,,음수대,"소화기, 대피시설, 대피안내문",,,,031-828-4354,의정부시 문화관광과,20190401
용문산자연휴양림,야영장,37.516543,127.519236,경기도 양평군 양평읍 약수사길 78-14,경기도 양평군 양평읍 백안리 산68-1번지,031-775-4005,11,1762.0,123.0,44,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
갈기산캠핑장,야영장,37.559641,127.788212,경기도 양평군 청운면 신론새터길 21,경기도 양평군 청운면 신론리 189-4번지,,10,1055.0,55.0,40,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
금물산하늘소캠프,야영장,37.549937,127.790837,경기도 양평군 청운면 삼백골길 45,경기도 양평군 청운면 도원리 837-5번지,,50,5772.0,227.0,200,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
다목적광장 야영장,야영장,37.440521,127.787752,경기도 양평군 양동면 계정점말길102번길 195,경기도 양평군 양동면 계정리 산6번지,031-240-8923,90,5782032.0,107.0,360,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",야외물놀이장,,,031-770-2069,양평군 관광과,20200611
글램퍼스 양평,야영장,37.584747,127.683692,경기도 양평군 단월면 대부록길 37,경기도 양평군 단월면 부안리 32번지,031-773-2210,5,888.0,45.0,20,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
글램핑 앤 카라반,야영장,37.586309,127.677724,경기도 양평군 단월면 단월로 600,경기도 양평군 단월면 부안리 55번지,031-773-3709,8,1844.0,270.0,32,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
와이글램핑,야영장,37.527132,127.626214,경기도 양평군 용문면 강이대길38번길 26-37,경기도 양평군 용문면 중원리 45-3번지,031-772-5772,10,1333.0,147.0,40,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
양평 휴 캠핑 워크샵,야영장,37.533027,127.766968,경기도 양평군 청운면 경강로 4882,경기도 양평군 청운면 갈운리 514-5번지,031-773-3556,19,4143.0,656.0,76,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
양주글램핑코리아애견캠핑장,야영장,37.7738416,126.9613809,경기도 양주시 백석읍 권율로 848,경기도 양주시 백석읍 기산리 136-1번지,070-7775-8681,11,2940.0,219.68,60,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
양평 드림캠핑장,야영장,37.500396,127.623068,경기도 양평군 용문면 갈지길41번길 52,경기도 양평군 용문면 금곡리 231-12번지 외 13필지,,28,8179.0,98.0,112,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",미니에어바운스,,,031-770-2069,양평군 관광과,20200611
양주시 미술관 옆 캠핑장,야영장,37.73048947,126.9488253,경기도 양주시 장흥면 권율로 185,경기도 양주시 장흥면 석현리 산180-10번지,031-828-9881,42,7709.0,596.12,176,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
양주산막골캠핑장,야영장,37.7748478,126.9378163,경기도 양주시 백석읍 기산로 414-20,경기도 양주시 백석읍 기산리 385번지,031-871-0058,28,4261.0,260.26,112,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
대궐오토캠핑장,야영장,37.76872928,126.9394104,경기도 양주시 백석읍 기산로440번길 177,경기도 양주시 백석읍 기산리 364-2번지,031-871-8989,10,7250.0,79.5,184,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
안태울캠핑장,야영장,37.87204903,126.9505733,경기도 양주시 광적면 화합로81번길 375-66,경기도 양주시 광적면 효촌리 230번지,031-871-1388,36,7195.0,79.34,145,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
기산골캠핑장,야영장,37.77670608,126.9353766,경기도 양주시 백석읍 기산로 413,경기도 양주시 백석읍 기산리 393-2번지,031-871-9008,15,1328.0,423.16,60,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
비타민캠핑장,야영장,37.7703519,126.9369938,경기도 양주시 백석읍 기산로440번길 110-43,경기도 양주시 백석읍 기산리 370-8번지,031-871-3388,17,4477.0,423.59,85,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
선녀와 나무꾼,야영장,37.82677912,127.0466023,경기도 양주시 평화로1501번길 90,경기도 양주시 덕계동 540번지,031-863-2110,16,7901.0,115.7,40,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
범산골캠핑장,야영장,37.80421867,126.9141048,경기도 양주시 광적면 부흥로 34-17,경기도 양주시 광적면 비암리 757-10번지,031-871-9708,26,6893.0,18.0,110,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
양평 힐인힐 야영장,야영장,37.449804,127.612486,경기도 양평군 지평면 부일길 35-59,경기도 양평군 지평면 옥현리 1504-1번지,031-774-7339,60,20615.0,1068.0,240,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",야외물놀이장,,,031-770-2069,양평군 관광과,20200611
서후리 캠핑장,야영장,37.572824,127.419405,경기도 양평군 서종면 서차남1길 4,경기도 양평군 서종면 서후리 318번지,,14,2356.0,58.0,56,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
서종 힐링캠핑장,야영장,37.647991,127.426223,경기도 양평군 서종면 화서로 532-6,경기도 양평군 서종면 노문리 465번지,031-774-8500,22,4686.0,154.0,88,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",붕붕뜀틀,,,031-770-2069,양평군 관광과,20200611
스마일 캠핑장,야영장,37.646592,127.616458,경기도 양평군 단월면 석산로 1539-2,경기도 양평군 단월면 석산리 147-1번지,,21,2361.0,168.0,84,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
양평 베이스캠프,야영장,37.420572,127.763492,경기도 양평군 양평읍 경강로 2277-21,경기도 양평군 양평읍 백안리 231번지,02-2207-0909,32,29768.0,32.0,128,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등","야외물놀이장, 놀이터",,,031-770-2069,양평군 관광과,20200611
힐링별밤수목원 야영장,야영장,37.749684,127.2737446922,경기도 남양주시 수동면 비룡로 1516-19,경기도 남양주시 수동면 내방리 236-1번지,000-0000-0000,13,3878.0,98.4,78,25,"화장실, 샤워실, 개수대",대피소,돔하우스,1박,50000,031-590-4245,남양주시청,20200130
축령산 자연휴양림,야영장,37.754768,127.313261,경기도 남양주시 수동면 축령산로 299,경기도 남양주시 수동면 외방리 281번지,031-592-0681,30,7300.0,710.44,180,150,"화장실, 샤워실, 개수대",대피소,"회의실, 등산로, 휴양관",1박,4000,031-590-4245,남양주시청,20200130
가족쉼터,야영장,37.7547888747,127.272673,경기도 남양주시 수동면 비룡로 1585,경기도 남양주시 수동면 내방리 237-6번지,031-590-4245,30,2346.0,35.5,180,31,"화장실, 샤워실, 개수대",대피소,,휴업,휴업,031-590-4245,남양주시청,20200130
플라워캠핑장,야영장,37.646608,127.616345,경기도 양평군 단월면 석산로 1543-9,경기도 양평군 단월면 석산리 148-3번지,,7,1630.0,80.0,28,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",야외물놀이장,,,031-770-2069,양평군 관광과,20200611
오목골 캠핑장,야영장,37.563873,127.732545,경기도 양평군 청운면 오목골길 33,경기도 양평군 청운면 다대리 산45번지,031-770-4093,41,9950.0,35.0,164,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
사나래관광농원,야영장,37.546682,127.618856,경기도 양평군 용문면 중원산로 525,경기도 양평군 용문면 중원리 528번지,,9,2928.0,81.0,40,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
솔뜰캠핑장,야영장,37.541385,127.468407,경기도 양평군 옥천면 사기점길 37,경기도 양평군 옥천면 신복리 423번지,031-773-2297,37,9280.0,103.0,150,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
상상글램핑,야영장,37.547812,127.500025,경기도 양평군 옥천면 용천리 155-18,경기도 양평군 옥천면 용천리 155-18,,7,3353.0,321.0,30,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
벨라,야영장,37.8984918415,127.117871501,경기도 동두천시 탑신로237번길 39,경기도 동두천시 탑동동 322-6번지,031-000-0000,23,2327.0,70.0,150,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,글램핑 5동+미니수영장,,,031-860-2067,동두천시청 문화체육과,20200630
에코유 캠핑장,야영장,37.8640472616,127.106043142,경기도 동두천시 천보산로359번길 57,경기도 동두천시 탑동동 495-8번지,070-8839-3700,38,16625.0,410.0,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방가로 5동+수영장+눈썰매장,,,031-860-2067,동두천시청 문화체육과,20200630
산야초 자연 캠핑장,야영장,37.906599509,127.107441399,경기도 동두천시 쇠목길 320,경기도 동두천시 광암동 산30-1번지,031-868-6225,35,9655.0,365.0,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,숙박실 5동+물놀이장,,,031-860-2067,동두천시청 문화체육과,20200630
온새미캠핑장,야영장,37.8797094163,127.097640546,경기도 동두천시 천보산로 537,경기도 동두천시 탑동동 647번지,031-000-0000,30,1565.0,69.0,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-860-2067,동두천시청 문화체육과,20200630
놀터글램핑,야영장,37.9413411453,127.0523717333,경기도 동두천시 신천로 274-57,경기도 동두천시 상봉암동 171번지,031-000-0000,0,2406.0,237.0,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,글램핑 7동+수영장,,,031-860-2067,동두천시청 문화체육과,20200630
안성맞춤캠핑장,야영장,37.02985541,127.3127966,경기도 안성시 보개면 남사당로 198-5,경기도 안성시 보개면 복평리 302-4번지,031-678-2672,47,13780.0,224.83,200,63,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2492,안성시 문화예술사업소,20250320
캠핑코리아,야영장,36.96127618,127.3726963,경기도 안성시 금광면 진안로 165-16,경기도 안성시 금광면 옥정리 88번지,,6,792.0,123.0,30,6,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,70000,031-678-2494,안성시 문화관광과,20250320
별밤 야영장,야영장,37.04844868,127.3742327,경기도 안성시 삼죽면 개나리길 138-20,경기도 안성시 삼죽면 진촌리 7-4,,6,402.0,,30,6,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
금광관광농원 캠핑장,야영장,36.95994068,127.3604686,경기도 안성시 금광면 현곡길 344,경기도 안성시 금광면 현곡리 561-2번지,031-673-8881,48,4845.0,,240,48,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
서운산 자연휴양림 일반야영장,야영장,36.93950764,127.3121274,경기도 안성시 금광면 배티로 185-39,경기도 안성시 금광면 상중리 산19번지 *미고시,031-678-2001,6,659.0,,30,6,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2913,안성시 산림녹지과,20250320
안성운모석캠핑장,야영장,36.92081706,127.2718577,경기도 안성시 서운면 월구리길 3-85,경기도 안성시 서운면 산평리 312-1번지,,20,2818.0,,100,20,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
산우물 북 캠핑장,야영장,37.08196825,127.1958116,경기도 안성시 양성면 산정산우물길 138,경기도 안성시 양성면 산정리 239-5번지,031-674-5532,23,715.0,,115,23,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,30000,031-678-2494,안성시 문화관광과,20250320
용설호수캠핑장,야영장,37.05048665,127.4423762,경기도 안성시 죽산면 용설호수길 234,경기도 안성시 죽산면 용설리 940번지,,13,950.0,,65,13,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,40000,031-678-2494,안성시 문화관광과,20250320
골드바베큐 당일캠핑장,야영장,37.0312633,127.1821091,경기도 안성시 양성면 덕봉서원로 334-11,경기도 안성시 양성면 방신리 317-1번지,,13,948.0,,65,13,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
반딧불 캠핑장,야영장,36.97146024,127.3823231,경기도 안성시 금광면 연내동길 138-37,경기도 안성시 금광면 옥정리 65-1번지,,15,1501.0,,75,15,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
레이크202 캠핑장,야영장,37.05294759,127.4447536,경기도 안성시 죽산면 용설호수길 202,경기도 안성시 죽산면 용설리 474-1번지,,26,4992.0,,130,26,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
서운산캠핑장,야영장,36.91943915,127.2723107,경기도 안성시 서운면 월구리길 3-80,경기도 안성시 서운면 산평리 310번지,,14,4022.0,,70,14,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
대이산 숲속 캠프,야영장,37.03642935,127.172994,경기도 안성시 양성면 성하길 76,경기도 안성시 양성면 방신리 68-4번지,,19,4995.0,126.2,76,19,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
짐스토리,야영장,37.03693594,127.1767589,경기도 안성시 금석길 124,경기도 안성시 금석동 198-2번지,,10,1461.0,112.8,40,10,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
포도길 캠핑장,야영장,37.03298577,127.261182,경기도 안성시 대덕면 신령로 255,경기도 안성시 대덕면 신령리 92-3번지,,20,4826.0,91.25,80,20,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
안성용설호 관광농원 야영장,야영장,37.03239166,127.2234909,경기도 안성시 죽산면 용설호수길 131-34,경기도 안성시 죽산면 용설리 1654번지,,8,4998.0,291.57,30,8,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
산정원,야영장,37.03239166,127.2234909,경기도 안성시 양성면 양성로 349-27,경기도 안성시 양성면 산정리 25-6번지,,15,7408.0,207.0,60,15,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
산촌캠핑장,야영장,37.9010775,127.1213409,경기도 동두천시 탑신로237번길 111,경기도 동두천시 탑동동 286-1번지,031-000-0000,21,3545.0,434.0,100,21,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-860-2067,동두천시청 문화체육과,20200630
파라다이스캠핑장,야영장,37.8913280698,127.127714338,경기도 동두천시 탑신로 368,경기도 동두천시 탑동동 208-7번지,031-000-0000,5,1049.0,99.6,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방갈로+수영장,,,031-860-2067,동두천시청 문화체육과,20200630
파인힐 빌리지 캠핑장,자동차야영장,37.923324,127.043264,경기도 동두천시 안흥로 65-42,경기도 동두천시 안흥동 45-39번지,031-000-0000,11,4762.0,84.0,80,11,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방갈로 5동,,,031-860-2067,동두천시청 문화체육과,20200630
세계인의랜드,야영장,37.561068,127.668699,경기도 양평군 단월면 향소리 124번지,경기도 양평군 단월면 향소리 124번지,,12,5498.0,275.0,60,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
산대분교공공캠핑장,야영장,37.629861,127.583535,경기도 양평군 단월면 섬이길 274-12,경기도 양평군 단월면 석산리 470번지,,19,5348.0,109.0,95,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
해걸음글램핑장,야영장,37.58362093,127.3575706,경기도 양평군 서종면 수대울길 148,경기도 양평군 서종면 문호리 1067-5번지,,8,2434.0,210.0,24,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
분지울작은캠핑장,야영장,37.608451,127.671751,경기도 양평군 단월면 분지울1길 81,경기도 양평군 단월면 명성리 98-1번지,,7,1648.0,131.0,24,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
the 休 글램핑,야영장,37.523392,127.460824,경기도 양평군 옥천면 옥천체육공원길 4,경기도 양평군 옥천면 옥천리 514-1번지,031-774-4545,9,992.0,45.0,36,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
양평 키즈 글램핑,자동차야영장,37.557727,127.722973,경기도 양평군 청운면 황정2길 98-9,경기도 양평군 청운면 용두리 209번지,,34,9261.0,98.0,136,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
와글와글캠핑스토리 캠프산음,자동차야영장,37.600154,127.605618,경기도 양평군 단월면 석산로 837,경기도 양평군 단월면 산음리 595번지,031-772-4707,14,2068.0,46.0,56,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
안성맞춤캠핑장,자동차야영장,37.02985541,127.3127966,경기도 안성시 보개면 남사당로 198-5,경기도 안성시 보개면 복평리 302-4번지,031-678-2672,41,9470.0,,205,41,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2492,안성시 문화예술사업소,20250320
안성내츄럴리조트 오토캠핑장,자동차야영장,37.09411681,127.4388097,경기도 안성시 죽산면 죽양대로 136-17,경기도 안성시 죽산면 매산리 251번지,031-674-8255,28,71.0,,140,28,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,35000,031-678-2494,안성시 문화관광과,20250320
집보다 캠핑장,자동차야영장,37.06027487,127.1829013,경기도 안성시 양성면 도라지길 29-22,경기도 안성시 양성면 동항리 621-4번지,,9,988.0,,45,9,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
율곡관광농원 야영장,자동차야영장,37.10217967,127.3814446,경기도 안성시 삼죽면 밤고개안길 19-34,경기도 안성시 삼죽면 율곡리 356-2번지,,24,985.0,,120,24,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,35000,031-678-2494,안성시 문화관광과,20250320
