sigun_nm,nm_sm_nm,telno,additn_info_nm,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
남양주시,남양주종합촬영소[폐관],031-579-0605,[폐관],20210305,경기도 남양주시 조안면 북한강로855번길 138,경기도 남양주시 조안면 삼봉리 92번지,12278,37.6039975,127.3225052
남양주시,실학박물관,031-579-6000,무료,20210305,경기도 남양주시 조안면 다산로747번길 16,경기도 남양주시 조안면 능내리 27-1번지,12283,37.5160172,127.3006025
남양주시,축령산자연휴양림,031-592-0681,"경차1,500원/중소형3,000원/대형5,000원",20210305,경기도 남양주시 수동면 축령산로 299,경기도 남양주시 수동면 외방리 281번지,12025,37.7547771,127.3132455
남양주시,수종사,031-576-8411,무료,20210305,경기도 남양주시 조안면 수종사길 186,경기도 남양주시 조안면 송촌리 1060번지,12280,37.5711477,127.3026412
동두천시,소요산,031-860-2065,"소형2,000원/중형3,000원/대형5,000원",20210305,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산1-1번지,11307,37.9465221,127.0693437
여주시,명성황후생가,031-881-9730,"중대형 2,000원/소형 1,000원",20210305,경기도 여주시 명성로 71,경기도 여주시 능현동 250-3번지,12653,37.259903,127.6541067
부천시,로보파크,070-7094-5479,"평일, 토요일 1시간 무료 (이후 30분당 500원)/ 일요일, 공휴일 3시간 1,000원 (3시간이후부터는 평일요금적용*로보파크입장권제시)",20210305,경기도 부천시 원미구 평천로 655,경기도 부천시 원미구 약대동 193번지,14502,37.5164701,126.7639691
부천시,한국만화박물관,032-310-3090,무료,20210305,경기도 부천시 원미구 길주로 1,경기도 부천시 원미구 상동 529-2번지,14505,37.5086718,126.7437361
성남시,한국잡월드,031-1644-1333,"승용차 : 4,000원. 버스 : 10,000원 (60분이내 무료)",20210305,경기도 성남시 분당구 분당수서로 501,경기도 성남시 분당구 정자동 4-6번지,13553,37.3784854,127.1063402
성남시,성남 모란장,031-721-9905,주차불가,20210305,경기도 성남시 중원구 둔촌대로 79,경기도 성남시 중원구 성남동 4190번지,13377,37.4302492,127.1279404
수원시,수원화성,031-228-4480,"3시간기준 소형 2,000원 대형버스 4,000원",20210305,경기도 수원시 팔달구 행궁로 11,경기도 수원시 팔달구 남창동 14번지,16261,37.2807973,127.0151841
시흥시,연꽃테마파크,031-310-6222,무료,20210305,경기도 시흥시 관곡지로 139,경기도 시흥시 하중동 271번지,14973,37.400689,126.8083868
시흥시,갯골생태공원,031-488-6900,무료,20210305,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32번지,14971,37.3897919,126.7812507
안산시,안산갈대습지공원,031-481-3810,무료,20210305,경기도 안산시 상록구 갈대습지로 76,경기도 안산시 상록구 사동 1031-8번지,15635,37.2737293,126.839756
시흥시,오이도,031-310-2903,공영주차장 이용,20210305,,경기도 시흥시 정왕동 오이도,15119,,
안산시,대부도,031-481-3060,무료,20210305,경기도 안산시 단원구 화랑로 387,경기도 안산시 단원구 고잔동 515번지,15335,37.3226698,126.8309421
안산시,다문화특구,031-1666-1234,,20210305,,"경기도 안산시 단원구 원곡동 다문화 1길, 2길",,,
안산시,유리섬,032-885-6262,무료,20210305,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13번지,15650,37.2197885,126.6023925
안성시,미리내성지,031-674-1256,무료,20210305,경기도 안성시 양성면 미리내성지로 420,경기도 안성시 양성면 미산리 142-3번지,17500,37.1484251,127.2591407
안성시,너리굴문화마을,031-675-2171,무료,20210305,경기도 안성시 보개면 너리굴길 100,경기도 안성시 보개면 신장리 63-1번지,17509,37.0407249,127.2787777
안성시,칠장사,031-673-0776,무료,20210305,경기도 안성시 죽산면 칠장로 399-18,경기도 안성시 죽산면 칠장리 764번지,17524,37.026328,127.3967906
안성시,안성맞춤랜드,031-678-2672,무료,20210305,경기도 안성시 보개면 남사당로 196-31,경기도 안성시 보개면 복평리 34-3번지 남사당전수관,17508,37.0312945,127.3091402
안양시,안양예술공원,031-8045-5284,유료,20210305,경기도 안양시 만안구 예술공원로 131,경기도 안양시 만안구 석수동 240-18번지,13912,37.419063,126.9197712
양주시,장흥국민관광지,031-856-9570,무료,20210305,경기도 양주시 장흥면 권율로 193,경기도 양주시 장흥면 석현리 산1번지 일원,11519,37.7328178,126.9492554
양주시,회암사지,031-8082-4170,무료,20210305,경기도 양주시 회암사길 11,경기도 양주시 율정동 299-1번지,11464,37.8412152,127.102973
양평군,두물머리,031-770-1001,무료,20210305,,경기도 양평군 양서면 양수리 852,12585,37.5305486,127.3110249
양평군,민물고기 생태학습관,031-8008-6523,무료,20210305,경기도 양평군 용문면 상광길 23-2,경기도 양평군 용문면 광탄리 235-1번지,12513,37.5119576,127.6388838
양평군,세미원,031-775-1835,무료,20210305,경기도 양평군 양서면 양수로 93,경기도 양평군 양서면 용담리 428-8번지,12584,37.5409409,127.3239565
양평군,소나기마을,031-773-2299,무료,20210305,경기도 양평군 서종면 소나기마을길 24,경기도 양평군 서종면 수능리 산74번지,12504,37.594883,127.3778859
양평군,용문사,031-773-3797,"소형차 1,000원 중,대형차 3,000원 버스 5,000원",20210305,경기도 양평군 용문면 용문산로 782,경기도 양평군 용문면 신점리 618번지,12510,37.550236,127.5704624
양평군,중미산자연휴양림,031-771-7166,"경차 1,500원, 중·소형 3,000원, 대형 5,000원",20210305,경기도 양평군 옥천면 중미산로 1152,경기도 양평군 옥천면 신복리 산201-2번지,12505,37.5832303,127.4585126
여주시,목아박물관,031-885-9952,무료,20210305,경기도 여주시 강천면 이문안길 21,경기도 여주시 강천면 이호리 395-2번지,12615,37.2885092,127.6881568
여주시,여주도자세상,031-887-8232,무료,20210305,경기도 여주시 신륵사길 7,경기도 여주시 천송동 297-1번지 여주세계생활도자관,12636,37.3001409,127.6545498
여주시,신륵사,031-885-2505,무료,20210305,경기도 여주시 신륵사길 73,경기도 여주시 천송동 282번지,12636,37.2974205,127.6599488
여주시,여주프리미엄아울렛,031-1644-4001,,20210305,경기도 여주시 명품로 360,경기도 여주시 상거동 460번지,12646,37.2452107,127.6136549
연천군,전곡선사박물관,031-830-5600,무료,20210305,경기도 연천군 전곡읍 평화로443번길 2,경기도 연천군 전곡읍 전곡리 170-2번지,11027,38.0115925,127.0637687
연천군,허브빌리지,031-833-5100,무료,20210305,경기도 연천군 왕징면 북삼로20번길 37,경기도 연천군 왕징면 북삼리 217번지,11042,38.0895926,127.0055232
연천군,한탄강 오토캠핑장,031-833-0030,무료,20210305,경기도 연천군 전곡읍 선사로 76,경기도 연천군 전곡읍 전곡리 696-3번지,11027,38.0088794,127.0588638
오산시,물향기수목원,031-378-1261,"경차 1,500원, 소형중형 3,000원, 대형 5,000원",20210305,경기도 오산시 청학로 211,경기도 오산시 수청동 332-4번지,18118,37.1662479,127.0543477
용인시,경기도박물관,031-288-5400,,20210305,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 496번지,17072,37.2682,127.1089114
용인시,농촌테마파크,031-324-4081,무료,20210305,경기도 용인시 처인구 원삼면 농촌파크로 80-1,경기도 용인시 처인구 원삼면 사암리 871-3번지,17167,37.1710136,127.2971196
용인시,경기도어린이박물관,031-270-8600,"승용차 기본1시간 1,000원(매 10분당 200원), 중대형차 기본1시간 2,000원(매 10분당 400원)",20210305,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 496번지,17072,37.2682,127.1089114
용인시,백남준 아트센터,031-201-8500,"승용차 기본1시간 1,000원(매 10분당 200원)/ 중대형차 기본1시간 2,000원(매 10분당 400원)",20210305,경기도 용인시 기흥구 백남준로 10,경기도 용인시 기흥구 상갈동 496번지,17068,37.2691333,127.1103615
용인시,양지파인리조트,031-338-2001,무료,20210305,경기도 용인시 처인구 양지읍 남평로 112,경기도 용인시 처인구 양지읍 남곡리 34-1번지,17164,37.2119611,127.2949476
용인시,와우정사,031-332-2472,무료,20210305,경기도 용인시 처인구 해실로 89-19,경기도 용인시 처인구 해곡동 43 연화산 와우정사,17142,37.1790306,127.2741054
의왕시,코레일 철도박물관,031-461-3610,무료(입장권에포함),20210305,경기도 의왕시 철도박물관로 142,경기도 의왕시 월암동 374-1번지,16106,37.3136408,126.9505338
용인시,대장금파크,031-337-3241,무료,20210305,경기도 용인시 처인구 백암면 용천드라마길 25,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.119442,127.3370944
의정부시,원도봉산,031-828-4572,하단,20210305,경기도 의정부시 망월로28번길 51-97,경기도 의정부시 호원동 229-104번지,11645,37.7054736,127.037843
용인시,한국민속촌,031-288-0000,"대형 3,000원 소형 2,000원",20210305,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.2609194,127.120813
이천시,돼지테마파크,031-641-7540,무료,20210305,경기도 이천시 율면 임오산로372번길 129-7,경기도 이천시 율면 월포리 64번지,17423,37.0857838,127.5839371
이천시,이천세계도자센터(이천세라피아),031-645-0730,무료,20210305,경기도 이천시 경충대로2697번길 167-29,경기도 이천시 관고동 432-3번지,17379,37.274069,127.4259269
파주시,오두산 통일전망대,031-956-9600,"소형차 2,000원/중형차 3,000원/대형차 4,000원",20210305,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.7730255,126.6771018
파주시,자운서원,031-958-1749,무료,20210305,,경기도 파주시 법원읍 동문리 산 5-1,,37.8672973,126.872006
파주시,프로방스마을,031-946-6353,"평일 2,000원/ 주말 최초 1시간 2,000원, 초과 1시간 당 1,000원(1일 주차 최고한도 10,000원)",20210305,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지,10858,37.7904129,126.6850635
파주시,판문점,,,20210305,경기도 파주시 군내면 대성동길 184-11,경기도 파주시 군내면 조산리 382번지,10800,37.9433116,126.6779036
파주시,파주출판도시,031-955-5959,무료,20210305,경기도 파주시 문발로 312,경기도 파주시 문발동 637-1번지,10881,37.7206155,126.6928751
파주시,파주 프리미엄 아울렛,031-1644-4001,,20210305,경기도 파주시 탄현면 필승로 200,경기도 파주시 탄현면 법흥리 1790-8번지,10862,37.769356,126.6965126
파주시,헤이리예술마을,031-946-8551,헤이리예술마을 곳곳에 주차장 있음,20210305,,경기도 파주시 탄현면 법흥리,,,
파주시,임진각 평화누리,031-956-8300,,20210305,,경기도 파주시 문산읍 마정리 618-13,10808,37.8932684,126.7490079
평택시,바람새마을,031-663-5453,무료,20210305,,경기도 평택시 고덕면 궁리 496번지,17924,37.0168049,127.0205986
평택시,평택호관광단지,031-8024-8687,무료,20210305,경기도 평택시 현덕면 평택호길 48,경기도 평택시 현덕면 권관리 551-3번지 평택호관광안내소,17972,36.9148285,126.9129147
포천시,전통 술 박물관 산사원,031-531-9300,무료,20210305,경기도 포천시 화현면 화동로432번길 25,경기도 포천시 화현면 화현리 512번지,11123,37.9059943,127.3099064
포천시,명성산,031-538-3342,"경차 1,000원, 소형 2,000원 중형 3,000원, 대형 5,000원",20210305,,경기도 포천시 영북면 산정리 372,11103,38.0938634,127.3208416
포천시,산정호수,031-532-6135,"경차 2,000원, 소형 5,000원, 중형 10,000원",20210305,경기도 포천시 영북면 산정호수로411번길 89,경기도 포천시 영북면 산정리 191-1번지,11103,38.0688767,127.3221174
포천시,허브아일랜드,031-535-6494,무료,20210305,경기도 포천시 신북면 청신로947번길 35,경기도 포천시 신북면 삼정리 386번지,11137,37.9659224,127.1317087
포천시,포천아트밸리,031-538-3485,무료,20210305,경기도 포천시 신북면 아트밸리로 234,경기도 포천시 신북면 기지리 282번지,11139,37.9234463,127.2364959
화성시,궁평항,031-356-7339,무료,20210305,경기도 화성시 만세구 서신면 궁평항로 1049-24,경기도 화성시 만세구 서신면 궁평리 689번지,18556,37.1160239,126.6812725
하남시,미사리경정공원,031-790-8883,"유료주차, 소형 4,000원, 대형 10,000원",20210305,경기도 하남시 미사대로 505,경기도 하남시 신장동 281번지,12900,37.5536314,127.2132471
포천시,국립수목원 (광릉수목원),031-540-2000,"대형 5,000원 소형 3,000원 경차 1500원 이륜차 1000원 장애인,유공자 무료",20210305,경기도 포천시 소흘읍 광릉수목원로 415,경기도 포천시 소흘읍 직동리 산50-18번지 국립수목원,11186,37.7562444,127.1656611
화성시,용주사,031-234-0040,무료,20210305,경기도 화성시 병점구 용주로 136,경기도 화성시 병점구 송산동 188번지,18347,37.2117829,127.0056181
용인시,에버랜드,031-320-5000,무료,20210305,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,17023,37.28996,127.2165861
가평군,캠프통아일랜드,031-585-6000,이용요금 별도문의,20210305,경기도 가평군 청평면 호반로 976,경기도 가평군 청평면 고성리 761-5번지,12456,37.7105605,127.4844341
