sigun_nm,center_nm,telno,refine_zipno,refine_lotno_addr,refine_road_nm_addr,refine_wgs84_lat,refine_wgs84_logt
수원시,수원시성인정신건강복지센터,031-247-0888,16457,경기도 수원시 팔달구 매산로3가 43-1번지,경기도 수원시 팔달구 매산로 89,37.2704365,127.0106973
수원시,수원행복정신건강복지센터,031-253-5737,16295,경기도 수원시 장안구 조원동 888번지,경기도 수원시 장안구 송원로 101,37.30374885,127.0100884
시흥시,시흥시정신건강복지센터,031-316-6661,14904,경기도 시흥시 대야동 484-3번지,경기도 시흥시 호현로 55,37.44553606,126.785314
안산시,안산시정신건강복지센터,031-411-7573,15335,경기도 안산시 단원구 고잔동 515번지,경기도 안산시 단원구 화랑로 387,37.32153993,126.8326675
안성시,안성시정신건강복지센터,031-8057-8356,17596,경기도 안성시 도기동 67-23번지,경기도 안성시 강변로74번길 24,36.99984174,127.2701132
안양시,안양시정신건강복지센터,031-469-2989,14035,경기도 안양시 만안구 안양동 532-1번지,경기도 안양시 만안구 문예로 48,37.38584651,126.9329177
양주시,양주시정신건강복지센터,031-840-7320,11485,경기도 양주시 삼숭동 315번지,경기도 양주시 만삼로 133,37.79965801,127.1006916
양평군,양평군정신건강복지센터,031-771-3521,12550,경기도 양평군 양평읍 공흥리 310-9번지,경기도 양평군 양평읍 중앙로111번길 34-21,37.49661579,127.505174
여주시,여주시정신건강복지센터,031-886-3435,12628,경기도 여주시 상동 357번지,경기도 여주시 여흥로160번길 12,37.29484871,127.6401211
연천군,연천군정신건강복지센터,031-832-8106,11027,경기도 연천군 전곡읍 은대리 577-36번지,경기도 연천군 전곡읍 은대성로 95,38.02348487,127.0610026
오산시,오산시정신건강복지센터,031-374-8680,18131,경기도 오산시 오산동 25번지,경기도 오산시 경기동로 59,37.15942646,127.077784
용인시,용인시정신건강복지센터,031-286-0949,16969,경기도 용인시 기흥구 신갈동 60-3번지,경기도 용인시 기흥구 신갈로58번길 11,37.27255738,127.1070525
의왕시,의왕시정신건강복지센터,031-458-0682,16076,경기도 의왕시 고천동 108번지,경기도 의왕시 오봉로 34,37.3437888,126.9721147
의정부시,의정부시정신건강복지센터,031-838-4181,11653,경기도 의정부시 의정부동 557-4번지,경기도 의정부시 범골로 158,37.73579054,127.0427243
이천시,이천시정신건강복지센터,031-637-2330,17379,경기도 이천시 중리동 491번지,경기도 이천시 부악로 36,37.27311027,127.4333116
파주시,파주시정신건강복지센터,031-942-2117,10937,경기도 파주시 조리읍 봉일천리 188-9번지,경기도 파주시 조리읍 봉천로 68,37.74508996,126.8050051
평택시,평택시정신건강복지센터,031-658-9818,17901,경기도 평택시 비전동 846번지,경기도 평택시 경기대로 245,36.99226067,127.1126884
포천시,포천시정신건강복지센터,031-532-1655,11143,경기도 포천시 신읍동 164-3번지,경기도 포천시 포천로 1612,37.90076813,127.2012445
하남시,하남시정신건강복지센터,031-793-6552,12909,경기도 하남시 망월동 980번지,경기도 하남시 미사강변대로 200,37.56767311,127.1856176
화성시,화성시정신건강복지센터,031-352-0175,18588,경기도 화성시 향남읍 도이리 668번지,경기도 화성시 향남읍 향남로 470,37.13832741,126.9224492
화성시,화성시아동청소년정신건강복지센터,031-305-1010,18299,경기도 화성시 봉담읍 동화리 11-13번지,경기도 화성시 봉담읍 효행로 212,37.22927234,126.9690795
