div,entrps_nm,main_biz_cont,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
도소매업,호평열쇠도장,25(1995년),031-591-1944,20221124,"경기도 남양주시 경춘로1256번길 25, 1층 118호(평내동, CH리베로2)",경기도 남양주시 평내동 580-1번지 CH리베로2 1층 118호,12222,37.6451725,127.2364732
음식점업,충남식당,37(1983년),0507-1334-6178,20221124,경기도 구리시 안골로97번길 49-1(수택동),경기도 구리시 수택동 414-7번지,11928,37.5992478,127.1404567
음식점업,여명본점,21(1999년),031-366-4466,20221124,경기도 화성시 정남면 세자로303번길 11-8,경기도 화성시 효행구 정남면 보통리 78-4번지,18516,37.1930978,126.9785179
도소매업,고려분재연구원,30(1990년),02-385-2937,20221124,경기도 고양시 덕양구 서오릉로 334-41(용두동),경기도 고양시 덕양구 용두동 2-3번지,10548,37.6235867,126.8995667
도소매업,고향떡집,31(1997년),031-906-1120,20221124,"경기도 고양시 일산동구 일산로 197, 1층 1064, 1065, 1066, 1067호 (마두동, 센터21)","경기도 고양시 일산동구 마두동 736-1번지 센터21 1층 1064, 1065, 1066, 1067호",10416,37.6539744,126.789901
도소매업,아이랜드안경,34(1986년),031-901-1991,20221124,경기도 고양시 일산동구 일산로 197(마두동),경기도 고양시 일산동구 마두동 736-1번지,10416,37.6539744,126.789901
음식점업,수양농장가든,23(1994년),031-762-6966,20221124,경기도 광주시 곤지암읍 경충대로 295번길 110-3,경기도 광주시 곤지암읍 수양리 618-1번지,12813,37.3265253,127.3683322
도소매업,양평기름집,40(1980년),031-562-0678,20221124,경기도 구리시 안골로97번길 36(수택동),경기도 구리시 수택동 422-8번지,11928,37.5989167,127.14124
음식점업,나룻터숯불장어구이,26(1994년),031-981-1071,20221124,경기도 김포시 월곶면 김포대로3023번길 96,경기도 김포시 월곶면 포내리 7-8번지,10020,37.7312343,126.5260317
음식점업,수빈관,20(1997년),031-998-9229,20221124,경기도 김포시 통진읍 김포대로 2374,경기도 김포시 통진읍 서암리 915-1번지,10016,37.6972272,126.5855625
도소매업,동양당(솔앤솔SOLNSOL),23(1998년),031-577-0494,20221124,경기도 남양주시 와부읍 수레로 2,경기도 남양주시 와부읍 덕소리 474-12번지,12209,37.586664,127.2124408
음식점업,진미옥설농탕,37(1984년),031-865-3626,20221124,경기도 동두천시 생연로 185-1(생연동),경기도 동두천시 생연동 578-55번지,11326,37.9090571,127.0529194
음식점업,텍사스바베큐,27(1994년),031-861-3634,20221124,경기도 동두천시 중앙로 366(생연동),경기도 동두천시 생연동 538-8번지,11312,37.9129321,127.0575375
도소매업,금미당(금미주얼리),24(1996년),032-655-1632,20221124,경기도 부천시 부흥로 189(중동),경기도 부천시 원미구 중동 675-15번지,14585,37.4964226,126.7637247
음식점업,복사골뼈다귀해장국,22(1999년),032-342-7895,20221124,경기도 부천시 부일로 713(역곡동),경기도 부천시 원미구 역곡동 78-12번지,14671,37.4852947,126.8091233
음식점업,프랑세즈,22(1999년),032-668-1381,20221124,경기도 부천시 경인로 218(심곡본동),경기도 부천시 소사구 심곡본동 668-2번지,14711,37.4830457,126.7796683
서비스업,이재영의 삐삐처럼,24(1997년),,20221124,"경기도 성남시 수정구 수정남로268번길 20, 1층(산성동)",경기도 성남시 수정구 산성동 2139번지 1층,13130,37.4513702,127.1522231
음식점업,진성삼계탕,38(1984년),031-745-3393,20221124,경기도 성남시 수정구 산성대로255번길 8-5(신흥동),경기도 성남시 수정구 신흥동 4167번지,13353,37.4410021,127.145364
음식점업,참맛나리아,34(1986년),031-747-2338,20221124,경기도 성남시 수정구 시민로142번길 12-2(신흥동),경기도 성남시 수정구 신흥동 4135번지,13353,37.441245,127.1452385
도소매업,조한약방,51(1969년),031-255-6398,20221124,경기도 수원시 팔달구 정조로 792(팔달로2가),경기도 수원시 팔달구 팔달로2가 18-3번지,16257,37.2787856,127.0169906
음식점업,고향순대국,21(2000년),031-241-4924,20221124,경기도 수원시 장안구 수성로370번길 52(영화동),경기도 수원시 장안구 영화동 273-5번지,16269,37.2915904,127.0138287
음식점업,연포갈비,21(1999년),031-255-1337,20221124,경기도 수원시 팔달구 정조로906번길 56-5(북수동),경기도 수원시 팔달구 북수동 25-3번지,16253,37.2876,127.0167086
음식점업,입주집,27(1985년),031-255-5384,20221124,경기도 수원시 팔달구 팔달문로3번길 37(팔달로1가),경기도 수원시 팔달구 팔달로1가 66번지,16257,37.27932,127.0176302
음식점업,호남순대,25(1993년),031-255-0498,20221124,"경기도 수원시 팔달구 팔달문로 19(지동, A동 5호)",경기도 수원시 팔달구 지동 402-2번지 A동 5호,16243,37.2779218,127.0195905
음식점업,송탄부대찌개,20(2000년),031-318-5377,20221124,"경기도 시흥시 시청로68번길 10, 101호(장현동, 봉빈빌딩)",경기도 시흥시 장현동 545-5번지 봉빈빌딩 101호,14998,37.3809407,126.8008422
음식점업,흙과사람들,20(2001년),031-318-3822,20221124,"경기도 시흥시 비둘기공원로 21(대야동 201,202,203)","경기도 시흥시 대야동 562-5번지 대야하이빌 (대야동 201,202,203)",14908,37.4439484,126.7921734
도소매업,이태리안경,34(1986년),031-484-0666,20221124,"경기도 안산시 단원구 라성로 36, 13-호(원곡동, 반월종합)",경기도 안산시 단원구 원곡동 846-3번지 반월종합 13호,15382,37.32719,126.8005053
도소매업,현대마트,20(2000년),031-418-1568,20221124,"경기도 안산시 상록구 감골2로 10(사동, 현대2차 분산상가 101호~102호)",경기도 안산시 상록구 사동 1343번지 현대2차 분산상가 101호~102호,15620,37.2909508,126.855389
음식점업,솔로몬베이커리카페,21(1999년),031-486-6064,20221124,"경기도 안산시 단원구 선이로 14, 1120호, 1121호(선부동, 제일종합시장)","경기도 안산시 단원구 선부동 1028번지 제일종합시장 1120호,1121호",15220,37.3423606,126.8036386
음식점업,모박사,30(1990년),031-676-1508,20221124,경기도 안성시 대덕면 서동대로 4653,경기도 안성시 대덕면 신령리 513번지,17544,37.0105436,127.2186161
서비스업,헤어살롱B&G,29(1991년),031-457-3213,20221124,경기도 안양시 동안구 경수대로570번길 9(호계동),경기도 안양시 동안구 호계동 986-26번지,14109,37.3739605,126.9582148
음식점업,산하식당,27(1994년),031-871-9369,20221124,경기도 양주시 백석읍 기산로 410,경기도 양주시 백석읍 기산리 397번지,11518,37.7758002,126.9356283
음식점업,곰보(Gombo),31(1990년),031-848-1755,20221124,"경기도 의정부시 태평로73번길 20, 나동 1층 44호(의정부동, 의정부제일시장)",경기도 의정부시 의정부동 160번지 의정부제일시장 나동 1층 44호,11695,37.7394314,127.0507523
음식점업,일미만두1981의정부,21(1985년),031-876-1981,20221124,"경기도 의정부시 평화로 311, 1층전체(호원동)",경기도 의정부시 호원동 435-1번지 1층 전체,11705,37.7197594,127.0470813
음식점업,김성래피자,24(1996년),031-636-0856,20221124,경기도 이천시 부발읍 경충대로 2091(161필지),경기도 이천시 부발읍 아미리 712-7번지 161필지,17336,37.2529797,127.4806834
음식점업,보배집,43(1979년),031-941-3660,20221124,"경기도 파주시 시청로 13, 1층(금촌동,  백운빌딩 1층)",경기도 파주시 금촌동 947-30번지 백운빌딩 1층,10928,37.7586355,126.7751198
음식점업,대창통닭,36(1981년),031-652-9254,20221124,경기도 평택시 자유로3번길 23(평택동),경기도 평택시 평택동 283-1번지,17909,36.9931934,127.0895564
음식점업,주식회사 최네집,30(1990년),031-663-8922,20221124,경기도 평택시 경기도대로 1401(서정동),경기도 평택시 서정동 779-3번지,17773,37.0702468,127.0640219
음식점업,진미식당,31(1984년),031-652-2185,20221124,경기도 평택시 통복시장2로9번길 15(통복동),경기도 평택시 통복동 95-4번지,17893,36.997312,127.084106
도소매업,대영철물,44(1977년),031-351-1078,20221124,경기도 화성시 우정읍 조암남로 19,경기도 화성시 만세구 우정읍 조암리 350-7번지,18567,37.0830846,126.817696
음식점업,나래궁,20(2000년),031-223-0300,20221124,경기도 화성시 반정로 151(반정동),경기도 화성시 병점구 반정동 114-1번지,18374,37.2341743,127.0393151
음식점업,대지식당,30(1991년),031-352-6117,20221124,경기도 화성시 팔탄면 서촌길21번길 8,경기도 화성시 만세구 팔탄면 구장리 552-1번지,18527,37.1618154,126.9032275
음식점업,대훈생고기,31(1983년),031-214-9181,20221124,"경기도 수원시 영통구 센트럴파크로127번길 26, 1층(이의동)",경기도 수원시 영통구 이의동 1306-17번지 1층,16506,37.2951589,127.0548182
도소매업,일미정육점,25(1996년),031-662-5061,20221124,경기도 평택시 탄현로346번길 33(지산동),경기도 평택시 지산동 754-22번지,17757,37.0816512,127.0570823
음식점업,무진장,27(1993년),031-375-0772,20221124,경기도 오산시 경기도대로658번길 19(내삼미동),,,,
도소매업,한주토피스,30(1991년),031-435-9600,20221124,"경기도 시흥시 공단1대로 253(정왕동, 한주토피스)",경기도 시흥시 정왕동 1366-8번지 한주토피스,15079,37.3357628,126.7295224
도소매업,대왕기름집,23(1998년),031-758-1245,20221124,경기도 성남시 중원구 둔촌대로 83번길 9-1(성남동),경기도 성남시 중원구 성남동 4244번지,13377,37.4310969,127.1280718
도소매업,서울기름집,22(1986년),031-754-1610,20221124,경기도 성남시 중원구 둔촌대로83번길 5(성남동),경기도 성남시 중원구 성남동 4220번지,13377,37.4307007,127.1281868
도소매업,천안기름집,27(1994년),031-756-0706,20221124,"경기도 성남시 중원구 둔촌대로83번길 7, 1층(성남동)",경기도 성남시 중원구 성남동 4222번지 1층,13377,37.4309074,127.128005
음식점업,문산순대국,44(1976년),031-975-4791,20221124,"경기도 고양시 일산서구 고양대로 667-5(일산동, 1층 일부)",경기도 고양시 일산서구 일산동 627-2번지 1층일부,10342,37.6846525,126.7702378
