bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,mber_recrut_tot_psncnt
위짐&크로스핏,20260507,,13,영업중,,,,11813,"경기도 의정부시 오목로205번길 35, 진산프라자투 304호 (민락동)",경기도 의정부시 민락동 812-1 진산프라자투,11813,37.7453390316,127.0967094697,,208454.894650329,471433.299643639,체력단련장업,사립,,
씨엠피짐(CMP GYM) 24시 헬스&PT 평택점,20260430,,13,영업중,,,214.88,17920,"경기도 평택시 고평로 13, 2층 (통복동)",경기도 평택시 통복동 740-6,17920,36.9944626444,127.0787385676,,206938.488374984,388096.37457347,체력단련장업,사립,,
터틀짐 영통점,20190307,,13,영업중,,,480,16712,"경기도 수원시 영통구 봉영로1759번길 8-11, 4층 및 5층 (영통동)",경기도 수원시 영통구 영통동 946-6,16712,37.2666902258,127.0812307073,,207135.210001752,418307.431595726,체력단련장업,사립,,
헬스보이짐 천천점,20250516,,13,영업중,,,813.2,16329,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 천천점 지하2층 (천천동)",경기도 수원시 장안구 천천동 525 롯데마트 천천점,16329,37.2964141832,126.9822510076,,198351.916669296,421604.975940414,체력단련장업,사립,,
라이즈짐 곤지암,20190419,,13,영업중,,,370.1,12800,"경기도 광주시 곤지암읍 경충대로 732-6, LK빌딩 2, 3층",경기도 광주시 곤지암읍 삼리 98-4 LK빌딩,12800,37.3542204939,127.3294634792,,229116.693892418,428070.370521473,체력단련장업,사립,,
엔브이(NV)짐 헬스&피티(PT) 양벌동점,20190305,,13,영업중,,,492.7,12795,"경기도 광주시 양촌길 103-12, 1층",경기도 광주시 양벌동 602-7,12795,37.371539778,127.246096066,,,,체력단련장업,사립,,
내촌 시니어 PFC(Institute of Gerokinesiology),20241017,,13,영업중,,,,11189,경기도 포천시 내촌면 내촌로 55,경기도 포천시 내촌면 내리 485-3,11189,37.7852617913,127.226527773,,219889.105663004,475883.997738366,체력단련장업,사립,,
원에프짐,20241114,,13,영업중,,,,11491,"경기도 양주시 고읍남로191번길 87, 유진빌딩 4층 (광사동)",경기도 양주시 광사동 675 유진빌딩,11491,37.7912282913,127.0795372471,,206938.534320047,476525.500840733,체력단련장업,사립,,
럭키스포츠센터,20090812,,13,영업중,,,291.25,,"경기도 포천시 호병골길 41-5 (신읍동,일신아파트상가 지하1-5호)",경기도 포천시 신읍동 307 일신아파트상가 지하1-5호,487040,,,,216619.783558399,488258.606781695,체력단련장업,사립,,
오마이짐 인계2호점,20200616,,13,영업중,,031-222-9679,105.17,16488,"경기도 수원시 팔달구 권광로196번길 17-6, 2층 (인계동)",경기도 수원시 팔달구 인계동 1115-20,16488,37.2649927627,127.0346049725,,202998.609063048,418117.421066455,체력단련장업,사립,,
짐자반 헬스 PT  하남시청역점,20260227,,13,영업중,,,160,12966,"경기도 하남시 하남대로 851, 두명빌딩 B1층 (덕풍동)",경기도 하남시 덕풍동 309-63 두명빌딩,12966,37.5430435668,127.2035298718,,217913.232258301,448993.819800266,체력단련장업,사립,,
가산헬스클럽,20070621,,13,영업중,,,158,,경기도 포천시 가산면 가산로 366,경기도 포천시 가산면 마산리 183-7,487814,37.8473341574,127.1896650798,,216616.584863092,482768.483913362,체력단련장업,사립,,
스마일휘트니스,20260226,,13,영업중,,,,14408,"경기도 부천시 오정구 역곡로482번길 62, 지하1층 (고강동)",경기도 부천시 오정구 고강동 385,14408,37.5264631789,126.8190878554,,183941.166055351,447149.60628784,체력단련장업,사립,,
크로스핏 라스트원 포천점,20240925,,13,영업중,,,,11180,"경기도 포천시 소흘읍 호국로 571, 정우빌딩 B1층",경기도 포천시 소흘읍 송우리 494-1 정우빌딩,11180,37.8229750982,127.1401695319,,212275.960069033,480062.060884211,체력단련장업,사립,,
민 짐,20160127,,13,영업중,,,,18414,경기도 화성시 병점구 병점2로 46 (병점동),경기도 화성시 병점구 병점동  313-4,18414,37.2066550683,127.0417589339,,203633.689579092,411643.562714126,체력단련장업,사립,,
오렌짐 헬스&PT 수원인계점,20250718,,13,영업중,,,377.79,16490,"경기도 수원시 팔달구 효원로265번길 20, 영헌빌딩 4층 (인계동)",경기도 수원시 팔달구 인계동 1046-7 영헌빌딩,16490,37.2630327624,127.0313126253,,202707.037926356,417899.183943312,체력단련장업,사립,,
LINE GYM,20100709,,13,영업중,,031-676-9885,283.65,17519,"경기도 안성시 죽산면 죽주로 283, 205,206,207호",경기도 안성시 죽산면 죽산리 119-1,17519,37.0765599059,127.4261420327,,237842.29847337,397271.288476424,체력단련장업,사립,,
시골근육,20231122,,13,영업중,,,264.1,12465,"경기도 가평군 설악면 신천중앙로 150, 3,4층",경기도 가평군 설악면 신천리 574-8,12465,37.6780587018,127.4875935559,,242938.956793508,464061.96142439,체력단련장업,사립,,
오동환휘트니스헬스클럽,20020801,,13,영업중,,,,17344,경기도 이천시 증신로291번길 98 (송정동),경기도 이천시 송정동 315-1,17344,37.2959603183,127.4349430729,,238491.079285957,421641.957096534,체력단련장업,사립,,
아워즈짐 용인 보정점,20260330,,13,영업중,,,149.04,16897,"경기도 용인시 기흥구 죽전로 10, 장은메디칼프라자 801호 (보정동)",경기도 용인시 기흥구 보정동 1261-4 장은메디칼프라자,16897,37.3202405052,127.1098269848,,209664.333656572,424252.557051969,체력단련장업,사립,,
와이디짐,20260316,,13,영업중,,,110.55,10585,"경기도 고양시 덕양구 지축로 66, 청우스타시티 208호 (지축동)",경기도 고양시 덕양구 지축동 1005-2 청우스타시티,10585,37.6494083,126.9153879394,,,,체력단련장업,사립,,
바디앤무브짐 백석 헬스&PT,20260507,,13,영업중,,,,10420,"경기도 고양시 일산동구 강송로 119, 용신코아 4층 401호 (백석동)",경기도 고양시 일산동구 백석동 1224 용신코아,10420,37.6495799665,126.7860887247,,181049.78269523,460828.207185308,체력단련장업,사립,,
힙핏 그룹PT 핏걸덕정점,20200708,,13,영업중,,031-857-3777,209.11,11456,"경기도 양주시 회정로 134, 두리테크 덕정타운 3층 311~312호 (덕정동)",경기도 양주시 덕정동 208-6 두리테크 덕정타운 311~2호,11456,37.8371727581,127.0683437458,,205952.007935825,481622.817109258,체력단련장업,사립,,
이상해GYM PT 판교역점,20260204,,13,영업중,,070-7585-6944,41.09,13529,"경기도 성남시 분당구 판교역로 136, B2층 B2086호 (백현동)",경기도 성남시 분당구 백현동 540 B2086호,13529,37.3924523101,127.1104358745,,209711.48509119,432271.963293607,체력단련장업,사립,,
슬릭부스트 평택 소사벌점,20260430,,13,영업중,,,371.14,17854,"경기도 평택시 비전5로 24, 5층 (비전동)",경기도 평택시 비전동 1100-1,17854,37.0004150893,127.1140747404,,210083.189026453,388759.547374203,체력단련장업,사립,,
쏭 짐,20240614,,13,영업중,,,141.86,13354,"경기도 성남시 수정구 산성대로 287, 3층 (신흥동)",경기도 성남시 수정구 신흥동 2491-1,13354,37.4417421291,127.1486841193,,213086.295297378,437743.602647702,체력단련장업,사립,,
밀라노짐,20200203,,13,영업중,,,172.14,13558,"경기도 성남시 분당구 정자일로 162, 젤존타워2 5층 502호 (정자동)",경기도 성남시 분당구 정자동 159-4 젤존타워2 502호,13558,37.3646310886,127.1063109728,,209346.56,429178.135,체력단련장업,사립,,
클래스바디 체형교정센터 부천 신중동점,20260506,,13,영업중,,,68.15,14549,"경기도 부천시 원미구 신흥로 190-1, 위브더스테이트 상가2동 2층 213호 (중동)",경기도 부천시 원미구 중동 1107 위브더스테이트,14549,37.5014224074,126.7778853607,,180295.412235987,444337.383690366,체력단련장업,사립,,
본핏 PT 스튜디오,20241126,,13,영업중,,,151.9,12749,"경기도 광주시 포돌이로 37, 2층 (탄벌동)",경기도 광주시 탄벌동 110-2,12749,37.414410273,127.2464825531,,221759.376387799,434733.112855329,체력단련장업,사립,,
이루다짐,20241031,,13,영업중,,,230.67,12821,"경기도 광주시 신현로 74, 삼승빌딩 2층 (신현동)",경기도 광주시 신현동 699-3 삼승빌딩,12821,37.3602850371,127.1549362452,,,,체력단련장업,사립,,
슬기런바디,20250424,,13,영업중,,,44.29,13591,"경기도 성남시 분당구 황새울로360번길 21, 분당서현신영팰리스타워 205-1호 (서현동)",경기도 성남시 분당구 서현동 246-2 분당서현신영팰리스타워,13591,37.3857052472,127.125709393,,211062.652375892,431520.433354292,체력단련장업,사립,,
바디체인지 짐,20210518,,13,영업중,,031-988-9682,347.95,10072,"경기도 김포시 김포한강11로255번길 85, 썬셋타워 2층 (운양동)",경기도 김포시 운양동 1303-2 썬셋타워,10072,37.6574072463,126.6786404083,,171570.897672087,461718.69420061,체력단련장업,사립,,
스윗바디,20110802,,13,영업중,,031-701-4327,97.69,,"경기도 성남시 분당구 판교역로2번길 36 (백현동,1층)",경기도 성남시 분당구 백현동 560-2 1층,463420,37.3864538032,127.1118563614,,209835.880885517,431602.224138643,체력단련장업,사립,,
베리타스 피트니스 망포점,20250501,,13,영업중,,,475.76,16698,"경기도 수원시 영통구 덕영대로 1543, 4, 5층 (영통동)",경기도 수원시 영통구 영통동 976-13,16698,37.2463127201,127.0597173403,,205226.764133401,416045.772408224,체력단련장업,사립,,
JJ피트니스,20160502,,13,영업중,,,178.22,13642,"경기도 성남시 수정구 위례동로 135, 신성위캐슬타워 3층 303호 (창곡동)",경기도 성남시 수정구 창곡동 513-3 신성위캐슬타워 303호,13642,37.4722935901,127.1500566154,,213205.246060593,441132.493591902,체력단련장업,사립,,
찬스짐,20220616,,13,영업중,,031-765-5308,269.12,12711,"경기도 광주시 퇴촌면 광동로 26, 한성빌딩 2층",경기도 광주시 퇴촌면 광동리 220-2 한성빌딩,12711,37.4703715832,127.3057111536,,226967.964629553,440947.186261437,체력단련장업,사립,,
에스엘짐 PT,20220712,,13,영업중,,031-784-1231,109,12789,"경기도 광주시 벼루개로 36, 서원프라자3 10층 1001호 (태전동)",경기도 광주시 태전동 118-5 서원프라자3,12789,37.382515831,127.2325606032,,220528.229571036,431184.725731389,체력단련장업,사립,,
더찬스짐,20190226,,13,영업중,,,277.2,12798,경기도 광주시 양벌로 331-6,경기도 광주시 양벌동 954-1,12798,37.3695485814,127.246498061,,,,체력단련장업,사립,,
렉스코리아,20150615,,13,영업중,,1661-9221,303.73,13578,"경기도 성남시 분당구 서현로 373, 2층 (서현동)",경기도 성남시 분당구 서현동 333-1,463866,37.3768601714,127.139397595,,212275.289994976,430541.710465866,체력단련장업,사립,,
에이탑짐 은행동점PT,20151217,,13,영업중,,,184.8,13157,"경기도 성남시 중원구 산성대로 496, 5층 (은행동)",경기도 성남시 중원구 은행동 1634,13157,37.4554380332,127.1624594885,,214303.215661282,439264.82134757,체력단련장업,사립,,
심플짐,20260304,,13,영업중,,,33.64,13376,"경기도 성남시 중원구 성남대로 1133, 2층 3A호 (성남동)",경기도 성남시 중원구 성남동 4169,13376,37.4310446605,127.1286373101,,211313.708010185,436554.780756187,체력단련장업,사립,,
헬스보이짐 영통판타지움점,20240415,,13,영업중,,,605,16693,"경기도 수원시 영통구 덕영대로 1566, 더판타지움 4층 (영통동)",경기도 수원시 영통구 영통동 981-2,16693,37.2451399847,127.0619002742,,205421.24649796,415910.045603608,체력단련장업,사립,,
짐박스피트니스 부천점,20230613,,13,영업중,,,,14637,"경기도 부천시 원미구 부천로 11, 해태쇼핑 12층 (심곡동)",경기도 부천시 원미구 심곡동 175-6 해태쇼핑,14637,37.4855857173,126.7823247232,,180695.690645126,442609.650907377,체력단련장업,사립,,
MAN OF ACTION,20151119,,13,영업중,,,146.6,13535,"경기도 성남시 분당구 동판교로 52, 제이스타빌딩 4층 401,402호 (백현동)",경기도 성남시 분당구 백현동 600 제이스타빌딩,13535,37.3877698684,127.1146285242,,210081.655067479,431748.673170036,체력단련장업,사립,,
윤청구 퍼포먼스트레이닝,20230704,,13,영업중,,,491.15,18487,"경기도 화성시 동탄구 동탄기흥로 147-15, 301~303호 (방교동)",경기도 화성시 동탄구 방교동  829-3,18487,37.1728571599,127.0898144597,,207905.934329282,407896.242500341,체력단련장업,사립,,
턴핏,20141007,,13,영업중,,031-698-4246,201.6,13461,"경기도 성남시 분당구 운중로 131, 803,804호 (운중동, 스타식스 메트로)","경기도 성남시 분당구 운중동 964 스타식스메트오 803,804호",13461,37.3919435667,127.0777671408,,206817.873110834,432208.471404606,체력단련장업,사립,,
HM Pilafit,20211006,,13,영업중,,,96.4,16397,"경기도 수원시 권선구 금곡로 204, 세종타운721 208호 (금곡동)",경기도 수원시 권선구 금곡동 1118-1 세종타운721,16397,37.2736954342,126.9533508895,,195789.965402462,419085.597357557,체력단련장업,사립,,
미라클짐&PT,20240926,,13,영업중,,,,11444,"경기도 양주시 덕계로 138-33, 6층 601.602호 (덕계동)",경기도 양주시 덕계동 922-4,11444,37.8195669765,127.0553686294,,204804.988951932,479668.709374636,체력단련장업,사립,,
헬스메카 태평역점,20040110,,13,영업중,,031-751-3979,751.63,13313,경기도 성남시 수정구 성남대로1221번길 6 (수진동),경기도 성남시 수정구 수진동 4548,13313,37.4389359623,127.1271400733,,211171.829716446,437432.472807502,체력단련장업,사립,,
아이언짐,20020116,,13,영업중,,,331.9,11161,"경기도 포천시 호국로 901 (설운동, 지하층)",경기도 포천시 설운동 10 지하층,11161,37.8469108659,127.1603874329,,214041.931585805,482707.895362227,체력단련장업,사립,,
크로스핏 리프,20260413,,13,영업중,,,262.62,12652,"경기도 여주시 세종로 254-6, 상가동 B층 1호 (교동, 강남아파트)",경기도 여주시 교동 81 강남아파트,12652,37.2751051429,127.6356953295,,256255.216400537,419453.369987476,체력단련장업,사립,,
핫해짐,20260324,,13,영업중,,,146.02,16976,"경기도 용인시 기흥구 기흥로 58-1, 기흥ICT밸리 A동 102,103호 (구갈동)",경기도 용인시 기흥구 구갈동 679,16976,37.2800243826,127.1193522953,,210517.567889088,419792.271020155,체력단련장업,사립,,
Natural Box,20170307,,13,영업중,,031-541-2333,407.7,11175,경기도 포천시 소흘읍 솔모루로109번길 5 (에스케이니트 6층),경기도 포천시 소흘읍 송우리 221-11 에스케이니트 6층,11175,37.8305885112,127.1482348941,,212982.312628102,480928.334466388,체력단련장업,사립,,
명선 헬스장,20240422,,13,영업중,,,,11148,"경기도 포천시 호병로1길 3, 1층 (신읍동)",경기도 포천시 신읍동 114-8,11148,37.8953792309,127.1951958233,,217110.199085537,488128.00744971,체력단련장업,사립,,
디케이휘트니스,20221124,,13,영업중,,,622.04,18490,"경기도 화성시 동탄구 왕배산길 11, 302호 (목동)",경기도 화성시 동탄구 목동  254 302호,18490,37.1815866679,127.1235645164,,210903.455875022,408880.438725047,체력단련장업,사립,,
호텔 푸르미르 휘트니스 센터,20151228,,13,영업중,,031-8020-0000,80.19,18324,경기도 화성시 병점구 효행로 480 (안녕동),경기도 화성시 병점구 안녕동 188-2,18324,37.2090423882,126.9844037866,,198602.911403975,411881.067754944,체력단련장업,사립,,
지니스 웰니스 랩,20250708,,13,영업중,,,174,16546,"경기도 수원시 영통구 권선로803번길 36, 3층 (매탄동)",경기도 수원시 영통구 매탄동 1166,16546,37.2570271751,127.0399203174,,203472.850181517,417233.179215173,체력단련장업,사립,,
데일리짐,20210706,,13,영업중,,,143.72,17336,"경기도 이천시 대산로 324, 2층 (고담동)",경기도 이천시 고담동 77-7,17336,37.2489039376,127.4730056734,,241887.511840475,416444.517315112,체력단련장업,사립,,
메타짐 수진점,20021101,,13,영업중,,031-751-0130,498,13327,"경기도 성남시 수정구 수정로 140, 세민빌딩 4,5층 (수진동)",경기도 성남시 수정구 수진동 2 세민빌딩,13327,37.4417929787,127.1357061317,,211935.912354932,437751.740876423,체력단련장업,사립,,
준 휘트니스,20100614,,13,영업중,,031-675-3311,204.58,17547,경기도 안성시 대덕면 내리6길 24 (2층),경기도 안성시 대덕면 내리 705-5 2층,456831,36.9995827022,127.2226800809,,219750.820535091,388687.547047885,체력단련장업,사립,,
보스턴짐 평택안중점 헬스 PT,20250321,,13,영업중,,,,17932,"경기도 평택시 안중읍 안현로서6길 62, 금강프라자빌딩 지하1층",경기도 평택시 안중읍 현화리 241 금강프라자빌딩,17932,36.9849901158,126.9226575649,,193036.301832668,387044.546796059,체력단련장업,사립,,
뉴라온다이어트캠프,20170404,,13,영업중,,,396,12400,"경기도 가평군 북면 가화로 2901, 약속의섬레저타운",경기도 가평군 북면 적목리 103-3 뉴라온다이어트캠프,12400,37.979258012,127.4463346964,,239140.034270923,497504.874918587,체력단련장업,사립,,
스카이 휘트니스,20091218,,13,영업중,,,402.62,13426,"경기도 성남시 중원구 도촌남로 33, 세일프라자 3층 303,304,305,306호 (도촌동)",경기도 성남시 중원구 도촌동 567 세일프라자,13426,37.4145639832,127.1511390157,,213310.017222051,434727.130450288,체력단련장업,사립,,
MOM MAE,20020520,,13,영업중,,,,17327,경기도 이천시 부발읍 경충대로 2216-28,경기도 이천시 부발읍 신하리 369-3,17327,37.2599295033,127.4800276102,,242512.450283958,417656.522092793,체력단련장업,사립,,
희핏 PT 헬스,20231101,,13,영업중,,,281.4,11700,"경기도 의정부시 평화로 432, 지하1층 (의정부동)",경기도 의정부시 의정부동 386-11 지하1층,11700,37.7305349731,127.0482981058,,204186.126484025,469786.46824396,체력단련장업,사립,,
크로스핏수원,20250807,,13,영업중,,,373.5,16300,"경기도 수원시 장안구 만석로 213, 지하1층 (송죽동)",경기도 수원시 장안구 송죽동 445-5,16300,37.305401666,127.0012934595,,200045.520344682,422600.565994369,체력단련장업,사립,,
리플래쉬 헬스,20220615,,13,영업중,,,335.8,13106,"경기도 성남시 수정구 청계산로4길 53, 2층 (고등동)",경기도 성남시 수정구 고등동 609-2,13106,37.425033884,127.1013836562,,208904.227357393,435882.848292517,체력단련장업,사립,,
아트짐,20221220,,13,영업중,,,237.6,17583,"경기도 안성시 도기6길 7, 2층 (도기동)",경기도 안성시 도기동 147-7,17583,37.0032860743,127.2636231114,,223392.375604426,389107.466478792,체력단련장업,사립,,
지오짐플러스,20140128,,13,영업중,,031-997-3999,455.54,10060,경기도 김포시 양촌읍 양곡2로 50,경기도 김포시 양촌읍 양곡리 1305-4,415840,37.6556882197,126.6275192643,,167064.171248172,461547.657143585,체력단련장업,사립,Y,
판교특공무술,20100421,,13,영업중,,,79.72,13535,"경기도 성남시 분당구 동판교로 52, 제이스타빌딩 4층 403호 (백현동)",경기도 성남시 분당구 백현동 600 제이스타빌딩,13535,37.3877698684,127.1146285242,,210081.655067479,431748.673170036,체력단련장업,사립,,
팀람다 트레이닝센터 분당서현점,20210906,,13,영업중,,031-703-0524,183.24,13591,"경기도 성남시 분당구 황새울로360번길 21, 분당서현신영팰리스타워 지하1층 B106, B107, B108호 (서현동)",경기도 성남시 분당구 서현동 246-2 분당서현신영팰리스타워,13591,37.3857052472,127.125709393,,211062.652375892,431520.433354292,체력단련장업,사립,,
핏걸 옥정점,20200618,,13,영업중,,,226.59,11473,"경기도 양주시 회천남로 92, 4층 404호 (옥정동)",경기도 양주시 옥정동 963-14,11473,37.818564629,127.0922097718,,208050.177635458,479559.824332482,체력단련장업,사립,,
열정PT 판교점,20260114,,13,영업중,,,96.53,13486,"경기도 성남시 분당구 판교로255번길 9-22, 판교 우림 W-CITY 지하층 117호 (삼평동)",경기도 성남시 분당구 삼평동 618 판교 우림 W-CITY B117호,13486,37.4040275151,127.1000938918,,208778.879300298,433525.111301132,체력단련장업,사립,,
에슬레틱플로우,20260203,,13,영업중,,,360,13108,"경기도 성남시 수정구 성남대로1375번길 18, 지층 (복정동)",경기도 성남시 수정구 복정동 584-6,13108,37.4527366787,127.1245276603,,210947.833778146,438961.380154692,체력단련장업,사립,,
더블유짐 율전 12호점,20230907,,13,영업중,,031-268-8296,243,16363,"경기도 수원시 장안구 서부로2105번길 13, 4층 (율전동)",경기도 수원시 장안구 율전동 408-8,16363,37.296672897,126.9694319304,,197217.621887237,421625.535002581,체력단련장업,사립,,
로하핏 스튜디오 위례점,20240704,,13,영업중,,031-757-4915,183.97,13647,"경기도 성남시 수정구 위례광장로 21-8, 새움빌딩 2층 202호 (창곡동)",경기도 성남시 수정구 창곡동 547-8 새움빌딩,13647,37.4657364502,127.1396609601,,212283.334504304,440408.060282457,체력단련장업,사립,,
바디챌린지MTP트레이닝,20180803,,13,영업중,,070-8880-2199,254.43,11813,"경기도 의정부시 오목로205번길 1, 7층 (민락동)",경기도 의정부시 민락동 804,11813,37.7445955606,127.0980642187,,208575.947869593,471353.082423969,체력단련장업,사립,,
분당맥스짐,20240529,,13,영업중,,,109.56,13574,"경기도 성남시 분당구 새마을로 173, 청암빌딩 5층 (율동)",경기도 성남시 분당구 율동 310-1 청암빌딩,13574,37.3837055736,127.1497005967,,213191.082371814,431301.225628604,체력단련장업,사립,,
