bizplc_nm,licensg_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,stockrs_idntfy_id,right_wk_pehs_have_id
신동물메디컬센터,20120315,0004,말소,,031-352-6633,0,18598,경기도 화성시 만세구 향남읍 행정서로2길 28-37,경기도 화성시 만세구 향남읍 행정리 417-14,18598,37.1311906066,126.9150865418,,192385.113193727,403270.810469246,,000
우 동물병원,20050216,0004,말소,,,117.78,18567,경기도 화성시 만세구 우정읍 조암남로 22,경기도 화성시 만세구 우정읍 조암리 350-11,18567,37.08306832,126.8179887374,,183748.330583072,397939.898943234,,000
늘푸른 동물병원,20110520,0004,말소,,031-613-3872,0,,경기도 화성시 동탄구 10용사로 349-3,경기도 화성시 능동 1152-4 엘리트타워 102호,18429,37.199336577,127.0562041491,,,,,000
어강동물병원,20190603,0004,말소,,031-758-8878,0,13100,"경기도 성남시 수정구 오야남로12번길 12-2, 1층 (오야동)",경기도 성남시 수정구 오야동 249-1,13100,37.4543421576,127.105479422,,209273.983016274,439137.340043622,,000
나루동물메디칼,20130930,0004,말소,,031-243-0080,0,,경기도 수원시 장안구 팔달로 249 (영화동),경기도 수원시 장안구 영화동 328-5,16270,37.288646445,127.0124939314,,201038.816399174,420738.551934661,,000
홍익메디칼동물병원,20150723,0000,정상,,031-358-0200,0,18566,"경기도 화성시 만세구 우정읍 조암북로57번길 1, 1층",경기도 화성시 만세구 우정읍 조암리 230-9,18566,37.0863440558,126.8201871838,,183942.937158453,398306.518727224,,000
장안동물병원,19960720,0000,정상,,031-245-8961,19.25,16295,경기도 수원시 장안구 송원로 83 (조원동),"경기도 수원시 장안구 조원동 898-2 메가플러스3차 111,112호",16295,37.3024434704,127.0095275379,,200773.84151628,422274.734290216,,000
고려동물병원,19980317,0000,정상,,031-256-3369,66.6,16311,경기도 수원시 장안구 정조로 987 (정자동),경기도 수원시 장안구 정자동 1-8,16311,37.2950059054,127.0092599178,,200751.84297468,421448.278322007,,000
이지훈동물병원,19990514,0000,정상,,031-295-5975,67.25,16410,경기도 수원시 권선구 금호로 261 (구운동),경기도 수원시 권선구 구운동 507-5,16410,37.2761799917,126.9785996164,,198029.464560409,419360.22359922,,000
영통동물병원,19990528,0000,정상,,031-204-0075,34,16705,"경기도 수원시 영통구 청명남로4번길 6, 1층 (영통동)",경기도 수원시 영통구 영통동 1000-9,16705,37.2501676224,127.0736545242,,206463.933806853,416475.495889727,,000
정동물병원,20000721,0000,정상,,031-239-7585,64.8,16491,경기도 수원시 팔달구 권광로 120 (인계동),경기도 수원시 팔달구 인계동 1135-7,16491,37.2583978295,127.0308677041,,202666.08666795,417385.021567062,,000
북문다솜동물병원,20001011,0000,정상,,031-251-0082,30.2,16270,경기도 수원시 장안구 정조로921번길 3 (영화동),경기도 수원시 장안구 영화동 326-1,16270,37.289821007,127.0131632631,,201096.784677436,420872.347689531,,000
순풍동물병원,20001011,0000,정상,,031-239-3303,42.6,16588,"경기도 수원시 권선구 정조로514번길 1, 1층 (세류동)",경기도 수원시 권선구 세류동 537-19,16588,37.2552548187,127.011513861,,200952.581267979,417035.767208139,,000
동수원동물종합병원(권선점),20011214,0000,정상,,031-237-1212,85,16553,"경기도 수원시 권선구 동수원로242번길 6, 114호,206호 (권선동)",경기도 수원시 권선구 권선동 1296-2 114호,16553,37.2509324825,127.0349846442,,203024.133527662,416561.316285249,,000
최재호 한방동물병원,20110225,0000,정상,,031-722-2235,40.51,13374,"경기도 성남시 중원구 둔촌대로63번길 11, 상가동 102호 (성남동, 성남여수엘에이치1단지)",경기도 성남시 중원구 성남동 4700 성남여수엘에이치1단지 상가동 102호,13374,37.4300602057,127.125160883,,211023.713761647,436560.123466032,,000
펫 앤 쉘터 동물병원,20110506,0000,정상,,,0,13601,"경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)",경기도 성남시 분당구 수내동 87-1,13601,37.367097985,127.1276878492,,211239.634498391,429456.03659767,,000
판교 P&P 동물병원,20110720,0000,정상,,031-8017-5558,0,13479,"경기도 성남시 분당구 서판교로 36, 104호 (판교동)",경기도 성남시 분당구 판교동 577-3 104호,13479,37.3899675687,127.0978866238,,208600.25834555,431991.076676201,,000
남현우동물병원,20110816,0000,정상,,,0,13597,"경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동, 양지마을한양아파트)",경기도 성남시 분당구 수내동 29 양지마을한양아파트 603동 139호,13597,37.3749106148,127.1184667209,,210421.232418185,430307.058659489,,000
나라 동물병원,20110816,0000,정상,,,0,13626,"경기도 성남시 분당구 미금로 48, 오성프라자 113호 (구미동)",경기도 성남시 분당구 구미동 205-1 오성프라자 113호,13626,37.3377133229,127.1165439059,,210257.696972908,426206.804268634,,000
시드니동물병원,20111004,0000,정상,,,81.5,13306,경기도 성남시 수정구 태평로 10 (태평동),경기도 성남시 수정구 태평동 5104,13306,37.4478712878,127.1280114824,,211258.105969116,438416.451503553,,000
수아동물병원,20111221,0000,정상,,031-708-3100,,13523,"경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)",경기도 성남시 분당구 이매동 131-8 108호,13523,37.4051134371,127.1233530424,,210850.776963202,433673.988710196,,000
수 동물병원,20120319,0000,정상,,80170130,88.4,13461,"경기도 성남시 분당구 운중로 141, 101-1호 (운중동)",경기도 성남시 분당구 운중동 967,13461,37.3918485663,127.0789312783,,206920.1,432200.515000001,,000
현대 동물병원,20120323,0000,정상,,,,13637,"경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)",경기도 성남시 분당구 구미동 185-5 동아그린프라자 111호,13637,37.338384151,127.1094396311,,209626.917756254,426267.516779548,,000
모란동물병원,20120810,0000,정상,,,30,13365,"경기도 성남시 중원구 성남대로 1126, 106호 (성남동, 매가프라자)",경기도 성남시 중원구 성남동 4123 매가프라자 106호,13365,37.4302733563,127.129873139,,211427.1317276,436475.883497673,,000
초이종합동물병원,20120817,0000,정상,,,,13340,경기도 성남시 수정구 시민로 159 (신흥동),경기도 성남시 수정구 신흥동 5168,13340,37.4423112128,127.143074308,,212589.298719482,437807.161407703,,000
분당파크뷰 동물병원,20121102,0000,정상,,031-713-2111,0,13554,"경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)",경기도 성남시 분당구 정자동 6 파크뷰상가 112호,13554,37.3757258783,127.1059480343,,209395.139689791,430300.596328501,,000
AtoZ동물병원,20130114,0000,정상,,031-8016-8206,0,13530,"경기도 성남시 분당구 판교역로 145, 라스트리트2동 2층 213호 (백현동, 알파리움2단지)",경기도 성남시 분당구 백현동 530 알파리움2단지,13530,37.3938768494,127.1078187916,,209526.962902505,432419.161779872,,000
서현 동물병원,20130201,0000,정상,,031-755-5095,138.84,13385,"경기도 성남시 중원구 성남대로 1110, 1층 (하대원동)",경기도 성남시 중원구 하대원동 100-7,13385,37.4288222398,127.1299028888,,211426.841799283,436306.898558992,,000
젠(Gen)동물병원,20130930,0000,정상,,031-752-0075,178.08,13501,"경기도 성남시 분당구 양현로 479, 2층 (야탑동)",경기도 성남시 분당구 야탑동 202-3,13501,37.4166527113,127.135387201,,211917.280284681,434955.021670213,,000
웰리스 클리닉,20131007,0000,정상,,031-711-1911,,13605,경기도 성남시 분당구 불정로 134 (정자동),경기도 성남시 분당구 정자동 211,13605,37.3587980632,127.1197565645,,210542.529800466,428535.664844133,,000
형제동물병원,19970409,0000,정상,,031-446-7575,92.3,14032,"경기도 안양시 만안구 안양로 212 (안양동, 태신주상복합)",경기도 안양시 만안구 안양동 414-2,14032,37.3925264639,126.9271043874,,,,,000
세인트존스동물병원,20140722,0000,정상,,031-713-8391,0,13557,"경기도 성남시 분당구 정자일로 197, 101호 (정자동, 푸르지오씨티 2차)",경기도 성남시 분당구 정자동 16-2,13557,37.3680356924,127.105525221,,209277.906854115,429558.406454768,,000
어니스트 동물병원,20140806,0000,정상,,,0,13461,"경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)",경기도 성남시 분당구 운중동 979,13461,37.3927945636,127.0762824246,,206685.138867041,432301.672020428,,000
중앙동물병원,20150309,0000,정상,,,64.89,13305,경기도 성남시 수정구 수정로 139 (태평동),경기도 성남시 수정구 태평동 3502,13305,37.442261336,127.1355908138,,211928.624166475,437799.863191169,,000
Dr. 오즈 동물병원,20150528,0000,정상,,,0,13587,"경기도 성남시 분당구 분당로263번길 39, 109호 (서현동, 레이디파크)",경기도 성남시 분당구 서현동 312-1 109호,13587,37.3720131506,127.1401888018,,212344.828511016,430004.490397398,,000
백현 동물병원,20150923,0000,정상,,,0,13535,"경기도 성남시 분당구 동판교로52번길 6, 외 1필지(분당구 동판교로52번길 8) 1층 (백현동)",경기도 성남시 분당구 백현동 597-1,13535,37.3875161607,127.1142231489,,210044.734972428,431718.678476771,,000
이진수고양이병원,20151030,0000,정상,,,0,13477,경기도 성남시 분당구 판교공원로5길 15 (판교동),경기도 성남시 분당구 판교동 619-9,13477,37.3901291125,127.0898084913,,207883.895711534,432008.664523369,,000
이매 동물병원,20160428,0000,정상,,,,13567,"경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 포티스빌딩)",경기도 성남시 분당구 이매동 106-3,13567,37.3989307203,127.1264232058,,211123.539577586,432985.392508345,,000
24시 폴 동물병원,20160428,0000,정상,,,141.5,13555,"경기도 성남시 분당구 성남대로 385, 102호 (정자동, 분당클리닉빌딩)",경기도 성남시 분당구 정자동 15-2,13555,37.3705571519,127.1075110479,,209451.080253303,429838.706603014,,000
굿데이동물병원,20160531,0000,정상,,031-718-8276,53,13604,"경기도 성남시 분당구 불곡로 4 (정자동, 리더스프라자)",경기도 성남시 분당구 정자동 219-3 43통2반,13604,37.359403268,127.1229718119,,210821.835896495,428601.909355725,,000
아이유동물메디컬센터,20160627,0000,정상,,,,13646,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 301, 302호 (창곡동)",경기도 성남시 수정구 창곡동 560 남위례역아이파크,13646,37.4650302953,127.1416093524,,212459.827986635,440329.26456245,,000
위례나무동물병원,20160719,0000,정상,,031-778-8738,98.85,13642,"경기도 성남시 수정구 위례동로 147, 106호 (창곡동, 위례건아타워)",경기도 성남시 수정구 창곡동 513-2,13642,37.4730869491,127.1501094634,,213207.623604445,441176.244929279,,000
딜리동물병원,20161017,0000,정상,,,0,13517,"경기도 성남시 분당구 성남대로 884-9, 101호 (야탑동, 라비앙오피스텔)",경기도 성남시 분당구 야탑동 513-3 101호,13517,37.4090621585,127.1292769348,,211374.121157082,434114.191583932,,000
분당24시동물의료센터,20161126,0000,정상,,,0,13522,"경기도 성남시 분당구 야탑로 24, 101호 (야탑동, 덕인빌딩)",경기도 성남시 분당구 야탑동 537-2 101호,13522,37.4085691806,127.1216181943,,210697.326360868,434054.745321155,,000
LA동물의료센터,20161219,0000,정상,,,246.52,13640,"경기도 성남시 수정구 위례광장로 320, 214호 (창곡동, 아이에스센트럴타워)",경기도 성남시 수정구 창곡동 509-3 214호,13640,37.4722444139,127.1426605976,,212518.559102908,441140.201730998,,000
서울동물병원,20170118,0000,정상,,,152.78,13180,경기도 성남시 중원구 희망로 442 (금광동),경기도 성남시 중원구 금광동 7,13180,37.4444008619,127.1577948685,,213893.624911779,438041.173983934,,000
동물병원 돌봄,20170330,0000,정상,,80165559,,13473,"경기도 성남시 분당구 서판교로 160, 101호 (판교동, 스타식스밸리)",경기도 성남시 분당구 판교동 497 101호,13473,37.4002687559,127.0947923181,,208324.048573148,433133.481483169,,000
365동물병원 분당점,20170404,0000,정상,,,51.9,13627,"경기도 성남시 분당구 미금일로90번길 32, 125호 (구미동)",경기도 성남시 분당구 구미동 30 125호,13627,37.3489427626,127.110468852,,209717.597753564,427437.271199733,,000
힐링힐스 동물 치과병원,20170518,0000,정상,,031-708-0078,0,13535,경기도 성남시 분당구 동판교로52번길 9-11 (백현동),경기도 성남시 분당구 백현동 603-3,13535,37.3873850401,127.1154777296,,210156.255173194,431705.619218368,,000
분당필동물병원,20170530,0000,정상,,031-718-7575,0,13632,경기도 성남시 분당구 금곡로15번길 1 (구미동),경기도 성남시 분당구 구미동 125-3,13632,37.3438238398,127.1107549638,,209743.913477779,426872.615569616,,000
스칸디동물병원,20170608,0000,정상,,031-759-7579,102.3,13640,"경기도 성남시 수정구 위례광장로 70, 상가동 2층 201호 (창곡동, 위례 아트리버 푸르지오 1단지)",경기도 성남시 수정구 창곡동 530 위례 아트리버 푸르지오 1단지 상가동 201호,13640,37.4707257194,127.1412089643,,212427.289239575,440923.145827575,,000
그레이트 동물병원,20170609,0000,정상,,031-716-7975,103.35,13612,"경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)",경기도 성남시 분당구 정자동 126-2,13612,37.3631865441,127.1138056766,,210010.149418128,429016.742490449,,000
미래동물의료센터,20170713,0000,정상,,031-705-2475,318.5,13572,"경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",경기도 성남시 분당구 서현동 80-1,13572,37.384555004,127.1296913224,,211414.975241532,431396.057503657,,000
야탑서울동물병원,20170721,0000,정상,,031-708-8181,33.33,13504,"경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)",경기도 성남시 분당구 야탑동 274-3,13504,37.4110179317,127.1379344205,,212139.179238817,434331.375255336,,000
에버펫동물병원,20171108,0000,정상,,031-714-1175,0,13615,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 121호 (금곡동)",경기도 성남시 분당구 금곡동 161 천사의도시1 오피스텔 121호,13615,37.3507565186,127.108336776,,209524.675442983,427639.852581088,,000
한국동물선진의료연구소(KASMINE) 동물심혈관신장센터,20180105,0000,정상,,031-716-9001,481,13625,"경기도 성남시 분당구 미금로 43, 정운빌딩 1층 (구미동)",경기도 성남시 분당구 구미동 204-1,13625,37.3370894727,127.1159600525,,210206.543725362,426124.700940443,,000
분당우리동물의료센터,20180126,0000,정상,,031-705-0175,201.6,13568,"경기도 성남시 분당구 양현로94번길 19, 새남서울조합상가 202호 (이매동)",경기도 성남시 분당구 이매동 120-6 새남서울조합상가 202호,13568,37.3911331406,127.1262133689,,211107.244323947,432126.81649251,,000
메르시 동물병원,20180201,0000,정상,,031-707-0701,0,13477,"경기도 성남시 분당구 운중로 255, 티에스로드2 201호 (판교동)",경기도 성남시 분당구 판교동 590 티에스로드2 201호,13477,37.3894948952,127.0914725741,,208031.730776591,431939.457332015,,000
분당밝은아이동물병원,20180416,0000,정상,,031-754-0201,134.06,13439,"경기도 성남시 중원구 성남대로997번길 51-16, 1층 (여수동)",경기도 성남시 중원구 여수동 312,13439,37.4170648991,127.1259489192,,211079.349181111,435001.099320059,,000
25시 동물병원,20180501,0000,정상,,031-731-0025,73.08,13157,경기도 성남시 중원구 산성대로504번길 1 (은행동),경기도 성남시 중원구 은행동 1589,13157,37.4560344137,127.1629769215,,214348.273699787,439331.909547066,,000
서공동물병원,20180530,0000,정상,,031-711-2244,126.66,13599,"경기도 성남시 분당구 내정로 170, 동신파크빌딩 204호 (수내동)",경기도 성남시 분당구 수내동 58-1 동신파크빌딩 204호,13599,37.3734813717,127.1196937543,,210528.014352901,430160.207334756,,000
분당다원동물병원,20180820,0000,정상,,031-711-6775,53,13562,"경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)",경기도 성남시 분당구 정자동 180 미켈란쉐르빌 116호,13562,37.3593499829,127.106609575,,209409.021126968,428565.151174027,,000
동물병원루니,20181121,0000,정상,,031-719-9545,,13618,"경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 청솔마을성원아파트)",경기도 성남시 분당구 금곡동 143 청솔마을성원아파트,13618,37.3530080836,127.1104930121,,209687.824618329,427827.341314094,,000
분당데이지동물병원,20190110,0000,정상,,031-715-3575,57.2,13607,"경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 107호 (정자동)",경기도 성남시 분당구 정자동 117-1 스포라이프 스포츠센타 107호,13607,37.3653635126,127.1152287526,,210134.637941368,429264.635322598,,000
365동판교동물병원,20190127,0000,정상,,031-781-7582,0,13536,"경기도 성남시 분당구 판교역로14번길 20, (주)코레드디엔씨 2층 201호 (백현동)",경기도 성남시 분당구 백현동 564-5 (주)코레드디엔씨 201호,13536,37.3854789582,127.1114434277,,209799.185851789,431493.961131531,,000
24시분당리더스동물의료원,20190517,0000,정상,,031-711-8275,555,13636,"경기도 성남시 분당구 성남대로 45, 계영빌딩 202, 203호 (구미동)","경기도 성남시 분당구 구미동 157 계영빌딩 202, 203호",13636,37.34004829,127.1084036802,,209533.890682103,426450.173468859,,000
더클래스동물메디컬센터,20190609,0000,정상,,031-713-7975,275.27,13559,"경기도 성남시 분당구 성남대로 275, A동 101-1호 (정자동, 삼성아데나팰리스아파트)",경기도 성남시 분당구 정자동 169-1 삼성아데나팰리스아파트 A동 101-1호,13559,37.3608405388,127.1075955341,,209456.999378587,428761.682082442,,000
이레외과동물병원,20190712,0000,정상,,031-605-0190,132,13595,"경기도 성남시 분당구 백현로101번길 11, 동현프라자 205호 (수내동)",경기도 성남시 분당구 수내동 20-6 동현프라자 205호,13595,37.3770889276,127.1119949858,,209845.832819708,430563.671709839,,000
장재영외과동물병원,20190715,0000,정상,,031-8017-7511,250.44,13466,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 2층 (운중동)",경기도 성남시 분당구 운중동 940 판교메디칼타워,13466,37.3912262666,127.0788330857,,206910.998551811,432129.010258424,,000
365동물병원위례점,20200130,0000,정상,,,0,13642,"경기도 성남시 수정구 위례동로 153, 에이플타워 205호 (창곡동)",경기도 성남시 수정구 창곡동 513 에이플타워,13642,37.4734922234,127.1499944798,,213196.788038769,441267.846008774,,000
휴동물의료센터,20200311,0000,정상,,031-735-7582,689,13354,"경기도 성남시 수정구 산성대로 309, 2층,3층 (신흥동)",경기도 성남시 수정구 신흥동 2475,13354,37.4425512372,127.1510091205,,213290.327794405,437832.98655024,,000
해오름동물병원,20200402,0000,정상,,031-747-0406,0,13192,"경기도 성남시 중원구 희망로 402, 지하1층 (금광동)",경기도 성남시 중원구 금광동 113,13192,37.4412799941,127.1601830448,,214105.050454279,437692.818596598,,000
래온동물병원,20200519,0000,정상,,031-759-0242,,13356,"경기도 성남시 중원구 광명로 89, 성남 센트럴 푸르지오 시티 1층 134,135호 (성남동)",경기도 성남시 중원구 성남동 1404 성남 센트럴 푸르지오 시티,13356,37.4353205797,127.1384616928,,212188.899992533,437031.101000937,,000
고양이병원 소설,20201112,0000,정상,,031-8039-5382,130.2,13449,"경기도 성남시 수정구 창업로 17, F동 309,310,311호 (시흥동)","경기도 성남시 수정구 시흥동 288-2 309,310,311호 F동",13449,37.412114357,127.0978812694,,208613.865984257,434443.112052722,,000
동물병원 Dr.정,20210118,0000,정상,,031-733-9325,0,13157,"경기도 성남시 중원구 산성대로 498, 1층 102호 (은행동)",경기도 성남시 중원구 은행동 1633,13157,37.4555645784,127.162583294,,214315.821244898,439277.377871735,,000
지음동물의료센터,20210209,0000,정상,,031-735-0922,,13178,"경기도 성남시 중원구 광명로 321, 정성빌딩 1층 (금광동)",경기도 성남시 중원구 금광동 3704 정성빌딩,13178,37.4453759941,127.1614985344,,214217.888476238,438149.91612349,,000
상대원 동물병원,20210329,0000,정상,,031-733-1777,0,13397,"경기도 성남시 중원구 희망로 350, 1층 (상대원동)",경기도 성남시 중원구 상대원동 2999-26,13397,37.4369391083,127.1583488274,,213942.901232111,437211.344962206,,000
뉴욕동물병원,20210423,0000,정상,,,0,13625,"경기도 성남시 분당구 미금로 45, 진도훼미리프라자 211호 (구미동)",경기도 성남시 분당구 구미동 203-2 진도훼미리프라자,13625,37.3373682747,127.1157667203,,210194.695426062,426176.33755936,,000
태평역 동물병원,20210803,0000,정상,,031-755-7504,,13320,"경기도 성남시 수정구 성남대로 1222, 예농빌딩 1층 (수진동)",경기도 성남시 수정구 수진동 3011 예농빌딩,13320,37.4388317865,127.1284066617,,211283.670320813,437423.509342085,,000
하온동물의료센터,20210916,0000,정상,,031-697-8978,,13555,"경기도 성남시 분당구 느티로 27, 하나플라자빌딩 2층 203호 (정자동)",경기도 성남시 분당구 정자동 15-7 하나플라자빌딩,13555,37.3688264929,127.1075087701,,209452.093248743,429642.688907038,,000
빌리브동물병원,20220614,0000,정상,,031-8088-7500,,13596,"경기도 성남시 분당구 성남대로 449, 111,112,113호 (정자동, 로얄팰리스)","경기도 성남시 분당구 정자동 28-1 로얄팰리스 111,112,113호",13596,37.375662546,127.1113246504,,209740.647579877,430352.980132984,,000
우주동물병원,20220704,0000,정상,,031-778-6420,,13439,"경기도 성남시 중원구 양현로405번길 5, 신야탑푸르지오시티 1 101,102호 (여수동)","경기도 성남시 중원구 여수동 205 신야탑푸르지오시티 1 101,102호",13439,37.4172661267,127.1268745977,,211162.515413291,435024.300090444,,000
판교포레동물병원,20220707,0000,정상,,031-715-7975,0,13544,"경기도 성남시 분당구 판교대장로6길 10, 207,208호 (대장동)",경기도 성남시 분당구 대장동 627-4,13544,37.3667341672,127.0683768501,,205999.04784078,429415.205749322,,000
정자현대동물병원,20220906,0000,정상,,031-714-9978,0,13529,"경기도 성남시 분당구 판교역로 136, 비1048호 (백현동)",경기도 성남시 분당구 백현동 540,13529,37.3924523101,127.1104358745,,209711.48509119,432271.963293607,,000
정동물병원,20230430,0000,정상,,,,13232,"경기도 성남시 중원구 금상로 72, 1층 (상대원동)",경기도 성남시 중원구 상대원동 2316,13232,37.4411728728,127.1636992514,,214414.730766097,437683.265009098,,000
스타동물의료센터,20230616,0000,정상,,031-8023-9073,,13259,"경기도 성남시 수정구 수정로 287, 2층 (신흥동)",경기도 성남시 수정구 신흥동 30-2 2층,13259,37.4503615836,127.146450458,,212888.115677533,438697.984598845,,000
동물병원 더 하임,20230629,0000,정상,,031-746-7582,0,13259,"경기도 성남시 수정구 수정로 273, 수정빌딩 1층 (신흥동)",경기도 성남시 수정구 신흥동 34 수정빌딩,13259,37.4492686053,127.1456755027,,212818.475436898,438579.588327304,,000
해마루 동물병원,20230721,0000,정상,,031-781-2992,408,13590,경기도 성남시 분당구 황새울로319번길 8-6 (서현동),경기도 성남시 분당구 서현동 272-5 수의과학회관,13590,37.3856726877,127.121145881,,210654.986591999,431519.970467175,,L00
서울동물병원,20230803,0000,정상,,031-741-8119,0,13179,"경기도 성남시 중원구 산성대로 388-1, 1층 (금광동)",경기도 성남시 중원구 금광동 4403,13179,37.4465921455,127.1581240495,,213920.192888635,438281.71088848,,000
성남 시립동물병원,20230919,0000,정상,,,0,13327,"경기도 성남시 수정구 탄리로 59, 공영주차장(수정커뮤니티센터) 지하1층 B103-B106호 (수진동)",경기도 성남시 수정구 수진동 587 공영주차장(수정커뮤니티센터) B103-호,13327,37.4410280089,127.1360941947,,211974.456940369,437662.283076186,,000
소랑동물병원,20231010,0000,정상,,,,13544,"경기도 성남시 분당구 판교대장로7길 16, 1층 102호 (대장동, 힐스테이트 판교 엘포레 A6BL)",경기도 성남시 분당구 대장동 595 힐스테이트 판교 엘포레 A6BL 102호,13544,37.3726007899,127.0680044116,,,,,000
고등동물병원,20231011,0000,정상,,,,13105,"경기도 성남시 수정구 고등로1길 6-4, 101호 (고등동)",경기도 성남시 수정구 고등동 575-1 101호,13105,37.429337367,127.0945904785,,208301.937856202,436361.475141614,,000
위례 바른 동물의료센터,20240112,0000,정상,,031-8039-7753,0,13640,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 201호 (창곡동)",경기도 성남시 수정구 창곡동 509-1 우성트램타워,13640,37.4727049587,127.1429411379,,212552.60409159,441182.813544656,,000
더편한동물병원,20240118,0000,정상,,031-747-1175,,13256,"경기도 성남시 중원구 광명로 176, 상가동 2층 216호 (중앙동, 신흥역 하늘채 랜더스원 1단지)",경기도 성남시 중원구 중앙동 3001 신흥역 하늘채 랜더스원 1단지,13256,37.4375905565,127.1469174903,,213051.899880908,437448.672543604,,000
한별피그크리닉,20240119,0000,정상,,031-556-9008,0,13556,"경기도 성남시 분당구 정자일로213번길 19, 201동 208호 (정자동, 아이파크분당2)",경기도 성남시 분당구 정자동 10-1 아이파크분당2,13556,37.3707916833,127.1048557397,,209217.597324441,429862.701329193,,000
윤성진 안과/외과 동물병원,20240205,0000,정상,,031-758-0824,0,13445,경기도 성남시 수정구 설개로21번길 7 (시흥동),경기도 성남시 수정구 시흥동 42-2,13445,37.421186132,127.1071000336,,209411.782172121,435455.412352012,,000
분당 피엘 동물피부클리닉,20240315,0000,정상,,031-8039-7554,,13594,"경기도 성남시 분당구 수내로 39, 223호 (수내동, 분당지웰푸르지오)",경기도 성남시 분당구 수내동 1-1 분당지웰푸르지오,13594,37.3817932857,127.1172684028,,210336.219223619,431064.038078129,,000
