bizplc_nm,licensg_ymd,bsn_state_nm,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,dat_updt_hr,bizcond_div_nm_info,xcrd_vl,ycrd_vl
더블유펫 테마파크,20180407,말소,031-947-1998,0,10858,경기도 파주시 탄현면 새오리로 ***-**,경기도 파주시 탄현면 만우리 ***-*,10858,2026-01-13 17:26:35,,172910.25953073,478959.045575078
애견 oh! dog,20150211,말소,,0,15049,"경기도 시흥시 오동마을로*번길 **-*, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:09,,177248.309343571,427902.929433874
파블로프애견,20151027,말소,031-316-0020,0,15015,"경기도 시흥시 오이도로 ***, *,*층 (정왕동)","경기도 시흥시 정왕동 ****-** *,*층",15119,2026-03-10 21:36:10,,172217.964902371,426877.630797322
개인의 취향,20161229,말소,,0,15002,경기도 시흥시 진말로*번길 **-** (장곡동),경기도 시흥시 장곡동 ***-*,,2026-03-10 21:36:12,,180829.343612991,430790.666958714
(주)코펫스쿨,20220406,말소,031-319-1916,0,15011,"경기도 시흥시 서해안로 ***, 배곧두손지젤타워 B동 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 배곧두손지젤타워,,2026-03-10 21:36:22,,176194.216987428,429583.715452083
해오름동물병원,20180417,말소,031-953-7587,0,10816,"경기도 파주시 문산읍 당동*로 **, 우리빌 ***호",경기도 파주시 문산읍 당동리 ***-*,,2026-01-13 17:26:35,,180921.585774435,485062.830089861
쿨펫동물병원,20080201,말소,031-897-0072,0,,,경기도 용인시 기흥구 보정동 ***-* 롯데마트 *층,,2026-03-26 22:51:34,,208744.181347972,424312.39111545
루루애견용품할인매장,20080930,말소,031-283-0702,,17064,경기도 용인시 기흥구 신갈로**번길 ** (신갈동),경기도 용인시 기흥구 신갈동 **-*,,2026-03-26 22:51:34,,209437.650101892,418907.247151521
수지애견,20080630,말소,,,,경기도 화성시 만세구 우정읍 멱우방죽*길 **,경기도 화성시 만세구 우정읍 멱우리 ***-**,,2026-02-01 10:34:17,,182726.110840774,400675.979412626
포쉬퍼피,20080710,말소,,0,,경기도 화성시 만세구 팔탄면 제암고주로 ***-*,경기도 화성시 만세구 팔탄면 고주리 **,,2026-02-01 10:34:17,,190003.199521003,403557.211285884
웃는강아지,20090518,말소,031-262-0279,,,,경기도 용인시 기흥구 보정동 ****-* 현타워 ***호,,2026-03-26 22:51:34,,209590.716224934,424244.825220836
코코펫,20211228,말소,,0,18473,"경기도 화성시 동탄구 지산*길 **-*, ***호 (영천동)",경기도 화성시 동탄구 영천동  ***-*,,2026-02-01 10:34:18,,210162.510558158,411527.414202449
베스트 독,20121206,말소,070-8231-7636,,,"경기도 의정부시 시민로 *** (신곡동,외*필지 지상*층)",경기도 의정부시 신곡동 ***-** 외*필지 지상*층,,2026-01-13 17:25:34,,204749.987762289,470540.401678241
현대동물병원,20141218,말소,,0,11789,경기도 의정부시 충의로 ** (용현동),,,2026-01-13 17:25:34,,207635.889238126,470408.423773618
앨리스펫,20151020,말소,,0,11672,경기도 의정부시 흥선로 **-* (가능동),경기도 의정부시 가능동 ***-*,11611,2026-01-13 17:25:34,,203139.541913929,471115.516462849
펫모아,20151110,말소,,0,11636,경기도 의정부시 신흥로 ** (호원동),경기도 의정부시 호원동 ***-*,,2026-01-13 17:25:34,,203771.249586075,469127.7908207
팝 아이슬랜드,20170522,말소,,0,11813,"경기도 의정부시 오목로***번길 **-** (민락동, ***호)",,,2026-01-13 17:25:34,,208599.99848844,471488.900819717
누구~개,20170711,말소,,0,11773,경기도 의정부시 부용로***번길 ** (신곡동),,,2026-01-13 17:25:34,,206849.996231295,471895.032226722
까사,20180413,말소,,0,11670,"경기도 의정부시 신흥로 ***, *층 (의정부동)",경기도 의정부시 의정부동 ***-**,,2026-01-13 17:25:34,,203753.831931879,470933.134735754
sugar puppy,20201230,말소,,0,11654,"경기도 의정부시 경의로 **, 진한빌딩 *층 ****호 (의정부동)",경기도 의정부시 의정부동 ***-*,,2026-01-13 17:25:34,,203733.371996516,470033.651232914
행복한 강아지,20081029,말소,032-651-0079,,,,경기도 부천시 소사구 심곡본동 ***-*,,2026-01-13 17:18:35,,180121.970450921,441849.513399608
엔젤애견,20080307,말소,,,,경기도 평택시 송탄로 *** (지산동),경기도 평택시 지산동 ***-**,,2026-01-13 17:27:04,,205055.32855895,397252.397477158
기저귀찬 강아지,20081208,말소,,,,경기도 평택시 탄현로 *** (신장동),경기도 평택시 신장동 ***-*,,2026-01-13 17:27:05,,204802.525573885,397437.661127822
송탄애견,20120820,말소,,0,,경기도 평택시 탄현로 *** (독곡동),경기도 평택시 신장동 ***-*,,2026-01-13 17:27:05,,204834.408684231,397205.986214914
애견나라,20140829,말소,,0,17936,경기도 평택시 안중읍 안현로서*길 **,경기도 평택시 안중읍 안중리 ***-**,,2026-01-13 17:27:05,,193631.015768363,387352.671881242
차차펫하우스,20160913,말소,,0,17954,"경기도 평택시 포승읍 여술로**번길 **, 상가동 ***호 (포승삼부르네상스*단지)",경기도 평택시 포승읍 도곡리 ****,,2026-01-13 17:27:05,,186353.92286023,387703.716885502
행복한 냥이네,20170324,말소,031-656-7574,0,17919,경기도 평택시 원평로 ** (통복동),경기도 평택시 통복동 ***-*,,2026-01-13 17:27:05,,207142.805949432,388004.550999008
야옹이를 부탁해,20170627,말소,,0,17871,경기도 평택시 문화촌로 ** (비전동),경기도 평택시 비전동 ***-*,,2026-01-13 17:27:05,,210121.774444464,388363.418420672
도니바니,20230403,말소,,0,11813,"경기도 의정부시 오목로***번길 ***, *동 ***호 (민락동)",경기도 의정부시 민락동 ***-*,,2026-05-07 03:03:03,,208318.12130044,471464.207596839
Withdog2(위드도기),20180705,말소,,0,16897,"경기도 용인시 기흥구 죽전로**번길 *, ***호 (보정동)",경기도 용인시 기흥구 보정동 ****-**,,2026-03-26 22:51:35,,209699.6,424340.52
Lucy dog(루시독),20161018,말소,,0,18472,"경기도 화성시 동탄구 동탄순환대로 ***, ***~***호 (영천동)",경기도 화성시 동탄구 영천동  ***-*,,2026-02-01 10:34:17,,209702.700743795,411700.00970635
미쓰(MISS)멍,20121023,말소,031-352-6077,,,"경기도 화성시 만세구 향남읍 행정동로 **, ***동 ***호 (향남시범복사꽃마을한국아델리움)",경기도 화성시 만세구 향남읍 행정리 *** ***호,,2026-02-01 10:34:17,,193611.266839455,403312.548881955
햄보케,20220818,말소,,0,11486,"경기도 양주시 삼숭로**번길 **, *층 *호 (삼숭동)",경기도 양주시 삼숭동 ***-*,,2026-04-28 22:00:57,,209155.44167317,477597.373508965
쿨펫동물병원(동탄점),20130321,말소,031-8015-5413,0,18451,경기도 화성시 동탄구 동탄중앙로 *** (석우동),경기도 화성시 동탄구 석우동  **,,2026-02-01 10:34:17,,207005.769592372,412503.434111401
발안애견,20130829,말소,,0,18594,경기도 화성시 만세구 향남읍 *.*만세로 ****,경기도 화성시 만세구 향남읍 발안리 ***-**,,2026-02-01 10:34:17,,191612.46586663,403260.079514038
졸리펫,20120831,말소,031-411-2555,,,경기도 안산시 상록구 월피로 ** (월피동),경기도 안산시 상록구 월피동 ***-*,,2026-03-26 22:46:09,,186670.5139438,425722.181441075
펫랜드,20161130,말소,,0,18434,"경기도 화성시 동탄구 동탄지성로 **, ***,***호 (반송동, PARK PLAZA)",경기도 화성시 동탄구 반송동  **-*,,2026-02-01 10:34:17,,205761.778829017,411709.283473308
쥬쥬클럽,20130311,말소,031-408-6781,0,15630,경기도 안산시 상록구 장화*안길 ** (사동),경기도 안산시 상록구 사동 ****-**,,2026-03-26 22:46:09,,186910.246454394,420239.894197449
"오독, Oh dog",20140219,말소,,0,14963,"경기도 시흥시 월곶해안로 ***, *,*,*,*호 (월곶동)",경기도 시흥시 월곶동 ****-**,,2026-03-10 21:36:06,,176495.402218194,431764.844038523
우리애견,20120508,말소,031-417-2827,,,"경기도 안산시 상록구 용신로 ***, ***호 (사동)",경기도 안산시 상록구 사동 ****-* ***호,,2026-03-26 22:46:09,,186876.056862072,422344.136358038
윙크펫,20131014,말소,031-409-5556,0,15326,경기도 안산시 상록구 성호로 ** (일동),경기도 안산시 상록구 일동 ***-*,,2026-03-26 22:46:09,,188120.355,423169.115
에반스 힐,20161021,말소,031-417-8957,0,15552,"경기도 안산시 상록구 충장로*안길 **, *층 (본오동, 홈네스트빌 )",,,2026-03-26 22:46:10,,187668.594439685,421158.042577123
곰아저씨애견샵,20140710,말소,031-432-6377,0,15049,"경기도 시흥시 오동마을로 **, *층 (정왕동)",경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:07,,177185.523929572,427912.31361024
펫스토리,20141205,말소,031-488-8856,0,15049,"경기도 시흥시 마유로***번길 **, ***호 (정왕동, 정왕프라자)",경기도 시흥시 정왕동 정왕프라자 ***호,15119,2026-03-10 21:36:08,,177150.29275918,427712.395055463
안다펫,20220221,말소,,0,18496,"경기도 화성시 동탄구 동탄산척로*나길 *-*, *층 (산척동)",경기도 화성시 동탄구 산척동  ***-*,,2026-02-01 10:34:18,,210001.996035049,408069.647500305
베테랑P&K,20210209,말소,031-8043-2646,0,18501,"경기도 화성시 동탄구 동탄순환대로 ***, 성민리치타워(SMP타워) *층 ***호 (산척동)",경기도 화성시 동탄구 산척동 ***-* 성민리치타워(SMP타워) *층 ***호,,2026-03-04 21:32:50,,210426.980564975,407536.8534743
1%애견,20130311,말소,031-415-5775,0,15578,경기도 안산시 상록구 용신로 *** (사동),경기도 안산시 상록구 사동 ****-*,,2026-03-26 22:46:09,,185828.571377753,422376.159969308
얼짱펫,20110715,말소,,,,경기도 안양시 동안구 인덕원로**번길 ** (관양동),경기도 안양시 동안구 관양동 ****,,2026-04-24 21:32:55,,197768.293422286,433232.298599895
스타퍼피앤캣,20170714,말소,031-352-9535,0,18606,경기도 화성시 만세구 향남읍 한절이*길 **,경기도 화성시 만세구 향남읍 하길리 ****-*,,2026-02-01 10:34:17,,192534.905516303,401839.282731428
마이독,20141103,말소,031-401-6618,0,15466,"경기도 안산시 단원구 한양대학로 ***, ***호 (고잔동)",경기도 안산시 단원구 고잔동 ***-* ***호,,2026-03-26 22:46:09,,185459.947748445,423560.701810183
바바라하우스,20080806,말소,031-221-5236,0,16667,경기도 수원시 권선구 동수원로***번길 *-* (곡반정동),경기도 수원시 권선구 곡반정동 ***-*,,2026-01-13 17:19:36,,202707.019747592,415710.372440023
정우애견,20110826,말소,031-292-3798,0,16650,경기도 수원시 권선구 매송고색로 ***-* (고색동),경기도 수원시 권선구 고색동 ***-*,,2026-01-13 17:19:36,,198207.510915401,416498.697701638
매력있개 도도한냥,20150108,말소,070-8256-2421,0,15583,"경기도 안산시 상록구 감골로 ***, ***호 (사동)",경기도 안산시 상록구 사동 ****-* ***호,,2026-03-26 22:46:09,,187346.919956178,421905.358077859
펫스토어,20150727,말소,070-8847-0018,0,15477,경기도 안산시 단원구 광덕동로 ** (고잔동),경기도 안산시 단원구 고잔동 ***-*,,2026-03-26 22:46:09,,185044.112821162,422892.883444991
멋진 고양이,20170411,말소,,0,15583,경기도 안산시 상록구 이화*길 ** (사동),경기도 안산시 상록구 사동 ****,,2026-03-26 22:46:10,,187150.202172089,422160.479933154
베베펫샵,20141231,말소,070-4685-9950,0,16376,"경기도 수원시 권선구 당진로 ** (당수동, 삼성프라자)",경기도 수원시 권선구 당수동 ***-*,16379,2026-01-13 17:19:36,,194631.554970191,420979.122280695
드럼통고양이,20180521,말소,031-408-9722,0,15495,"경기도 안산시 상록구 광덕*로 ***, 덕성프라자 ***호 (이동)",경기도 안산시 상록구 이동 ***-** 덕성프라자,,2026-03-26 22:46:10,,186813.342863223,422929.94691684
멍멍이와야옹이,20140818,말소,031-224-8256,0,18411,경기도 화성시 병점구 경기대로 **** (병점동),,,2026-02-10 21:32:50,,,
안산 강아지 펫퍼스트 24시,20190926,말소,,0,15477,"경기도 안산시 단원구 광덕*로 ***, 스카이프라자 ***호 (고잔동)",경기도 안산시 단원구 고잔동 ***-* 스카이프라자,,2026-03-26 22:46:10,,184965.105936543,422924.244315916
고양이를 사랑하는 남자,20191231,말소,,0,15513,"경기도 안산시 상록구 충장로 ***, 고시원 *층 (이동)",경기도 안산시 상록구 이동 ***-* 고시원,,2026-03-26 22:46:10,,187459.829764722,422534.998285124
심쿵 애견,20150204,말소,,0,18553,경기도 화성시 만세구 서신면 해안길 ***-*,경기도 화성시 만세구 서신면 제부리 ***-**,18553,2026-02-01 10:34:17,,166089.865853998,407535.27477458
도그앤도그,20090721,말소,031-432-2044,,,"경기도 시흥시 마유로 ***-**, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:53,,177180.775369058,427626.071843399
베이비몽 김포,20170807,말소,,0,10090,"경기도 김포시 김포한강*로**번길 **, ***호 (장기동, 라베니체마치에비뉴Ⅰ)",경기도 김포시 장기동 ****-*,,2026-01-13 17:17:05,,171561.306849404,460014.91165606
다음펫,20200527,말소,,0,15580,"경기도 안산시 상록구 석호공원로 **, ***호 (사동)",경기도 안산시 상록구 사동 ****-*,,2026-03-26 22:46:10,,186461.770054616,422202.048919152
스마일애견,20080704,말소,,0,11735,경기도 의정부시 시민로 *** (신곡동),,,2026-05-07 03:03:03,,205314.976607169,470349.187637358
쥬다방,20210108,말소,,0,15851,경기도 군포시 당정역로 ** (당정동),경기도 군포시 당정동 ****-*,,2026-04-21 03:03:03,,195400.459164456,426870.204497885
LOVING PET,20221124,말소,,0,15389,"경기도 안산시 단원구 화랑로 ***, *동 ***호 (원곡동)",경기도 안산시 단원구 원곡동 ****,,2026-03-26 22:46:11,,,
핫도그,20160912,말소,,0,16524,경기도 수원시 영통구 산남로**번길 ** (매탄동),경기도 수원시 영통구 매탄동 ***-**,,2026-01-13 17:19:37,,203996.67005261,418726.914886332
히얼퍼피,20230714,말소,,0,15884,"경기도 군포시 송부로**번길 *-**, ***호 (도마교동)",경기도 군포시 도마교동 ***-*,,2026-04-21 03:03:03,,192520.227474924,423716.091707873
도담캣,20191120,말소,,0,15011,"경기도 시흥시 서울대학로***번길 **, 시흥배곧 아브뉴프랑 센트럴 오렌지 ***호 (정왕동)",경기도 시흥시 정왕동 ****-** 시흥배곧 아브뉴프랑 센트럴 오렌지,15119,2026-03-10 21:36:16,,175820.421330517,429682.135298707
아담스펫강아지&가필드고양이,20190624,말소,,0,16471,"경기도 수원시 팔달구 중부대로 **, ***동 ***호 (인계동)",경기도 수원시 팔달구 인계동 **** ***동 ***호,,2026-01-13 17:19:37,,202186.261920848,419332.96613575
(주)유일컴퍼니 몬스터펫샵,20180424,말소,,0,12139,경기도 남양주시 진건읍 양진로 ***-**,경기도 남양주시 진건읍 진관리 **-*,,2026-01-13 17:17:35,,215138.759702487,461172.765244674
다정한 고양이,20220127,말소,,0,16507,"경기도 수원시 영통구 센트럴타운로 ***, *층 **호 (이의동, 광교푸르지오 월드마크, 월드스퀘어)","경기도 수원시 영통구 이의동 **** 광교푸르지오 월드마크,  월드스퀘어",16508,2026-01-13 17:19:37,,204219.521658448,421105.173167299
빅토리펫,20090817,말소,,0,11773,경기도 의정부시 부용로***번길 ** (신곡동),,,2026-01-13 17:25:34,,206840.370185495,471904.572179469
키우시개,20170719,말소,031-679-0322,0,17006,"경기도 용인시 기흥구 동백*로 **, 가동 지하*층 B***호 (중동, 쥬네브문월드빌딩)",경기도 용인시 기흥구 중동 *** 가동 B***호,,2026-03-26 22:51:35,,213356.807704504,419341.204287297
미인개,20131120,말소,031-352-0208,0,18598,경기도 화성시 만세구 향남읍 행정서로*길 **,경기도 화성시 만세구 향남읍 행정리 ***-* 다영빌딩 ***호,,2026-02-01 10:34:17,,192347.81,402806.774999999
아쿠아오리지널 롯데마트장암점,20121107,말소,031-711-7785,,,경기도 의정부시 장곡로 *** (장암동),경기도 의정부시 장암동 **-**,,2026-05-07 03:03:03,,204630.543411273,469034.163890834
러브펫멀티펫샵 삼송점,20141030,말소,,0,10595,경기도 고양시 덕양구 동송로 ** (동산동),경기도 고양시 덕양구 동산동 ***,,2026-01-13 17:14:06,,191035.945157622,460676.700429775
스타펫 강아지,20180823,말소,,0,17854,"경기도 평택시 비전*로 ***, *층 ***호 (비전동)",경기도 평택시 비전동 ****,,2026-01-13 17:27:05,,209976.860322504,388853.815140368
펫사랑일산점,20141219,말소,,0,10401,"경기도 고양시 일산동구 중앙로****번길 **, *층 (장항동, 홈플러스일산점)",경기도 고양시 일산동구 장항동 ***,10397,2026-01-13 17:14:06,,179536.212704008,461876.531597015
페츠하임,20150817,말소,1644-6645,0,10406,경기도 고양시 일산동구 일산로 *** (정발산동),경기도 고양시 일산동구 정발산동 ****,,2026-01-13 17:14:06,,180730.602293494,462893.271139664
DOG WAL,20150916,말소,,0,10476,경기도 고양시 덕양구 은빛로**번길 ** (화정동),경기도 고양시 덕양구 화정동 ***,,2026-01-13 17:14:06,,184959.294579227,459827.474524385
데려가시개,20151118,말소,,0,10403,"경기도 고양시 일산동구 중앙로 **** (장항동, 동양메이저빌오피스텔)",경기도 고양시 일산동구 장항동 *** 동양메이저 오피스텔 ***호,10397,2026-01-13 17:14:06,,180064.545989764,461521.765221184
야옹이발바닥,20151222,말소,031-902-0520,0,10424,경기도 고양시 일산동구 강촌로**번길 *-* (백석동),경기도 고양시 일산동구 백석동 ****-*,,2026-01-13 17:14:06,,180483.679756625,460467.933356857
가림사료,20160404,말소,,0,10262,경기도 고양시 덕양구 통일로 *** (관산동),,,2026-01-13 17:14:06,,189978.096168564,464007.597052369
동탄강아지분양 도그데이,20240108,말소,,0,18497,"경기도 화성시 동탄구 동탄대로 ***, A동 ***호 (송동, 동탄린스트라우스더레이크)",경기도 화성시 동탄구 송동 *** 동탄린스트라우스더레이크,,2026-03-04 21:32:50,,209253.387443815,407725.114639407
도그워시,20170420,말소,,,10401,"경기도 고양시 일산동구 무궁화로 **-**, ***호 (장항동, 라페스타E)",경기도 고양시 일산동구 장항동 *** 라페스타E ***호,10397,2026-01-13 17:14:06,,179444.375045271,462243.31266478
골드펫&골드이어,20170728,말소,,,10497,"경기도 고양시 덕양구 화중로***번길 ** (화정동, 화정씨네마플러스)",경기도 고양시 덕양구 화정동 ***-*,,2026-01-13 17:14:06,,185206.294104618,459287.006835814
