sigun_nm,medchek_inst_nm,medchek_inst_detail_telno_dtls,medchek_rom_detail_telno_dtls,medchek_rom_detail_faxno_dtls,refine_road_nm_addr,refine_lotno_addr,refine_zipno,genrl_medchek_div_nm,orcvt_medchek_div_nm,infant_medchek_div_nm,stcan_medchek_div_nm,cocan_medchek_div_nm,cvccan_medchek_div_nm,brstcan_medchek_div_nm,lican_medchek_div_nm,refine_wgs84_lat,refine_wgs84_logt
가평군,이편한치과의원,031-581-5421,031-581-5421,031-581-5429,경기도 가평군 가평읍 석봉로 192,경기도 가평군 가평읍 읍내리 617-6번지 3층,12413,없음,내원,없음,없음,없음,없음,없음,없음,37.8322129613,127.5103185664
가평군,임내과의원,031-581-0675,031-581-0675,031-582-7668,경기도 가평군 가평읍 연인1길 1,경기도 가평군 가평읍 읍내리 476-7번지 2층,12418,내원,없음,없음,내원,내원,내원,내원,내원,37.829355447,127.5136817902
가평군,제일부부치과의원,031-585-6200,031-585-6200,031-585-6201,경기도 가평군 청평면 청평중앙로 53,경기도 가평군 청평면 청평리 465-29번지,12452,없음,내원+출장,없음,없음,없음,없음,없음,없음,37.7382594885,127.4201325643
가평군,천병철내과의원,031-582-0075,031-582-0075,031-582-5823,경기도 가평군 가평읍 장터3길 10,경기도 가평군 가평읍 읍내리 407-4번지 가평메디컬센터 5층,12419,내원,없음,없음,내원,내원,없음,없음,내원,37.8303918387,127.514693355
가평군,푸른치과의원,031-584-2872,031-584-2872,031-585-2772,경기도 가평군 조종면 현창로 26,경기도 가평군 조종면 현리 410-44번지,12438,없음,내원,없음,없음,없음,없음,없음,없음,37.8171729449,127.3491164431
가평군,한림의원,031-581-8275,031-581-8275,031-581-4973,경기도 가평군 가평읍 석봉로 218,경기도 가평군 가평읍 읍내리 635번지,12413,내원,없음,없음,내원,없음,없음,없음,내원,37.8343671671,127.5095915477
가평군,현리명치과의원,031-584-2870,031-584-2870,031-584-2845,경기도 가평군 조종면 조종새싹로 2,경기도 가평군 조종면 현리 272-3번지,12437,없음,내원,없음,없음,없음,없음,없음,없음,37.8191458028,127.3483170865
가평군,홍인의원,031-585-8275,031-585-8279,031-585-8278,경기도 가평군 청평면 청평중앙로 37-2,경기도 가평군 청평면 청평리 470-31번지,12452,내원,없음,없음,내원,내원,내원,내원,내원,37.7375825843,127.4188053951
고양시,365서울소아청소년과의원,031-975-5056,031-979-5056,031-979-5057,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982번지 롯데마트,10500,없음,없음,내원,없음,없음,없음,없음,없음,37.6329529662,126.8311167607
고양시,365열린메디컬의원,031-811-8900,031-811-8900,031-811-8901,경기도 고양시 덕양구 중앙로 612,"경기도 고양시 덕양구 화정동 1148-6번지 3층,4층",10503,내원,없음,내원,없음,없음,없음,없음,없음,37.6269836307,126.8306716291
고양시,365열린치과의원,031-971-0365,031-971-0365,031-972-0365,경기도 고양시 덕양구 화신로 263,경기도 고양시 덕양구 화정동 1000번지 브릿지타워 11층 1101~1105호,10503,없음,내원,없음,없음,없음,없음,없음,없음,37.63045253,126.832045815
고양시,365자주치과의원,031-814-0365,031-814-0365,031-814-1365,경기도 고양시 일산동구 정발산로 43-20,"경기도 고양시 일산동구 장항동 846번지 센트럴프라자 601, 603호",10402,없음,내원,없음,없음,없음,없음,없음,없음,37.6583803846,126.7733747675
고양시,가좌엘리트치과의원,031-925-1117,031-925-1117,031-925-1179,경기도 고양시 일산서구 가좌1로 8,경기도 고양시 일산서구 가좌동 1087번지 벽산블루밍5단지 3층 302호,10211,없음,내원,없음,없음,없음,없음,없음,없음,37.6908516786,126.721995587
고양시,가좌연합치과의원,921-7200,031-921-7200,031-921-7228,경기도 고양시 일산서구 가좌1로 53,경기도 고양시 일산서구 가좌동 405-10번지 V샤르망빌딩 202호,10209,없음,내원,없음,없음,없음,없음,없음,없음,37.6874964211,126.7189116885
고양시,가좌요요치과의원,918-2875,031-918-2875,031-918-5400,경기도 고양시 일산서구 송산로 394,경기도 고양시 일산서구 가좌동 344-6번지 비전빌딩 4층,10214,없음,내원,없음,없음,없음,없음,없음,없음,37.6850695876,126.7226570766
고양시,가좌우리의원,031-921-3215,031-921-3215,031-925-2544,경기도 고양시 일산서구 가좌3로 29,경기도 고양시 일산서구 가좌동 405-6번지 1층,10209,없음,없음,내원,없음,없음,없음,없음,없음,37.6873534222,126.7190946542
고양시,강선치과의원,031-914-6934,031-903-7522,031-914-6939,경기도 고양시 일산서구 중앙로 1426,경기도 고양시 일산서구 주엽동 66-1번지 일송노브레스 705호,10386,없음,내원,없음,없음,없음,없음,없음,없음,37.670269954,126.7619424818
고양시,강의원,031-919-2568,031-919-2568,031-918-2569,경기도 고양시 일산동구 중앙로1275번길 38-10,경기도 고양시 일산동구 장항동 771-1번지 우림로데오스위트 209호,10401,없음,없음,내원,없음,없음,없음,없음,없음,37.6599427061,126.7709446565
고양시,강혜승산부인과의원,031-972-2255,031-972-2255,031-972-2254,경기도 고양시 덕양구 화신로260번길 57,"경기도 고양시 덕양구 화정동 973번지 요진타워 307,308호",10500,없음,없음,없음,없음,없음,내원,없음,없음,37.6336291576,126.8327427261
고양시,건강유내과의원,031-973-7788,031-973-7788,031-973-7789,경기도 고양시 덕양구 행신로 276,경기도 고양시 덕양구 행신동 1075번지 명일프라자 301호,10486,내원,없음,없음,내원,내원,내원,내원,내원,37.6195293044,126.8450726602
고양시,고른이치과의원,031-912-7528,031-912-7528,031-918-7528,경기도 고양시 일산서구 산현로 15,경기도 고양시 일산서구 탄현동 1577-4번지 무광프라자 3층,10343,없음,내원,없음,없음,없음,없음,없음,없음,37.6896021362,126.7632026979
고양시,고양메디컬의원,031-819-7500,031-819-7500,031-819-7502,경기도 고양시 일산동구 고봉로 795,경기도 고양시 일산동구 설문동 703번지 2층,10245,내원,없음,없음,없음,없음,없음,없음,없음,37.7259313027,126.7951607207
고양시,고양우리치과의원,031-969-2804,031-969-2804,031-969-2805,,"경기도 고양시 덕양구 고양동 197번지 삼성아파트 상가동 103동 204,205호",10275,없음,내원,없음,없음,없음,없음,없음,없음,37.7028265926,126.9021271361
고양시,고은이치과의원,031-932-5575,031-932-5575,031-932-5576,경기도 고양시 일산동구 일산로 238,경기도 고양시 일산동구 마두동 723-1번지 대일 상가 301호,10417,없음,내원,없음,없음,없음,없음,없음,없음,37.6575091706,126.788665691
고양시,곽성연치과의원,031-964-2875,031-964-2875,031-962-1237,경기도 고양시 덕양구 혜음로 29-1,경기도 고양시 덕양구 고양동 225-1번지 3층,10275,없음,내원,없음,없음,없음,없음,없음,없음,37.7032033493,126.9017724415
고양시,국립암센터,031-920-0114,031-920-1313,031-920-2606,경기도 고양시 일산동구 일산로 323,경기도 고양시 일산동구 마두동 809번지,10408,내원,내원,없음,내원,내원,내원,내원,내원,37.6632367324,126.783395561
고양시,국민건강보험공단일산병원,1577-0013,031-1577-8013,0303-3448-7143,경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232번지 백석1동 1241외1필지 4층,10444,내원,내원,내원,내원,내원,내원,내원,내원,37.6454752678,126.7929631952
고양시,굿모닝내과의원,031-965-7800,031-965-7800,031-965-7809,경기도 고양시 덕양구 호국로 803,"경기도 고양시 덕양구 주교동 620-5번지 동세청자아,상가 206호",10462,내원,없음,없음,내원,내원,내원,내원,내원,37.6578182567,126.83708385
고양시,굿모닝소아청소년과의원,031-973-6002,031-973-6002,031-972-6022,경기도 고양시 덕양구 충장로 134,"경기도 고양시 덕양구 행신동 943-1번지 아이프라자 208,209호",10495,없음,없음,내원,없음,없음,없음,없음,없음,37.6243759676,126.8349558866
고양시,굿센치과의원,031-977-9379,031-977-9379,031-977-9376,경기도 고양시 일산동구 고봉로278번길 22,경기도 고양시 일산동구 중산동 1667-4번지 일산프라자 501~504호,10338,없음,내원,없음,없음,없음,없음,없음,없음,37.6830731913,126.7786910452
고양시,권형건치과의원,031-965-2875,031-965-2875,031-966-2618,경기도 고양시 덕양구 호국로790번길 17,경기도 고양시 덕양구 성사동 697-14번지 영프라자 405호,10463,없음,내원,없음,없음,없음,없음,없음,없음,37.6562959816,126.8372561024
고양시,그레이스병원,031-901-4000,031-901-4000,031-907-1717,경기도 고양시 일산동구 중앙로 1073,"경기도 고양시 일산동구 백석동 1334번지 (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층)",10447,내원,없음,내원,내원,내원,내원,내원,내원,37.6447608487,126.785092015
고양시,기쁜하루치과의원,031-908-2875,031-908-2875,031-908-2868,경기도 고양시 일산동구 중앙로 1059,경기도 고양시 일산동구 백석동 1332번지 ISD빌딩 2층 일부호,10447,없음,내원,없음,없음,없음,없음,없음,없음,37.6439291153,126.7861654817
고양시,김내과의원,031-904-3159,031-904-3159,031-907-0670,경기도 고양시 일산동구 일산로 214,경기도 고양시 일산동구 마두동 728번지 화성프라자 2층,10417,내원,없음,없음,내원,내원,내원,내원,내원,37.6554883414,126.7898526626
고양시,김상철치과의원,031-972-0479,031-972-0479,031-970-2879,경기도 고양시 덕양구 용현로 27,경기도 고양시 덕양구 행신동 757-2번지 행신프라자 204호,10526,없음,내원,없음,없음,없음,없음,없음,없음,37.6152222055,126.8356266199
고양시,김소은내과의원,031-926-3560,031-926-3560,031-926-3561,경기도 고양시 덕양구 충장로 140,"경기도 고양시 덕양구 행신동 943번지 3층 302,303호",10495,내원,없음,없음,내원,내원,없음,없음,내원,37.6247378871,126.8352019698
고양시,김앤유내과의원,02-381-3551,02-381-3551,02-381-4551,경기도 고양시 덕양구 권율대로 900,경기도 고양시 덕양구 신원동 628번지 S프라자 3층,10571,내원,없음,없음,내원,내원,내원,내원,내원,37.6634617379,126.8907874583
고양시,김용중치과의원,031-911-2211,031-911-2211,031-911-2268,경기도 고양시 일산서구 일현로 128,"경기도 고양시 일산서구 탄현동 1476번지 동성상가 206,205-1호",10240,없음,내원,없음,없음,없음,없음,없음,없음,37.699427687,126.7677336028
고양시,김은실한재희소아과의원,031-979-2237,031-979-2237,031-979-2238,경기도 고양시 덕양구 충장로152번길 47,경기도 고양시 덕양구 행신동 937번지 햇빛마을20단지 상가,10494,없음,없음,내원,없음,없음,없음,없음,없음,37.6246460413,126.8381038198
고양시,김충배치과의원,031-911-2811,031-911-2811,031-911-2813,,"경기도 고양시 일산서구 주엽동 81번지 강선마을13단지아파트 3층 40,41호",10366,없음,내원,없음,없음,없음,없음,없음,없음,37.6661974836,126.7665181825
고양시,김태우치과교정과치과의원,02-371-2275,02-371-2275,02-371-2276,경기도 고양시 덕양구 지축로 78,경기도 고양시 덕양구 지축동 1005-6번지 펜타필타워 406호~408호,10585,없음,내원,없음,없음,없음,없음,없음,없음,37.6489814017,126.9165475473
고양시,김혜숙산부인과의원,031-915-9243,031-915-9243,031-915-3746,경기도 고양시 일산서구 강선로 49,"경기도 고양시 일산서구 주엽동 102번지 일산비스타오피스텔 208호,209호",10386,없음,없음,없음,없음,없음,내원,없음,없음,37.6687556041,126.7633634925
고양시,나눔가정의학과의원,031-938-9962,031-938-9962,031-938-9963,경기도 고양시 덕양구 행신로143번길 72-1,경기도 고양시 덕양구 행신동 634-35번지,10513,내원,없음,내원,내원,없음,내원,없음,내원,37.6226521073,126.8313563838
고양시,나무치과의원,02-371-2080,02-371-2080,02-371-2804,경기도 고양시 덕양구 신원로 40,경기도 고양시 덕양구 신원동 621번지 삼송시티프라자 302호,10568,없음,내원,없음,없음,없음,없음,없음,없음,37.6639637399,126.8885157231
고양시,내유가정의학과의원,031-964-5033,031-964-5033,031-964-5033,경기도 고양시 덕양구 유산길 35,경기도 고양시 덕양구 내유동 659-1번지,10263,없음,없음,내원,없음,없음,없음,없음,없음,37.7267514901,126.8467962816
고양시,내유하나의원,031-967-9910,031-967-9910,031-967-9920,경기도 고양시 덕양구 통일로 1060-4,경기도 고양시 덕양구 관산동 672-78번지 청담프라자 401호,10264,없음,없음,내원,없음,없음,없음,없음,없음,37.7092612559,126.8541312449
고양시,노승현내과의원,031-924-0875,031-924-3371,031-924-0874,경기도 고양시 일산서구 중앙로 1413,경기도 고양시 일산서구 주엽동 106-3번지 동영빌딩,10386,내원,없음,없음,내원,없음,없음,없음,내원,37.6690404672,126.7627937339
고양시,뉴욕모아치과의원,031-970-2875,031-970-2875,031-970-2873,경기도 고양시 덕양구 무원로 65,경기도 고양시 덕양구 행신동 692번지 무원마을10단지 서광상가 301호,10521,없음,내원,없음,없음,없음,없음,없음,없음,37.6187807455,126.8321275884
고양시,뉴욕윤치과의원,031-962-7533,031-962-7533,031-962-7577,경기도 고양시 덕양구 화정로 65-1,경기도 고양시 덕양구 화정동 966-3번지 우리프라자 304호,10497,없음,내원,없음,없음,없음,없음,없음,없음,37.6353802132,126.8331804188
고양시,뉴욕탑치과의원,031-915-0101,031-915-0101,031-915-0103,경기도 고양시 일산서구 중앙로 1437,"경기도 고양시 일산서구 주엽동 109번지 화성프라자 306,307호",10387,없음,내원,없음,없음,없음,없음,없음,없음,37.6700536432,126.7605045697
고양시,늘미소소아청소년과의원,031-908-7850,031-908-7850,031-908-7849,경기도 고양시 일산동구 숲속마을로 40,경기도 고양시 일산동구 풍동 1279-1번지 유진프라자 3층,10306,없음,없음,내원,없음,없음,없음,없음,없음,37.6673855368,126.7988442332
고양시,능곡명치과의원,031-970-2828,031-970-2828,031-970-2829,경기도 고양시 덕양구 토당로 115,"경기도 고양시 덕양구 토당동 282-23번지 금호프라자 224,225,226호",10506,없음,내원,없음,없음,없음,없음,없음,없음,37.6254989841,126.8169615534
고양시,능곡의원,031-972-1112,031-972-1112,031-972-5700,경기도 고양시 덕양구 지도로 105,경기도 고양시 덕양구 토당동 840-3번지,10507,내원,없음,없음,없음,없음,내원,없음,내원,37.6264826766,126.8234346989
고양시,능곡치과의원,031-971-2233,031-971-2233,031-971-2211,경기도 고양시 덕양구 지도로 100,경기도 고양시 덕양구 토당동 845번지 능곡파워프라자 302호,10511,없음,내원,없음,없음,없음,없음,없음,없음,37.6260897485,126.8240728731
고양시,다라플란트치과의원,031-8042-2275,031-8042-2275,031-8042-2274,경기도 고양시 덕양구 화신로260번길 58,경기도 고양시 덕양구 화정동 975-2번지 비전프라자 202호,10500,없음,내원,없음,없음,없음,없음,없음,없음,37.6332988215,126.8333010199
고양시,다섯가지약속치과의원,031-963-2080,031-963-2080,031-963-2081,경기도 고양시 덕양구 화중로104번길 30,경기도 고양시 덕양구 화정동 966번지 한성리츠빌 203~204호,10497,없음,내원,없음,없음,없음,없음,없음,없음,37.6360204456,126.8332313666
고양시,다인치과의원,031-976-2875,031-976-2875,031-976-2872,경기도 고양시 일산서구 고봉로 291,"경기도 고양시 일산서구 일산동 555-1번지 309,310호(에이스스타디움)",10340,없음,내원+출장,없음,없음,없음,없음,없음,없음,37.6852992365,126.7771837715
고양시,닥터리치과교정과치과의원,031-567-2828,031-973-2829,031-973-2830,경기도 고양시 덕양구 화신로272번길 58,경기도 고양시 덕양구 화정동 972번지 영프라자빌딩 5층 514호,10500,없음,내원,없음,없음,없음,없음,없음,없음,37.6336616181,126.8321077585
고양시,닥터임치과의원,02-371-2875,02-371-2875,02-371-2874,경기도 고양시 덕양구 지축로 62,경기도 고양시 덕양구 지축동 1005-1번지 아인시티 506호,10585,없음,내원,없음,없음,없음,없음,없음,없음,37.6495325709,126.9150015419
고양시,닥터조치과의원,031-811-2828,031-811-2828,031-811-2853,경기도 고양시 덕양구 호국로790번길 6,경기도 고양시 덕양구 성사동 698-1번지 2층 일부호,10464,없음,내원,없음,없음,없음,없음,없음,없음,37.6563098012,126.8365077397
고양시,대연치과의원,031-904-1751,031-904-1751,031-905-5041,경기도 고양시 일산동구 강송로 179,경기도 고양시 일산동구 마두동 792-2번지 신일산크리닉 3층,10415,없음,내원,없음,없음,없음,없음,없음,없음,37.6543485406,126.7832089112
고양시,대화뿌리사랑치과의원,918-2223,031-918-2223,031-918-0265,경기도 고양시 일산서구 중앙로 1574,"경기도 고양시 일산서구 대화동 2205-1번지 월드프라자 403,404호",10381,없음,내원,없음,없음,없음,없음,없음,없음,37.6765777097,126.7474441792
고양시,대화사과나무치과의원,031-903-2879,031-903-2879,031-903-2878,경기도 고양시 일산서구 중앙로 1573,경기도 고양시 일산서구 대화동 2220-1번지 킨텍스프라자 7층,10381,없음,내원,없음,없음,없음,없음,없음,없음,37.6759530164,126.7470082329
고양시,더고운치과의원,031-925-2804,031-925-2804,031-925-2884,경기도 고양시 일산서구 중앙로 1422,경기도 고양시 일산서구 주엽동 71번지 2층,10386,없음,내원,없음,없음,없음,없음,없음,없음,37.670038533,126.7624096732
고양시,더나은내과의원,031-938-5392,031-938-5392,031-938-5394,경기도 고양시 덕양구 백양로 51,경기도 고양시 덕양구 화정동 1000-3번지 네이버타운 604호,10503,내원,없음,없음,내원,내원,내원,내원,내원,37.630306106,126.833248425
고양시,더데이치과의원,031-994-2898,031-994-2898,031-994-2825,경기도 고양시 일산동구 중앙로 1205,경기도 고양시 일산동구 장항동 889번지 차움라이프센터 3층 일부-301호,10414,없음,내원,없음,없음,없음,없음,없음,없음,37.6541226556,126.7757402631
고양시,더바른소아청소년과의원,031-994-2374,031-994-2374,031-688-0564,경기도 고양시 일산동구 고양대로1021번길 33,경기도 고양시 일산동구 식사동 1587번지 스타타워Ⅲ 201호,10324,없음,없음,내원,없음,없음,없음,없음,없음,37.6739647363,126.807922072
고양시,더바른치과의원,031-904-2752,031-904-2752,031-904-2753,경기도 고양시 일산동구 일산로 197,경기도 고양시 일산동구 마두동 736-1번지 센터21 3002호,10416,없음,내원,없음,없음,없음,없음,없음,없음,37.6539744065,126.7899010911
고양시,더조은내과의원,031-905-8575,031-905-8575,031-903-8575,경기도 고양시 일산동구 숲속마을로 26,경기도 고양시 일산동구 풍동 1278번지 풍동프라자 3층,10305,내원,없음,없음,내원,내원,없음,없음,내원,37.6673408186,126.8004207226
고양시,덕은아이소아청소년과의원,02-3158-0501,02-3158-0501,02-3158-0502,경기도 고양시 덕양구 으뜸로 130,"경기도 고양시 덕양구 덕은동 위프라임트윈타워 3층 347,348,349호",10544,없음,없음,내원,없음,없음,없음,없음,없음,37.5794418421,126.8706567665
고양시,도래울성모내과의원,031-994-7512,031-994-7512,031-994-7513,경기도 고양시 덕양구 도래울로 104,"경기도 고양시 덕양구 도내동 964번지 KB골든타워 305호,306호",10551,내원,없음,없음,내원,내원,내원,내원,내원,37.6344305485,126.872006662
고양시,도래울아이랑소아청소년과의원,031-966-2220,031-966-2220,031-966-2252,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지 센터프라자 3층 301호,10551,없음,없음,내원,없음,없음,없음,없음,없음,37.6303700879,126.8694795633
고양시,동국대학교일산불교병원,031-1577-7000,031-961-7955,031-961-7959,경기도 고양시 일산동구 동국로 27,경기도 고양시 일산동구 식사동 814번지 동국대학교일산병원,10326,내원,내원,없음,내원,내원,내원,내원,내원,37.6764385211,126.805563051
고양시,동그라미치과의원,031-972-2875,031-972-2875,031-972-2802,경기도 고양시 덕양구 화신로260번길 51,경기도 고양시 덕양구 화정동 978번지 301호~303호,10500,없음,내원,없음,없음,없음,없음,없음,없음,37.6330516943,126.8326345554
고양시,동부치과의원,031-919-3606,031-919-3606,031-919-3609,경기도 고양시 일산서구 중앙로 1470,경기도 고양시 일산서구 주엽동 17번지 동부썬프라자 A동 226~228호,10379,없음,내원,없음,없음,없음,없음,없음,없음,37.6722957977,126.7572959612
고양시,동산연세소아청소년과의원,02-381-7534,02-381-7534,02-381-7535,경기도 고양시 덕양구 동산2로 1,경기도 고양시 덕양구 동산동 352번지 현대프라자 203호,10598,없음,없음,내원,없음,없음,없음,없음,없음,37.6448432921,126.8861560776
고양시,동원요양병원,031-850-7000,031-850-7000,031-850-7007,경기도 고양시 일산동구 일산로 439,경기도 고양시 일산동구 정발산동 1204-1번지 지하1~2층 지상2~5층호,10359,내원,없음,없음,내원,내원,내원,내원,내원,37.6729561796,126.7780065682
고양시,두레치과의원,031-905-6131,031-905-6131,031-905-6163,경기도 고양시 일산동구 중앙로 1123,경기도 고양시 일산동구 백석동 1351번지 흰돌마을 청구코아 212~214호,10421,없음,내원,없음,없음,없음,없음,없음,없음,37.6466265455,126.7821155765
고양시,두리소아과의원,031-932-8222,031-932-8222,031-932-8223,경기도 고양시 일산동구 강촌로 157,경기도 고양시 일산동구 마두동 731번지 서울코아 305호,10417,없음,없음,내원,없음,없음,없음,없음,없음,37.653683464,126.7909808331
고양시,두리치과의원,031-966-1124,031-966-1124,031-967-7473,경기도 고양시 덕양구 호국로 798,경기도 고양시 덕양구 성사동 696번지 삼성홈타워,10463,없음,내원,없음,없음,없음,없음,없음,없음,37.657052358,126.8371246711
고양시,든든한병원,031-930-6800,031-930-6846,031-930-6891,경기도 고양시 일산서구 하이파크2로 60,경기도 고양시 일산서구 덕이동 1551번지 든든한빌딩 3~11층,10234,내원,없음,없음,내원,내원,내원,내원,내원,37.6990741604,126.7558945375
고양시,든든한치과의원,916-2804,031-916-2804,031-913-2212,경기도 고양시 일산서구 하이파크2로 60,경기도 고양시 일산서구 덕이동 1551번지 든든한빌딩 2층,10234,없음,내원,없음,없음,없음,없음,없음,없음,37.6990741604,126.7558945375
고양시,디오서울치과의원,031-922-8575,031-922-8575,031-922-8580,경기도 고양시 일산서구 산현로 7,경기도 고양시 일산서구 탄현동 1577-1번지 풍성프라자 305동 307호,10343,없음,내원,없음,없음,없음,없음,없음,없음,37.6894445259,126.7625010554
고양시,라온산부인과의원,02-371-1471,02-371-1471,02-371-1473,경기도 고양시 덕양구 동송로 61,경기도 고양시 덕양구 삼송동 128-318번지 서연프라자 301호,10590,없음,없음,없음,없음,없음,내원,없음,없음,37.652012205,126.8955289095
고양시,라인의원,031-974-9700,031-974-9700,031-974-9703,경기도 고양시 덕양구 중앙로 639,경기도 고양시 덕양구 토당동 899-6번지,10511,없음,없음,없음,없음,없음,내원,없음,없음,37.6273531413,126.8274951978
고양시,라파엘치과의원,031-912-2275,031-912-2275,031-912-2273,경기도 고양시 일산서구 중앙로 1413,경기도 고양시 일산서구 주엽동 106-3번지 동영빌딩 401호,10386,없음,내원,없음,없음,없음,없음,없음,없음,37.6690404672,126.7627937339
고양시,라페치과의원,031-902-2200,031-902-2200,031-902-8866,경기도 고양시 일산동구 중앙로1275번길 38-5,"경기도 고양시 일산동구 장항동 770-2번지 이레21빌딩 2층 202호, 204호",10401,없음,내원,없음,없음,없음,없음,없음,없음,37.6594794839,126.7703709787
고양시,랑스마일치과의원,031-969-2879,031-969-2879,031-969-2842,경기도 고양시 덕양구 의장로 144,"경기도 고양시 덕양구 도내동 959번지 테마타워 202, 203호",10551,없음,내원,없음,없음,없음,없음,없음,없음,37.6354138155,126.870468322
고양시,레이킨소아청소년과의원,031-921-5275,031-921-5275,031-922-5275,경기도 고양시 일산서구 호수로 817,"경기도 고양시 일산서구 대화동 2602번지 2층 250, 251호",10391,없음,없음,내원,없음,없음,없음,없음,없음,37.6679786706,126.7516242854
고양시,로덴하나치과의원,031-978-7528,031-978-7528,031-978-7526,경기도 고양시 덕양구 화신로260번길 57,경기도 고양시 덕양구 화정동 973번지 요진타워빌딩 3층,10500,없음,내원,없음,없음,없음,없음,없음,없음,37.6336291576,126.8327427261
