fastvl_nm,opnmt_plc,fastvl_bgng_ymd,fastvl_end_ymd,fastvl_cont,sprvsn_inst_nm,host_inst_nm,suprt_inst_nm,sprvsn_inst_telno,hmpg_addr,relate_info,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd
2023 안양춤축제 ANYANG DANCE FESTIVAL,평촌중앙공원+삼덕공원,20230920,20230924,시민공연마당 + 전시체험부스 + 개폐막 작품 + 가수 축하공연 + 댄스대회 + 안양시민의날 기념식 + 시민커뮤니티댄스 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2024 안양춤축제 ANYANG DANCE FESTIVAL,평촌중앙공원+삼덕공원,20240927,20240929,시민공연마당 + 전시체험부스 + 개폐막 작품 + 가수 축하공연 + 댄스대회 + 안양시민의날 기념식 + 시민커뮤니티댄스 등,(재)안양문화예술재단,경기도 안양시+안양춤축제추진위원회,,031-687-0500,http://www.ayac.or.kr / www.aydf.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2016 광복기념음악회,병목안시민공원,20160815,20160815,안양필하모닉 오케스트라연주+ 트럼펫연주곡+ 안양시립합창단 공연등,(재)안양문화예술재단,(재)안양문화예술재단,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,20260227
2025 구리 코스모스 축제,구리한강 시민공원,20250926,20250928,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,https://www.guri.go.kr/cosmos/index.do,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
하남뮤직페스티벌,하남종합운동장,20260417,20260418,"시민합창단, 오케스트라, 대중가수 공연 등",경기도 하남시,하남문화재단,IBK기업은행,031-790-7979,,,경기도 하남시 아리수로 600,경기도 하남시 망월동 200번지,37.5666220041,127.1960421939,20260223
하남이성산성문화축제,하남이성산성,20260919,20260920,"이성산성 퍼포먼스, 역사해설프로그램, 이성산성 주제 음식경연 등",경기도 하남시,하남문화재단,,031-790-7979,,,,경기도 하남시 춘궁동 291-1,37.5237340215,127.186864849,20260223
우리가족 꼬마영웅 올림픽,탄천종합운동장,20261101,20261130,어린이 미니올림픽,성남시국공립어린이집연합회,경기도 성남시,,031-729-2932,,,경기도 성남시 분당구 탄천로 215,경기도 성남시 분당구 야탑동 486,37.411795,127.120514,20260209
2026년 판교마당바위 해맞이축제,판교공원  마당바위,20260101,20260101,해맞이 행사+가래떡 나눔 행사 등,판교 마당바위 해맞이축제위원회,경기도 성남시,,031-729-7882,,,경기도 성남시 분당구 판교공원로4길 27,경기도 성남시 분당구 삼평동 산44-2,37.392024,127.090547,20260209
제20회 수진공원 벌터산한마당축제,수진공원,20260401,20260430,작품발표회 및 전시+공연+체험부스 등,벌터산축제추진위원회,경기도 성남시,,031-729-5762,,,,경기도 성남시 수정구 수진동 산41-3,37.435953,127.125396,20260209
지구촌 어울림 축제,성남시청광장,20260510,20260510,세계인의 날 기념식+식전·식후공연+나라별 문화·음식 및 체험부스 등,경기도 성남시 여성가족과+성남시가족센터,경기도 성남시,,031-729-3072,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
식품안전의 날 행사,성남시청,20260514,20260514,기념식+특별관+식품관 운영,경기도 성남시 식품안전의 날 행사추진위원회,경기도 성남시,,031-729-3122,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
2026 파크콘서트,중앙공원 야외공연장,20260901,20260930,기간 중 공연 3회 예정 / 1일 1회,성남문화재단 공연기획부,경기도 성남시,,031-729-2973,,,경기도 성남시 분당구 성남대로 550,경기도 성남시 분당구 수내동 65,37.380307,127.121175,20260209
제5회 정자동 놀터축제 및 작품발표회,정자동 봉우재어린이공원 일대,20261001,20261031,공연+체험부스+전시 등,경기도 성남시 분당구 정자동 주민자치위원회,경기도 성남시,,031-729-7682,,,경기도 성남시 분당구 정자동 내정로7번길 18,경기도 성남시 분당구 정자동 145,37.360862,127.112755,20260209
2026 모두모여모란,모란 민속 5일장,20261001,20261031,의식행사+무대 공연 및 유관기관 참여,경기도 성남시 지역경제상권과,경기도 성남시,,031-729-8973,,,경기도 성남시 중원구 성남동 둔촌대로 68,경기도 성남시 중원구 성남동 4931,37.429339,127.12666,20260209
튼튼쑥쑥 걷기대회,율동공원,20261001,20261031,어린이 걷기대회,성남시민간어린이집연합회,경기도 성남시,,031-729-2932,,,경기도 성남시 분당구 문정로 72,경기도 성남시 분당구 율동 산91-12,37.376552,127.152416,20260209
반려동물 문화행사(페스티벌),성남시청 광장,20261024,20261024,행동학 강의+포토존+유기견 입양 홍보 등,경기도 성남시 농업기술센터,경기도 성남시,,031-729-3287,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
2025 구리 빛 축제,장자호수공원,20251018,20251231,빛 축제,경기도 구리시청,경기도 구리시청,한국관광공사+경기관광공사,031-550-2485,https://www.guri.go.kr/lightfesta/index.do,,경기도 구리시 장자호수길 105,경기도 구리시 수택동 878,37.585128,127.141901,20260202
제20회 시흥갯골축제,시흥갯골생태공원,20260918,20260920,수도권 유일의 내만 갯골에서 자연과 함께 펼쳐지는 시민이 행복한 공연 및 체험 프로그램 등,경기도 시흥시,경기도 시흥시,,031-310-2919,www.instagram.com/sgfestival,,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,37.3897919258,126.7812507272,20260115
제3회 화성 루나 빛 축제,동탄호수공원,20261031,20261031,빛 콘텐츠 및 루나마켓+루나쇼+문화공연,화성시문화관광재단,경기도 화성시,,031-5189-3835,,,경기도 화성시 동탄구 동탄순환대로 69,경기도 화성시 동탄구 송동 727번지,37.16690281,127.1024336,20260401
제16회 화성시 가족사랑축제,동탄호수공원,20260509,20260509,공개방송+시민 참여 프로그램+체험 부스,화성시문화관광재단,경기도 화성시,,031-290-7678,https://www.hcf.or.kr,,경기도 화성시 동탄구 동탄순환대로 69,경기도 화성시 동탄구 송동 727번지,37.16690281,127.1024336,20260401
화성시 연등 음악 축제,정조효공원+용주사,20260516,20260516,연등행렬+연등음악회,화성시불교사암연합회,경기도 화성시,,031-5189-3038,,,경기도 화성시 병점구 장조1로 34,경기도 화성시 병점구 안녕동 228,37.20663988,126.9959699,20260401
제15회 화성 뱃놀이 축제,전곡항,20260522,20260525,해양레저 체험+야간공연,화성시문화관광재단,경기도 화성시,,031-5189-6136,http://hs-boatingfestival.com/,,경기도 화성시 만세구 서신면 전곡항로 21,경기도 화성시 만세구 서신면 전곡리 974번지,37.1867278,126.6524994,20260401
제3회 도농 어울림 축제,동탄여울공원,20260919,20260920,농업문화 체험+직거래 장터,화성시농업기술센터,경기도 화성시,,031-5189-6335,,,경기도 화성시 동탄구 동부대로 1063-3,경기도 화성시 동탄구 여울동 1060,37.19830282,127.0866204,20260401
정조효문화제 및 정조대왕능행차 공동재현,정조효공원+융건릉 일원,20261003,20261004,현륭원 천원 재현+을묘년 원행 재현+현륭원 제향,화성시문화관광재단,경기도 화성시,,031-5189-6654,http://www.정조효문화제.com/,,경기도 화성시 병점구 장조1로 34,경기도 화성시 병점구 안녕동 228,37.20663988,126.9959699,20260401
2025 화성 학생동아리 축제,동탄센트럴파크 일원,20261024,20261024,초중고 학생동아리 공연+전시 및 체험부스 운영,화성시 인재육성재단,경기도 화성시,,031-898-8440,http://www.hsscf.kr/,,경기도 화성시 동탄구 동탄지성로 121,경기도 화성시 동탄구 반송동 43-2,37.20875396,127.0618814,20260401
수원화성문화제,수원화성 일원,20261004,20261011,수원판타지 야조+정조대왕 능행차+시민의 위대한 건축 팔달+수원 가마레이스,경기도 수원시+수원화성문화제 추진위원회+수원문화재단,경기도 수원시,,031-228-3920,https://shfestival.com,,,경기도 수원시 팔달구 신풍동363-31,37.2821138,127.0154124,20260316
시흥갯골축제,시흥갯골생태공원,20260918,20260920,소금의기억+희망 종이비행기+갯골 버스킹+바람의 음악제+갯골 느린 우체국 등,경기도 시흥시,경기도 시흥시,,031-310-2919,,,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,37.38979099,126.7812554,20260316
안성맞춤 남사당바우덕이축제,안성맞춤랜드 및 안성천 일원,20261002,20261005,추모제+전야제+개장식+개폐막식,안성맞춤 남사당 바우덕이축제위원회,경기도 안성시,,031-678-5414,https://www.anseong.go.kr/festival,,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03283615,127.3078003,20260316
화성뱃놀이축제,전곡항 일원,20260522,20260525,승선체험 프로그램+바람의 사신단 댄스 퍼포먼스+풍류단의 항해+천해유람단,화성시문화관광재단,경기도 화성시,문화체육관광부+경기도청,031-290-4689,https://hs-boatingfestival.com/,,경기도 화성시 만세구 서신면 전곡항로 5,경기도 화성시 만세구 서신면 전곡리 1076,37.18560049,126.6510546,20260316
2025 제8회 양주 회암사지 왕실 축제,회암사지,20250613,20250615,배움과 쉼이 있는 런케이션 역사문화 축제,경기도 양주시청,양주시축제추진위원회,경기도 양주시청,031-8082-5652,https://www.yangju.go.kr/festival/index.do,,경기도 양주시 회암사길 11,경기도 양주시 회암동 18,37.8412264,127.1029808,20260312
2025년 제7회 양주 천만송이 천일홍 축제,나리농원 일원,20250926,20250928,전국 최대 규모의 천일홍 꽃밭 조성으로 도농체험 및 시민 힐링 공간 제공,경기도 양주시청,양주시축제추진위원회,경기도 양주시청,031-8082-5655,https://www.yangju.go.kr/festival/index.do,,경기도 양주시 광사로 131-66,경기도 양주시 광사동 731,37.785795,127.081833,20260312
이천체험문화축제,이천시 신둔면 예스파크,20260404,20260405,공예체험+음식만들기+스포츠 놀이체험 등,(사)이천농촌나드리,경기도 이천시,경기도 이천시,031-636-2723,http://www.2000green.com,예스파크+이천농촌나드리,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,20260427
이천도자기축제,이천시 신둔면 예스파크,20260424,20260505,도자기전시+체험+판매+공연,이천시도자기축제추진위원회,경기도 이천시+이천문화재단,경기도 이천시,031-645-3682,https://www.icheon.go.kr/icheonceramic/main.do,예스파크(이천도자예술마을) + 사기막골도예촌,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,20260427
이천도자기축제,이천도자예술마을(예스파크)+사기막골 도예촌,20260424,20260505,전시+판매+체험,이천시도자기축제추진위원회,경기도 이천시+이천문화재단,경기도 이천시,031-645-3683,https://www.icheon.go.kr/icheonceramic,,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,20260316
여주오곡나루축제,여주 신륵사관광지 일원,20261023,20261025,여주쌀 가마솥 비빔밥+군고구마 기네스+여주 본두리 낙화놀이+여주 흔암리 쌍용거 줄다리기 등,여주세종문화관광재단,경기도 여주시,,031-881-9694,https://www.yjfestival.or.kr/,,경기도 여주시 신륵사길 7,경기도 여주시 천송동 297-1,37.3000174,127.6567465,20260316
용인시민의 날 연계 축제 행사,용인미르스타디움,20261003,20261004,용인시민의 날 기념 조아용 캐릭터 축제 및 다양한 연계행사 진행,경기도 용인시청,경기도 용인시청,경기도 용인시청,031-6193-2064,https://www.yongin.go.kr,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.24086733,127.1779684,20260226
여주오곡나루축제,여주 신륵사관광지 일원,20261023,20261025,"여주 농·특산물 홍보 및 판매, 각종 문화예술공연 및 체험프로그램 운영",여주세종문화관광재단,경기도 여주시청,,031-881-9694,https://www.yjfestival.or.kr/,신륵사 명성황후생가 영릉 황학산수목원 등,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,37.3001409008,127.6545498438,20260312
여주도자기축제,여주 신륵사관광지 일원,20260501,20260510,"여주 도자기 전시 및 판매, 공연 등",여주세종문화관광재단,경기도 여주시청,,031-881-9694,https://www.yjfestival.or.kr/,신륵사 명성황후생가 영릉 황학산수목원 등,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,37.30014504,127.6545462,20260312
안산국제거리극축제,안산시 문화광장,20160505,20160508,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,경기도 안산시청,031-481-4030,https://www.ansanart.com/index.do,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,20260304
안산국제거리극축제,안산문화광장 및 안산시 일대,20170505,20170507,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,문화체육관광부+경기관광공사+한국문화예술위원회+한국지역진흥재단,031-481-0531,https://www.ansanart.com/index.do,대부도+원곡동 다문화거리,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,20260304
안산국제거리극축제,안산문화광장 및 안산시 일대,20190504,20190506,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,문화체육관광부+경기관광공사+한국문화예술위원회+한국지역진흥재단,031-481-0531,https://www.ansanart.com/index.do,화랑유원지,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,20260304
안산국제거리극축제,안산문화예술의전당,20211005,20211010,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,경기관광공사,031-481-0531,https://www.ansanart.com/index.do,화랑유원지,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,20260304
제20회 양평산수유한우축제,개군레포츠공원+내리+주읍리+향리,20230401,20230402,노란 산수유 꽃이 피는 4월 주읍리 등 마을길을 걷고 개군한우를 먹으며 즐길 수 있는 축제,양평산수유축제추진위원회,경기도 양평군 개군면,,031-770-3342,https://sansuyuhanwoo.modoo.at/,,경기도 양평군 개군면 자진개1길 91,경기도 양평군 개군면 하자포리 375,37.43277374,127.5313533,20231205
제13회 양평 용문산 산나물축제,용문산관광지,20230428,20230430,산나물의 맛과 향기를 느낄수 있는 즐거운 체험+공연이 펼쳐지는 다채로운 축제,경기도 양평군청+양평군 축제추진위원회,경기도 양평군청,,031-770-1072,,,경기도 양평군 용문면 용문산로 656,경기도 양평군 용문면 신점리 520,37.54633417,127.5824277,20231205
의정부음악극축제,의정부예술의전당,20250518,20250525,"환경과 자연, 에너지 지킴 등 예술가와 미래세대들과 협력해 환경을 생각하는 축제",의정부문화재단,경기도+경기도 의정부시청,,031-828-4572,,,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323번지,37.73338053,127.0341273,20250630
회룡문화제,회룡사 입구 사거리,20250927,20250928,제40회 회룡문화제,의정부문화원,경기도 의정부시청,,031-828-4332,,,경기도 의정부시 신흥로 58,경기도 의정부시 호원동 289-3,37.72133935,127.0441351,20250630
제17회 구리 코스모스 축제,구리한강 시민공원,20170922,20170924,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,20190927,20190929,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2025 구리 유채꽃 축제,구리한강 시민공원,20250509,20250511,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,https://www.guri.go.kr/festival/index.do,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2022 안양시민축제&amp;lt;우선멈춤&amp;gt;,평촌중앙공원+삼덕공원+온라인(www.aydf.or.kr),20220923,20220925,시민과 함께하는 K-POP 댄스 페스티벌,안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2024 안양충훈벚꽃축제,안양충훈2교일대,20240330,20240331,벚꽃콘서트+벚꽃체험부스+ 먹거리+ SNS이벤트 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,20260227
성남 어린이날 행사,성남시청,20260505,20260505,어린이날 기념식+축하 공연 등,성남 어린이날 행사 추진위원회,경기도 성남시,,031-729-2942,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
사회복지페스티벌,성남시청,20260904,20260904,사회복지의 날 기념식 및 사회복지박람회,성남시사회복지협의회,경기도 성남시,,031-729-2842,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
식품제조 홍보 및 판매관,성남시청,20261001,20261001,식품 홍보 및 판매,경기도 성남시 위생정책과,경기도 성남시,,031-729-3122,,,경기도 성남시 중원구 여수동 성남대로 997,경기도 성남시 중원구 여수동 200,37.420173,127.12628,20260209
여르미오페스티벌,안산문화예술의전당 야외 광장 일대,20160813,20160813,물놀이프로그램+공연,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,20260304
2014 안양 아줌마축제,평촌중앙공원,20140830,20140831,아줌마 축제 개막식 및 폐막식+ 주민자치센터 동호회 공연  등,경인일보,(재)안양문화예술재단,경기도 안양시,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2015 안양 시민축제,평촌중앙공원+삼덕공원,20151002,20151004,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2015 안양 아줌마축제,평촌중앙공원,20150530,20150531,아줌마 축제 개막식 및 폐막식 공연+ 주민자치센터 끼열전+ 명사초청가요제 등,경인일보,(재)안양문화예술재단,경기도 안양시,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2016 안양 시민축제,평촌중앙공원+삼덕공원+범계로데오,20160924,20160925,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2016 안양 아줌마축제,평촌중앙공원,20160528,20160529,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
