bizplc_nm,bsn_state_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,clsbiz_ymd,tcbiz_bgng_ymd,tcbiz_end_ymd,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,tot_floor_cnt,circumfr_envrn_nm,faclt_ar,ground_floor_cnt,bsmnt_floor_cnt,buldng_purpos_nm,passway_wdth,light_faclt_ilum_amnt,sngrum_rom_cnt,yongroom_cnt,emgncy_strs_yn,emgnexit_yn,man_dong_ventltn_yn,yongroom_yn,specl_light_yn,sondfaclt_yn,tot_gamemchn_vcnt,provsn_gamesw_nm,first_reg_hr,region_div_nm
007노래연습장,폐업,20040428,경기도 의왕시 내손순환로 109 (내손동),경기도 의왕시 내손동 677-10,,,37.384380238,126.9830021909,,20210224,,,,198433.619129184,431374.268348736,노래연습장업,유통관련업,,,129.19,,,,,,6,2,N,N,N,Y,N,N,,,,
010노래연습장,영업중,20041001,경기도 파주시 문화로 32 (금촌동),경기도 파주시 금촌동 776-16,10923,,37.7575703334,126.7777866603,,,,,,180349.714381194,472810.039700286,노래연습장업,유통관련업,4,기타,206.34,3,1,근린생활시설,1.0,37.0,7,2,Y,Y,Y,Y,Y,Y,,,,상업지역
015B,폐업,20031008,"경기도 고양시 덕양구 화신로260번길 36 (화정동,밀레니엄빌딩 4층)",경기도 고양시 덕양구 화정동 977 밀레니엄빌딩 4층,10500,,37.6321529083,126.8330845918,,20131202,,,,185196.986951486,458879.234917578,노래연습장업,유통관련업,10,,729.1,8,2,근린생활시설,1.0,50.0,25,1,N,Y,Y,Y,Y,Y,,,,중심상업지역
015B  노래연습장,영업중,20030102,"경기도 고양시 일산서구 현중로26번길 37-18, 지층 (탄현동)",경기도 고양시 일산서구 탄현동 1499 지층,10244,,37.6942956812,126.7700753054,,,,,,179653.04855056,465786.741988829,노래연습장업,유통관련업,,,39.85,,,,,,2,1,N,Y,Y,Y,Y,Y,,,,
015B 노래연습장,폐업,20050912,경기도 부천시 원미구 중동로262번길 44  (중동),경기도 부천시 원미구 중동 1147-2,14548,,37.5025723099,126.7713915707,,20110602,,,,179716.137771979,444509.585857988,노래연습장업,유통관련업,,유흥업소밀집지역,78.03,,,근린생활시설,1.0,35.0,3,,Y,Y,Y,,Y,Y,,,,상업지역
015B 노래연습장,폐업,19971106,"경기도 성남시 중원구 광명로16번길 5  (성남동,3층)",경기도 성남시 중원구 성남동 3241 3층,13364,,37.4329095973,127.1312278602,,20101206,,,,211544.324316508,436759.113009069,노래연습장업,유통관련업,,,365.49,3,,,,,,3,N,N,N,Y,N,N,,,,
015B노래연습장,폐업,20020611,경기도 부천시 원미구 중동로262번길 44  (중동),경기도 부천시 원미구 중동 1147-2,14548,032-322-0152,37.5025723099,126.7713915707,,20050829,,,,179716.137771979,444509.585857988,노래연습장업,유통관련업,,,149.4,2,,,1.0,40.0,6,,N,N,N,N,N,N,,,,
015노래방,직권말소,19951012,경기도 파주시 황골로 70  (금촌동),경기도 파주시 금촌동 801-5,10922,,37.7552099103,126.7764814222,,20091117,,,,180231.865119654,472545.247576581,노래연습장업,유통관련업,,,120.0,,,,,,5,1,N,N,N,,N,N,,,,
02(오투)노래연습장,직권말소,20051130,"경기도 오산시 오산로 193, 201호 (오산동,탑프라자)",경기도 오산시 오산동 882-2 탑프라자 201호,18137,,37.1440611146,127.0681252742,,20140828,,,,205981.596269441,404705.550430044,노래연습장업,유통관련업,,,250.72,,,,,,1,,,,,,,,,,,
031,폐업,20031222,경기도 광주시 초월읍 경충대로 1314,경기도 광주시 초월읍 대쌍령리 343-6,12735,,37.3914740036,127.2848006075,,20041221,,,,225138.36874086,432197.331790332,노래연습장업,유통관련업,4,기타,161.6,4,,근린생활시설,1.0,40.0,8,1,Y,Y,Y,Y,Y,Y,,,,준주거지역
031,폐업,20021223,경기도 광주시 새말길 7,경기도 광주시 신현동 660-3,12821,031-726-2525,,,,20190408,,,,,,노래연습장업,유통관련업,,,132.0,,,,,,6,,N,N,N,,N,N,,,,
031,폐업,20000721,경기도 성남시 수정구 수정로 115-1  (태평동),경기도 성남시 수정구 태평동 3678-1,13305,,37.4416321267,127.1332425014,,20120208,,,,211719.129446217,437732.15906026,노래연습장업,유통관련업,,,,1,,,1.0,30.0,11,3,Y,Y,Y,Y,Y,Y,,,,
031노래연습장,영업중,20020420,경기도 파주시 조리읍 봉천로 27,경기도 파주시 조리읍 봉일천리 142-4,10937,,37.7432441819,126.8086281559,,,,,,183060.820854768,471209.990431619,노래연습장업,유통관련업,,,156.75,,,,,,6,2,N,N,N,,N,N,,,,
031노래연습장,폐업,20040727,경기도 남양주시 화도읍 마석로 27-23 (지하1층),경기도 남양주시 화도읍 마석우리 295-17 지하1층,12176,031-595-4733,37.653905821,127.3058121329,,20210421,,,,226910.475982937,461308.575721055,노래연습장업,유통관련업,4,,225.48,3,1,근린생활시설,1.0,,9,,N,N,N,,N,N,,,,준주거지역
0344,영업중,19981008,"경기도 고양시 덕양구 호국로789번길 7, 지층호 (주교동)",경기도 고양시 덕양구 주교동 614 지층호,10461,031-966-7301,37.656827887,126.8356755249,,,,,,185428.288215328,461616.048600444,노래연습장업,유통관련업,,,278.01,,,,,,13,1,N,N,N,Y,N,N,,,,
060 노래연습장,영업중,20021114,"경기도 수원시 권선구 세권로195번길 20-4, 지층 (권선동, 세륜빌딩)",경기도 수원시 권선구 권선동 1048 세륜빌딩,16568,,37.2560443222,127.0261234898,,,,,,202245.518229812,417120.639250765,노래연습장업,유통관련업,,,145.32,,1,,,,6,,N,N,N,,N,N,,,,
0시 노래연습장,폐업,20090902,"경기도 평택시 관광특구로 37 (서정동,(4층))",경기도 평택시 서정동 817-5 (4층),17774,,37.0670611902,127.0630278298,,20180603,,,,205534.455233848,396149.525030177,노래연습장업,유통관련업,,,247.26,,,,,,10,,,,,Y,,,,,,
1.2.3 노래연습장,등록취소,19921005,경기도 의정부시 시민로131번길 9 (의정부동),경기도 의정부시 의정부동 173-15 지하1층,11695,,37.7385619085,127.0496453384,20100720,,,,,204305.065368257,470677.012554105,노래연습장업,유통관련업,,유흥업소밀집지역,146.2,,1,,,,10,10,Y,Y,Y,Y,Y,Y,,,,상업지역
1.2.3 노래연습장,폐업,19940228,경기도 부천시 오정구 삼작로302번길 41-3  (여월동),경기도 부천시 오정구 여월동 53-6,14484,032-684-9667,37.5184095882,126.7952615464,,20070205,,,,181831.376315419,446263.460829862,노래연습장업,유통관련업,,,59.54,,1,근린생활시설,1.0,,5,1,Y,Y,Y,Y,Y,Y,,,,
1.2.3노래연습장,영업중,20001128,"경기도 성남시 분당구 매화로56번길 7 (야탑동,지하)",경기도 성남시 분당구 야탑동 287-13 지하,13504,,37.4127384655,127.1346490552,,,,,,211849.269526988,434521.2213444,노래연습장업,유통관련업,4,학교정화(상대),66.85,3,1,근린생활시설,1.0,42.0,6,1,Y,Y,Y,Y,Y,Y,,,,일반주거지역
1.5  노래연습장,직권말소,19970620,"경기도 고양시 일산동구 강촌로26번길 7-23, 지층호 (백석동)",경기도 고양시 일산동구 백석동 1411,10424,,37.6472279459,126.7802280861,,20201230,,,,180536.28494525,460559.255091076,노래연습장업,유통관련업,,,90.5,,,,,,1,,N,N,N,,N,N,,,,
1.5노래연습장,영업중,19960328,"경기도 고양시 일산동구 호수로446번길 73-3, 지층호 (백석동)",경기도 고양시 일산동구 백석동 1414-15,10424,,37.6465549641,126.7807220051,,,,,,180580.176279392,460486.763686691,노래연습장업,유통관련업,,,82.38,,,,,,1,,Y,Y,Y,Y,N,Y,,,,
1004,영업중,20030115,경기도 용인시 처인구 중부대로 1425 (김량장동),경기도 용인시 처인구 김량장동 341-9,17051,,37.2331196514,127.2026396172,,,,,,217911.368363301,414600.061274079,노래연습장업,유통관련업,6,기타,119.2,5,1,근린생활시설,1.0,40.0,6,3,Y,Y,Y,Y,Y,Y,,,,준주거지역
1004,폐업,19980216,경기도 안양시 만안구 안양로292번길 27  (안양동),경기도 안양시 만안구 안양동 674-103,13992,,37.3991683411,126.9231446667,,20120322,,,,,,노래연습장업,유통관련업,,,85.8,,,,,,10,8,N,N,N,Y,N,N,,,,
1004 노래연습장,영업중,20091201,"경기도 성남시 중원구 금상로57번길 1, 2층 (상대원동)",경기도 성남시 중원구 상대원동 2992-1 2층,13395,,37.4404570277,127.1623798325,,,,,,214299.491447521,437602.897043818,노래연습장업,유통관련업,2,,67.57,,,,1.0,30.0,4,1,,,,Y,,,,,,
1004 노래연습장,폐업,20080822,"경기도 용인시 기흥구 한보라2로 5 (보라동,303호,304호)","경기도 용인시 기흥구 보라동 579-1 303호,304호",17079,,37.2543052808,127.1103477077,,20200922,,,,209720.159872567,416933.585837422,노래연습장업,유통관련업,,,134.99,,,,,,,,,,,,,,,,,
1004노래연습장,영업중,19990625,경기도 안산시 상록구 충장로 6 (본오동),경기도 안산시 상록구 본오동 971-9,15574,,37.2824169343,126.855800246,,,,,,187140.527035263,420059.343659086,노래연습장업,유통관련업,,,122.56,,,,,,6,1,N,N,N,,N,N,,,,
1004노래연습장,폐업,19990702,"경기도 안산시 단원구 선부광장1로 82,  202호 (선부동)",경기도 안산시 단원구 선부동 1076-6 202호,15239,,37.3356080322,126.8126641328,,20201111,,,,183327.844625398,425967.024761098,노래연습장업,유통관련업,,,231.0,2,,근린생활시설,,,9,2,N,N,N,Y,N,N,,,,
1020 노래연습장,폐업,20071122,"경기도 부천시 원미구 부일로 702  (역곡동,지하1층)",경기도 부천시 원미구 역곡동 49 지하1층,14673,,37.4845127895,126.8079542377,,20081020,,,,182943.434977074,442494.079132569,노래연습장업,유통관련업,9,기타,156.73,7,2,근린생활시설,1.0,40.0,7,,Y,Y,Y,N,Y,Y,,,,일반상업지역
1060 노래연습장,폐업,20040527,"경기도 고양시 일산서구 일중로 50  (일산동,3층)",경기도 고양시 일산서구 일산동 1680-7 3층,10340,,37.6840273734,126.7755516477,,20121123,,,,180131.28426322,464649.749512476,노래연습장업,유통관련업,,,195.75,,,,,,,,,,,Y,,,,,,
1060@뮤직크럽노래연습장,폐업,20031205,경기도 고양시 일산동구 중앙로1275번길 60-14  (장항동),경기도 고양시 일산동구 장항동 769,10401,,37.6595471653,126.7696560589,,20060307,,,,179597.848154617,461945.712930215,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
1080 노래연습장 2,폐업,20131016,"경기도 고양시 일산동구 위시티로 49, 지층 (식사동)",경기도 고양시 일산동구 식사동 663 지층,10325,031-968-1081,37.6767070257,126.8098470886,,20161121,,,,183154.624216808,463829.397295976,노래연습장업,유통관련업,,,142.39,,,근린생활시설,,,,,,,,Y,,,,,,
108노래연습장,영업중,20021217,"경기도 부천시 원미구 상동로 108, 304호 (상동)",경기도 부천시 원미구 상동 535-4 304호,14542,032-325-0580,37.5067802392,126.7538475044,,,,,,178165.41102725,444979.593602927,노래연습장업,유통관련업,,,108.74,3,,,1.0,40.0,4,,Y,Y,Y,,Y,Y,,,,
10억 노래연습장,영업중,19951027,"경기도 부천시 원미구 부천로 361, 지층 (도당동)",경기도 부천시 원미구 도당동 26-13,14520,,37.516343742,126.7844744548,,,,,,180874.124544024,446034.135338301,노래연습장업,유통관련업,,,109.0,,,,,,6,3,Y,Y,Y,Y,Y,Y,,,,
119노래방,영업정지,20041018,경기도 구리시 이문안로 8  (교문동),경기도 구리시 교문동 797-2,11938,031-568-4175,37.5916783123,127.1322469071,,,20100725,20100803,,211610.606864236,454383.4318061,노래연습장업,유통관련업,6,주택가주변,,5,1,근린생활시설,,,,,,,,,,,,,,일반주거지역
123 노래연습장,폐업,20121123,"경기도 의정부시 시민로131번길 9 (의정부동, 지하1층)",경기도 의정부시 의정부동 173-15,11695,,37.7385619085,127.0496453384,,20210615,,,,204305.065368257,470677.012554105,노래연습장업,유통관련업,5,유흥업소밀집지역,209.62,4,1,근린생활시설,1.0,100.0,12,12,Y,Y,Y,Y,,Y,,,,상업지역
123노래연습장,영업중,20161018,"경기도 포천시 소흘읍 솔모루로 47, 2층",경기도 포천시 소흘읍 송우리 146-4,11178,031-541-6263,37.8266376489,127.144197017,,,,,,212620.238256432,480464.053116862,노래연습장업,유통관련업,,,224.79,2,,근린생활시설,1.0,,9,1,,Y,,Y,,,,,,일반주거지역
123노래연습장,폐업,20001107,"경기도 안양시 만안구 박달로 533, 지층 (박달동)",경기도 안양시 만안구 박달동 74-11,13987,,37.4027730553,126.9120104127,,20210709,,,,,,노래연습장업,유통관련업,,,157.3,,,,,,5,1,N,N,N,,N,N,,,,
123노래연습장,폐업,20030107,경기도 용인시 기흥구 중부대로 343-1  (신갈동),경기도 용인시 기흥구 신갈동 59-4,16967,,37.2717390293,127.1051258571,,20061106,,,,209250.870121812,418871.643834126,노래연습장업,유통관련업,6,학교정화(상대),146.2,5,1,근린생활시설,2.0,40.0,8,2,Y,Y,Y,Y,Y,Y,,,,상업지역
123노래연습장,폐업,20011218,경기도 하남시 신장로136번길 7 (덕풍동),경기도 하남시 덕풍동 418-1,12969,,37.5389597198,127.2032517391,,20200629,,,,217895.409422838,448537.449448909,노래연습장업,유통관련업,5,기타,400.5,,1,근린생활시설,1.0,40.0,8,8,Y,Y,Y,Y,N,Y,,,,일반상업지역
123도레미노래연습장KTV,영업중,20130125,"경기도 시흥시 군서로10번길 6-1 (정왕동,지하 1층)",경기도 시흥시 정왕동 1197-10 지하 1층,15052,031-498-9669,37.3443732404,126.7509416046,,,,,,177860.39,426956.8405,노래연습장업,유통관련업,4,학교정화(상대),148.72,3,1,근린생활시설,,,5,,,,,,,,,,,일반주거지역
153코인노래연습장,영업중,20180718,"경기도 과천시 별양상가3로 5, 유니온빌딩 지하1층 6,7호 (별양동)",경기도 과천시 별양동 1-20 유니온빌딩,13837,,37.4266568546,126.9911432514,,,,,,199145.725,436058.45,노래연습장업,유통관련업,,,279.07,,,,,,29,,,,,Y,,,,,,
1박2일,폐업,20080730,경기도 광주시 파발로 165,경기도 광주시 경안동 96-7(지층),12755,,37.4143416753,127.2523929786,,20101116,,,,,,노래연습장업,유통관련업,,기타,131.3,,,근린생활시설,,,,,,,,,,,,,,준주거지역
1박2일 노래연습장,영업중,20100212,"경기도 성남시 중원구 산성대로 588, 지층 (은행동)",경기도 성남시 중원구 은행동 611 지층,13149,,37.4618825028,127.1687175979,,,,,,214855.681473239,439981.726717575,노래연습장업,유통관련업,6,,169.08,5,1,근린생활시설,,,6,2,,,,Y,,,,,,일반주거지역
1박2일 노래연습장,영업중,20100223,"경기도 수원시 장안구 경수대로973번길 13-4 (송죽동, 자영약국)",경기도 수원시 장안구 송죽동 496 2층,16304,,37.303593618,127.0043294805,,,,,,200315.692572126,422399.963403169,노래연습장업,유통관련업,5,,155.34,4,1,근린생활시설,1.0,40.0,5,1,Y,Y,Y,Y,Y,Y,,,,
1박2일 노래연습장,폐업,20100420,"경기도 수원시 장안구 파장천로119번길 47 (파장동, 산마루)",경기도 수원시 장안구 파장동 353-2,16201,,37.3162132653,127.0022377596,,20160905,,,,200128.538564029,423800.561200752,노래연습장업,유통관련업,3,,110.14,3,,근린생활시설,,,8,,,,,,,,,,,
1박2일 노래연습장,폐업,20080322,경기도 오산시 오산로190번길 8 (원동),경기도 오산시 원동 783-31 2층,18142,,37.1437507462,127.0695345542,,20140820,,,,206107.771525394,404649.331161801,노래연습장업,유통관련업,,,89.13,,,,,,1,,,,,,,,,,,
1박2일노래연습장,폐업,20050104,경기도 이천시 마장면 청강가창로 411,경기도 이천시 마장면 해월리 143-3,17390,,37.2122432624,127.3584102781,,20141008,,,,231747.873399582,412313.365198822,노래연습장업,유통관련업,2,기타,141.6,2,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
1번가,영업중,20030123,"경기도 수원시 팔달구 정조로 643, 1층 (매교동)",경기도 수원시 팔달구 매교동 161-3 102호,16467,,37.2663223507,127.0155138548,,,,,,201301.962195341,418261.050943607,노래연습장업,유통관련업,,유흥업소밀집지역,155.1,1,,근린생활시설,,,7,1,Y,Y,N,Y,Y,Y,,,,상업지역
1번지 노래연습장,영업중,19991023,경기도 김포시 북변1로16번길 7 (북변동),경기도 김포시 북변동 718,10101,,37.6274636701,126.7047061324,,,,,,173865.956183015,458388.088418954,노래연습장업,유통관련업,4,기타,108.45,3,1,근린생활시설,,,7,3,N,Y,Y,Y,N,N,,,,일반주거지역
1프로노래연습장,영업중,20200114,"경기도 파주시 소리천로8번길 46, 하나프라자 4층 401,402호 (야당동)",경기도 파주시 야당동 1063,10908,,37.7121969436,126.7601313149,,,,,,178780.679561882,467780.216235101,노래연습장업,유통관련업,,,180.39,,,,,,7,1,,,,Y,,,,,,
1호코인 노래연습장,폐업,20170929,"경기도 용인시 처인구 포곡읍 전대로78번길 2, 2층",경기도 용인시 처인구 포곡읍 전대리 188-5 2층,17023,,37.2852573192,127.2176416761,,20210817,,,,219228.458690213,420387.563167928,노래연습장업,유통관련업,,,193.2,,,,,,12,2,,,,Y,,,,,,
1호코인노래연습장,폐업,20170602,"경기도 용인시 처인구 포곡읍 전대로78번길 2, 2층",경기도 용인시 처인구 포곡읍 전대리 188-5 (2층),17023,,37.2852573192,127.2176416761,,20170926,,,,219228.458690213,420387.563167928,노래연습장업,유통관련업,,,193.2,,,,,,7,2,,,,Y,,,,,,
2+1 노래연습장,폐업,20051216,"경기도 의정부시 평화로552번길 29  (의정부동,지하1층)",경기도 의정부시 의정부동 192-5 지하1층,11692,,37.7413981888,127.0488904023,,20060512,,,,204236.727149405,470993.211208131,노래연습장업,유통관련업,4,유흥업소밀집지역,90.0,3,1,근린생활시설,,,,,N,N,N,N,N,N,,,,상업지역
2000,폐업,20000328,"경기도 고양시 덕양구 호국로 821,  지층호 (주교동,반야빌딩)",경기도 고양시 덕양구 주교동 621-3 반야빌딩 지층호,10462,031-965-9994,37.6589530056,126.8385249433,,20120305,,,,185684.468962019,461852.567831753,노래연습장업,유통관련업,,,160.42,,,,,,,,N,N,N,N,N,N,,,,
2002,폐업,20000320,,경기도 수원시 영통구 신동 157-3,,,,,,20070314,,,,,,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
2002 노래연습장,폐업,20020903,경기도 수원시 장안구 팔달로 280  (영화동),경기도 수원시 장안구 영화동 154-18,16268,,37.2898591074,127.015859377,,20060512,,,,201336.12206432,420899.475012766,노래연습장업,유통관련업,,,116.1,2,,,,,6,2,Y,Y,Y,Y,Y,Y,,,,
2002노래연습장,영업중,19960522,경기도 파주시 교하로 427  (동패동),경기도 파주시 동패동 303-5,10904,,37.7055783812,126.7314957513,,,,,,176256.37523425,467050.751723013,노래연습장업,유통관련업,,,165.0,,,,,,7,1,N,N,N,,N,N,,,,
2002노래연습장,폐업,19990616,경기도 김포시 풍무로 221  (사우동),경기도 김포시 사우동 384-20,10110,,37.6150439473,126.725108912,,20100413,,,,175651.723104985,456997.270773496,노래연습장업,유통관련업,,,149.0,,,,,,,1,N,N,N,N,N,N,,,,
2002월드컵노래연습장,영업중,19990625,경기도 안산시 상록구 도매시장로 97 (일동),경기도 안산시 상록구 일동 577-8,15322,,37.3143402219,126.8634502873,,,,,,187825.454530063,423601.94837047,노래연습장업,유통관련업,,,120.0,,1,,,,7,2,N,N,N,,N,N,,,,
205노래연습장,영업중,20210702,"경기도 평택시 고덕여염9길 13, SM타워 2층 207~208호",경기도 평택시 고덕동 2161-1 SM타워,18014,,37.0396960601,127.0491625242,,,,,,204303.47365915,393114.02942095,노래연습장업,유통관련업,,기타,134.75,,,근린생활시설,,,7,1,Y,Y,Y,Y,,Y,,,,근린상업지역
205투노래연습장,영업중,20220128,"경기도 평택시 고덕여염9길 13, 빅토리빌딩 206호 (고덕동)",경기도 평택시 고덕동 2161-1 빅토리빌딩 206호,18014,,37.0396960601,127.0491625242,,,,,,204303.47365915,393114.02942095,노래연습장업,유통관련업,,,68.6,,,근린생활시설,,40.0,4,,Y,Y,Y,,,Y,,,,근린상업지역
21세기,폐업,19950218,경기도 고양시 덕양구 토당로104번길 50  (토당동),경기도 고양시 덕양구 토당동 53-41,10508,031-971-0371,37.6244184606,126.8202690851,,20010515,,,,184065.930291737,458020.886836357,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
21세기,폐업,19930223,경기도 고양시 덕양구 토당로104번길 50  (토당동),경기도 고양시 덕양구 토당동 53-41,10508,031-971-0371,37.6244184606,126.8202690851,,19950115,,,,184065.930291737,458020.886836357,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
21세기,폐업,20030404,경기도 광명시 광명로 828  (광명동),경기도 광명시 광명동 343-4,14274,26184695,37.4731787211,126.8517350439,,20080111,,,,186814.080161833,441233.136232647,노래연습장업,유통관련업,,,71.89,,,,,,,,N,N,N,Y,N,N,,,,
21세기,폐업,20030207,경기도 광명시 광명로 933,경기도 광명시 광명동 101-11,14201,26259330,37.4822122659,126.8553895061,,20210318,,,,187139.720229057,442231.360995318,노래연습장업,유통관련업,,,89.91,,,,,,,,N,N,N,N,N,N,,,,
21세기 노래연습장,영업중,20210121,경기도 수원시 장안구 연무로42번길 5 (연무동),경기도 수원시 장안구 연무동 233-6,16216,,37.2953569064,127.0268360236,,,,,,202303.301879664,421490.716597892,노래연습장업,유통관련업,,,104.76,,1,,,,4,2,,,,Y,,,,,,
21세기 노래연습장,영업중,20020202,"경기도 수원시 장안구 파장로21번길 6 (파장동, 할인백화점)",경기도 수원시 장안구 파장동 461-40,16351,,37.3043052396,126.9978026634,,,,,,199733.057525151,422480.039705388,노래연습장업,유통관련업,,,81.6,,1,,,,6,2,Y,Y,Y,Y,Y,Y,,,,
21세기 노래연습장,영업중,20101101,"경기도 김포시 풍무로 20, 지하1층 (풍무동)",경기도 김포시 풍무동 595,10120,,37.5976760447,126.7211090428,,,,,,175300.492202442,455067.898518183,노래연습장업,유통관련업,5,기타,175.33,5,2,근린생활시설,,,6,,,,,Y,,,,,,관리지역
21세기 노래연습장,영업중,19991115,"경기도 남양주시 오남읍 진건오남로 800, 양지빌딩",경기도 남양주시 오남읍 양지리 96 양지빌딩,12036,031-575-0322,37.6981007578,127.203049619,,,,,,217840.368392488,466207.206360525,노래연습장업,유통관련업,,,168.1,,1,,,,8,4,N,N,N,Y,N,N,,,,
21세기 노래연습장,영업중,20031203,경기도 의정부시 청사로47번길 12 (금오동),경기도 의정부시 금오동 470-4 5층,11757,031-853-4191,37.752614216,127.0691192534,,,,,,206020.3927152,472236.910192015,노래연습장업,유통관련업,,기타,195.35,,,,,,1,,Y,Y,Y,Y,Y,Y,,,,상업지역
21세기 노래연습장,폐업,19921103,경기도 성남시 중원구 산성대로 104-1  (성남동),경기도 성남시 중원구 성남동 3191,13355,,37.4333951664,127.130852466,,20050110,,,,211512.189605534,436806.693967747,노래연습장업,유통관련업,,,190.16,,,,,,,,N,N,N,N,N,N,,,,
21세기 노래연습장,폐업,19980722,"경기도 시흥시 미산로 69, 지층 (미산동)",경기도 시흥시 미산동 93-1 지층,14944,031-315-1886,37.4220704601,126.7963575821,,20210222,,,,181911.727369053,435569.120181787,노래연습장업,유통관련업,,,130.52,,,근린생활시설,,,6,1,N,N,N,Y,N,N,,,,
21세기 노래연습장,폐업,20020425,경기도 수원시 장안구 연무로42번길 5-1 (연무동),경기도 수원시 장안구 연무동 233-6,16216,,37.2953569064,127.0268360236,,20190430,,,,202303.301879664,421490.716597892,노래연습장업,유통관련업,,,104.76,,,,,,4,,Y,Y,Y,Y,Y,Y,,,,
