licensg_ymd,bizplc_nm,unity_bsn_state_nm,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,sanittn_bizcond_nm,buldng_ground_floor_cnt,buldng_bsmnt_floor_cnt,use_bgng_ground_floor_cnt,use_last_ground_floor_cnt,use_bgng_bsmnt_floor_cnt,use_last_bsmnt_floor_cnt,cdtnl_prmsn_dclr_resn,cdtnl_prmsn_bgng_ymd,cdtnl_prmsn_end_ymd,buldng_posesn_div_nm,whm_cnt,female_enflpsn_cnt,male_enflpsn_cnt,retrvl_dry_cnt,bed_noc,multi_utlz_bizest_yn
20080619,(주)뉴덕흥기업,영업/정상,영업,,031-964-0898,"1,431.00",경기도 고양시 일산동구 공릉천로 126 (사리현동),경기도 고양시 일산동구 사리현동 267-4,10261,37.7032925571,126.847229089,일반세탁업,186451.664082781,466749.489017027,일반세탁업,0,0,0,0,0,0,,,,,8,,,,,N
20150305,(주)늘품,폐업,폐업,20171214,031-636-1579,300.00,경기도 이천시 모가면 사실로1012번길 159-59,경기도 이천시 모가면 신갈리 352-1,17406,37.1943174281,127.4531601382,일반세탁업,240160.435187005,410356.932104712,일반세탁업,1,0,1,1,,,,,,,3,0,0,0,,N
20130618,(주)다인클린텍,폐업,폐업,20170302,031-997-7323,469.20,"경기도 김포시 대곶면 대곶남로501번길 49, 나동",경기도 김포시 대곶면 대능리 283-1 나동,10046,37.6339155531,126.5979783742,세탁업 기타,164454.891985034,459154.490300563,세탁업 기타,0,0,,,,,,,,임대,3,,,0,,N
20150820,(주)닥터크리닝,영업/정상,영업,,031-736-0236,81.00,"경기도 성남시 중원구 갈마치로 234 (상대원동, B114, B115호)","경기도 성남시 중원구 상대원동 223-28 B114, B115",13211,37.4356323712,127.1744060797,일반세탁업,215368.038114824,437028.250819307,일반세탁업,,,,,,,,,,,,,,,,N
19880801,(주)대웅크린월드,영업/정상,영업,,031-863-0218,.00,경기도 양주시 평화로1475번길 139 (덕계동),경기도 양주시 덕계동 571,11441,37.8248257404,127.0423266691,일반세탁업,203667.903872594,480201.576813457,일반세탁업,,,,,,,,,,,,,,,,N
20231011,(주)더깨끗한세상,폐업,폐업,20251121,031-763-0927,33.66,"경기도 광주시 중앙로175번길 8-2, 1층 (송정동)",경기도 광주시 송정동 113-61 1층,12744,37.4154767467,127.2564123035,일반세탁업,222628.071869893,434848.963859637,일반세탁업,4,1,1,1,,,,,,임대,1,0,0,1,,N
20250627,(주)더올가,영업/정상,영업,,031-511-0008,6.60,"경기도 남양주시 다산중앙로82번길 106, 상가동 222 일부호 (다산동, 다산지금A5 경기행복주택)",경기도 남양주시 다산동 6110 다산지금A5 경기행복주택 상가동 222일부호,12249,37.618141685,127.1655213047,일반세탁업,214599.331883831,457376.254933527,일반세탁업,0,0,,,,,,,,,1,0,0,1,,N
20091231,(주)동우인터내셔널,폐업,폐업,20100118,,430.50,,경기도 용인시 처인구 포곡읍 신원리 325,17022,37.309091948,127.2221906169,일반세탁업,219621.064505496,423046.253653119,일반세탁업,1,0,1,1,,,,,,,8,,,1,,N
20230802,(주)라이넨스,영업/정상,영업,,,407.00,경기도 김포시 통진읍 가현로 68,경기도 김포시 통진읍 가현리 807-6,10038,37.669809805,126.5844477,세탁업 기타,163271.566345328,463135.993394552,세탁업 기타,0,0,0,0,0,0,,,,,3,0,0,0,,N
20240325,(주)루시디티,영업/정상,영업,,,459.47,"경기도 김포시 대곶면 대곶북로 550-25, 가동",경기도 김포시 대곶면 석정리 258,10028,37.6835666009,126.5562211692,세탁업 기타,160784.199596911,464665.618000204,세탁업 기타,0,0,,,,,,,,,2,0,0,0,,N
20171010,(주)리본앤,폐업,폐업,20210504,031-571-8736,197.40,경기도 남양주시 진건읍 사릉로 475,경기도 남양주시 진건읍 신월리 100-1,12131,37.6598224324,127.1729192796,일반세탁업,215189.978763724,461950.858171352,일반세탁업,0,0,,,,,,,,임대,4,0,0,3,,N
19880627,(주)맵시크린,폐업,폐업,20031020,031-456-2760,429.00,경기도 군포시 산본로 63,경기도 군포시 당정동 126-1,15849,37.3544773297,126.9592017575,일반세탁업,196165.640695356,428168.570358756,일반세탁업,,,,,,,,,,,,,,,,N
19920330,(주)모던,폐업,폐업,20000929,031-694-2783,1.00,경기도 시흥시 호현로 132-1,경기도 시흥시 대야동 140-5 1층,14902,37.4522998645,126.7899692149,일반세탁업,181347.190509591,438887.228793224,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20180220,(주)미가존,폐업,폐업,20180503,,33.06,"경기도 화성시 동탄구 동탄반석로 160, 동탄 지웰 에스테이트 1층 125호 (반송동)",경기도 화성시 동탄구 반송동  93-10 동탄 지웰 에스테이트 125호,18454,37.202899798,127.0716216837,일반세탁업,206285.144405025,411226.353221417,일반세탁업,0,0,1,1,,,,,,,1,0,0,0,,N
20150709,(주)미백,영업/정상,영업,,070-4036-5559,230.55,"경기도 남양주시 와부읍 수레로 589, 1층",경기도 남양주시 와부읍 월문리 157-8,12202,37.613104373,127.2672923317,일반세탁업,223530.394313576,456776.573112567,일반세탁업,0,0,1,1,,,,,,,2,0,0,0,,N
20100625,(주)미주,폐업,폐업,20220518,031-676-3041,78.00,경기도 안성시 고삼면 개울말길 33-39 (외1필지),경기도 안성시 고삼면 가유리 594 외1필지,17505,37.0860662363,127.2511245169,세탁업 기타,222244.138880051,398270.07833314,세탁업 기타,0,0,1,2,,,,,,자가,4,,,0,,N
20120920,(주)바인셀,영업/정상,영업,,031-455-8890,130.35,"경기도 군포시 군포로544번길 8, 1층 (당동)",경기도 군포시 당동 749-32,15855,37.3543855302,126.9471431367,일반세탁업,195244.631726153,428034.167055702,일반세탁업,0,0,0,0,0,0,,,,,1,,,1,,N
20160909,(주)반짝반짝,영업/정상,영업,,031-797-1013,198.00,"경기도 광주시 성들길 46-19, 1층",경기도 광주시 매산동 632-11 1층,12798,37.3660412208,127.2418796027,일반세탁업,,,일반세탁업,0,0,1,1,,,,,,임대,2,0,0,4,,N
20240527,(주)백양명품크리닝,영업/정상,영업,,,675.00,"경기도 김포시 통진읍 고척로 147-19, A동",경기도 김포시 통진읍 고정리 353-10 A동,10009,37.7198607766,126.5892783163,세탁업 기타,163727.411620583,468659.405859375,세탁업 기타,0,0,,,,,,,,,6,0,0,0,,N
20250123,(주)베가서비스,영업/정상,영업,,,"1,173.15","경기도 양주시 남면 현석로785번길 225-50, 1동 1층, 2동 1층일부","경기도 양주시 남면 경신리 191-29 1동 1층, 2동 1층일부",11413,37.8594592001,126.9785535301,일반세탁업,198047.503172782,484068.910792628,일반세탁업,0,0,1,1,0,0,,,,,6,0,0,10,,N
20170605,(주)보통세탁,영업/정상,영업,,070-8683-8118,388.40,"경기도 용인시 처인구 이동읍 염티로 82, 가,나동 1층",경기도 용인시 처인구 이동읍 묵리 854,17131,37.1911068112,127.2257895332,일반세탁업,219978.351327822,409939.025432536,일반세탁업,0,0,1,1,0,0,,,,,2,0,2,0,,N
20170605,(주)보통세탁,폐업,폐업,20190426,070-8683-8118,186.20,"경기도 용인시 기흥구 신정로 131 (신갈동, B동 1층)",,,,,일반세탁업,,,일반세탁업,0,0,1,1,,,,,,,2,0,2,0,,N
19990420,(주)부흥산업,폐업,폐업,20201106,031-339-3735,224.00,경기도 용인시 처인구 남사읍 천덕산로 425,경기도 용인시 처인구 남사읍 원암리 371-88,17124,37.094700049,127.1443062175,일반세탁업,212752.294083524,399228.97383721,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20050721,(주)블루크린,영업/정상,영업,,02-2687-9997,121.93,"경기도 광명시 광명로 555, 1층 (노온사동)",경기도 광명시 노온사동 203-7 1층호,14335,37.4499137611,126.8450280581,일반세탁업,186218.878586155,438651.727312165,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20200403,(주)블루팩토리,영업/정상,영업,,,87.76,"경기도 성남시 중원구 갈마치로 234, SK아파트형공장 1층 106-2호 (상대원동)",경기도 성남시 중원구 상대원동 223-28 SK아파트형공장 106-2호,13211,37.4356323712,127.1744060797,세탁업 기타,215368.038114824,437028.250819307,세탁업 기타,0,0,,,,,,,,,3,0,0,3,,N
19971129,(주)샤론 크린토피아,폐업,폐업,20180723,031-353-2110,710.80,경기도 화성시 효행구 정남면 만년로 457-5,경기도 화성시 효행구 정남면 신리 111-23,18519,37.1625574201,126.9824445981,일반세탁업,198372.912237015,406748.107258218,일반세탁업,1,0,1,0,0,0,,,,,0,,,1,,N
20211222,(주)세탁공작소,영업/정상,영업,,070-8968-8972,363.00,경기도 안성시 고삼면 개울말길 33-39,경기도 안성시 고삼면 가유리 594-3 1층 공장동 전체(동일 도로명에 다른 지번 건물 2개동),17505,37.0860662363,127.2511245169,세탁업 기타,222231.488611628,398240.201945615,세탁업 기타,1,0,1,1,,,,,,자가,4,0,0,4,,N
20101203,(주)세탁공작소 파주지점,영업/정상,영업,,,380.00,경기도 파주시 조리읍 능안로 290-9,경기도 파주시 조리읍 능안리 385-6,10935,37.7389658072,126.7849360625,일반세탁업,180982.361865262,470721.898945832,일반세탁업,0,0,,,,,,,,임대,1,,,1,,N
20140508,(주)세탁뱅크 24,폐업,폐업,20180208,031-798-1791,197.34,경기도 광주시 초월읍 경충대로 1131,경기도 광주시 초월읍 쌍동리 279-4,12736,37.3777552761,127.2951296279,일반세탁업,226053.46339221,430675.034093071,일반세탁업,1,0,,,1,,,,,,1,,,1,,N
20191001,(주)세탁프리,영업/정상,영업,,031-238-0700,61.48,"경기도 수원시 팔달구 효원로308번길 58-17, 동양파라곤 1단지 102동 106호 (인계동)",경기도 수원시 팔달구 인계동 1134-3 동양파라곤 1단지,16491,37.258163596,127.0331809657,일반세탁업,202872.855455147,417358.455925009,일반세탁업,20,4,1,1,0,0,,,,,3,0,0,3,,N
20020718,(주)세화린넨,폐업,폐업,20051101,031-985-4849,420.00,,"경기도 김포시 사우동 342-5 , 331-1,332,333-5",10110,37.6160817714,126.7234121637,일반세탁업,175510.79597352,457115.162795048,일반세탁업,,,,,,,,,,,,,,,,N
20200824,(주)시니어파트너스,영업/정상,영업,,,198.00,"경기도 고양시 덕양구 통일로1102번길 32, 가동 1층 (내유동)",경기도 고양시 덕양구 내유동 296-2 가동 1층,10264,37.7119355617,126.8536542149,일반세탁업,187027.160745207,467723.363365894,일반세탁업,2,0,0,0,0,0,,,,,4,0,0,8,,N
20181203,(주)신데렐라컴퍼니,영업/정상,영업,,031-222-5546,496.80,"경기도 수원시 팔달구 매산로104번길 10, 지하1층 101호 (교동, 풍림아이원아파트)",경기도 수원시 팔달구 교동 185-7,16464,37.2704359374,127.0119120743,일반세탁업,201018.215218764,418691.482779835,일반세탁업,0,0,0,0,1,1,,,,,0,,,0,,N
20180618,(주)쓰리에이치 크리너,영업/정상,영업,,,195.00,"경기도 화성시 효행구 배양남길40번길 4, 1층 전부호 (기안동)",경기도 화성시 효행구 기안동  20-224 1층전부호,18341,37.224832396,126.9900676432,일반세탁업,199054.170288732,413650.490891131,일반세탁업,0,0,1,1,,,,,,,3,0,0,4,,N
20141030,(주)씨앤엘,폐업,폐업,20181018,031-664-1331,504.00,"경기도 평택시 산단로 63-5, 가동 (모곡동)",경기도 평택시 모곡동 436-3 (가동),17744,37.0378056595,127.0767900855,일반세탁업,206769.91130728,392897.107537146,일반세탁업,0,0,1,1,0,0,,,,,6,0,0,0,,N
20190910,(주)씨엘피코리아,폐업,폐업,20250909,,561.00,"경기도 화성시 병점구 효행로1350번길 11, 1층 전부호 (반월동)",경기도 화성시 병점구 반월동  348-3 1층 전부호,18382,37.2277857745,127.0661828263,일반세탁업,205800.878997092,413985.535154798,일반세탁업,0,0,,,,,,,,임대,3,0,0,2,,N
20090608,(주)양지,영업/정상,영업,,031-957-9561,429.00,경기도 파주시 조리읍 전지미말길 43-37,경기도 파주시 조리읍 뇌조리 454-2,10949,37.7666050809,126.8177208197,세탁업 기타,183872.645874226,473793.912289906,세탁업 기타,2,0,1,,,,,,,,2,,,0,,N
20211220,(주)양지크린텍,영업/정상,영업,,,761.40,"경기도 용인시 처인구 이동읍 안터로15번길 15, 1~2층",경기도 용인시 처인구 이동읍 시미리 151-2,17134,37.1585442513,127.2091938345,일반세탁업,218513.250796306,406317.41851245,일반세탁업,0,0,1,2,0,0,,,,,5,0,0,7,,N
20090602,(주)에코죤,영업/정상,영업,,031-559-3114,396.00,경기도 남양주시 수동면 비룡로586번안길 29-113,경기도 남양주시 수동면 송천리 93-1,12034,37.6898986891,127.3371704048,세탁업 기타,229677.154804521,465330.155263761,세탁업 기타,1,0,1,1,,,,,,임대,3,,,0,,N
20100730,(주)에코테크,폐업,폐업,20130506,,16.00,경기도 광주시 문형산길 91,경기도 광주시 신현동 292-2,12820,37.3653552504,127.1659013002,빨래방업,,,빨래방업,1,0,1,,,,,,,임대,1,,,0,,N
20190628,(주)엠탁,영업/정상,영업,,,199.08,"경기도 파주시 쌀뚜기길 28, 마동 (문발동)",경기도 파주시 문발동 242,10880,37.7230746942,126.6979433052,일반세탁업,173306.701615774,468992.53231028,일반세탁업,1,0,1,1,,,,,,,2,0,0,0,,N
20111024,(주)연우아이앤씨,폐업,폐업,20201124,031-942-7776,999.50,"경기도 파주시 광탄면 진지로 106, 1동",경기도 파주시 광탄면 용미리 45-10 1동,10955,37.7419705977,126.8914952179,세탁업 기타,190387.197807796,471007.270225216,세탁업 기타,1,0,1,1,,,,,,,3,,,1,,N
20140224,(주)영진크린플,폐업,폐업,20211025,031-719-6603,130.00,"경기도 성남시 분당구 새나리로 17 (야탑동, 1층 )",경기도 성남시 분당구 야탑동 50-1 1층,13509,37.404614052,127.1577386161,일반세탁업,213897.42438053,433612.93073689,일반세탁업,3,1,1,1,0,0,,,,,1,,,1,,N
20241023,(주)오성크린,영업/정상,영업,,,198.00,"경기도 김포시 대곶면 대곶서로234번길 52-34, 나동",경기도 김포시 대곶면 상마리 144-6 나동,10043,37.6372281692,126.5833969373,세탁업 기타,163166.371094056,459520.560726397,세탁업 기타,0,0,,,,,,,,임대,5,0,0,5,,N
20221108,(주)우경크린플 야탑지점,영업/정상,영업,,,270.47,"경기도 성남시 분당구 판교로 584, 지하1층 (야탑동)",경기도 성남시 분당구 야탑동 490-2 지하1층,13515,37.4074490551,127.1381210883,세탁업 기타,212153.381397847,433933.878191951,세탁업 기타,0,0,0,0,0,0,,,,,2,,,4,,N
20250306,(주)워시스왓,영업/정상,영업,,,856.50,"경기도 양주시 칠봉산로227번길 20, 가동 1층 일부 (봉양동)",경기도 양주시 봉양동 362-7 가동 1층 일부,11448,37.8549995232,127.0754808796,세탁업 기타,206536.49594917,483600.346411532,세탁업 기타,0,0,1,1,0,0,,,,임대,2,0,0,8,,N
20220211,(주)원미크린,영업/정상,영업,,,214.00,"경기도 남양주시 와부읍 수레로 607, 나동 1층",경기도 남양주시 와부읍 월문리 159-2 1층 나동,12202,37.6135221299,127.2688886501,일반세탁업,223679.865224389,456834.852785688,일반세탁업,0,0,,,,,,,,,3,0,0,4,,N
20161221,(주)월드크리닝,영업/정상,영업,,031-8019-8002,451.20,"경기도 수원시 영통구 매영로 167, 1층 (원천동)",경기도 수원시 영통구 원천동 496,16521,37.2656142252,127.060417027,일반세탁업,205288.59764919,418183.892649362,일반세탁업,0,0,1,1,,,,,,,2,0,0,4,,N
20250724,(주)유니룩스 크린업24플러스 서정마을점,영업/정상,영업,,,84.32,"경기도 고양시 덕양구 서정마을2로7번길 28, 1층 일부호 (행신동)",경기도 고양시 덕양구 행신동 1056,10486,37.6224832434,126.8462592517,일반세탁업,186358.837646506,457804.96877735,일반세탁업,0,0,,,,,,,,,6,0,0,6,,N
20241113,(주)의식주컴퍼니 파주2지점,영업/정상,영업,,,"1,832.87",경기도 파주시 법원읍 술이홀로 944,경기도 파주시 법원읍 법원리 489-1,10826,37.8545337422,126.8774646444,세탁업 기타,189145.708760436,483561.29983075,세탁업 기타,1,0,1,1,,,,,,,2,0,0,14,,N
20170904,(주)일가화락,폐업,폐업,20200106,031-214-2389,260.40,"경기도 수원시 영통구 신원로250번길 54, 1층 (매탄동)",경기도 수원시 영통구 매탄동 521-1,16676,37.2567091274,127.0630399139,세탁업 기타,205515.519482708,417247.571686438,세탁업 기타,0,0,1,1,,,,,,,4,0,0,4,,N
20151124,(주)재훈,폐업,폐업,20240305,031-795-3308,194.00,경기도 하남시 하남대로249번길 37 (상산곡동),경기도 하남시 상산곡동 126-3,13027,37.4969867457,127.2310216176,일반세탁업,220356.64350189,443885.363993948,일반세탁업,1,0,0,0,0,0,,,,,2,1,1,1,,N
20201127,(주)재훈,영업/정상,영업,,,66.00,경기도 광주시 곤지암읍 만삼로244번길 59-1,경기도 광주시 곤지암읍 삼합리 214,12727,37.3763017553,127.4356869774,세탁업 기타,238528.964051619,430554.968588412,세탁업 기타,1,0,1,,,,,,,자가,5,2,2,6,,N
19880209,(주)전일사,폐업,폐업,20080522,031-984-3661,.00,,경기도 김포시 감정동 590-4,10104,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
20140221,(주)정대산업,폐업,폐업,20210826,031-334-3381,107.50,"경기도 용인시 처인구 남사읍 천덕산로 357-5, 1층",경기도 용인시 처인구 남사읍 원암리 402-3 1층,17124,37.1000429233,127.1404662436,일반세탁업,212424.246307771,399823.771221465,일반세탁업,2,0,1,1,0,0,,,,임대,2,,,0,,N
20071127,(주)제이빌,폐업,폐업,20221003,,"1,752.87",경기도 파주시 법원읍 술이홀로 944,경기도 파주시 법원읍 법원리 489-1,10826,37.8545337422,126.8774646444,세탁업 기타,189145.708760436,483561.29983075,세탁업 기타,2,0,1,2,0,0,,,,자가,0,,,0,,N
20120321,(주)제이스엠,영업/정상,영업,,,664.95,경기도 평택시 팽성읍 추팔산단로 58-6,경기도 평택시 팽성읍 남산리 41-6,17998,36.9604306516,127.072950125,세탁업 기타,206423.083894576,384324.72307436,세탁업 기타,1,0,1,1,0,0,,,,,4,,,0,,N
20140710,(주)제이앤디플러스,영업/정상,영업,,031-724-0848,111.00,"경기도 성남시 중원구 사기막골로 148, 2층 208호 (상대원동)",경기도 성남시 중원구 상대원동 171 2층 208호,13207,37.4412931095,127.1777390189,일반세탁업,215659.244237496,437702.888359111,일반세탁업,0,0,0,0,0,0,,,,,2,,,1,,N
20011016,(주)제이엔에스토상 오렌지크린,폐업,폐업,20031104,031-442-4454,.00,경기도 안양시 만안구 냉천로 30,경기도 안양시 만안구 안양동 541-23,14092,37.3842749043,126.9281386234,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
19990727,(주)조양,폐업,폐업,20081120,,.00,경기도 안양시 동안구 벌말로 56,경기도 안양시 동안구 관양동 984-3,14059,37.3931400051,126.969746908,일반세탁업,197243.479267404,432337.066351709,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20100415,(주)조양실업,영업/정상,영업,,031-947-2959,483.00,경기도 파주시 월롱면 통일로600번길 69,경기도 파주시 월롱면 영태리 360-7,10945,37.7627959878,126.7983532153,일반세탁업,182165.917943157,473388.716406398,일반세탁업,0,0,0,0,0,0,,,,,4,,,0,,N
20180817,(주)조이박스,폐업,폐업,20250312,031-238-0700,140.80,"경기도 수원시 장안구 율전로101번길 28, 1층 (율전동)",경기도 수원시 장안구 율전동 321-7,16361,37.2988270869,126.9673971141,일반세탁업,197039.529542907,421874.231461748,일반세탁업,0,0,1,1,0,0,,,,,4,0,0,1,,N
20171011,(주)조이박스,폐업,폐업,20180723,031-238-0700,13.28,"경기도 수원시 팔달구 효원로308번길 58-17, 106호 (인계동)",경기도 수원시 팔달구 인계동 1134-3 106호,16491,37.258163596,127.0331809657,세탁업 기타,202872.855455147,417358.455925009,세탁업 기타,0,0,2,2,0,0,,,,,0,0,0,0,,N
20190530,(주)중경산업,폐업,폐업,20201231,031-8058-7336,167.07,"경기도 화성시 동탄구 노작로2길 36, 1층 전체호 (반송동)",경기도 화성시 동탄구 반송동  122-11,18459,37.1969279786,127.0778979116,일반세탁업,206844.085320643,410563.569161463,일반세탁업,0,0,1,1,,,,,,,4,0,0,4,,N
20220915,(주)진경,영업/정상,영업,,,296.00,"경기도 남양주시 화도읍 마치로284번길 110-9, 2동 1층",경기도 남양주시 화도읍 녹촌리 442-2 주2동 1층,12187,37.644898033,127.2831761026,세탁업 기타,224924.663943109,460329.530768422,세탁업 기타,0,0,,,,,,,,,2,0,0,2,,N
20131125,(주)창포크린,영업/정상,영업,,,396.00,"경기도 남양주시 오남읍 양지로삭다니1길 14-4, 주2동, 주3동","경기도 남양주시 오남읍 양지리 628-3 주2동, 주3동",12047,37.6965801217,127.1900563184,일반세탁업,216705.942697513,466024.866078578,일반세탁업,1,0,0,0,0,0,,,,임대,4,,,3,,N
20231024,(주)청명코퍼레이션,영업/정상,영업,,,103.75,"경기도 성남시 중원구 갈마치로288번길 14, 성남 SK V1 tower 1층 121호 (상대원동)",경기도 성남시 중원구 상대원동 5460 성남 SK V1 tower 1층 121호,13201,37.4395067614,127.173857991,세탁업 기타,215296.634934355,437492.166694164,세탁업 기타,0,0,0,0,0,0,,,,,0,,,0,,N
20141023,(주)춘파,폐업,폐업,20161206,,85.98,"경기도 고양시 일산동구 공릉천로 88, 1층 전부호 (사리현동)",경기도 고양시 일산동구 사리현동 188-19 1층 전부호,10261,37.7009013459,126.8467395892,일반세탁업,186411.635752264,466505.404708829,일반세탁업,2,0,1,1,,,,,,,1,0,0,0,,N
20130430,(주)춘파 양주지점,영업/정상,영업,,1577-5663,700.00,"경기도 양주시 은현면 은현로55번길 21-41, 1층","경기도 양주시 은현면 선암리 510-1 , 510-2",11427,37.8723445535,127.0223967079,세탁업 기타,201873.41788026,485530.034048822,세탁업 기타,2,0,1,1,,,,,,,4,,,0,,N
20140424,(주)코암월드(크린킹빨래방),폐업,폐업,20190909,,68.96,"경기도 오산시 궐리사로29번길 16-5 (궐동, 1층)",경기도 오산시 궐동 620-1,18121,37.1608296002,127.0565194648,빨래방업,204949.438245691,406562.703874981,빨래방업,1,5,1,1,0,0,,,,임대,3,,,0,,N
20250923,(주)쿨화이트명품컨시어지,영업/정상,영업,,,343.98,"경기도 광주시 오포안로 94, 1층 (문형동)",경기도 광주시 문형동 38-11,12774,37.3528905603,127.2000789399,일반세탁업,,,일반세탁업,0,0,1,1,,,,,,임대,4,0,0,2,,N
