faclt_nm,faclt_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,faclt_ar,convnce_faclt_info,stayng_faclt_info,sports_recratn_faclt_info,recrtn_cultur_faclt_info,entrtnmt_faclt_info,sport_faclt_info,apnt_ymd,aceptnc_posbl_psncnt,parkng_comprt_cnt,touresrt_intrd_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
철쭉동산,관광지,,경기도 군포시 산본동 1152-14,37.35543392,126.924967,55795.0,화장실,,,,,,20210512,50000,260,빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다.,031-392-3000,경기도 군포시청,20251231
수리사,관광지,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329,37.35443607,126.8967938,7369.0,화장실,,,,,,19881025,100,5,진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다.,031-438-1823,수리사,20251231
물누리체험관,관광지,경기도 군포시 호수로 170-85,경기도 군포시 둔대동 301-5,37.32136505,126.8996775,1477.76,화장실,,,,,,20091001,40,11,물과 관련된 다양한 체험프로그램이 있는 물누리체험관,031-390-8688,경기도 군포시청,20251231
누리천문대,관광지,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7,37.33028283,126.9153444,237.0,화장실,,,,,,20041004,20,10,"천체관측실, 천문우주체험관. 4D입체상영관, 플라네타리움 등 유익하고 알찬 시설을 갖춘 천문과학문화 공간, 군포시 대야도서관 4층, 5층에 있다.",031-501-7100,경기도 군포시청,20251231
대성관광지,관광지,경기도 가평군 청평면 대성강변길 14,경기도 가평군 청평면 대성리 601-3,37.681431,127.379521,262722.0,공중화장실(2동)+안내소운영(1동),"휴양콘도, 가족호텔, 방가로, 펜션","유원시설, 다목적운동장, 족구장 등","선착장 3개, 야영장 등",매점+식당 등 4개소 운영,없음,19681004,1000,25,"경춘가도의 대성리역을 중심으로 북한강변 8만여 평에 이루어져 있으며, 산책로, 피크닉장, 자전거도로가 조성되어 있으며, 여러 편의시설도 들어서 있다. 북한강은 수영이  금지되어 있으며, 보트 등 수상스포츠는 즐길 수 있다.",031-580-2517,경기도 가평군청 관광과,20251224
산장관광지,관광지,경기도 가평군 상면 덕현산장길 71 산장관광지,경기도 가평군 상면 덕현리 21,37.754183,127.410629,118040.0,도로+주차장+관리사무소+홍수위관리소,"콘도형펜션 1동, 펜션하우스 5동",조경 식재,"캐라반 12동, 캐라반싸이트, 캠핑장, 야외공연장 등",음식점 및 상가 2동 운영,없음,19770331,2700,156,"1977년에 국민관광지로 지정, 자연경관을 최대한 살린 계곡형 관광지로 개발되었으며, 북한강 지류인 조종천의 맑은 물이 한데 어우러져 경치가 아름답다. 주요 시설로는 야영장과 다양한 숙박시설, 계곡자연풀장이 있다.",031-580-2515,경기도 가평군청 관광과,20251224
신륵사관광지,관광지,경기도 여주시 신륵사길 73,경기도 여주시 천송동 289-7,37.29742583,127.6599364,947268.0,관광안내소+주차장,관광호텔+여관+콘도,물놀이장+오락장,청소년 수련실+야외음악당,,,19780211,4070,1830,"시원한 남한강을 따라 자전거도로, 각종 체육시설과 여주박물관, 도자세상, 농특산물 판매장이 있으며, 매년 여주도자기축제와 오곡나루축제가 이곳에서 개최되고 있다. 특히 남한강을 가르는 황포돛배(Yellow Sail boat)와 수상레저를 즐길 수 있는 가족 연인들의 나들이 공간이다",031-887-2070,경기도 여주시청,20251222
산정호수,관광지,경기도 포천시 영북면 산정호수로411번길 5 일원,경기도 포천시 영북면 산정리 451-3일원,38.065669,127.315722,644500.0,관리사무실+화장실+주차장,,,,,,19770330,20000,500,백운산에서 흘러내린 맑은 물이 계곡을 이룬곳으로 경관이 수려함,031-538-3363,경기도 포천시청 관광사업과,20230706
백운계곡,관광지,경기도 포천시 이동면 포화로 236-24 일원,경기도 포천시 이동면 도평리 35 일원,38.072165,127.409889,148000.0,관리사무실+화장실+주차장,,,,,,19870904,10000,100,"명성산 밑에 위치한 호수로 경관이 둘레길이 잘 조성되어 있고, 가을 억새로 장관을 이룸",031-538-3363,경기도 포천시청 관광사업과,20230706
용문산 관광지,관광지,경기도 양평군 용문면 용문산로 641,경기도 양평군 용문면 신점리 525-2번지,37.54529617,127.583066,382233.0,관리사무소+관광안내소+ 주차장+ 공중화장실,콘도+ 펜션,청춘뮤지엄,야영장+ 친환경농업박물관,야외공연장,,19710520,5000,807,관광지를 품에 안고 있는 용문산의 웅장한 산세와 기암괴석이 만들어 낸 절경은 금강산을 방불케 한다.,031-770-2491,경기도 양평군청,20230524
두물머리,관광지,경기도 양평군 양서면 두물머리길 145,경기도 양평군 양서면 양수리 697번지,37.53362262,127.3174715,400000.0,관리사무소+주차장+ 공중화장실,,두물머리생태학교,,,,19740524,5000,567,물안개와 일출+ 황포돛배 그리고 400년이 넘은 느티나무가 어우러진 한국관광 100선에 선정된 곳,031-770-2568,경기도 양평군청,20230524
세미원,관광지,경기도 양평군 양서면 양수로 93,경기도 양평군 양서면 용담리 428-8번지,37.54093866,127.3239608,127085.0,관리사무소+주차장+ 공중화장실,,,연꽃박물관,,,20190917,3000,567,경기도 제1호 지방정원,031-770-2568,경기도 양평군청,20230524
쉬자파크,관광지,경기도 양평군 양평읍 쉬자파크길 193,경기도 양평군 양평읍 백안리 산45-7번지,37.51122354,127.5331978,186504.0,관리사무소+주차장+ 공중화장실,펜션,암벽등반+ 놀이터,체험관+ 치유센터,,,20180516,3000,85,쉼을 주는 공원으로 맑은공기+ 숙박+ 치유+ 체험과 교육이 함께하는 전국 최초 산림문화 휴양단지,031-770-2417,경기도 양평군청,20230524
김포평화누리길 1코스,관광지,,경기도 김포시 대곶면 대명리 561(대명항),37.6535376,126.5533799,15000.0,대곶면행정복지센터,약암홍염천 관광호텔 + 덕포진 누리마을 캠핑장,,김포 함상공원 + 덕포진,,김포시 관광안내소,20100101,3514,0,김포 평화누리길은 대명항에서 시작하여 문수산 + 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다.,031-980-5108,경기도 김포시청,20251124
김포평화누리길 2코스,관광지,,경기도 김포시 월곶면 성동리 산49(문수산성),37.73869766,126.5484911,15000.0,월곶면행정복지센터,조강276(평화의 길 거점센터),,문수산성 + 애기봉 평화 생태공원,,,20100101,3514,0,김포 평화누리길은 대명항에서 시작하여 문수산 + 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다.,031-980-5108,경기도 김포시청,20251124
김포평화누리길 3코스,관광지,,경기도 김포시 하성면 전류리 43-4(전류리 포구),37.70077831,126.6622045,15000.0,하성면행정복지센터,,,전류리 포구,,,20100101,3514,0,김포 평화누리길은 대명항에서 시작하여 문수산 + 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다.,031-980-5108,경기도 김포시청,20251124
한탄강관광지,관광지,경기도 연천군 전곡읍 선사로 76,경기도 연천군 전곡읍 전곡리 696-3,38.00887699,127.0588604,312000.0,관리사무소+화장실+주차장,캐라반59개+캐빈하우스16개+강변야영장86면+언덕야영장19면,인조잔디구장+풋살구장+농구장+인라인스케이트장+산책로+캐릭터공원+각종체육시설,오토캠핑장,,,19770331,7800,392,한탄강이 내려다보이는 천혜의 위치에 자리잡은 관광지,031-839-2148,경기도연천군청,20250628
연천재인폭포,관광지,,경기도 연천군 연천읍 부곡리 193,38.07672631,127.142345,27569.0,해설안내소+화장실+주차장,,,출렁다리,,,20130212,500,50,18.5m 높이의 폭포로 연천군 대표적인 명승지,031-839-2278,경기도연천군청,20250628
평택호관광단지,관광단지,경기도 평택시 현덕면 평택호길 48,경기도 평택시 현덕면 권관리 551-3,36.914825,126.912951,663013.0,관리사무소+화장실(4동)+주차장(5개소) 등,조성중,조성중,한국소리터+평택호예술관+지영희국악관 등,조성중,관리사무소,19770331,100000,724,문화와 예술이 살아숨쉬는 친환경 문화관광단지,031-8024-8687,경기도 평택시청,20260317
수동관광지,관광지,경기도 남양주시 수동면 비룡로 1635,경기도 남양주시 수동면 내방리 254,37.75797919,127.2753596,225000.0,개방화장실+주차장,,,몽골문화촌+민속전시관+어린이체험관+공연장,,,19831011,100,119,몽골문화촌,031-559-8018,경기도 남양주시청,20260403
연천호로고루,관광지,,경기도 연천군 장남면 원당리 1258,37.98583872,126.8596065,21768.0,해설안내소+화장실+주차장,,,하늘계단,,,20060102,500,20,임진강이 지류와 만나 형성된 삼각형의 대지위에 조성된 독특한 고구려성,031-839-2144,경기도연천군청,20250628
당포성,관광지,,경기도 연천군 미산면 동이리 778,38.02350322,126.9854182,35174.0,화장실+주차장,,,,,,20060102,200,20,삼국시대 성곽 천연 절벽을 이용하여 축조한 평지성,031-839-2144,경기도연천군청,20250628
연천전곡리유적,관광지,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 529,38.01564838,127.0614526,778296.0,해설안내소+화장실+주차장,,,체험마을,,,19791002,500,50,한탄강변에 있는 구석기시대으로 1978년 아슐리안형 주먹도끼가 발견된 이래 전 세계적으로 주목을 받고 있는 유적으로 사적 제268호,031-839-2565,경기도연천군청,20250628
은대리 문화벽돌공장,관광지,경기도 연천군 전곡읍 평화로940번길 72-27,경기도 연천군 전곡읍 은대리 267-1,38.051066007,127.0713676999,2998.0,복합문화공간+카페+주차장+수유실+화장실,,,복합문화공간+카페,,,20250701,250,49,은대리에 위치한 폐벽돌공장을 리모델링한 복합문화공간,031-832-1995,경기도연천군청,20250628
광명동굴,관광지,경기도 광명시 가학로 85번길 142,경기도 광명시 가학동 27,37.42467857,126.8634321,782.0,주차장+화장실+매표소+방문자센터,,VR체험관+공포체험관,라스코전시관+예술의전당+미디어타워,푸드코트+노천카페+이동판매대+와인판매대+기념품샵,,20110911,4000,899,1912년 일제가 자원수탈을 목적으로 개발을 시작한 광명동굴(구.시흥광산)은 일제강점기 징용과 수탈의 현장이자 해방 후 근대화ㆍ산업화의 흔적을 고스란히 간직한 산업유산이다. 1972년 폐광된 후 40여 년간 새우젓 창고로 쓰이며 잠들어 있던 광명동굴을 2011년 광명시가 매입하여 역사ㆍ문화 관광명소로 탈바꿈시켰다. 광명동굴은 산업유산으로서의 가치와 문화적 가치가 결합된 대한민국 최고의 동굴테마파크라는 평가를 받고 있으며 연간 100만 명 이상의 관광객이 찾는 세계가 놀란 폐광의 기적을 이루었다.,070-4277-8902,경기도 광명도시공사,20240614
유니온파크,관광지,경기도 하남시 미사대로 710,경기도 하남시 신장동 27,37.54654783,127.2205032,79057.0,도로+주차장+관리사무소+화장실,,다목적 체육관+테니스장+족구장+농구장+체육시설+어린이 물놀이시설,유니온타워+야외무대,,,20150601,500,237,"기존의 노후화 된 소각장, 재활용선별장, 음식물처리장, 중계펌프장 등의 시설 개선과 미사지구와 같은 택지개발사업 등으로 환경기초시설 확충이 요구됨에 따라 국내최초로 지하에 폐기물처리시설과 하수처리시설을 함께 설치한 신개념 환경기초시설이다. 지하에는 소각처리시설, 재활용선별시설, 음식물자원화시설, 하수처리시설 등이 설치되어 있고, 지상에는 잔디광장, 어린이물놀이시설, 다목적체육관, 야외체육시설 등 다양한 주민친화시설이 있는 하남유니온파크와 한강·검단산 등 하남의 아름다운 경관을 한눈에 조망할 수 있는 하남유니온타워(105m)가 설치되어있다.",031-790-6255,경기도 하남시청 체육진흥과,20250508
광주향교,관광지,경기도 하남시 대성로 126-13,경기도 하남시 교산동 227-3,37.52207622,127.1984175,7127.0,공중화장실,,,,,,19830919,100,45,"고려, 조선시대의 교육기관으로 유학을 가르치고 인재를 양성하던 곳",031-790-5971,경기도 하남시청 문화정책과,20250508
이성산성,관광지,,경기도 하남시 춘궁동 산 36,37.52530687,127.1847777,128891.0,주차장+화장실+공원,,,,,,20000916,3000,35,6세기 중반경에 신라가 쌓은 것으로 추정되는 신라시대 산성,031-790-5971,경기도 하남시청 문화정책과,20250508
미사경정공원,관광지,경기도 하남시 미사대로 505,경기도 하남시 신장동 281번지,37.5536259053,127.2132295877,1329933.0,조정호수+축구장+족구장+매점+자전거대여 등,,"조정호수, 축구장, 족구장, 매점, 자전거대여 등",,,,19800101,10000,3500,"86아시안게임 및 88 서울 올림픽 당시 조정, 카누경기를 위해 만들어진 공원으로 조정호수를 중심으로 축구장, 족구장 등 스포츠시설을 비롯하여 매점, 자전거 대여 등 편의시설과 놀이시설을 갖춘 시민들의 여가선용 장소임",031-790-8883,한국체육산업개발주식회사,20250508
안성남사당공연장,관광지,경기도 안성시 보개면 남사당로 198-2,경기도 안성시 보개면 복평리 302-8,37.03181804,127.310053,3431.0,남사당카페,,,,,남사당전수관,20110830,727,8,안성맞춤랜드 내 위치한 안성남사당 상설공연용 공연장,031-678-2512,경기도 안성시청,20250416
안성맞춤랜드,관광지,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.0328236,127.3078038,344514.0,화장실+주차장,,운동기구3종+ 잔디광장,잔디광장+수변공원+야생화단지+미니식물원 등,랜드사무실 1동,,20121228,40000,850,안성의 최대규모 시민공원,031-678-2486,경기도 안성시청,20250416
안성맞춤캠핑장,관광지,경기도 안성시 보개면 남사당로 196-31,경기도 안성시 보개면 복평리 302-5,37.03129806,127.3091429,24750.0,화장실+주차장,캠핑장 71면+카라반 7대+ 글램핑 10동,,,캠핑장 사무실 1동,,20151006,400,60,자연과 함께하는 캠핑장,031-678-2487,경기도 안성시청,20250416
안성시사계절썰매장,관광지,경기도 안성시 보개면 남사당로 198-3,경기도 안성시 보개면 복평리 302-7,37.0312917,127.3114616,17301.0,관리동+ 매점,,슬로프2면+ 수경시설,,관리동,,20151007,1000,50,사계절 운영하는 썰매장,031-678-2674,경기도 안성시청,20250416
안성맞춤천문과학관,관광지,경기도 안성시 보개면 남사당로 198-9,경기도 안성시 보개면 복평리 298,37.03291074,127.3125372,854.0,회의실+ 전시장,,,천체투영관+ 관측실2,천문과학관 로비,,20151008,40,6,안성 유일한 천문과학관,031-675-6978,경기도 안성시청,20250416
안성맞춤공예문화센터,관광지,경기도 안성시 보개면 남사당로 198-11,경기도 안성시 보개면 복평리 296,37.03497838,127.3108743,449.0,화장실+주차장,,,전시장,공예문화센터 로비,,20151009,70,4,공방체험 및 전시문화공간,031-678-2673,경기도 안성시청,20250416
안성맞춤박물관,관광지,경기도 안성시 대덕면 서동대로 4726-15,경기도 안성시 대덕면 내리 399-5,37.011318,127.228354,8264.0,휴식공간+ 자전거보관대,,,,,,20020801,150,60,안성맞춤박물관은 안성유기를 중심테마로2002년 8월 1일에 개관한 시립박물관이다.,031-678-2506,경기도 안성시청,20250416
안성3.1운동기념관,관광지,경기도 안성시 원곡면 만세로 868,경기도 안성시 원곡면 칠곡리 2-18,37.06278592,127.1752942,30422.0,휠체어+ 유모차 보관함+체험교육실,,,,,,20011117,60,57,3.1운동의 전국 3대 실력 항쟁지 중 한 곳으로 가장 극렬하게 만세항쟁을 펼쳐 일제를 몰아내고 2일 간의해방을 이뤄냈던 4.1만세 항쟁의 집결지였던 만세고개 일원을성역화하여 선열들의 숭고한 자주독립 정신을 발전시키고 후세들에게 나라사랑의 산 교육장으로 활용하기 위해 건립하였다.,031-678-2476,경기도 안성시청,20250416
박두진문학관,관광지,경기도 안성시 보개면 남사당로 198-11,경기도 안성시 보개면 복평리 296,37.03497856,127.3108743,10512.0,북카페+ 다목적실+ 전망대 쉼터,,,,,,20181116,60,10,안성출신 시인 박두진의 삶과 문학적 발자취를 소개하고 전시하는 곳이다.,031-678-2469,경기도 안성시청,20250416
에버랜드,관광지,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310,37.2940667,127.202128,746000.0,화장실+주차장+관광안내소,,,,,,19760417,81546,10400,경기도 용인시 처인구 포곡읍 에버랜드로 199에 위치한 테마파크. 현재까지 대한민국 최대 규모의 놀이공원 및 동물원이 있다.,031-324-2117,경기도 용인시 관광과,20250425
한국민속촌,관광지,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35,37.25913189,127.1225431,659118.0,화장실+주차장+관광안내소,,,,,,19741003,60000,2800,한국의 전통문화와 민속적인 삶을 재현하고 있는 곳으로 이를 통해 조상들의 지혜와 생활 모습을 느낄 수 있는 곳이다.,031-324-2117,경기도 용인시 관광과,20250425
공릉관광지,관광지,경기도 파주시 조리읍 장곡로 218,경기도 파주시 조리읍 장곡리 420,37.74984994,126.8335561,659276.0,관리사무소+화장실(4동)+주차장,,유원시설,캠핑장,,,19770331,1000,300,"공릉호의 수려한 자연환경을 즐길 수 있으며 유원시설, 캠핑장, 산책로를 갖춘 관광지",031-950-1800,경기도 파주도시관광공사,20250513
임진각관광지,관광지,경기도 파주시 문산읍 임진각로 177,경기도 파주시 문산읍 마정리 1360-44 일원,37.88953876,126.7401859,477894.0,관리사무소+화장실+오수처리시설+기반시설(주차장+도로+전기공급시설),,평화랜드,기념공원+ 망배단+ 비트뮤지엄+ 평화누리+ 종합관광센터+ 평화누리캠핑장,,,19910128,50000,2091,"임진각관광지는 6.25전쟁의 비극이 그대로 남아있는 대한민국 대표 평화관광지로, 망배단, 6.25납북자기념관, 자유의다리 등이 소재하고 있으며, 3만평 규모의 평화누리공원이 조성되어 있음. 평화교육의 공간이자, 가족단위 나들이 장소로 매년 100만명이 방문하고 있음.",031-950-1962,경기도 파주도시관광공사,20250513
애기봉 평화생태공원,관광지,경기도 김포시 월곶면 평화공원로 289,경기도 김포시 월곶면 조강리 1-9,37.75316598,126.5942484,49500.0,월곶면사무소,김포캠핑파크 + 조강276(평화의 길 거점센터),,월곶생활문화센터 + 김포 평화문화관 + 김포국제조각공원,,,19660101,500,56,병자호란 때 끌려간 평안감사를 그리워하다 죽은 애기의 한이 강 하나를 사이에 두고 오가지 못하는 이산가족의 한과 같다고 하여 애기봉이라 명명한 곳으로 우리나라에서 북한을 제일 가까이에서 볼 수 있다.,031-989-6034,김포문화재단,20251124
김포함상공원,관광지,경기도 김포시 대곶면 대명항1로 110-36,경기도 김포시 대곶면 대명리 551-1,37.6406387,126.539261,9578.0,대곶면행정복지센터,약암홍염천 관광호텔,,,,,20060101,80,100,52년간 바다를 지켜오다 2006년 12월 퇴역한 상륙함(운봉함)을 활용하여 조성한 수도권 유일의 함상공원으로 다양한 전시품 감상 및 함상 체험활동을 할 수 있다.,031-987-4097,김포도시관리공사,20251124
장흥관광지,관광지,경기도 양주시 장흥면 권율로 193,경기도 양주시 장흥면 석현리 산 1,37.73281632,126.9492504,390000.0,관광안내소+화장실+주차장,관광호텔,,캠핑장+미술관,,,19861227,2340,502,"계명산과 송추계곡 등의 우수한 자연경관과 양주시립장욱진미술관, 가나아트파크, 송암스페이스센터 등 풍부한 문화예술체험을 동시에 즐길 수 있음",031-8082-5664,경기도 양주시청,20250912
고양관광정보센터,관광지,경기도 고양시 일산동구 중앙로1271-1,경기도 고양시 일산동구 장항동845,37.65948674,126.7726989,1732.0,핸드폰충전 +컴퓨터 검색 + 우산대여서비스 + 휠체어대여 서비스 + 유모차대여서비스 + 휴계공간 + 공용화장실 + 정수기 +,,버스킹존 + 민속놀이 체험존,고양시 관광지 자료배포+행사 안내,영상관25명 + 관광회의실 12명 + 북쉼터 15명 + 루프탑 30명 + 공유오피스 40명,영상관+회의실+북쉼터+영상창작실+루프탑+관광기념품판매점 + 카페,20201115,122,0,고양시 관광지 자료 배포 및 시티투어 안내,031-905-8396,경기도 고양시청 관광과,20250905
행주산성,관광지,경기도 고양시 덕양구 행주로 15번길 89,경기도 고양시 덕양구 행주외동116,37.59610775,126.8287118,347670.0,휠체어대여 서비스+ 유모차대여서비스 + 교통약자 차량 지원+ 공중화장실 +,,민속놀이 체험존,행주산성 문화재 관광 안내+행사 안내,대첩기념관 20여명 + 충의정 20여명,영상교육관 + 대첩기념관,19630121,2000,230,행주산성 사적 제 56호(행주대첩비 + 충훈정+충장사+대첩기념관+대첩비각+충의정+덕양정+진강정),031-8075-4642,경기도 고양시청 관광과,20250905
