sigun_nm,faclt_nm,mnginst_telno,instl_ymd,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,cvlcpt_resn_instl_yn,mm_accto_utlz_noc,locatn_slctn_evl_item,rm,dat_clct_ymd
수원시,지동 행정복지센터,031-5191-3218,20170101,경기도 수원시 팔달구 세지로 339 (지동),경기도 수원시 팔달구 지동 143-1,37.2815298942,127.0246664792,N,70,시민접근성,,20250710
수원시,율천동 행정복지센터,031-5191-3218,20170101,경기도 수원시 장안구 서부로 2106번길 27 (율천동),경기도 수원시 장안구 율전동 433-2,37.29762831,126.9714335898,N,321,시민접근성,,20250710
수원시,정자1동 행정복지센터,031-5191-3218,20170101,경기도 수원시 장안구 정자로 130번길 20 (정자동),경기도 수원시 장안구 정자동 840-96,37.3022042052,126.9912833877,N,261,시민접근성,,20250710
수원시,매탄2동 행정복지센터,031-5191-3218,20170101,경기도 수원시 영통구 매영로 39번길 21 (매탄동),경기도 수원시 영통구 매탄동 198-99,37.270153395,127.0474311668,N,125,시민접근성,,20250710
수원시,파장동 행정복지센터,031-5191-3218,20170101,경기도 수원시 장안구 파장천로 60 (파장동),경기도 수원시 장안구 파장동 381,37.3103158829,126.9974241401,N,32,시민접근성,,20250710
과천시,무인택배함,02-2150-3104,20170201,경기도 과천시 관문로 136,경기도 과천시 중앙동 68,37.433075,126.993391,Y,40,단독주택밀집지역,,20180221
의정부시,여성안심택배보관함(가능1동 주민센터 후문주차장),1577-2740,20140501,경기도 의정부시 신촌로 35(가능동),경기도 의정부시 가능동 617-8번지,37.7504849,127.0384882,N,332,시민 접근성+유동인구 고려,월별이용건수: 월평균이용건수,20180221
의정부시,여성안심택배보관함(경전철 회룡역사내),1577-2740,20140501,경기도 의정부시 평화로 363(호원동),경기도 의정부시 호원동 50-5번지,37.7159306,127.04632,N,909,시민 접근성+유동인구 고려,,20180221
의정부시,여성안심택배보관함(경전철 동오역사내),1577-2740,20160501,경기도 의정부시 장곡로 471(신곡동),경기도 의정부시 신곡동 547-15번지,37.7450094,127.0563441,N,213,시민 접근성+유동인구 고려,,20180221
의정부시,여성안심택배보관함(경전철 송산역사내),1577-2740,20160501,경기도 의정부시 충의로 59(용현동),경기도 의정부시 용현동 558번지,37.7347378,127.0881237,N,312,시민 접근성+유동인구 고려,,20180221
수원시,화서1동 행정복지센터,031-5191-3218,20170101,경기도 수원시 팔달구 동말로 4번길 10 (화서동),경기도 수원시 팔달구 화서동 184-357,37.2764585981,126.99504368,N,98,시민접근성,,20250710
수원시,버드내도서관,031-5191-3218,20170101,경기도 수원시 권선구 세권로94번길 29(세류동),경기도 수원시 권선구 세류동 503-2,37.2568186703,127.0147853432,N,100,시민접근성,,20250710
수원시,곡선동 행정복지센터,031-5191-3218,20170101,경기도 수원시 권선구 동수원로146번길 174,경기도 수원시 권선구 곡반정동 525,37.2433271896,127.0333288642,N,99,시민접근성,,20250710
수원시,연무동 행정복지센터,031-5191-3218,20170101,경기도 수원시 장안구 경수대로 757,경기도 수원시 장안구 연무동 181-1,37.2905582533,127.0215409972,N,79,시민접근성,,20250710
용인시,여성안심 무인택배 보관함(죽전2동),031-324-2262,20161031,경기도 용인시 수지구 포은대로 523 죽전2동 주민센터,경기도 용인시 수지구 죽전동 1003-122,37.3259005,127.1055992,N,200,1인 가구수+밀집도+범죄율,,20180221
용인시,여성안심 무인택배 보관함(명지대역),031-324-2262,20161031,경기도 용인시 처인구 금학로 241(역북동) 경전철 명지대역,경기도 용인시 처인구 역북동 484-10,37.2379917,127.1903507,N,30,1인 가구수+밀집도+범죄율,,20180221
용인시,여성안심 무인택배 보관함(기흥구청),031-324-2262,20170124,경기도 용인시 기흥구 관곡로 95(구갈동) 기흥구청,경기도 용인시 기흥구 구갈동 355,37.2801294,127.1146591,N,300,1인 가구수+밀집도+범죄율,,20180221
용인시,여성안심 무인택배 보관함(수지도서관),031-324-2262,20170124,경기도 용인시 수지구 문정로7번길 23(풍덕천동) 수지도서관,경기도 용인시 수지구 풍덕천동 1088,37.319792,127.0941287,N,90,1인 가구수+밀집도+범죄율,,20180221
용인시,여성안심 무인택배 보관함(포곡도서관),031-324-2262,20170905,경기도 용인시 처인구 포곡읍 포곡로 278번길8 포곡도서관,경기도 용인시 처인구 포곡읍 삼계리 556-2,37.2788782,127.2325101,N,20,1인 가구수+밀집도+범죄율,,20180221
용인시,여성안심 무인택배 보관함(청덕도서관),031-324-2262,20170905,경기도 용인시 기흥구 구성1로44 청덕도서관,"경기도 용인시 기흥구 청덕동 549
",37.2927081,127.1475184,N,15,1인 가구수+밀집도+범죄율,,20180221
안양시,"여성안심
무인택배함",031-8045-5587,20160701,"경기도 안양시 동안구 시민대로 180
(호계동, 롯대백화점 평촌점 지하광장)","경기도 안양시 동안구 호계동 1039
(호계동, 롯대백화점 평촌점 지하광장)",37.3901398,126.950418,N,212,접근성+유동인구,,20180221
수원시,행궁동 행정복지센터,031-5191-3218,20190701,경기도 수원시 팔달구 신풍로23번길 40 (신풍동),경기도 수원시 팔달구 신풍동 100,37.2840499862,127.012647674,N,64,시민접근성,,20250710
안산시,"여성안심
무인택배함",031-481-2209,20170419,경기도 안산시 상록구 각골로 49,경기도 안산시 상록구 본오동 778,37.2939227,126.872239,Y,199,"다세대다가구
밀집지역",,20180221
안산시,"여성안심
무인택배함",031-481-2209,20170419,경기도 안산시 단원구 와동로 118,경기도 안산시 단원구 와동 111-4,37.3405013,126.8272108,Y,27,"다세대다가구
밀집지역",,20180221
안산시,"여성안심
무인택배함",031-481-2209,20170419,경기도 안산시 단원구 지곡로 46,경기도 안산시 단원구 선부동 997-2,37.338417,126.8026945,Y,4,"다세대다가구
밀집지역",,20180221
군포시,금정역6번출구 안심무인택배함,031-390-0806,20220701,경기도 군포시 산본천로 221-2,경기도 군포시 산본동 103-5,37.3718919761,126.9417516445,N,185,,,20250702
군포시,군포1동행정복지센터 안심무인택배함,031-390-0806,20220701,경기도 군포시 군포로 531,경기도 군포시 당동 751-15,37.353611934,126.9455567312,N,96,,,20250702
수원시,서호노인복지관,031-5191-3218,20170101,경기도 수원시 권선구 구운로 4번길 34 (구운동),경기도 수원시 권선구 구운동 501,37.2785221921,126.976237194,N,86,시민접근성,,20250710
성남시,"행복 안심 
무인택배함",1666-2098,20131001,경기도 성남시 수정구 남문로 108(태평동),경기도 성남시 수정구 태평동 3307-2번지,37.4471071,127.1386275,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20131001,"경기도 성남시 수정구 산성대로 483(양지동) 
",경기도 성남시 수정구 양지동 870번지,37.4548281,127.1609064,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20131001,경기도 성남시 중원구 광명로 345(금광동) ,경기도 성남시 중원구 금광동 3657번지,37.4461653,127.1639845,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 수정구 공원로349번길 8(신흥동) ,경기도 성남시 수정구 신흥동 2819번지,37.443473,127.1487912,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 수정구 모란로 88(태평동) ,경기도 성남시 수정구 태평동 6932번지,37.4405796,127.1261294,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 수정구 남문로 54(태평동) ,경기도 성남시 수정구 태평동 3752-1번지,37.4453835,127.1330193,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 수정구 수정남로 261(산성동) ,경기도 성남시 수정구 산성동 2136번지,37.4521301,127.1500173,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 중원구 은이로 21(은행동) ,경기도 성남시 중원구 은행동 2476번지,37.4570189,127.1665169,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20140601,경기도 성남시 중원구 둔촌대로 425(상대원동),경기도 성남시 중원구 상대원동 1451번지,37.4331364,127.1643182,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20160201,경기도 성남시 수정구 복정로 144(복정동) ,경기도 성남시 수정구 복정동 641-12번지,37.4657976,127.127075,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20160201,경기도 성남시 수정구 탄리로 19(수진동) ,경기도 성남시 수정구 수진동 1967번지,37.4384661,127.1389848,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20160201,경기도 성남시 수정구 논골로23번길 2(단대동) ,경기도 성남시 수정구 단대동 59-4번지,37.4561358,127.1599032,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20170201,경기도 성남시 중원구 박석로 78(상대원동) ,경기도 성남시 중원구 상대원동 856번지,37.439604,127.1654281,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20180201,경기도 성남시 수정구 성남대로 1204(수진동) ,경기도 성남시 수정구 수진동 3988번지,37.4371621,127.1287113,N,,1인 가구수+수요,,20180221
성남시,"행복 안심 
무인택배함",1666-2098,20180201,"경기도 성남시 중원구 둔촌대로 
252(하대원동) ",경기도 성남시 중원구 하대원동 145-1번지,37.428222,127.1463438,N,,1인 가구수+수요,,20180221
수원시,송죽동 주민행복쉼터,031-5191-3218,20191001,경기도 수원시 장안구 정조로 1041번길 12-3 (송죽동),경기도 수원시 장안구 송죽동 378-7,37.2985967143,127.0057162498,N,59,시민접근성,,20250710
수원시,권선1동 행정복지센터,031-5191-3218,20170101,경기도 수원시 권선구 경수대로352번길 29,경기도 수원시 권선구 권선동 1034-5,37.2577418593,127.0246017311,N,147,시민접근성,,20250710
파주시,운정역,031-940-8683,,경기도 파주시 야당동 299-4,경기도 파주시 운정역길 368,37.725399682,126.7671034936,,,,,20250712
파주시,문산역,031-940-8683,,경기도 파주시 문산읍 문산리 17-14,경기도 파주시 문산읍 문산역로 94,37.8546741357,126.7877415251,,,,,20250712
파주시,야당역,031-940-8683,,경기도 파주시 야당동 1088,경기도 파주시 소리천로 10,37.7128552382,126.7616223793,,,,,20250712
파주시,평생학습관,031-940-8683,,경기도 파주시 금촌동 952-4,경기도 파주시 금정3길 40,37.7567907527,126.7741274628,,,,,20250712
파주시,금릉역,031-940-8683,,경기도 파주시 금촌동 605-1,경기도 파주시 금릉역로 85,37.7521377234,126.7650349374,,,,,20250712
파주시,금촌역,031-940-8683,,경기도 파주시 금촌동 329-355,경기도 파주시 새꽃로 193,37.765559326,126.7739395836,,,,,20250712
평택시,포승 작은 도서관,031-8024-2914,20180821,경기도 평택시 포승읍 여술로47,경기도 평택시 포승읍 도곡리 1110,36.9893598133,126.8474025155,,,,,20250717
평택시,평택대학교 정문 자전거 보관대 옆,031-8024-2914,20180821,경기도 평택시 서동대로 3825,경기도 평택시 용이동 605,36.9946458119,127.1339728945,,,,,20250717
평택시,비전2동 행복복지센터,031-8024-2914,20190820,경기도 평택시 중앙로 261,경기도 평택시 비전동 849,36.9903024044,127.1117547302,,,,,20250717
평택시,서정 작은 도서관,031-8024-2914,20190820,경기도 평택시 서정로 202,경기도 평택시 서정동 876-4,37.0661958915,127.0557661693,,,,,20250717
평택시,팽성읍 행정복지센터,031-8024-2914,20200801,경기도 평택시 팽성읍 동서촌로 89,경기도 평택시 팽성읍 객사리 46-1,36.9651430762,127.0624651726,,,,,20250717
평택시,평택 법원 앞 버스정류소,031-8024-2914,20190820,경기도 평택시 평남로 1050,경기도 평택시 동삭동 746,37.0099055968,127.0946596208,,,,,20250717
평택시,송탄출장소 자전거 보관대 옆,031-8024-2914,20180821,경기도 평택시 경기대로 1366,경기도 평택시 서정동 800,37.0672231902,127.0654116457,,,,,20250717
구리시,구리시 멀티스포츠센터,031-550-8303,20180101,경기도 구리시 체육관로137-25,경기도 구리시 교문동153-1,37.5962666482,127.1353055392,X,100,-,,20251113
구리시,구리시 종합사회복지관,031-550-8303,20230201,경기도 구리시 벌말로129번길50,경기도 구리시 토평동984,37.5891977367,127.1463837779,X,40,-,,20251113
구리시,구리시 덕고개공원,031-550-8303,20231201,경기도 구리시 경춘로162번길35,경기도 구리시 교문동220,37.5989551405,127.133196664,X,25,-,기존 여울목공원 이전 설치,20251113
광명시,광명여성비전센터 택배함,02-2680-6544,20170701,경기도 광명시 오리로366번길 6,경기도 광명시 소하동 1267,37.4347890253,126.8801441546,N,192,1인 가구수+밀집도,,20240610
광명시,광명국민체육센터 택배함,02-2680-6544,20170806,경기도 광명시 사성로 74,경기도 광명시 철산동 63,37.4868017616,126.8656773005,N,189,1인 가구수+밀집도,,20240610
광명시,광명종합사회복지관 택배함,02-2680-6544,20181220,경기도 광명시 오리로 1018,경기도 광명시 광명동 158-970,37.4809053962,126.8504693907,N,293,1인 가구수+밀집도,,20240610
부천시,중동사랑시장주차장,032-625-2921,20210726,경기도 부천시 원미구 중동로161번길 37,경기도 부천시 원미구 중동 737,37.4943580579,126.7650911899,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,디딤돌문화센터,032-625-2921,20191028,경기도 부천시 소사구 경인옛로38번길 41,경기도 부천시 소사구 소사본동 133-8,37.4789102551,126.7964017602,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,역곡3동행정복지센터,032-625-2921,20200622,경기도 부천시 소사구 부광로8번길 53,경기도 부천시 소사구 괴안동 108-1,37.4825791362,126.8102228917,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,심곡시민의강제1공영주차장,032-625-2921,20200622,경기도 부천시 원미구 부흥로 399,경기도 부천시 원미구 심곡동 121-5,37.4903812461,126.7853556534,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,약대동행정복지센터,032-625-2921,20200622,경기도 부천시 원미구 수도로 44,경기도 부천시 원미구 약대동 123,37.5133069115,126.7713211697,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,소사본1동행정복지센터,032-625-2921,20200622,경기도 부천시 소사구 은성로68번길 56,경기도 부천시 소사구 소사본동 200-26,37.4727912192,126.7981102634,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,원종1동행정복지센터,032-625-2921,20191028,경기도 부천시 오정구 원종로51번길 43,경기도 부천시 오정구 원종동 233-3,37.5259424656,126.8055119584,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,상동어울마당,032-625-2921,20191028,경기도 부천시 원미구 석천로16번길 50,경기도 부천시 원미구 상동 318-1,37.4888813492,126.7627581092,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,심곡1동행정복지센터,032-625-2921,20210726,경기도 부천시 원미구 장말로351번길 9,경기도 부천시 원미구 심곡동 427-6,37.4909293112,126.7806107507,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,송내1동행정복지센터,032-625-2921,20210726,경기도 부천시 소사구 경인로9번길 25,경기도 부천시 소사구 송내동 328-2,37.4841346969,126.7561200445,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,성곡동행정복지센터,032-625-2921,20200622,경기도 부천시 오정구 성오로 25,경기도 부천시 오정구 여월동 10-36,37.5167531341,126.8031981815,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,부천시립상동도서관,032-625-2921,20200622,경기도 부천시 원미구 상이로 12,경기도 부천시 원미구 상동 620-4,37.4901104545,126.7447264196,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
고양시,일산역 2번출구 계단 옆,031-8075-3336,20190601,경기도 고양시 일산서구 경의로 672,경기도 고양시 일산서구 일산동 655-691번지,37.6821420012,126.7694459204,,551,,,20250610
고양시,화전동행정복지센터 출입문,031-8075-3336,20200601,경기도 고양시 덕양구 중앙로 131,경기도 고양시 덕양구 화전동 226-13번지,37.6000389585,126.872635709,,18,,,20250610
고양시,마두역 7번출구 계단 옆,031-8075-3336,20190601,경기도 고양시 일산동구 중앙로 1180,,,,,209,,,20250610
고양시,행신도서관,031-8075-3336,20210501,경기도 고양시 덕양구 행당로33번길 25-6,경기도 고양시 덕양구 행신동 634-87번지,37.6207691332,126.8283250582,,100,,,20250610
고양시,일산1동(미림빌라 앞 공원 내),031-8075-3336,20210501,경기도 고양시 일산서구 산현로92번길 5-4,경기도 고양시 일산서구 일산동 2065번지 미림빌라,37.6914310975,126.7717933848,,6,,,20250610
고양시,주교동행정복지센터 주차장입구,031-8075-3336,20200601,경기도 고양시 덕양구 고양대로1315번길 71,경기도 고양시 덕양구 주교동 265-1번지,37.6594795833,126.8296203742,,27,,,20250610
고양시,백석1동 7블럭경로당,031-8075-3336,20200601,경기도 고양시 일산동구 강송로74번길 53-7,경기도 고양시 일산동구 백석동 1156번지,37.6486368045,126.7911081643,,44,,,20250610
고양시,능곡역,031-8075-3336,20190901,경기도 고양시 덕양구 토당로 35,경기도 고양시 덕양구 토당동 454-3번지,37.6188967835,126.8208745919,,98,,,20250610
고양시,주교동4경로당 주교7호 어린이공원 내,031-8075-3336,20200601,경기도 고양시 덕양구 마상로107번길 18,경기도 고양시 덕양구 주교동 576번지,37.6614356063,126.836019948,,71,,,20250610
부천시,고강본동행정복지센터,032-625-2921,20190327,경기도 부천시 오정구 고리울로 79,경기도 부천시 오정구 고강동 324-4,37.5270550555,126.8248430145,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,부천시립북부도서관,032-625-2921,20260108,경기도 부천시 원미구 삼작로301번길 5,경기도 부천시 원미구 도당동 132,37.5208004111,126.7941300518,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,원미구청,032-625-2921,20190327,경기도 부천시 원미구 부천로136번길 27,경기도 부천시 원미구 원미동 71,37.4967307599,126.7875124505,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,부천시노동복지회관,032-625-2921,20200622,경기도 부천시 오정구 상오정로 10,경기도 부천시 오정구 오정동 611,37.5240084344,126.785012368,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,원종2동행정복지센터,032-625-2921,20200622,경기도 부천시 오정구 성오로 129,경기도 부천시 오정구 오정동 139-7,37.5251747111,126.7991362488,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,부천대학교 국제관,032-625-2921,20191028,경기도 부천시 원미구 신흥로 53,경기도 부천시 원미구 심곡동 340-20,37.4888159993,126.7769773826,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
고양시,덕양구청 민원실 앞,031-8075-3336,20160701,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955번지,37.6374571807,126.8322777968,,244,,,20250610
고양시,원흥역 6번출구 계단 앞,031-8075-3336,20170201,경기도 고양시 덕양구 권율대로 681,경기도 고양시 덕양구 원흥동 569-15번지,37.6509228093,126.8733074994,,141,,,20250610
고양시,"주엽역 7,8번 출구 계단 앞",031-8075-3336,20170901,경기도 고양시 일산서구 중앙로 1432,,,,,479,,,20250610
고양시,행신역 1번출구,031-8075-3336,20200901,경기도 고양시 덕양구 소원로102,경기도 고양시 덕양구 행신동 812번지,37.6121496513,126.8342036826,,224,,,20250610
고양시,고양종합터미널 1층,031-8075-3336,20160501,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242번지,37.6431934574,126.7897203592,,244,,,20250610
고양시,정발산역 4번 출구 계단 앞,031-8075-3336,20170901,경기도 고양시 일산동구 중앙로 1270,,,,,121,,,20250610
부천시,괴안동행정복지센터,032-625-2921,20190327,경기도 부천시 소사구 범안로 38,경기도 부천시 소사구 괴안동 72,37.4784224938,126.8069020261,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
고양시,탄현역 1번출구 엘리베이터 옆,031-8075-3336,20190701,경기도 고양시 일산서구 경의로 856,경기도 고양시 일산서구 덕이동 238-12번지,37.6939148531,126.7610276057,,372,,,20250610
고양시,화정도서관 출입문,031-8075-3336,20200601,경기도 고양시 덕양구 은빛로77번길 8,경기도 고양시 덕양구 화정동 873번지,37.6378448576,126.8370913452,,105,,,20250610
고양시,중산10단지 사거리,031-8075-3336,20210501,경기도 고양시 일산동구 탄중로431번길 8-10,경기도 고양시 일산동구 중산동 1591번지,37.6867452926,126.7778275481,,90,,,20250610
고양시,원당역 (구)매표소 옆,031-8075-3336,20200601,경기도 고양시 덕양구 고양대로 1445-15,,,,,154,,,20250610
고양시,풍산역 1번출구,031-8075-3336,20200601,경기도 고양시 일산동구 경의로 486,경기도 고양시 일산동구 풍동 1042번지,37.6723046673,126.7864720493,,165,,,20250610
고양시,삼송역 6번출구 엘리베이터 옆,031-8075-3336,20170201,경기도 고양시 덕양구 삼송로 194,경기도 고양시 덕양구 삼송동 18-5번지,37.653257151,126.8957455485,,435,,,20250610
고양시,여성회관,031-8075-3336,20200601,경기도 고양시 덕양구 용현로 48,경기도 고양시 덕양구 행신동 774번지,37.6172715092,126.8362089304,,82,,,20250610
고양시,식사도서관 출입문,031-8075-3336,20200601,경기도 고양시 일산동구 위시티2로 43-6,경기도 고양시 일산동구 식사동 1562번지,37.6760934526,126.8159196528,,115,,,20250610
부천시,강남시장공영주차장,032-625-2921,20200622,경기도 부천시 원미구 정주로14번길 27,경기도 부천시 원미구 도당동 248-1,37.5075233801,126.7791730056,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
부천시,원미2동행정복지센터,032-625-2921,20191028,경기도 부천시 원미구 조종로36번길 26,경기도 부천시 원미구 원미동 126-4,37.491940288,126.788293242,,,,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",20260414
