bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,buldng_tot_ar,mber_recrut_tot_psncnt,detls_indutype_nm
골프파크,20100409,,13,영업중,,,,경기도 광주시 양벌로 85 (2층),경기도 광주시 양벌동 63-1 2층,464896,37.3883338954,127.2552914044,,,,골프연습장업,사립,,494.0,,
태전스크린골프,20100616,,13,영업중,,,12768,"경기도 광주시 고불로 52, 2층 (중대동)",경기도 광주시 중대동 16-53 2층,12768,37.3933317561,127.2322736385,,220496.980473648,432388.539409911,골프연습장업,사립,,653.0,,
대운스크린골프,20100621,,13,영업중,,,,경기도 광주시 경충대로 1428-15 (쌍령동),경기도 광주시 쌍령동 413-30,464130,37.3982703033,127.2750534643,,224283.704984061,432941.522765273,골프연습장업,사립,,639.0,,
광주골프아카데미,20100929,,13,영업중,,,12791,"경기도 광주시 경충대로 1439, 2층 (쌍령동)",경기도 광주시 쌍령동 417,12791,37.3983125472,127.273573279,,224164.72163903,432948.172752862,골프연습장업,사립,,680.0,,
서정스크린골프,20101109,,13,영업중,,,,경기도 광주시 순암로 393  (중대동),경기도 광주시 중대동 268-10,464080,37.406205008,127.2100020497,,218523.211944551,433812.549922539,골프연습장업,사립,,,,
오렌지골프존,20110420,,13,영업중,,,,경기도 광주시 오포로 678-1,경기도 광주시 추자동 350-4,464909,37.3574663546,127.2170552231,,,,골프연습장업,사립,,,,
투골프,20220428,,13,영업중,,,13615,"경기도 성남시 분당구 돌마로 51, 천사의도시2 오피스텔 2층 212, 213호 (금곡동)",경기도 성남시 분당구 금곡동 165 천사의도시2 오피스텔,13615,37.3503759611,127.1077403339,,209477.2118692,427598.627818582,골프연습장업,사립,,,,
쎄븐힐,20050609,,13,영업중,,,10915,"경기도 파주시 금빛로 24-9 (금촌동, 조인프라자)",경기도 파주시 금촌동 988-2 조인프라자7층,10915,37.7519893506,126.7672613009,,179418.08,472188.68,골프연습장업,사립,,,,
더 스윙 블랙 분당 서현점,20220530,,13,영업중,,070-8822-1872,13572,"경기도 성남시 분당구 안골로 12-6, B동 301호 (서현동, 동양프라자)",경기도 성남시 분당구 서현동 198-5 동양프라자,13572,37.3842709165,127.1339852052,,211793.69742683,431354.820246821,골프연습장업,사립,,,,
프렌즈 아카데미 분당점,20220615,,13,영업중,,031-526-7725,13584,"경기도 성남시 분당구 장안로16번길 14, 인호프라자 4층 (분당동)",경기도 성남시 분당구 분당동 161-2 인호프라자,13584,37.3678209521,127.1429079814,,212588.645719491,429536.610567501,골프연습장업,사립,,,,
GM 골프아카데미,20220620,,13,영업중,,031-702-7279,13586,"경기도 성남시 분당구 돌마로 478, 지하1층 비04호 (서현동)",경기도 성남시 분당구 서현동 298-3,13586,37.37699514,127.1334558181,,211747.991008008,430553.98474372,골프연습장업,사립,,,,
밥스짐,20220722,,13,영업중,,,13596,"경기도 성남시 분당구 성남대로 449, A동 214호 (정자동, 로얄팰리스)",경기도 성남시 분당구 정자동 28-1 로얄팰리스,13596,37.375662546,127.1113246504,,209740.647579877,430352.980132984,골프연습장업,사립,,,,
브라보 퍼블릭 스크린 골프장 성남금광점,20220728,,13,영업중,,031-747-7605,13192,"경기도 성남시 중원구 희망로 404, 5층 (금광동)",경기도 성남시 중원구 금광동 108 5층,13192,37.4415413235,127.1601592537,,214102.467392036,437719.818770986,골프연습장업,사립,,,,
채움골프센터,20230622,,13,영업중,,031-767-6010,12765,경기도 광주시 이배재로 220 (목현동),경기도 광주시 목현동 40-50,12765,37.4333857184,127.2348325593,,220712.756221473,436836.225666003,골프연습장업,사립,,,,
큐이디 골프아카데미,20230629,,13,영업중,,,12798,경기도 광주시 양촌길 192-36 (양벌동),경기도 광주시 양벌동 682-1,12798,37.3684435321,127.2568241984,,,,골프연습장업,사립,,,,
아이원 골프스튜디오,20240319,,13,영업중,,,12777,"경기도 광주시 순암로36번길 92, 지하 1층 (역동)",경기도 광주시 역동 95-10,12777,37.4006602907,127.2446420296,,221603.661203627,433176.230516923,골프연습장업,사립,,,,
공간GDR,20240405,,13,영업중,,031-766-0808,12755,"경기도 광주시 중앙로145번길 22, 신원플러스타운 3층 302호 (경안동)",경기도 광주시 경안동 83-21 신원플러스타운,12755,37.4129128075,127.2544656458,,222454.070543101,434572.171767633,골프연습장업,사립,,,,
레인지엑스광주오포,20240604,,13,영업중,,,12774,"경기도 광주시 오포로 429, 나동 2층 (문형동)",경기도 광주시 문형동 561-8,12774,37.3411303223,127.2047995964,,,,골프연습장업,사립,,,,
넥스트 골프 아카데미 광주태전동점,20240911,,13,영업중,,,12788,경기도 광주시 태봉로 116-18 (태전동),경기도 광주시 태전동 87-33,12788,37.383243614,127.2275878271,,220100.544782195,431259.783884472,골프연습장업,사립,,,,
율정골프연습장(실외),19941115,,13,영업중,,,,,경기도 양주시 율정동 561-5,482150,,,,,,골프연습장업,사립,0,99.0,,
삼희골프클럽(실외),20020829,,13,영업중,,,11510,경기도 양주시 백석읍 중앙로 189-5,경기도 양주시 백석읍 복지리 202-6,482836,37.792841047,126.9903345359,,199057.913896595,476646.02557412,골프연습장업,사립,0,1640.0,,
양주인도어 골프연습장,20060501,,13,영업중,,031-862-8600,11451,"경기도 양주시 화합로1402번길 25-5 (덕정동,(4층,5층))","경기도 양주시 덕정동 162-12 (4층,5층)",482060,37.8406673591,127.0652206692,,205683.725259652,481998.194839239,골프연습장업,사립,,,,
JH스포츠(실내),20061024,,13,영업중,,031-858-9054,,,경기도 양주시 옥정동 808-3,482130,,,,,,골프연습장업,사립,0,195.0,,
칠봉산 C.C,20080419,,13,영업중,,031-861-6123,11447,경기도 양주시 칠봉산로332번길 97-1 (봉양동),경기도 양주시 봉양동 507-3,482090,37.8647299724,127.0744700748,,206446.167838303,484745.505315977,골프연습장업,사립,,1424.0,,
한미 스포츠클럽(실외),20080623,,13,영업중,,031-847-3700,11480,경기도 양주시 고덕로329번길 59-30  (고읍동),경기도 양주시 고읍동 171-7,482020,37.8061425692,127.0763287137,,206616.146312562,478182.750324688,골프연습장업,사립,0,990.0,,
ABC스크린골프,20100119,,13,영업중,,,,경기도 수원시 권선구 권광로 81 (권선동),경기도 수원시 권선구 권선동 1042-22,441824,37.255172405,127.0289932253,,202505.404982132,417025.778423998,골프연습장업,사립,,,,
훼미리스크린골프,20080502,,13,영업중,,,,경기도 수원시 팔달구 경수대로 567 (인계동),경기도 수원시 팔달구 인계동 952-20,442832,37.2766024989,127.0299877208,,202586.428633219,419405.782898286,골프연습장업,사립,,,,
스카이골프존,20080627,,13,영업중,,031-205-2361,16705,"경기도 수원시 영통구 반달로 21, 매직프라자 9층 (영통동)",경기도 수원시 영통구 영통동 1009-6 매직프라자,16705,37.2516329244,127.0750557879,,206587.578367614,416636.096058449,골프연습장업,사립,,,,
이루다골프,20220422,,13,영업중,,031-365-4136,14922,"경기도 시흥시 은계번영길 1, 태산W타워 6층 601~602호 (은행동)",경기도 시흥시 은행동 646 태산W타워,14922,37.4365775346,126.8016249551,,182373.275854102,437178.738265029,골프연습장업,사립,,,,
브라더골프연습장,20161221,,13,영업중,,031-422-2585,14055,"경기도 안양시 동안구 시민대로327번길 6, 327~330호 (관양동, W에이스타워)",경기도 안양시 동안구 관양동 1019-5 W에이스타워,14055,37.3966069515,126.9669997144,,197007.982361199,432727.945796386,골프연습장업,사립,,22634.0,,
필승스크린골프,20181105,,13,영업중,,031-375-4780,18146,"경기도 오산시 경기대로 15, 한국유통 1층 (갈곶동)",경기도 오산시 갈곶동 192 한국유통,18146,37.1282399229,127.0677536203,,205941.800123968,402909.717967365,골프연습장업,사립,,,,
K골프,20170202,,13,영업중,,1577-0348,10240,"경기도 고양시 일산서구 홀트로 57, 지하층 (탄현동, 탄현마을4단지아파트)",경기도 고양시 일산서구 탄현동 1481 지하호,10240,37.695092162,126.7706119528,,179638.718967962,465905.275568017,골프연습장업,사립,,,,
공스크린골프아카데미,20170406,,13,영업중,,031-964-0755,10551,"경기도 고양시 덕양구 도래울로 104, 701,703,704호 (도내동, KB골든타워)",경기도 고양시 덕양구 도내동 964,10551,37.6344305485,126.872006662,,188628.881565242,459121.156633877,골프연습장업,사립,,,,
메이저골프클럽(주),20170629,,13,영업중,,,10564,"경기도 고양시 덕양구 원흥3로 16, 903-904호 (원흥동)",경기도 고양시 덕양구 원흥동 631,10564,37.6492364441,126.8748406827,,188884.098561575,460769.671245045,골프연습장업,사립,,,,
현대 골프연습장,20031020,,13,영업중,,,12272,경기도 남양주시 와부읍 덕소로 146 (현대아파트상가),경기도 남양주시 와부읍 덕소리 554-1 현대아파트 상가,472907,37.5819460828,127.2145316248,,218831.435289012,453207.570960208,골프연습장업,사립,,,,
원더풀골프클리닉,20040206,,13,영업중,,,12089,경기도 남양주시 별내면 청학로 69,경기도 남양주시 별내면 광전리 514-3,472811,37.7068456875,127.1190858627,,210420.898059077,467171.568798421,골프연습장업,사립,,,,
비전힐스 골프연습장,20050428,,13,영업중,,031-595-2003,12187,경기도 남양주시 화도읍 마치로 226-220 (주)비전힐스,경기도 남양주시 화도읍 녹촌리 산 52-1 (주)비전힐스,12187,37.645674694,127.2743661428,,223532.725076675,459920.503936506,골프연습장업,사립,,,,
민현 골프연습장,20050614,,13,영업중,,031-594-0077,12034,경기도 남양주시 수동면 소래비로 203,경기도 남양주시 수동면 송천리 597-2,12034,37.6676530186,127.3241679721,,228470.619718164,462855.36359005,골프연습장업,사립,,,,
서경청소년수련원,20060317,,13,영업중,,,12230,경기도 남양주시 의안로 124-69 (평내동),경기도 남양주시 평내동 651-1,472140,37.6397628009,127.2397907593,,221038.030679924,459696.69195527,골프연습장업,사립,,,,
굿샷 골프존스크린,20061030,,13,영업중,,,,"경기도 남양주시 경춘로 1260 (평내동,702~703호)",경기도 남양주시 평내동 579 702~703호,472140,37.6466740514,127.2348242997,,220652.124875844,460505.017371882,골프연습장업,사립,,,,
장현굿샷골프연습장,20061102,,13,영업중,,031-574-7888,12014,"경기도 남양주시 진접읍 장현로 77, 장현프라자 장현프라자 2층 203호~205호",경기도 남양주시 진접읍 장현리 634-4 장현프라자,12014,37.7176650725,127.1809707529,,215884.7559995,468378.897720642,골프연습장업,사립,,16419.0,,
워커힐 골프클럽(WALKERHILL GOLF CLUB),20250617,,13,영업중,,,11958,경기도 구리시 아차산로 1 (아천동),경기도 구리시 아천동 310-4,11958,37.5592588359,127.1131582625,,209698.698413204,450766.130256563,골프연습장업,사립,,,,
탑스크린골프존,20090324,,13,영업중,,031-923-5858,,"경기도 고양시 일산동구 하늘마을1로 2 (중산동,풍산프라자 702,703,706호)","경기도 고양시 일산동구 중산동 1806 풍산프라자 702,703,706호",410315,37.6745101712,126.7860200204,,181053.603158947,463589.893767096,골프연습장업,사립,,,,
찰스아카데미,20100326,,13,영업중,,,,"경기도 수원시 팔달구 권광로 174 (인계동,자이오피스텔 지하1층)",경기도 수원시 팔달구 인계동 1124-1 자이오피스텔 지하1층,442835,37.2628680527,127.0329714853,,202854.633500386,417881.102458727,골프연습장업,사립,,,,
아주스크린골프존,20100330,,13,영업중,,031-213-0755,16502,"경기도 수원시 영통구 월드컵로 185, 캠퍼스빌 101호 (원천동)",경기도 수원시 영통구 원천동 38-26 캠퍼스빌 101호,16502,37.278672429,127.045304613,,203941.27124457,419635.240703784,골프연습장업,사립,,,,
골프존파크 렛츠골프점,20100413,,13,영업중,,031-273-0782,16706,"경기도 수원시 영통구 영통로501번길 38-8, 2,3,4층 (영통동)","경기도 수원시 영통구 영통동 952-3 2,3,4층",16706,37.2649359743,127.077135176,,206770.318888779,418110.576487322,골프연습장업,사립,,,,
천천스크린,20100413,,13,영업중,,,,경기도 수원시 장안구 덕영대로535번길 46 (천천동),경기도 수원시 장안구 천천동 524-4,440330,37.2972904273,126.9826850362,,198394.651596664,421700.373911859,골프연습장업,사립,,,,
그린골프,20100415,,13,영업중,,,16367,"경기도 수원시 권선구 입북로43번길 8, 3층 (입북동)",경기도 수원시 권선구 입북동 264-2 3층,16367,37.2954793808,126.9586653785,,196282.038772624,421507.322390139,골프연습장업,사립,,,,
프렌즈 스크린골프 영통점,20100416,,13,영업중,,,16696,"경기도 수원시 영통구 영통로345번길 24-23, 1.2층 (영통동)","경기도 수원시 영통구 영통동 70-2 1,2층",16696,37.2574173127,127.0644228967,,205644.625559106,417276.912065711,골프연습장업,사립,,,,
탑골프아카데미,20100723,,13,영업중,,,,경기도 수원시 권선구 금호로 196 (탑동),경기도 수원시 권선구 탑동 747-4,441440,37.2744633848,126.9716068726,,197422.301624676,419174.61355952,골프연습장업,사립,,,,
챔피온골프장,20100907,,13,영업중,,,,"경기도 수원시 권선구 금호로 248 (탑동,탑월드상가 208,209호)","경기도 수원시 권선구 탑동 5-4 탑월드상가 208,209호",441440,37.275390384,126.9773755793,,197924.751426393,419272.091369107,골프연습장업,사립,,,,
원일베네스트,20100910,,13,영업중,,,,경기도 수원시 팔달구 권광로196번길 44 (인계동),경기도 수원시 팔달구 인계동 1118-2,442835,37.2642122442,127.0355458513,,203079.700553024,418032.409382229,골프연습장업,사립,,,,
동수원골프죤파크,20100914,,13,영업중,,,,경기도 수원시 팔달구 팔달문로130번길 69 (우만동),경기도 수원시 팔달구 우만동 561-8,442819,37.2793138066,127.0317869858,,202741.959857558,419715.031672541,골프연습장업,사립,,,,
헬스보이짐 스크린골프 부천역점,20110914,,13,영업중,,032-614-9300,14637,"경기도 부천시 원미구 부천로 7, 6일부층 (심곡동)",경기도 부천시 원미구 심곡동 174-1 6층 일부,420823,37.4850706031,126.7821034308,,180657.771489919,442562.696376175,골프연습장업,사립,,,,
드림골프스크린,20111021,,13,영업중,,,14538,"경기도 부천시 원미구 길주로 221, 씨티오피스 504,506호 (중동)","경기도 부천시 원미구 중동 1034-5 씨티오피스 504,6호",14538,37.5047188119,126.7672298008,,179350.46544176,444748.060609523,골프연습장업,사립,,,,
S스크린골프연습장,20120110,,13,영업중,,032-682-0038,14414,경기도 부천시 오정구 성지로101번길 38 (원종동),경기도 부천시 오정구 원종동 299-2,14414,37.5281633993,126.8092035156,,183066.407107421,447344.665928702,골프연습장업,사립,Y,,,
지인스크린골프존,20120302,,13,영업중,,032-325-9538,14539,"경기도 부천시 원미구 길주로 275, 501,511호 (중동)",경기도 부천시 원미구 중동 1058-2 중동프라자,14539,37.503909128,126.7733132455,,179887.751542004,444658.193379039,골프연습장업,사립,,,,
준골프존,20120604,,13,영업중,,032-657-8855,14723,"경기도 부천시 소사구 경인로 101, 6층 601,602,603호 (송내동, 호암프라자)",경기도 부천시 소사구 송내동 374 6층,422818,37.4842824863,126.7667847304,,179302.455788221,442480.628049143,골프연습장업,사립,,3651.0,,
J스크린골프존,20120627,,13,영업중,,032-323-1872,14537,"경기도 부천시 원미구 길주로 181, 401호 (중동, 골든벨타워)",경기도 부천시 원미구 중동 1031-2 골든벨타워 401호,420847,37.5053121194,126.762630499,,178942.559566438,444816.402230322,골프연습장업,사립,,,,
조인 스크린&골프연습장,20120307,,13,영업중,,031-967-0025,10461,"경기도 고양시 덕양구 호국로 783, 7층 (주교동)",경기도 고양시 덕양구 주교동 614-3 문화빌딩 7층,412812,37.6564038375,126.8355999444,,185428.019286748,461576.985593472,골프연습장업,사립,,,,
OUR 골프,20120403,,13,영업중,,031-976-5004,10318,"경기도 고양시 일산동구 성석로 90, 2층 (성석동)",경기도 고양시 일산동구 성석동 879-19,10318,37.6875003332,126.7938573674,,181743.766871993,465030.787557819,골프연습장업,사립,,,,
우전 스크린골프,20120717,,13,영업중,,,10245,"경기도 고양시 일산동구 고봉로 771, 2층 (설문동)",경기도 고양시 일산동구 설문동 705-39 2층,410819,37.7247451168,126.7927436257,,181664.706880278,469157.78822879,골프연습장업,사립,,279.0,,
영스크린골프,20090421,,13,영업중,,031-968-0754,,"경기도 고양시 덕양구 호국로790번길 17, 601호 (성사동,영프라자)",경기도 고양시 덕양구 성사동 697-14 영프라자 601호,412807,37.6562959816,126.8372561024,,185574.558384174,461557.366168146,골프연습장업,사립,,,,
미샤스크린골프,20160704,,13,영업중,,031-691-7188,17848,"경기도 평택시 서재로 26-24, 4층 (동삭동, 보우빌딩)",경기도 평택시 동삭동 711-14 보우빌딩 4층,17848,37.0096226389,127.0989324437,,208733.722196372,389781.50040244,골프연습장업,사립,Y,3150.0,,
CNC 골프.헬스,20160929,,13,영업중,,031-664-8825,17758,"경기도 평택시 쇼핑로 33, 월드프라자 1층 (신장동)",경기도 평택시 신장동 324-9 월드프라자,17758,37.0814289625,127.0531008465,,204648.9690092,397743.224466876,골프연습장업,사립,,3920.0,,
골프투어,20061018,,13,영업중,,,14727,"경기도 부천시 소사구 경인로 110, 이룸빌딩 4층 (송내동)",경기도 부천시 소사구 송내동 385-3,14727,37.4837547214,126.7674346035,,179361.400298905,442420.528253953,골프연습장업,사립,,,,
배화 골프,20090630,,13,영업중,,,13980,"경기도 안양시 만안구 양화로 145, 5층 501, 502호 (박달동)","경기도 안양시 만안구 박달동 15-1 크리시움타워 501호,502호",430846,37.4054054486,126.9084758247,,,,골프연습장업,사립,,,,
골퍼스 파라다이스 평촌점,20091211,,13,영업중,,,14054,"경기도 안양시 동안구 시민대로 281, 동우베스티움타워 3층 301~306호 (관양동)",경기도 안양시 동안구 관양동 1595-1 동우베스티움타워,14054,37.3950759059,126.9613165823,,196507.258352208,432558.694902008,골프연습장업,사립,Y,26907.0,,
OK골프아카데미,20010712,,13,영업중,,,13586,"경기도 성남시 분당구 돌마로476번길 31, 지층 1호 (서현동, 삼환종합상가)",경기도 성남시 분당구 서현동 304 삼환종합상가 지층 1호,463818,37.3750833545,127.136096772,,211950.241656362,430355.293087281,골프연습장업,사립,,,,
PGA골프아카데미,20020918,,13,영업중,,,13586,"경기도 성남시 분당구 돌마로476번길 41, 지하1층 (서현동, 분당빌딩)",경기도 성남시 분당구 서현동 305-3 지하1층,13586,37.3745157015,127.1361672817,,211987.15733824,430280.479094125,골프연습장업,사립,,,,
탑골프클럽,20030215,,13,영업중,,031-707-5885,13522,"경기도 성남시 분당구 야탑로 32, 삼부빌딩 B101호 (야탑동)",경기도 성남시 분당구 야탑동 537-6 삼부빌딩,13522,37.4087796717,127.1226115084,,210785.644240149,434078.469021425,골프연습장업,사립,,,,
파크스포츠센타,20030710,,13,영업중,,031-785-0960,13556,"경기도 성남시 분당구 정자일로213번길 19, 202동 2호 (정자동, 아이파크분당2)","경기도 성남시 분당구 정자동 10-1 아이파크분당2, 202동 2호",13556,37.3702868435,127.1048357997,,209217.597324441,429862.701329193,골프연습장업,사립,,,,
수내점 스포애니(주)케이디헬스케어,20030813,,13,영업중,,,13600,"경기도 성남시 분당구 돌마로 364 (수내동, 현대프라자 지하1층 7호~52호)",경기도 성남시 분당구 수내동 79-2 현대프라자 지하1층 7호~52호,463864,37.3699876639,127.1236529514,,210882.431070576,429773.840489957,골프연습장업,사립,,,,
위브골프스쿨,20031126,,13,영업중,,,13613,"경기도 성남시 분당구 정자일로 55, 지하1층 99-104호 (금곡동, 분당두산위브아파트)",경기도 성남시 분당구 금곡동 192 두산위브 지하1층 99-104,,,,,209250.850612618,428148.405552249,골프연습장업,사립,,,,
PAPA GOLF ACADEMY,20051212,,13,영업중,,,13583,"경기도 성남시 분당구 장안로 39, 203호 (분당동, 한일빌딩)",경기도 성남시 분당구 분당동 90-1 한일빌딩 203호,13583,37.3704636672,127.1434601531,,212637.407607508,429830.868576239,골프연습장업,사립,,,,
풍생레포츠,20060712,,13,영업중,,031-721-8800,13326,경기도 성남시 수정구 제일로109번길 13 (수진동),경기도 성남시 수정구 수진동 4509,13326,37.435122816,127.1327882094,,211706.573013563,437035.407870348,골프연습장업,사립,,845.0,,
SG 스크린 골프,20120704,,13,영업중,,031-684-7123,17955,"경기도 평택시 포승읍 여술1길 86, 1층",경기도 평택시 포승읍 도곡리 1117-6 1층,17955,36.9897779409,126.8431287812,,185962.136331362,387582.130039719,골프연습장업,사립,,,,
골드스크린 골프,20130207,,13,영업중,,031-374-2266,17703,경기도 평택시 서탄면 발안로 1212,경기도 평택시 서탄면 수월암리 227-2,17703,37.1353163572,127.0345109733,,202990.671232418,403700.119526602,골프연습장업,사립,,1751.0,,
버디스크린골프,20130429,,13,영업중,,,17945,"경기도 평택시 현덕면 서동대로 1256, 1층","경기도 평택시 현덕면 운정리 36-13 ,36-14 1층",451813,36.9865341807,126.8924750115,,190370.197821649,387192.948096701,골프연습장업,사립,,827.0,,
티업스크린골프마켓,20130902,,13,영업중,,031-658-1872,17868,경기도 평택시 서동대로 3891 (용이동),경기도 평택시 용이동 468-6,17868,36.994680078,127.1392771283,,212324.64050018,388127.081357863,골프연습장업,사립,Y,1406.0,,
서브포유,20140312,,13,영업중,,031-652-2557,17877,경기도 평택시 서동대로 3844-1 (소사동),"경기도 평택시 소사동 2-4 , 1층",18034,36.9918111618,127.1355597579,,211986.830745066,387797.397840247,골프연습장업,사립,,255.0,,
스타힐골프,20190523,,13,영업중,,031-591-3696,12218,"경기도 남양주시 경춘로1308번길 8-9, 2층 (평내동)",경기도 남양주시 평내동 117-5,12218,37.6503157073,127.2389717447,,221021.51707605,460907.574674288,골프연습장업,사립,,,,
골프존파크 준골프,20190604,,13,영업중,,031-559-3930,12142,"경기도 남양주시 늘을1로 69, 3층 (호평동)",경기도 남양주시 호평동 477-2,12142,37.6583199015,127.2391024481,,221032.191877069,461806.942172156,골프연습장업,사립,,,,
골프존파크진건배양스크린,20190805,,13,영업중,,031-574-0882,12247,"경기도 남양주시 진건읍 고재로 10, 예원프라자 2층",경기도 남양주시 진건읍 배양리 480-2,12247,37.6371595916,127.1653680642,,214535.352960411,459436.929150616,골프연습장업,사립,,,,
테마스크린골프,20190906,,13,영업중,,,12138,"경기도 남양주시 진건읍 진건오남로 55-21, 1층",경기도 남양주시 진건읍 용정리 794-10,12138,37.6556896778,127.1777896544,,215617.171671023,461498.343417339,골프연습장업,사립,,,,
그린필드 골프연습장,19980704,,13,영업중,,031-455-9797,14081,경기도 안양시 동안구 귀인로80번길 41 (호계동),경기도 안양시 동안구 호계동 205-3,14081,37.3809260293,126.9479988313,,195320.872954502,430926.277781125,골프연습장업,사립,,2724.0,,
꿈마을 골프스쿨,19991020,,13,영업중,,031-385-0991,14102,"경기도 안양시 동안구 부림로 13, 지층1호 (평촌동, 꿈마을상가 )",경기도 안양시 동안구 평촌동 932-7 꿈마을상가 지1층호,431713,37.384532905,126.9679662793,,197109.56722071,431418.092226769,골프연습장업,사립,,,,
삼원플라자호텔골프연습장,20000807,,13,영업중,,,13992,"경기도 안양시 만안구 장내로139번길 7, 3층층 (안양동)",경기도 안양시 만안구 안양동 674-251 3층,430831,37.3981473497,126.9226440821,,,,골프연습장업,사립,,0.0,,
명학 스크린골프존,20100621,,13,영업중,,,14035,"경기도 안양시 만안구 만안로 35, 2층 209호 (안양동)",경기도 안양시 만안구 안양동 533-6 209호,430824,37.3863233532,126.9342456261,,,,골프연습장업,사립,,0.0,,
제일 골프연습장,20100719,,13,영업중,,031-458-1188,14114,"경기도 안양시 동안구 경수대로 609, 지층 (호계동)",경기도 안양시 동안구 호계동 943-2 지층호,431838,37.3767152587,126.9554842648,,195983.949841779,430514.792589173,골프연습장업,사립,,,,
바로피트니스,20100726,,13,영업중,,031-427-6712,14120,"경기도 안양시 동안구 경수대로 483, 202,206호 (호계동, 대우디오슈페리움)","경기도 안양시 동안구 호계동 975-3 대우디오슈페리움 202,206호",431849,37.3660268174,126.957854036,,196189.06353529,429320.618193636,골프연습장업,사립,,,,
SM 스크린골프,20100920,,13,영업중,,031-452-2201,14059,"경기도 안양시 동안구 흥안대로427번길 50, 2층 (관양동)",경기도 안양시 동안구 관양동 954-77 2층,14059,37.3928328785,126.971613115,,197416.07541902,432299.123281289,골프연습장업,사립,Y,6696.0,,
타임스크린골프,20100920,,13,영업중,,031-436-9002,14066,"경기도 안양시 동안구 시민대로 272, 201,211,212호 (관양동, 평촌동양트레벨)","경기도 안양시 동안구 관양동 1598-1 동양트레벨 201,211,212호",14066,37.393991823,126.9607820652,,196458.136547003,432435.26707727,골프연습장업,사립,,,,
본골프센터,20101105,,13,영업중,,031-422-0755,14059,"경기도 안양시 동안구 흥안대로427번길 82, 3,4층 (관양동, 본골프다임)","경기도 안양시 동안구 관양동 981-9 본골프다임 3,4층",14059,37.3925720062,126.9697170175,,197248.697056869,432275.429322533,골프연습장업,사립,,,,
