faclt_sn,inst_cd,faclt_cd,faclt_div,faclt_nm,addr_cd,addr,detail_addr,sec_addr,lat,logt,region_cd,purpos,scale,aceptnc_psncnt,cond_cont,chrgpsn_dept_nm,chrgpsn_co_telno,rsve_meth,srng_div,srng_guid_phrs_cont,utlz_trgt,opr_perd_bgng_dt,opr_perd_end_dt,opr_hlt_resn,rls_yn,use_prmsn_excl_trgt,rsve_perd_bgng_ymd,rsve_perd_end_ymd,rsve_hlt_resn,rsve_ddln_bf_ymd,rsve_ddln_bf_hr,indv_grp_div,aply_raisng_use_yn,reg_ymd,mdfcn_ymd,purpos_etc_cont,charge_duty_cont
5841,1170008,F0001,L1,다목적실,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,"회의,교육,세미나",180.0,60,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5842,1170008,F0002,D1,국화실+난초실,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,"회의,교육,세미나",94.0,30,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5843,1170008,F0003,D1,창작관,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,"회의,교육,세미나",53.0,20,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5844,1170008,F0004,D1,대나무실,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,"회의,교육,세미나",54.0,20,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5845,1170008,F0005,M1,전통예절실,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,수련활동,76.0,20,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5846,1170008,F0006,M1,예음관,15853,경기 군포시 한세로56번길 12,경기도 군포시 당정동 969-2,당정초등학교 옆,37.34722585,126.9548318,4141,수련활동,99.0,30,,사무국,031-477-8151,"전화,방문",심사(선착순),사용허가 제외사항 검토,"개인,단체,기업,여성,청소년,외국인",1716130800000,1719673200000,,Y,"정치 또는 종교 등 집회를 목적으로 하는 경우, 주된 목적인 사적 이익이나 영리를 목적으로 하는 경우, 신청인이 이전에 공공시설을 사용하면서 허가 조건을 위반한 적이 있는 경우",20240520,20240630,,7,18,"P,T,B",Y,20240514,20240514,,시설대관업무
5822,1170001,F0005,B1,별관회의실,15829,경기 군포시 청백리길 6,별관2층 회의실,,37.36102352,126.9353164,4141,"회의,교육,세미나,행사",239.0,100,,행정지원과,031-390-0561,전화,심사(선착순),사용허가 제외사항 검토,"개인,단체",,,,Y,사용허가 제외대상 : 예약시 유의사항 확인,,,,7,18,"P,T,B",Y,20240509,20240614,,회의실 관리
5823,1170001,F0006,C1,대회의실,15829,경기 군포시 청백리길 6,군포시청 2층 대회의실,,37.36102352,126.9353164,4141,"회의,교육,세미나,행사",651.0,250,,행정지원과,031-390-0561,전화,심사(선착순),사용허가 제외사항 검토,"개인,단체",,,,Y,예약시 유의사항 - 사용허가 제외대상 확인,,,,7,18,"P,T",Y,20240509,20240614,,회의실 관리
5831,1260014,F0009,N1,1인미디어실(다인실) 3번방,12530,경기 양평군 청운면 용두로 170,양평군영상미디어센터 2층 (청운면사무소 2층),,37.55625458,127.7107202,4183,기타,13.5,4,,미디어센터,031-770-3248,"전화,방문",선착순,,"개인,단체,기업,여성,청소년,외국인",,,,Y,"정치, 종교, 유튜브 규정에 위반 되거나 지역 사회에 물의를 일으킬만한 콘텐츠 등",,,,2,18,"P,T,B",N,20240509,20240704,영상 촬영 녹화,"시설대관, 장비대여, 교육"
5814,1260014,F0003,N1,1인미디어실(1인실) 1번방,12530,경기 양평군 청운면 용두로 170,양평군영상미디어센터 2층 (청운면사무소 2층),,37.55625458,127.7107202,4183,기타,8.58,3,,미디어센터,031-770-3248,"전화,방문",선착순,,"개인,단체,기업,여성,청소년,외국인",,,,Y,"정치, 종교, 유튜브 규정에 위반 되거나 지역 사회에 물의를 일으킬만한 콘텐츠 등",,,,2,18,"P,T,B",N,20240503,20240704,영상 촬영 녹화,"시설대관, 장비대여, 교육"
5817,1260014,F0006,N1,전문편집실,12530,경기 양평군 청운면 용두로 170,양평군영상미디어센터 3층,,37.55625458,127.7107202,4183,기타,9.44,4,,미디어센터,031-770-3248,"전화,방문",선착순,,"개인,단체,기업,여성,청소년,외국인",,,,Y,"정치, 종교, 유튜브 규정에 위반 되거나 지역 사회에 물의를 일으킬만한 콘텐츠 등",,,,1,18,"P,T,B",N,20240503,20240704,"컴퓨터 활용(영상편집, 이미지편집)","시설대관, 장비대여, 교육"
5818,1260014,F0007,D1,대강의실,12530,경기 양평군 청운면 용두로 170,양평군영상미디어센터 3층,,37.55625458,127.7107202,4183,"회의,교육,세미나,행사",105.12,40,,미디어센터,031-770-3248,"전화,방문",선착순,,"개인,단체,기업,여성,청소년,외국인",,,,Y,"정치, 종교, 유튜브 규정에 위반 되거나 지역 사회에 물의를 일으킬만한 콘텐츠 등",,,,2,18,"P,T,B",N,20240503,20240704,,"시설대관, 장비대여, 교육"
5810,1260014,F0001,N1,영상스튜디오,12530,경기 양평군 청운면 용두로 170,양평군영상미디어센터 2층 (청운면사무소 2층),,37.55625458,127.7107202,4183,기타,31.0,10,,미디어센터,031-770-3248,"전화,방문",선착순,,"개인,단체,기업,여성,청소년,외국인",1715007600000,1735570800000,,Y,"정치, 종교, 유튜브 규정에 위반 되거나 지역 사회에 물의를 일으킬만한 콘텐츠 등",20240504,20241228,,2,18,"P,T,B",N,20240502,20240704,영상 촬영 녹화,"시설대관, 장비대여, 교육"
5775,5540031,F0006,C1,오포1동 대회의실,12790,경기 광주시 오포로859번길 29,4층,,37.36613244,127.2286186,4161,"회의,교육,세미나,행사",0.0,0,,오포1동 총무과,031-760-4836,전화,심사(다중),대관조례에 따른검토,단체,,,,N,"관외, 상업적이유",,,,5,18,P,N,20240425,20240425,,
5766,1040028,F0001,L1,다목적실,13301,경기 성남시 수정구 남문로 54,,,37.44534077,127.1330727,4113,"회의,교육,세미나",70.0,30,,태평3동행정복지센터,031-729-5702,"전화,방문",심사(선착순),"○ 정치, 종교, 특정 기업 및 단체 홍보 등의 목적으로 대관 불가 ○ 주민자치센터 프로그램 사용 시간에는 대관 불가","개인,단체,여성,청소년",,,,Y,"정치, 종교, 기업홍보 및 판촉, 취식행사 등",,,,3,17,"P,T",Y,20240419,20240419,,대관
5760,1050059,F0001,B1,역곡3동 행정복지센터 다목적회의실,14681,경기 부천시 부광로8번길 53,,,37.48258316,126.8102169,4119,"회의,교육,세미나,행사,전시",135.0,25,공익목적 한정,역곡3동 행정복지센터,032-625-6643,"전화,방문",심사(다중),「부천시 공공청사 시설물 사용허가 지침」제5조(사용자 범위 및 제한),"개인,단체,기업,여성,청소년,외국인",,,,N,"종교·친족·이익단체 등의 사적행사, 학원·유치원 발표회 등 내부행사, 판매·선전행사 등",,,일제정비에 따른 기관 변경,5,18,"P,T,B",Y,20240415,20240415,,회계 서무
5754,1050040,F0001,D1,소사동 행정복지센터 제1프로그램실,14660,경기 부천시 원미구 소사로310번길 3-9,1층 제1프로그램실,,37.48588271,126.794626,4119,"회의,교육",68.25,28,,행정안전팀,032-625-5603,"전화,방문",심사(선착순),사용목적 확인 후 심사,단체,,,,Y,부천시 공공청사 시설물 사용지침에 의거하여 대관에 제한이 있을 수 있습니다.,,,,3,11,"P,T,B",N,20240412,20240607,,청사관리
5755,1050040,F0002,B1,소사동 행정복지센터 2층 회의실,14660,경기 부천시 원미구 소사로310번길 3-9,소사동행정복지센터 2층,,37.48588271,126.794626,4119,"교육,세미나,행사",136.5,50,,행정안전팀,032-625-5603,"전화,방문",심사(선착순),부천시 공공청사 시설물 사용지침,단체,,,,Y,부천시 공공청사 시설물 사용지침에 의거하여 대관에 제한이 있을 수 있습니다.,,,,3,11,T,N,20240412,20240607,,청사관리
5752,1050035,F0001,A1,심곡1동 행정복지센터 3층 주민사랑방,14631,경기 부천시 원미구 장말로351번길 9,,"부천역 2번 출구에서 도보 7분 거리 / 부천자유시장 정류장 (3, 6, 6-2, 12-1, 20, 23-2 등)",37.49094694,126.7806114,4119,"회의,교육,세미나",93.3,30,,행정안전팀,032-625-5503,"전화,방문",심사(선착순),○ 심곡1동 행정복지센터 행사일정과 중복여부 검토 ○「부천시 공공청사 시설물 사용허가 조례에 의거 허가여부 검토,"개인,단체",,,,Y,「부천시 공공청사 시설물 사용허가 조례」에 의거 사용허가 제외대상,,,,7,13,"P,T",Y,20240411,20240610,,청사관리
5749,1050046,F0001,C1,중1동 행정복지센터 2층 대회의실,14581,경기 부천시 원미구 조마루로 250,,,37.49788229,126.7714142,4119,"회의,교육",118.36,30,관리자 문의,중1동,032-625-5744,"전화,방문",심사(선착순),청사 상황 고려,"개인,단체",,,,Y,"정치행사, 종교행사, 취사병행행사",,,,2,18,"P,T",N,20240411,20240607,,
5735,1070038,F0019,S1_9,와동체육관(체육교실),15252,경기 안산시 단원구 화정천동로 396,1층 체육교실,,37.34002609,126.8189451,4127,기타,0.0,0,,체육처,031-8085-7412,전화,선착순,,단체,,,,Y,,,,,5,9,,,20240404,20240404,댄스연습실,와동체육관 대관
5719,1010034,F0003,J1,수원시립아트스페이스광교,16514,경기 수원시 영통구 광교중앙로 140,지하1층  수원시립아트스페이스광교,,37.28582866,127.0594469,4111,전시,0.0,300,,학예전시과,031-228-4193,"전화,방문",심사(다중)," 수원시립미술관 홈페이지를 통해 공고 후  대관 신청 및 접수,   대관 심의를  통해  전시장을 이용하실 수 있습니다.","개인,단체,기업",,,기획전 전시기간으로  대관운영 중지,Y,"정치행사, 종교행사 및 공공의 안녕질서 또는 미풍양속을 해할 우려가 있을 때 시설 이용을 불허합니다.",,,기획전 전시기간으로  대관운영 중지,,,"P,T,B",Y,20240328,20240328,,대관운영
5707,1070038,F0009,S1_7,와동체육관 1층 체육교실,15252,경기 안산시 단원구 화정천동로 396,와동체육관,경기도 안산시 단원구 화정천동로 396 와동 체육관,37.34002609,126.8189451,4127,체육활동,105.0,20,,체육처,031-8085-7412,전화,선착순,,단체,,,,Y,"정치, 종교, 상업행사 불가",,,,1,17,"P,T",N,20240325,20240429,,
5708,1070038,F0010,S1_7,상록수체육관 2층 에어로빅실,15535,경기 안산시 상록구 용신로 422,상록수체육관 2층 에어로빅실,경기 안산시 상록구 용산로 422 상록수체육관,37.30095635,126.868577,4127,체육활동,156.0,40,,체육처,031-481-4991,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,체육관 대관 담당자
5709,1070038,F0011,S1_7,상록수체육관 3층 체육교실1,15535,경기 안산시 상록구 용신로 422,상록수체육관 3층 체육교실1,경기 안산시 상록구 용산로 422 상록수체육관,37.30095635,126.868577,4127,체육활동,75.0,20,,체육처,031-481-4991,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,체육관 대관 담당자
5710,1070038,F0012,S1_7,상록수체육관 3층 체육교실2,15535,경기 안산시 상록구 용신로 422,상록수체육관 3층 체육교실2,경기 안산시 상록구 용신로 422 상록수체육관,37.30095635,126.868577,4127,체육활동,75.0,20,,체육처,031-481-4991,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,체육관 대관 담당자
5712,1070038,F0013,S1_7,점섬체육관 1층 다목적실,15320,경기 안산시 상록구 부곡동 705,점섬체육관 1층 다목적실,경기 안산시 상록구 부곡동 705 점섬세육관 1층 다목적실,37.32032817,126.858146,4127,"행사,체육활동",235.0,40,,체육처 체육관팀,031-418-8057,전화,선착순,,"단체,청소년",,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,14,0,T,N,20240325,20240429,,안내 및 접수
5713,1070038,F0014,S1_7,각골체육관 2층 다목적실,15557,경기 안산시 상록구 석호로 400,각골체육관 2층 다목적실,경기 안산시 상록구 석호로 400 각골체육관,37.29258118,126.8751977,4127,체육활동,216.0,40,,체육처,031-417-4802,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,대관 안내 접수
5714,1070038,F0015,S1_7,성호체육문화센터 1층 체육교실1,15327,경기 안산시 상록구 일동 707,성호체육문화센터,경기 안산시 상록구 일동 707 성호체육문화센터,37.30933125,126.8670048,4127,체육활동,107.0,25,,성호체육문화센터,031-440-8306,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,성호체육문화센터
5715,1070038,F0016,S1_7,성호체육문화센터 2층 체육교실2,15327,경기 안산시 상록구 일동 707,성호체육문화센터,경기 안산시 상록구 일동 707 성호체육문화센터,37.30933125,126.8670048,4127,체육활동,167.0,40,,성호체육문화센터,031-440-8306,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,성호체육문화센터
5716,1070038,F0017,S1_7,성호체육문화센터 3층 체육교실3,15327,경기 안산시 상록구 일동 707,성호체육문화센터,경기 안산시 상록구 일동 707 성호체육문화센터,37.30933125,126.8670048,4127,체육활동,169.0,40,,성호체육문화센터,031-440-8306,전화,선착순,,단체,,,,Y,"정치행사, 종교행사, 취사활동 불가",,,,1,17,T,N,20240325,20240429,,성호체육문화센터
5706,B551762,F0062,S1_1,시청테니스장,11498,경기 양주시 부흥로 1533,,,37.78535332,127.044913,4163,체육활동,21.0,6,11,체육시설2팀 옥정호수스포츠센터,031-828-9854,전화,선착순,,개인,,,,Y,1111,,,,1,13,,,20240321,20240321,,-
5695,1070054,F0016,E1,코워킹플레이스(DX HUB),15596,경기 안산시 상록구 해양3로 17,디지털전환허브 6층,경기도 안산시 상록구 해양3로 17(경기테크노파크 본원에서 도보 7분),37.28544668,126.8285499,4127,"회의,교육,세미나,행사",400.0,60,개별 이용 한정,디지털전환허브운영팀,031-505-9118,"전화,방문",선착순,,"개인,단체,기업,여성",,,추후 운영,N,"종교행사, 정치행사, 불법행사, 전체대관, 영리행사",,,추후 운영,3,18,"P,T,B",N,20240320,20240703,,
5667,1070038,F0008,E1,안산어촌민속박물관 영상실,15652,경기 안산시 단원구 대부황금로 7,안산어촌민속박물관,,37.19250726,126.6461205,4127,"교육,세미나,행사",113.0,96,"종교,정치 행사불가",주민생활지원부,031-440-8312,"전화,방문",심사(선착순),선착순,"개인,단체,기업",,,,Y,"종교행사, 정치행사, 불법행사, 개인행사 등 불가",,,,1,17,"P,T,B",N,20240229,20240229,,어촌민속박물관
5644,1130001,F0029,S1_6,용현정,11796,경기 의정부시 용현동 산 34-5,,용현동 영석고등학교 큰길 횡단보도 건너 의정부시 국궁장(노란색 표지판) 산 언덕 위,37.73469451,127.0735893,4115,"체육활동,수련활동",11905.0,20,체육활동 한정,체육과,031-828-4075,"전화,방문",심사(다중),의정부시궁도연합회 기준,"개인,단체",,,,Y,"정치행사, 종교행사",,,,5,15,"P,T",N,20240220,20240227,,
5617,1090001,F0030,C1,본관 대회의실(2층),12951,경기 하남시 대청로 10,본관 2층 대회의실,,37.53934563,127.2147761,4145,"회의,교육,세미나,행사,전시,체육활동",0.0,200,,회계과,031-5182-1457,전화,심사(다중),"50명이상, 관내 개인, 기업, 단체 등 자세한 문의는 031-5182-1457로 문의하여 주시기 바랍니다.","개인,단체,기업",,,,Y,"정치행사, 종교행사, 사익추구행사 등",,,,14,0,"P,T,B",N,20240213,20240213,,"대회의실, 대강당 대관업무"
5618,1090001,F0031,E1,별관 대강당 (2층),12951,경기 하남시 대청로 10,하남시청 별관 대강당 2층,,37.53934563,127.2147761,4145,"회의,교육,세미나,행사",0.0,300,,회계과,031-5182-1457,"전화,방문",심사(다중),"50명이상, 관내 개인, 기업, 단체 등 자세한 문의는 031-5182-1457로 문의하여 주시기 바랍니다.","개인,단체,기업",,,,Y,"정치행사, 종교행사, 사익추구행사",,,,14,0,"P,T,B",N,20240213,20240213,,"대회의실, 대강당 대관업무"
5615,3860423,F0001,C1,소사홀,14692,경기 부천시 소사구 경인옛로 73,5층,,37.48004709,126.7999473,4119,"회의,교육,세미나",150.0,45,공익목적 행사,소사구 행정지원과,032-625-6053,전화,선착순,,"개인,단체",,,,Y,공익을 침해하는 행사,,,,7,18,"P,T",N,20240213,20240820,,공유재산 관리
