market_nm,market_type_nm,refine_road_nm_addr,refine_lotno_addr,market_estbl_cycl,refine_wgs84_lat,refine_wgs84_logt,store_cnt,trtmnt_prodlst_dtls,use_posbl_giftcertf_nm,hmpg_addr,pbctlt_hold_yn,parkplc_hold_yn,estbl_yr,market_rprs_telno,dat_crtr_ymd,sigun_nm
단대전통시장,상설장,경기도 성남시 중원구 광명로289,경기도 성남시 중원구 금광동 10,매일,37.44434033,127.1583278,85,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1993,031-749-8982,20251110,성남시
청구문화시장,상설장,경기도 성남시 분당구 내정로165번길 38,경기도 성남시 분당구 수내동 32,매일,37.37665581,127.1162348,94,가공식품+의류+신발+음식점+근린생활서비스,,,Y,Y,1992,031-711-0826,20251110,성남시
성남남한산성시장(은행골목시장),상설장,경기도 성남시 중원구 산성대로518번길 7,경기도 성남시 중원구 은행동 1565,매일,37.4569514,127.1644284,66,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,N,N,2013,031-745-9848,20251110,성남시
신안코아전통시장,상설장,경기도 안산시 상록구 석호로 315,경기도 안산시 상록구 본오동 871,매일,37.29374218,126.8659834,166,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1993,031-406-2105,20251110,안산시
박달시장,상설장,경기도 안양시 만안구 양화로 132-3,경기도 안양시 만안구 박달동 21-8,매일,37.40464613,126.9096092,127,농산물+축산물+가공식품+음식점,,,Y,Y,2005,031-469-2660,20251110,안양시
양평물맑은시장,상설장+3일장,경기도 양평군 양평읍 양평장터길 15,경기도 양평군 양평읍 양근리 166-8,3일+8일,37.49093506,127.4925686,548,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,031-771-2080,20251110,양평군
양동쌍학시장,상설장+4일장,경기도 양평군 양동면 학둔지아래길 76,경기도 양평군 양동면 쌍학리 227-3,4일+9일,37.42017548,127.7531956,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1950,031-773-1722,20251110,양평군
적성전통시장,상설장+5일장,경기도 파주시 적성면 청송로 1023,경기도 파주시 적성면 마지리 46-8,5일+10일,37.95460991,126.9186679,82,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,031-958-8662,20251110,파주시
금촌전통시장,상설장,경기도 파주시 금정 24길 18-6,경기도 파주시 금촌동 64-19,1일+6일,37.76261761,126.7738861,91,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,031-946-0013,20251110,파주시
문산자유시장,상설장+4일장,경기도 파주시 문산읍 문향로 57,경기도 파주시 문산읍 문산리 10-23,4일+9일,37.85673243,126.7839395,113,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,031-952-3233,20251110,파주시
광탄시장,상설장+3일장,경기도 파주시 광탄면 혜음로 1114,경기도 파주시 광탄면 신산리 222-7,3일+8일,37.78145915,126.8484774,118,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,,20251110,파주시
덕풍전통시장,상설장+4일장,경기도 하남시 수리북로 22,경기도 하남시 덕풍동 328-12,4일+9일,37.54154098,127.202916,140,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,031-794-3753,20251110,하남시
남양시장,상설장,경기도 화성시 남양읍 남양시장로 61,경기도 화성시 남양읍 남양리 1165-25,1일+6일,37.20902222,126.8159971,406,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1935,031-366-9100,20251110,화성시
사강시장,상설장,경기도 화성시 송산면 사강로 183-1,경기도 화성시 송산면 사강리 662-2,2일+7일,37.21330187,126.7360034,341,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1921,031-357-6037,20251110,화성시
조암시장,상설장+4일장,경기도 화성시 우정읍 조암남로 28,경기도 화성시 우정읍 조암리 270-7,4일+9일,37.08354443,126.818488,420,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1929,031-351-8009,20251110,화성시
발안만세시장,상설장+5일장,경기도 화성시 향남읍 평2길 7,경기도 화성시 향남읍 평리 81-51,5일+10일,37.13145931,126.9094512,214,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1929,031-352-0120,20251110,화성시
