sigun_nm,faclt_nm,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,잠사과학박물관,031-290-8540,20210305,경기도 수원시 권선구 서호로 54,경기도 수원시 권선구 서둔동 61-2번지,16613,37.2638428,126.9875265
수원시,수원박물관,031-228-4150,20210305,경기도 수원시 영통구 창룡대로 265,경기도 수원시 영통구 이의동 1088-10번지,16227,37.2976452,127.0356337
수원시,지도박물관,031-210-2667,20210305,경기도 수원시 영통구 월드컵길 92,경기도 수원시 영통구 원천동 111번지,16517,37.2760257,127.0557092
파주시,아고라(정치박물관),031-957-5051,20210305,경기도 파주시 탄현면 헤이리마을길 76-47,경기도 파주시 탄현면 법흥리 1652-500번지,10859,37.7880539,126.7012164
파주시,파주교육박물관,031-954-2353,20210305,경기도 파주시 파주읍 우계로53번길 15,경기도 파주시 파주읍 파주리 501번지,10835,37.8321467,126.8159585
용인시,경기도박물관,031-288-5300,20210305,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 496번지,17072,37.2667987,127.1076441
파주시,두루뫼박물관,031-958-6101,20210305,경기도 파주시 법원읍 초리골길 278 두루뫼박물관,경기도 파주시 법원읍 법원리 139-5번지 두루뫼박물관,10826,37.8568026,126.896043
용인시,전통민속관,031-288-0000,20210305,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.2565731,127.1175081
용인시,한국등잔박물관,031-334-0797,20210305,경기도 용인시 처인구 모현면 능곡로 56번길 8,경기도 용인시 처인구 모현읍 능원리 258-9번지,16886,37.3365891,127.1778595
파주시,재미있는 추억박물관,031-943-2552,20210305,경기도 파주시 탄현면 헤이리마을길 93-148,경기도 파주시 탄현면 법흥리 1652-60번지,10859,37.7908993,126.6981533
파주시,헤이리마을 어린이토이박물관,031-945-8378,20210305,경기도 파주시 탄현면 헤이리마을길 93-127,경기도 파주시 탄현면 법흥리 1652-75번지,10859,37.7915363,126.699055
파주시,한국근현대사박물관,031-957-1125,20210305,경기도 파주시 헤이리마을길 59-85,경기도 파주시 탄현면 법흥리 1652-10번지,10859,37.79087,126.695178
파주시,화폐박물관,031-949-6592,20210305,경기도 파주시 탄현면 헤이리마을길 93-89,경기도 파주시 탄현면 법흥리 1652-53번지,10859,37.7908034,126.6973139
부천시,만화박물관,032-310-3090,20210305,경기도 부천시 원미구 길주로 1,경기도 부천시 원미구 상동 529-2번지,14505,37.5086718,126.7437361
과천시,추사박물관,02-2150-3650,20210305,경기도 과천시 추사로 78,경기도 과천시 주암동 184-2번지,13820,37.4526368,127.0287188
용인시,명지대학교자연캠퍼스박물관,031-330-6074,20210305,경기도 용인시 처인구 명지로 116,경기도 용인시 처인구 남동 555번지,17058,37.2237848,127.1832432
용인시,단국대학교 석주선기념박물관,031-8005-2389,20210305,경기도 용인시 수지구 죽전로 152,경기도 용인시 수지구 죽전동 1491번지,16890,37.3188404,127.1314134
이천시,한국기독교역사박물관,031-632-1391,20210305,경기도 이천시 대월면 대평로214번길 10-13,경기도 이천시 대월면 초지리 474-2번지,17343,37.2228112,127.499256
광주시,얼굴박물관,031-765-3522,20210305,경기도 광주시 남종면 분원길 3-6,경기도 광주시 남종면 분원리 68번지,12708,37.4939543,127.3020526
남양주시,남양주시립박물관,031-590-8600,20210305,경기도 남양주시 와부읍 팔당로 121,경기도 남양주시 와부읍 팔당리 237-3번지,12277,37.5463749,127.2443835
부천시,부천교육박물관,032-661-1282,20210305,경기도 부천시 원미구 소사로 482,경기도 부천시 원미구 춘의동 8번지,14655,37.5008512,126.7982775
부천시,부천물박물관,032-625-3399,20210305,경기도 부천시 오정구 길주로 691 까치울정수장 관리본관 1층,경기도 부천시 오정구 작동 산60-8번지 까치울정수장 관리본관 1층,14477,37.5074212,126.8194146
파주시,헤이리예술마을,031-946-8551,20210305,경기도 파주시 탄현면 헤이리마을 59-78,경기도 파주시 탄현면 헤이리마을 59-78,,,
파주시,인스퀘어(라임트리),031-957-0896,20210305,경기도 파주시 탄현면 헤이리마을길 21-6,경기도 파주시 탄현면 법흥리 1652-277번지,10859,37.7880945,126.6965709
포천시,전통술박물관 산사원,031-531-9300,20210305,경기도 포천시 화현면 화동로432번길 25,경기도 포천시 화현면 화현리 511번지,11123,37.9059943,127.3099064
포천시,한과문화박물관 한가원,031-533-8121,20210305,경기도 포천시 영북면 산정호수로322번길 26-9,경기도 포천시 영북면 산정리 520번지,11103,38.0683427,127.3037184
안성시,해닮,010-4245-3861,20210305,경기도 안성시 금광면 배티로 781,경기도 안성시 금광면 개산리 204-10번지,17536,36.9817544,127.3054661
구리시,고구려대장간마을,031-557-1010,20210305,경기도 구리시 우미내길 41,경기도 구리시 아천동 316-47번지,11958,37.5608108,127.1109423
용인시,한택식물원,031-333-3558,20210305,경기도 용인시 처인구 백암면 한택로 2,경기도 용인시 처인구 백암면 옥산리 365번지,17183,37.0944757,127.4068596
용인시,용인 대장금 파크,031-337-3241,20210305,경기도 용인시 처인구 드라마길 25,,,,
수원시,kbs수원센터,031-219-8081,20210305,경기도 수원시 팔달구 인계로 123,경기도 수원시 팔달구 인계동 468번지,16487,37.2679514,127.0305715
가평군,쁘띠프랑스,031-584-8200,20210305,경기도 가평군 청평면 호반로 1063,경기도 가평군 청평면 고성리 616-2번지,12456,37.7141033,127.4896638
포천시,아프리카문화원,031-543-3600,20210305,경기도 포천시 소홀읍 광릉수목원로 967,경기도 포천시 소흘읍 무림리 41번지,11187,37.7752748,127.1393221
파주시,프로방스,031-946-6353,20210305,경기도 파주시 탄현면 새오리로 79-24,경기도 파주시 탄현면 성동리 80-10번지,10858,37.7912878,126.68385
파주시,세계민속악기박물관,031-946-9838,20210305,경기도 파주시 탄현면 헤이리마을길63-26,경기도 파주시 탄현면 법흥리 1652-213번지,10859,37.7895105,126.6993722
남양주시,몽골문화촌,031-559-8018,20210305,경기도 남양주시 수동면 비룡로 1635,경기도 남양주시 수동면 내방리 254번지,12024,37.7577128,127.2755929
파주시,피노지움,031-8035-6773,20210305,경기도 파주시 회동길 152,경기도 파주시 문발동 513-15번지,10881,37.7089071,126.6875679
평택시,지영희국악관,031-8024-8689,20210305,경기도 평택시 현덕면 평택호길 147 한국소리터어울림동 1층,경기도 평택시 현덕면 권관리 301-1번지 한국소리터어울림동 1층,17972,36.9211325,126.9208602
파주시,한림토이뮤지엄,031-957-8470,20210305,경기도 파주시 탄현면 헤이리마을길 25,경기도 파주시 탄현면 법흥리 1652-275번지,10859,37.7879879,126.6967992
화성시,경기도농업기술원,031-229-5900,20210305,경기도 화성시 병점중앙로 283-33,경기도 화성시 병점구 기산동 274번지,18388,37.2230139,127.0436776
파주시,농경유물전시관,031-940-4802,20210305,경기도 파주시 월롱면 통일로 600 파주농업기술센터,경기도 파주시 아동동 91-6번지 파주농업기술센터,10944,37.7639689,126.7955492
파주시,활판공방,031-955-0084,20210305,경기도 파주시 문발로 203,경기도 파주시 문발동 509-3번지,10881,37.7126225,126.6865517
파주시,아시아출판문화정보센터,031-955-0050,20210305,경기도 파주시 회동길 145,경기도 파주시 문발동 524-3번지,10881,37.7084961,126.6867783
파주시,엘비스프레스리기념관,031-948-3385,20210305,경기도 파주시 광탄면 보광로920번길 30,경기도 파주시 광탄면 마장리 129-2번지,10952,37.7772342,126.8836321
여주시,명성황후기념관,031-881-9731,20210305,경기도 여주시 명성로 71,경기도 여주시 능현동 250-3번지,12653,37.2596759,127.6554257
양평군,한강물환경생태관,031-770-7290,20210305,경기도 양평군 양서면 두물머리길68번길 42,경기도 양평군 양서면 양수리 819번지,12585,37.5404377,127.3132268
양주시,가나아트파크,031-877-0500,20210305,경기도 양주시 장흥면 권율로 117,경기도 양주시 장흥면 일영리 6-7번지,11520,37.7256376,126.9499667
안성시,안성마춤유기공방,031-675-2590,20210305,경기도 안성시 중앙로 448,경기도 안성시 봉남동 7-3번지,17591,37.0060063,127.2764955
안성시,조병화문학관,031-674-0307,20210305,경기도 안성시 양성면 난실길 14-1,경기도 안성시 양성면 난실리 337번지,17501,37.1120788,127.2216288
안성시,3·1운동기념관,031-678-2475,20210305,경기도 안성시 원곡면 만세로 868,경기도 안성시 원곡면 칠곡리 2-18번지,17555,37.0627792,127.1752865
안산시,성호기념관,031-481-2574,20210305,경기도 안산시 상록구 성호로 131,경기도 안산시 상록구 부곡동 709번지,15316,37.3150945,126.8595842
안산시,유리섬,032-885-6262,20210305,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13번지,15650,37.2197885,126.6023925
안산시,누에섬등대전망대,010-3038-2331,20210305,경기도 안산시 단원구 대부황금로 17-156,경기도 안산시 단원구 선감동 산170번지,15652,37.1866361,126.6314801
성남시,새마을운동중앙연수원새마을역사관,031-780-7827,20210305,경기도 성남시 분당구 새마을로 257,경기도 성남시 분당구 율동 200번지,13575,37.3884295,127.1560951
성남시,코리아디자인센터,031-780-2246,20210305,경기도 성남시 분당구 양현로 322 코리아디자인센터,경기도 성남시 분당구 야탑동 344-1번지 코리아디자인센터,13496,37.4131083,127.1232565
부천시,펄벅기념관,032-668-7565,20210305,경기도 부천시 소사구 성주로214번길 61,경기도 부천시 소사구 심곡본동 566-9번지,14749,37.4755589,126.7817081
남양주시,김교각기념관,031-577-6433,20210305,경기도 남양주시 와부읍 석실로율석안길 167 백천사,경기도 남양주시 와부읍 율석리 369번지 백천사,12201,37.6251331,127.2313538
김포시,덕포진전시관,031-989-9794,20210305,경기도 김포시 대곶면 덕포진로103번길 130,경기도 김포시 대곶면 신안리 산99번지,10041,37.6497625,126.5366528
광주시,물환경전시관,031-8008-6937,20210305,경기도 광주시 남종면 산수로 1692,경기도 광주시 남종면 분원리 250-3번지,12708,37.4995894,127.3030107
광주시,만해기념관,031-744-3100,20210305,경기도 광주시 중부면 남한산성로792번길 24-7,경기도 광주시 남한산성면 산성리 912-1번지,12700,37.4773022,127.1808417
광명시,오리이원익기념관,02-2680-6307,20210305,경기도 광명시 오리로 287,경기도 광명시 소하동 1055-3번지,14333,37.4285174,126.880501
고양시,고양화장실전시관,031-8075-4358,20210305,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906번지,10400,37.6549538,126.7687601
용인시,한국기독교순교자기념관,031-336-2825,20210305,경기도 용인시 처인구 양지면 추계로 235,경기도 용인시 처인구 양지읍 추계리 산84-1번지,17156,37.2579367,127.3025817
수원시,수원화성홍보관,031-290-3600,20210305,경기도 수원시 팔달구 행궁로 11,경기도 수원시 팔달구 남창동 14번지,16261,37.2809593,127.0151267
수원시,애기똥풀인형극장,070-8222-8373,20210305,경기도 수원시 팔달구 신풍로 47,경기도 수원시 팔달구 신풍동 32-1번지,16251,37.2852998,127.0140836
수원시,아담스기념관,031-228-2476,20210305,경기도 수원시 팔달구 매향동 110번지,경기도 수원시 팔달구 매향동 110번지,16254,,
광주시,일본군 위안부 역사관,031-768-0064,20210305,경기도 광주시 퇴촌면 가새골길 85,경기도 광주시 퇴촌면 원당리 62-2번지,12715,37.4428513,127.3220161
파주시,20세기소년소녀관,031-957-0636,20210305,경기도 파주시 탄현면 헤이리마을길 59-118,경기도 파주시 탄현면 법흥리 1652번지,10859,37.7922982,126.6957872
파주시,파주장단콩전시관,031-940-4516,20210305,경기도 파주시 문산읍 임진각로 148-73,경기도 파주시 문산읍 마정리 1360-44번지,10808,37.8914474,126.7402694
평택시,평택항홍보관,031-682-5663,20210305,경기도 평택시 포승읍 평택항로 98,경기도 평택시 포승읍 만호리 589번지,17960,36.970034,126.8475563
파주시,월당전시관,031-945-9199,20210305,경기도 파주시 문산읍 반구정로 36-13,경기도 파주시 문산읍 사목리 169번지,10818,37.867185,126.7586979
고양시,행주대첩기념관,031-974-7237,20210305,경기도 고양시 덕양구 행주내동 산12,경기도 고양시 덕양구 행주내동 산12,,,
수원시,어린이생태미술체험관풀잎,031-269-3647,20210305,경기도 수원시 장안구 경수대로 1274 효행공원 내,경기도 수원시 장안구 파장동 39-35번지 효행공원 내,16201,37.3245962,126.9874754
안산시,최용신기념관,031-481-3040,20210305,경기도 안산시 상록구 샘골서길 64번지,경기도 안산시 상록구 본오동 879-4번지,15539,37.2996169,126.862762
남양주시,어린이비전센터,031-560-1562,20210305,경기도 남양주시 진접읍 해밀예당1로 96,경기도 남양주시 진접읍 금곡리 1077번지,12057,37.717097,127.1910487
의왕시,경기의왕 레일바이크,070-7178-4393,20210305,경기도 의왕시 왕송못동로 209(월암동),경기도 의왕시 월암동 525-10번지,16107,37.3108723,126.9502605
의왕시,빨강장화,010-8488-4123,20210305,경기도 의왕시 내손순환로 129 상가1호,경기도 의왕시 내손동 674-5번지 1호,16028,37.3858503,126.9845736
수원시,경기상상캠퍼스,031-296-1980,20210305,경기도 수원시 권선구 서둔로 166,경기도 수원시 권선구 서둔동 103-25번지,16614,37.2667795,126.9850141
양평군,황순원문학촌소나기마을,031-773-2299,20210305,경기도 양평군 서종면 소나기마을길 24,경기도 양평군 서종면 수능리 산74번지,12504,37.594883,127.3778859
성남시,성남고령친화종합체험관,031-1644-0891,20210305,경기도 성남시 분당구 야탑로205번길 26,경기도 성남시 분당구 야탑동 221번지,13503,37.4106906,127.1429531
고양시,고양어린이박물관,031-839-0300,20210305,경기도 고양시 덕양구 화중로 26길,,,,
가평군,인터랙티브아트뮤지엄,070-8899-4251,20210305,경기도 가평군 가평읍 호반로 1655,경기도 가평군 가평읍 복장리 140번지,12430,37.7434777,127.5106353
김포시,나인블럭아트스페이스,031-1833-3831,20210305,경기도 김포시 운양동 1078-2,경기도 김포시 운양동 1078-2,10072,37.6568171,126.6690218
동두천시,디자인아트빌리지,,20210305,경기도 동두천시 평화로 2539 보산역 일대,경기도 동두천시 보산동 422번지 보산역일대,11311,37.9143281,127.0572448
수원시,경기도문화의전당,031-230-3200,20210305,경기도 수원시 팔달구 효원로 307번길 20,경기도 수원시 팔달구 인계동 1117번지,16488,37.2614188,127.0380891
포천시,포천반월아트홀,031-540-6213,20210305,경기도 포천시 군내면 청성로 111,경기도 포천시 군내면 하성북리 610번지,11151,37.8961166,127.2124468
파주시,UV하우스(오래된정원),031-944-1194,20210305,경기도 파주시 탄현면 헤이리마을길 29,경기도 파주시 탄현면 법흥리 1652-263번지,10859,37.7874767,126.6971795
파주시,자유로자동차극장,080-945-0609,20210305,경기도 파주시 탄현면 필승로 432,경기도 파주시 탄현면 성동리 646번지,10862,37.7798672,126.6849977
의정부시,의정부예술의전당,031-828-5841,20210305,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323번지,11622,37.733454,127.0340829
의정부시,의정부야외공연장,031-828-2114,20210305,경기도 의정부시 시민로 1,경기도 의정부시 의정부동 326-2번지,11622,37.7386655,127.0345497
연천군,연천수레울아트홀,031-834-3770,20210305,경기도 연천군 연천읍 문화로 150,경기도 연천군 연천읍 옥산리 320번지,11012,38.1071319,127.0797747
양주시,양주별산대놀이마당,031-840-9986,20210305,경기도 양주시 부흥로1399번길 47,경기도 양주시 유양동 262번지,11498,37.7862072,127.0315714
안성시,무비마운틴,031-655-4895,20210305,경기도 안성시 원곡면 천덕산로 828-6,경기도 안성시 원곡면 성은리 449-1번지,17554,37.0663649,127.1680496
안산시,안산문화예술의전당,031-481-4000,20210305,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817번지,15355,37.3184603,126.8230002
성남시,성남시 야외공연장,031-711-7762,20210305,경기도 성남시 분당구 성남대로 550 (수내동),경기도 성남시 분당구 수내동 65번지,13598,37.3803005,127.1211729
성남시,성남시민회관,031-735-1960,20210305,경기도 성남시 수정구 수정로171번길 10,경기도 성남시 수정구 태평동 3309번지,13290,37.4448498,127.1390489
성남시,성남아트센터,031-783-8000,20210305,경기도 성남시 분당구 성남대로 808 성남아트센터,경기도 성남시 분당구 야탑동 757번지 성남아트센터,13514,37.4024596,127.1307557
부천시,부천시민회관,032-320-6481,20210305,경기도 부천시 부일로 365,경기도 부천시 원미구 중동 788번지,14613,37.4886329,126.7706559
부천시,오정아트홀,032-320-6481,20210305,경기도 부천시 오정구 성오로 172,경기도 부천시 오정구 오정동 129번지,14434,37.5277281,126.7965432
남양주시,두물워크샵,031-592-3336,20210305,경기도 남양주시 화도읍 북한강로1112번길 19,경기도 남양주시 화도읍 금남리 723번지,12194,37.6137248,127.3427753
고양시,고양아람누리,031-1577-7766,20210305,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 816번지,10409,37.6613085,126.7731874
고양시,고양어울림누리,031-1577-7766,20210305,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 826번지,10471,37.6503465,126.8355292
안양시,평촌아트홀,031-687-0555,20210305,경기도 안양시 동안구 평촌대로 76,경기도 안양시 동안구 호계동 1112번지,14105,37.3799811,126.9640224
용인시,여성회관,031-324-8984,20210305,경기도 용인시 수지구 문정로7번길 15 여성회관,경기도 용인시 수지구 풍덕천동 1086번지 여성회관,16841,37.3205436,127.0954126
용인시,경기도문화의전당 국악당,031-289-6400,20210305,경기도 용인시 기흥구 민속촌로 89 경기도국악당,경기도 용인시 기흥구 보라동 312번지 경기도국악당,17075,37.2595535,127.1137602
수원시,수원시민회관,031-244-2162,20210305,경기도 수원시 팔달구 팔달산로 28,경기도 수원시 팔달구 매산로3가 산3번지,16444,37.2735973,127.0113164
수원시,수원제1야외음악당,031-236-5740,20210305,경기도 수원시 팔달구 동수원로 335,경기도 수원시 팔달구 인계동 1128번지,16491,37.2591224,127.0363439
부천시,복사골문화센터아트홀,032-320-6481,20210305,경기도 부천시 원미구 한아름마을로 17 복사골문화센터,경기도 부천시 원미구 상동 한아름마을로 17 복사골문화센터,14596,37.4946603,126.754364
화성시,화성 종합경기타운,031-371-0011,20210305,경기도 화성시 향남읍 향남로 470,경기도 화성시 만세구 향남읍 도이리 668번지,18588,37.137472,126.9240117
파주시,교하청소년문화의집,031-957-1115,20210305,경기도 파주시 책향기로 396,경기도 파주시 동패동 1691번지,10885,37.7239585,126.7154424
파주시,축구국가대표팀 트레이닝센터,031-957-0555,20210305,경기도 파주시 탄현면 필승로 368,경기도 파주시 탄현면 성동리 685번지,10862,37.7756147,126.685226
파주시,경기영어마을파주캠프(레일바이크),031-1588-0554,20210305,경기도 파주시 탄현면 얼음실로 40,경기도 파주시 탄현면 법흥리 1779번지,10859,37.7852855,126.7010077
이천시,이천아트홀,031-644-2100,20210305,경기도 이천시 부악로 40,경기도 이천시 중리동 490번지,17379,37.271559,127.434197
의왕시,성 라자로 마을,031-452-5655,20210305,경기도 의왕시 원골로 66,경기도 의왕시 오전동 87-1번지,16048,37.3628922,126.9722974
오산시,오산종합운동장,031-371-1756,20210305,경기도 오산시 경기도동로 33,,,,
여주시,여주종합운동장,031-887-2791,20210305,경기도 여주시 영릉로 123,경기도 여주시 월송동 1번지,12625,37.2930389,127.6228994
여주시,지미당,031-884-6036,20210305,경기도 여주시 하거1길 6,경기도 여주시 하거동 188-1번지,12658,37.2314714,127.6406562
여주시,삼합리,,20210305,경기도 여주군 점동면,경기도 여주시 점동면,,,
고양시,킨텍스,031-810-8114,20210305,경기도 고양시 일산서구 한류월드로 408,,,,
수원시,수원월드컵경기장,031-202-2002,20210305,경기도 수원시 팔달구 월드컵로 310,경기도 수원시 팔달구 우만동 228번지,16230,37.2886121,127.0399537
수원시,수원농수산물유통센터,031-299-9001,20210305,경기도 수원시 권선구 서부로 1937 농협하나로클럽,경기도 수원시 권선구 구운동 218-1번지 농협하나로클럽,16404,37.2830135,126.9666963
하남시,하남문화예술회관,031-790-7979,20210305,경기도 하남시 신평로 125 (덕풍동),경기도 하남시 덕풍동 694번지,12934,37.5447463,127.2068173
포천시,포천문화원,031-532-5015,20210305,경기도 포천시 중앙로 34번길 8,경기도 포천시 신읍동 397-2번지,11149,37.890466,127.1982753
평택시,평택남부문예회관,031-8024-5411,20210305,경기도 평택시 중앙로 277,경기도 평택시 비전동 847번지,17901,36.9911212,127.1140767
평택시,북부문화예술회관,031-8024-7391,20210305,경기도 평택시 경기도대로 1366,경기도 평택시 서정동 800번지,17730,37.0672231,127.0654116
평택시,평택호예술관,031-8024-8687,20210305,경기도 평택시 현덕면 평택호길 159 평택관광단지 내,경기도 평택시 현덕면 권관리 321번지 평택관광단지 내,17972,36.9214457,126.9222275
파주시,파주문화원,031-941-2425,20210305,경기도 파주시 와석순환로 415 운정행복센터,경기도 파주시 와동동 1358번지 운정행복센터,10894,37.7240923,126.7512642
파주시,파주시민회관,031-950-1854,20210305,경기도 파주시 시민회관길 33,경기도 파주시 금촌동 927번지,10932,37.7592016,126.7807224
파주시,예맥아트홀,031-943-9435,20210305,경기도 파주시 탄현면 법흥리 1652-506,경기도 파주시 탄현면 법흥리 1652-506,10859,37.7883218,126.7021788
이천시,이천문화원,031-635-2316,20210305,경기도 이천시 향교로 142,경기도 이천시 창전동 산7-36번지 세영아파트,17362,37.2837007,127.4527889
의정부시,의정부청소년회관,031-871-0783,20210305,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352번지,11622,37.7348251,127.0343581
의정부시,의정부문화원,031-872-5678,20210305,경기도 의정부시 산단로 123,경기도 의정부시 신곡동 793번지,11780,37.7464052,127.079405
의왕시,의왕문화원,031-456-4994,20210305,경기도 의왕시 백운로 23,경기도 의왕시 오전동 413-1번지,16065,37.3521649,126.9822974
의왕시,중앙도서관(의왕시립도서관),031-345-3642,20210305,경기도 의왕시 골우물길 49 의왕시 중앙도서관,경기도 의왕시 고천동 159번지 의왕시중앙도서관,16075,37.3422472,126.9695178
오산시,오산시민회관,031-378-4351,20210305,경기도 오산시 오산천로 275,,,,
오산시,오산문화예술회관,031-379-9999,20210305,경기도 오산시 경기도동로 41,,,,
오산시,오산문화원,031-375-7755,20210305,경기도 오산시 오산동 강변로 365,경기도 오산시 오산동 강변로 365,,,
연천군,연천문화원,031-834-2350,20210305,경기도 연천군 연천읍 문화로 143,경기도 연천군 연천읍 현가리 71-1번지,11013,38.1063165,127.0786045
여주시,여주문화원,031-883-3450,20210305,경기도 여주시 신륵사길 6-6,경기도 여주시 천송동 553번지,12636,37.3001347,127.6523382
여주시,여주박물관,031-887-3581,20210305,경기도 여주시 신륵사길 6-12,경기도 여주시 천송동 588-6번지,12636,37.2996466,127.6533753
양평군,양평문화원,031-771-3866,20210305,경기도 양평군 양평읍 마유산로 5,경기도 양평군 양평읍 양근리 540-1번지,12546,37.4974724,127.4860283
양주시,양주문화원,031-836-6467,20210305,경기도 양주시 광적면 삼일로29번길 20,경기도 양주시 광적면 가납리 726번지,11419,37.8222267,126.9868601
양주시,양주상여회닫이보존회,031-879-6360,20210305,경기도 양주시 백석읍 중앙로 226-24,경기도 양주시 백석읍 오산리 516-5번지,11504,37.7968703,126.9883645
양주시,양주소놀이굿공연장,031-879-5969,20210305,경기도 양주시 백석읍 중앙로93번길 70-21,경기도 양주시 백석읍 방성리 618-2번지,11511,37.7914871,127.0003953
안성시,안성문화원,031-673-2625,20210305,경기도 안성시 보개면 종합운동장로 203,경기도 안성시 보개면 양복리 238-2번지,17508,37.0149643,127.3232775
안성시,남사당전수관,031-675-3925,20210305,경기도 안성시 보개면 남사당로 196-31,경기도 안성시 보개면 복평리 34-3번지,17508,37.0313941,127.3093873
