사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
파인짐 휘트니스,20200924,,13,영업중,,,496.03,14922,"경기도 시흥시 은계번영길 1, 태산W타워 6층 609~615호 (은행동)",경기도 시흥시 은행동 646 태산W타워,14922,37.4365775346,126.8016249551,,182373.2758541020,437178.7382650290,체력단련장업,사립,,
MF 휘트니스&필라테스,20070315,,13,영업중,,031-315-7712,490.42,14957,"경기도 시흥시 신현로38번길 22, 시흥종교교회 3층 (포동)",경기도 시흥시 포동 13-9 시흥종교교회,14957,37.4075046773,126.7843809470,,180841.3700446090,433955.5318505360,체력단련장업,사립,,
남스짐 월곶점,20221101,,13,영업중,,,,14963,"경기도 시흥시 월곶중앙로 49, 2층 (월곶동)",경기도 시흥시 월곶동 1015-4,14963,37.3881702527,126.7395824479,,176867.1639381500,431818.4970962810,체력단련장업,사립,,
피트온,20221208,,13,영업중,,,178.82,14985,"경기도 시흥시 솔고개길 3-4, 303호 (목감동)",경기도 시흥시 목감동 402-2,14985,37.3823896542,126.8609665498,,187614.6093204720,431153.8543308390,체력단련장업,사립,,
맞춤운동센터 자이언트짐,20230111,,13,영업중,,,393.57,15020,"경기도 시흥시 함송로29번길 5, 2층 ,3층 301호 (정왕동)",경기도 시흥시 정왕동 1881-6 다나의원,15020,37.3637706546,126.7312688493,,176121.6701295300,429115.2494698610,체력단련장업,사립,,
올페이스짐,20230316,,13,영업중,,,482.4,15011,"경기도 시흥시 배곧3로 86, 센터프라자2 605~607호 (배곧동)",경기도 시흥시 배곧동 194-2 센터프라자2,15011,37.3702222869,126.7295541408,,175971.2337473930,429834.3118012040,체력단련장업,사립,,
밸런스 핏 PT 스튜디오,20240423,,13,영업중,,,136.38,14915,"경기도 시흥시 대은로103번길 7, 신화프라자 204호 (대야동)",경기도 시흥시 대야동 581-2 신화프라자,14915,37.4461863037,126.7986302192,,182104.5027196370,438252.5709096720,체력단련장업,사립,,
예일피티 YALE PT,20240610,,13,영업중,,,121.17,15002,"경기도 시흥시 진말로9번길 2, 부석프라자 306호 (장곡동)",경기도 시흥시 장곡동 820-3 부석프라자,15002,37.3784680740,126.7852668701,,180903.0895898950,430743.5609299670,체력단련장업,사립,,
리라핏 거모점,20241001,,13,영업중,,,496.12,15070,"경기도 시흥시 군자로504번길 1, 보성빌딩 지하1층 (거모동)",경기도 시흥시 거모동 1742-1 보성빌딩,15070,37.3449417984,126.7845460989,,180846.9724060200,427015.2044195400,체력단련장업,사립,,
샤랩 피트니스 헬스&피티 배곧점,20250110,,13,영업중,,,1019,15012,"경기도 시흥시 서울대학로 99, 801호 (배곧동)",경기도 시흥시 배곧동 271,15012,37.3592235848,126.7114638181,,174359.6888073920,428648.7529157520,체력단련장업,사립,,
일루와짐,20250310,,13,영업중,,,,15080,"경기도 시흥시 협력로 281, 메가폴리스 1층 B105~B107호 (정왕동)",경기도 시흥시 정왕동 2164-2 메가폴리스,15080,37.3518659383,126.7151538858,,174676.9329014930,427814.3396908030,체력단련장업,사립,,
라포르짐,20250430,,13,영업중,,,,14912,"경기도 시흥시 비둘기공원7길 54, 정민빌딩 5층 502호 (대야동)",경기도 시흥시 대야동 541-14 정민빌딩,14912,37.4416539648,126.7913246197,,181464.1944716770,437743.4689041080,체력단련장업,사립,,
마리오 짐,20140217,,13,영업중,,,315.4,15066,"경기도 시흥시 중심상가4길 30, 4층 (정왕동)",경기도 시흥시 정왕동 1744-5,429861,37.3430484691,126.7368765863,,176612.6956769020,426814.1820848410,체력단련장업,사립,,
라훔헬스&필라테스,20250708,,13,영업중,,031-315-7779,,14912,"경기도 시흥시 비둘기공원로 10, 4층 (대야동)",경기도 시흥시 대야동 532-1,14912,37.4439490409,126.7907603419,,181414.4019837700,437998.7637597010,체력단련장업,사립,,
피지오숲 필라테스 배곧점,20250722,,13,영업중,,031-365-4550,,15011,"경기도 시흥시 서울대학로264번길 44-4, 에스프라자 8층 806,807호 (배곧동)",경기도 시흥시 배곧동 231 에스프라자,15011,37.3671759068,126.7282075179,,175853.3255291810,429485.0779362570,체력단련장업,사립,,
크로스핏 삶의짐,20160223,,13,영업중,,,287.12,15066,"경기도 시흥시 중심상가4길 24-1, 나라빌딩 지하 1층 (정왕동)",경기도 시흥시 정왕동 1744-2 나라빌딩,15066,37.3433296956,126.7371559822,,176637.2850000000,426845.7710000000,체력단련장업,사립,,
정왕헬스,20160620,,13,영업중,,031-496-4514,352.8,15052,"경기도 시흥시 정왕시장길 52, 정왕시장 3층 301호 (정왕동)",경기도 시흥시 정왕동 1202 정왕시장,15052,37.3455685452,126.7489652672,,177684.9537522750,427088.4076865390,체력단련장업,사립,,
리에베 필라테스&PT,20230725,,13,영업중,,,246.92,14989,경기도 시흥시 산현마을길 52 (주)이안리치개발 301호 (산현동),경기도 시흥시 산현동 506-2 (주)이안리치개발,14989,37.3765292718,126.8458587537,,186277.9930321260,430503.9728414950,체력단련장업,사립,,
머슬리 짐 PT,20230822,,13,영업중,,031-404-4465,257.79,14999,"경기도 시흥시 능곡번영길 16, 602~603호 (능곡동)",경기도 시흥시 능곡동 898-11,14999,37.3691188314,126.8076490989,,182883.9428030770,429701.1674753080,체력단련장업,사립,,
다비드 핏,20200131,,13,영업중,,,168.47,15011,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 4층 407호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,37.3698358612,126.7283496731,,175866.6491494710,429786.1300355010,체력단련장업,사립,,
머슬뷰티,19990311,,13,영업중,,031-433-4935,285.3,15066,"경기도 시흥시 중심상가로 197, 영창빌딩 5층 (정왕동)",경기도 시흥시 정왕동 1737-20 영창빌딩,15066,37.3441221935,126.7370463570,,176630.2967308070,426933.6893306050,체력단련장업,사립,,
어게인핏,20011115,,13,영업중,,,687.2,15002,"경기도 시흥시 진말로9번길 2, 부석프라자 501~505호 (장곡동)",경기도 시흥시 장곡동 820-3 부석프라자,15002,37.3784680740,126.7852668701,,180903.0895898950,430743.5609299670,체력단련장업,사립,,
체인지핏(배곧점),20200331,,13,영업중,,070-7763-3333,220.76,15011,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 5층 519~520호 (배곧동)",경기도 시흥시 배곧동 230 배곧중앙프라자,15011,37.3666139281,126.7277276688,,175810.8486508670,429428.5379440570,체력단련장업,사립,,
매드볼릭,20231020,,13,영업중,,,375.92,15011,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 307, 308호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,37.3698358612,126.7283496731,,175866.6491494710,429786.1300355010,체력단련장업,사립,,
글로리 짐,20210119,,13,영업중,,,54.08,15011,"경기도 시흥시 서울대학로278번길 26, 시흥배곧 아브뉴프랑 센트럴 오렌지 4층 435호 (배곧동)",경기도 시흥시 배곧동 215 시흥배곧 아브뉴프랑 센트럴 오렌지,15011,37.3689041270,126.7278397154,,175820.4213305170,429682.1352987070,체력단련장업,사립,,
바나나 짐,20210226,,13,영업중,,031-431-1188,322.74,15040,"경기도 시흥시 중심상가로 49, 5층 (정왕동)",경기도 시흥시 정왕동 1859-20,15040,37.3523288135,126.7238318533,,175459.6994211740,427844.9672536080,체력단련장업,사립,Y,
MUSCLE GYM(머슬짐),20210504,,13,영업중,,070-8116-8117,470.55,14914,"경기도 시흥시 은행로167번길 3, 대원빌딩 5층 501호 (대야동)",경기도 시흥시 대야동 578-3 대원빌딩,14914,37.4454446818,126.7982075509,,182071.7225068410,438163.2761234350,체력단련장업,사립,,
머슬원핏 월곶점,20240118,,13,영업중,,,88.33,14963,"경기도 시흥시 월곶중앙로 59, 월곶프라자 402호 (월곶동)",경기도 시흥시 월곶동 1014-3 월곶프라자,14963,37.3885516352,126.7386183971,,176782.5193722570,431860.9012501680,체력단련장업,사립,,
파인짐(FINE GYM),20191126,,13,영업중,,,231.27,14923,"경기도 시흥시 은계번영길 25, 미림프라자 4층 405~407호 (은행동)",경기도 시흥시 은행동 646-11 미림프라자,14922,37.4367806110,126.8039629429,,182581.5577890380,437200.2685954530,체력단련장업,사립,,
시흥 하중동 헬스장 짐 메종그랑조,20260128,,13,영업중,,,,14976,"경기도 시흥시 하중로 213-1, 2층 (하중동)",경기도 시흥시 하중동 861-4 육일빌딩,14976,37.3926517416,126.8058059258,,182732.9616000530,432302.8687983910,체력단련장업,사립,,
크로스핏 졸리,20231019,,13,영업중,,,224.2,14992,"경기도 시흥시 시흥대로268번길 12, 3동 (능곡동)",경기도 시흥시 능곡동 807,14992,37.3639286757,126.8079452309,,182922.1265203070,429115.2270594620,체력단련장업,사립,,
배곧멀티짐,20201223,,13,영업중,,031-365-5199,150.46,15010,"경기도 시흥시 배곧4로 22, 배곧타운2 5층 511호 (배곧동)",경기도 시흥시 배곧동 122 배곧타운2,15010,37.3775785190,126.7269601551,,175732.4991347580,430659.5337635310,체력단련장업,사립,,
남스짐 PT전문 &투게더짐 그룹PT전문,20210114,,13,영업중,,031-317-7377,284.64,14995,"경기도 시흥시 승지로60번길 12, 광장프라자 3층 301~303호 (능곡동)",경기도 시흥시 능곡동 747 광장프라자,14995,37.3687817033,126.8116614024,,183247.3689694680,429651.8774554610,체력단련장업,사립,,
로얄바디짐 은계점 헬스PT,20210204,,13,영업중,,031-312-9679,178.84,14923,"경기도 시흥시 은계번영길 21, 은계 유테라스 4층 402~403호 (은행동)",경기도 시흥시 은행동 646-9 은계 유테라스,14922,37.4372099101,126.8033937765,,182530.6484195370,437247.0100066350,체력단련장업,사립,,
버프짐,20210215,,13,영업중,,031-488-9679,188.41,15011,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 4층 413호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.6007249400,429602.8439967730,체력단련장업,사립,,
짐무드 시흥점,20210222,,13,영업중,,,610.51,15011,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7층 703~707호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.6007249400,429602.8439967730,체력단련장업,사립,,
위블휘트니스,20210226,,13,영업중,,031-509-8886,403.72,14995,"경기도 시흥시 승지로60번길 20, 영 프라자 5층 (능곡동)",경기도 시흥시 능곡동 748 영 프라자,14995,37.3686934767,126.8119897207,,183276.9983334050,429642.2549591710,체력단련장업,사립,,
헬스 DUNAMIS,20210412,,13,영업중,,,150.17,14966,"경기도 시흥시 월곶중앙로 64, 풍산프라자 4층 402호 (월곶동)",경기도 시흥시 월곶동 1009-1 풍산프라자,14966,37.3891728802,126.7385104453,,176774.6675847330,431931.3551057600,체력단련장업,사립,,
ARK GYM,20210630,,13,영업중,,031-506-5060,165.6,14985,"경기도 시흥시 목감우회로 51, 동한메티컬프라자 5층 501호 (목감동)",경기도 시흥시 목감동 408 동한메티컬프라자,14985,37.3822598219,126.8619616634,,187687.0298453830,431135.2698730780,체력단련장업,사립,,
알유짐 장현동 pt&헬스 시흥시청점,20210811,,13,영업중,,,289,14998,"경기도 시흥시 시청로68번길 25, 삼하빌딩 5층 501호 (장현동)",경기도 시흥시 장현동 530-3 삼하빌딩,14998,37.3822263343,126.8017904655,,182375.6405073440,431145.8669633430,체력단련장업,사립,,
라이프원오원헬스피티,20231020,,13,영업중,,,296.87,15011,"경기도 시흥시 배곧3로 80, 센터프라자 306,604호 (배곧동)",경기도 시흥시 배곧동 194-1 센터프라자,15011,37.3705347264,126.7290879019,,175930.2890050030,429864.6127945220,체력단련장업,사립,,
엠에스 짐(MS GYM),20231030,,13,영업중,,,395.76,14907,"경기도 시흥시 서해안로 1668-2, 3, 4층 (대야동)",경기도 시흥시 대야동 289-1,14907,37.4508125790,126.7929680175,,181614.3063861650,438761.4875833080,체력단련장업,사립,,
브라운 짐,20231102,,13,영업중,,,172.27,14940,"경기도 시흥시 매화2로 34, 4층 (매화동)",경기도 시흥시 매화동 368-6,14940,37.4172360855,126.8111390656,,183201.4379923990,435025.7365360040,체력단련장업,사립,,
퍼센트짐 헬스장,20231121,,13,영업중,,031-311-8007,466.65,14923,"경기도 시흥시 은계중앙로 256, 리버시티 4층 402~404호 (은행동)",경기도 시흥시 은행동 608 리버시티,14923,37.4470560646,126.8039581957,,182581.3583304190,438336.8883109800,체력단련장업,사립,,
올찬 피트니스,20241205,,13,영업중,,,464.4,14917,"경기도 시흥시 대은로 94, 우진빌딩 6층, 7층 701호 (은행동)",경기도 시흥시 은행동 531-1 우진빌딩,14917,37.4450518639,126.7988442993,,182129.1754351400,438121.6437581100,체력단련장업,사립,,
테스휘트니스센타,20081013,,13,영업중,,031-435-5665,121.7,14916,"경기도 시흥시 은행로 86, 경동프라자 10층 (은행동)",경기도 시흥시 은행동 547-4 경동프라자,14916,37.4392911141,126.7971459146,,181977.3517956710,437476.2029596020,체력단련장업,사립,,
스파리스 휘트니스,20090511,,13,영업중,,031-431-3339,478.5,15052,"경기도 시흥시 정왕시장길 51, 정왕시장 4층 401호 (정왕동)",경기도 시흥시 정왕동 1203 정왕시장,15052,37.3458093904,126.7485677164,,177650.3600531840,427115.3414833010,체력단련장업,사립,,
고구마짐,20120830,,13,영업중,,031-433-6308,171.2,15066,"경기도 시흥시 중심상가3길 13, 명동하우스 (정왕동)",경기도 시흥시 정왕동 1737-15 명동하우스,15066,37.3447243966,126.7367805966,,176607.9650604820,426995.3901611550,체력단련장업,사립,,
빠나따스포츠클럽,20120904,,13,영업중,,,272.61,15036,경기도 시흥시 정왕대로 174 (정왕동),경기도 시흥시 정왕동 1726-1,429862,37.3481553901,126.7334942325,,176313.2851564840,427368.5408059430,체력단련장업,사립,,
언더짐,20220811,,13,영업중,,,292.62,14977,"경기도 시흥시 연성로 86, 송옥빌딩 4층 (하상동)",경기도 시흥시 하상동 380-3 송옥빌딩,14977,37.3906293556,126.8129528648,,183365.3333514120,432075.3133804760,체력단련장업,사립,,
원피트니스,20220908,,13,영업중,,,,14910,"경기도 시흥시 수인로 3372, 신천프라자 10층 1001호 (신천동)",경기도 시흥시 신천동 712-9 신천프라자,14910,37.4411251667,126.7843434953,,180846.3235963690,437687.8502397160,체력단련장업,사립,,
웰피트니스 배곧점,20221125,,13,영업중,,,387.4,15011,"경기도 시흥시 서울대학로278번길 19-14, 배곧프라자 202,203호 (배곧동)",경기도 시흥시 배곧동 193-1 배곧프라자,15011,37.3701623935,126.7286625518,,175894.0792336290,429822.5526877700,체력단련장업,사립,,
플레이짐,20221205,,13,영업중,,,304.29,14912,"경기도 시흥시 비둘기공원1길 23, 유영빌딩 4층 (대야동)",경기도 시흥시 대야동 541-16 유영빌딩,14912,37.4415533975,126.7910881747,,181441.1304890320,437732.2010145370,체력단련장업,사립,,
머슬원핏 시화점,20221216,,13,영업중,,,85,15036,"경기도 시흥시 중심상가로 158, 시화하나프라자 4층 404호 (정왕동)",경기도 시흥시 정왕동 1731-12 시화하나프라자,15036,37.3461334576,126.7330518936,,176276.5259165310,427150.6720649410,체력단련장업,사립,,
아리테휘트니스,20230112,,13,영업중,,031-317-8144,486.86,14999,"경기도 시흥시 능곡번영길 33, 7층 (능곡동)",경기도 시흥시 능곡동 211-1,14999,37.3694565706,126.8068328533,,182797.6028155960,429736.6121727130,체력단련장업,사립,,
후필라테스 & 피티,20230222,,13,영업중,,,127.27,14985,"경기도 시흥시 목감우회로 39, 목감 시티프라자 4층 403호 (목감동)",경기도 시흥시 목감동 403-1 목감 시티프라자,14985,37.3819082861,126.8602929025,,187567.9724462800,431106.3503046990,체력단련장업,사립,,
코리아 헬스,20230526,,13,영업중,,031-404-8520,291.4,14948,"경기도 시흥시 삼미시장2길 29, 3층 1호 (신천동)",경기도 시흥시 신천동 738-3 구세군교회,14948,37.4406230103,126.7832856727,,180752.5591944900,437631.9161641210,체력단련장업,사립,,
피지오숲 필라테스&PT 장현점,20230608,,13,영업중,,070-4006-1348,417.43,14996,"경기도 시흥시 황고개로 536, 603~606호 (장곡동)",경기도 시흥시 장곡동 932-3,14996,37.3785371682,126.7892533441,,181297.0532971350,430741.8837103860,체력단련장업,사립,,
아리스 휘트니스,20230705,,13,영업중,,032-434-9682,1376.77,15011,"경기도 시흥시 서울대학로264번길 26-16, 해든메디컬센터 9층 (배곧동)",경기도 시흥시 배곧동 224-1 해든메디컬센터,15011,37.3669339731,126.7256690253,,175629.8613518060,429465.9516468810,체력단련장업,사립,,
대로 GYM,20240227,,13,영업중,,,198.64,14984,경기도 시흥시 수인로2421번길 87-6 (논곡동),경기도 시흥시 논곡동 160-82,14984,37.3880839930,126.8588735605,,187433.8473521040,431779.6372123310,체력단련장업,사립,,
독보짐,20240524,,13,영업중,,,,15015,"경기도 시흥시 오이도로157번길 3, 1,2층 (정왕동)",경기도 시흥시 정왕동 1973-12,15015,37.3469735173,126.6887293077,,172350.0564762010,427261.0999983570,체력단련장업,사립,,
핏좋아짐,20240531,,13,영업중,,,816.7,15119,"경기도 시흥시 거북섬중앙로 1, 시화MTV 보니타가 2동 2층 246~251, 205~208호 (정왕동)",경기도 시흥시 정왕동 2709 시화MTV 보니타가,15119,37.3255247468,126.6827295604,,171864.1576442140,424996.2271246140,체력단련장업,사립,,
웨이브짐(거북섬점),20240805,,13,영업중,,,176,15119,"경기도 시흥시 거북섬5길 4, 센터프라자 1동 303,304호 (정왕동)",경기도 시흥시 정왕동 2720-8 센터프라자,15119,37.3221490732,126.6833755881,,171867.0510159330,424506.8615926830,체력단련장업,사립,,
모데라 스포츠랩,20240902,,13,영업중,,,167.45,15011,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 708호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.6007249400,429602.8439967730,체력단련장업,사립,,
에이엠지 피트니스 목감점,20241023,,13,영업중,,031-401-4011,450.52,14988,"경기도 시흥시 목감남서로 9-7, 더 드림 7층 (조남동)",경기도 시흥시 조남동 659 더 드림,14988,37.3775973944,126.8515872770,,186784.4576511830,430625.6923336270,체력단련장업,사립,,
시흥 장현헬스 피트니스가치,20241120,,13,영업중,,,291.56,14998,"경기도 시흥시 시청로 74, 4층 403호 (장현동)",경기도 시흥시 장현동 538-3,14998,37.3809067342,126.7996565841,,182187.7862459290,430999.3349752800,체력단련장업,사립,,
라이프 크로스핏,20241121,,13,영업중,,,197.83,14992,경기도 시흥시 능곡로81번길 2-6 (능곡동),경기도 시흥시 능곡동 832,14992,37.3624541683,126.8163378738,,183658.9662131970,428948.0887409140,체력단련장업,사립,,
하이본 헬스&PT,20250207,,13,영업중,,031-434-8144,296.12,15020,"경기도 시흥시 함송로14번길 13-5, 정왕프라자 4층 (정왕동)",경기도 시흥시 정왕동 1883-3 정왕프라자,15020,37.3630793865,126.7289270346,,175919.6935685680,429039.9380833710,체력단련장업,사립,,
바디101헬스PT배곧점,20250227,,13,영업중,,,104,15011,"경기도 시흥시 배곧3로 80, 센터프라자 602호 (배곧동)",경기도 시흥시 배곧동 194-1 센터프라자,15011,37.3705347264,126.7290879019,,175930.2890050030,429864.6127945220,체력단련장업,사립,,
피크폼 트레이닝,20250418,,13,영업중,,,,14963,"경기도 시흥시 월곶해안로 147, 301호 (월곶동)",경기도 시흥시 월곶동 1013-17,14963,37.3880683896,126.7363640080,,176581.5317088010,431811.0522183360,체력단련장업,사립,,
크로스핏 알피 시흥,20250418,,13,영업중,,,,15020,"경기도 시흥시 함송로29번길 7, 현대프라자 B01,B02호 (정왕동)",경기도 시흥시 정왕동 1881-5 JK학원,15020,37.3638977181,126.7314030660,,176132.7338205530,429129.4570883410,체력단련장업,사립,,
크로스핏 원더,20250501,,13,영업중,,,,15000,"경기도 시흥시 황고개로352번길 3, 창고 1동 (군자동)",경기도 시흥시 군자동 405-8 백두상사,15000,37.3628531468,126.7877186974,,181122.7523383100,428995.2654988770,체력단련장업,사립,,
크로스핏 재규어,20250508,,13,영업중,,,,14950,"경기도 시흥시 신천로68번길 27, 지하 1층 (신천동)",경기도 시흥시 신천동 856-14,14950,37.4369309717,126.7898431510,,181331.8684988850,437222.6795385750,체력단련장업,사립,,
PITBULL GYM,20130705,,13,영업중,,,635.58,15068,"경기도 시흥시 군자로 507, 401, 402, 403호 (거모동, 군자프라자)","경기도 시흥시 거모동 1757-1 군자프라자 401, 402, 403호",15068,37.3447661065,126.7853041907,,180908.2285853480,426991.2194272690,체력단련장업,사립,,
S-FIT 휘트니스,20140113,,13,영업중,,031-318-7382,259.85,14910,"경기도 시흥시 호현로10번길 17, 4층 (신천동)",경기도 시흥시 신천동 708-13 4층동,429828,37.4411296133,126.7850782381,,180911.3940126480,437690.2893867440,체력단련장업,사립,,
맞춤운동센터 자이언트짐,20140303,,13,영업중,,,380.62,15066,"경기도 시흥시 중심상가로 181, 4층 (정왕동)",경기도 시흥시 정왕동 1737-10 삼화빌딩,429861,37.3450589490,126.7355466077,,176498.3003761140,427036.5259190640,체력단련장업,사립,,
크로스핏슈팅스타,20250514,,13,영업중,,,,15120,"경기도 시흥시 은계중앙로306번길 58, 월드기어 1층 102호 (대야동)",경기도 시흥시 대야동 661-4 월드기어,15120,37.4530344298,126.7967459812,,181948.6446643260,439003.8104354010,체력단련장업,사립,,
쿨짐,20250604,,13,영업중,,,,14988,"경기도 시흥시 목감남서로 9-33, 더클래스투 801호 (조남동)",경기도 시흥시 조남동 654 더클래스투,14988,37.3783369935,126.8533203389,,186939.8251810360,430705.3558634920,체력단련장업,사립,,
바라 트레이닝 랩,20250620,,13,영업중,,,,15002,"경기도 시흥시 진살미길 10, 1층 101호 (장곡동)",경기도 시흥시 장곡동 866-6,15002,37.3824312501,126.7833090090,,180739.6100000000,431171.2750000000,체력단련장업,사립,,
갓짐,20250627,,13,영업중,,,,15066,"경기도 시흥시 정왕대로 210, 성담스퀘어 지하 1,3,4호 (정왕동)",경기도 시흥시 정왕동 1734-2 성담스퀘어,15066,37.3459328804,126.7368812651,,,,체력단련장업,사립,,
짐캐슬 헬스&필라테스 은행점,20250716,,13,영업중,,031-313-3111,,14923,"경기도 시흥시 은행고길 24, 4층 401~403호 (은행동)",경기도 시흥시 은행동 616-1,14923,37.4405381221,126.7991916347,,182172.9655653650,437630.0920911900,체력단련장업,사립,,
ONEMOVE,20251024,,13,영업중,,,,15011,"경기도 시흥시 서울대학로278번길 61, 베니스스퀘어 C동 328,329호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.6007249400,429602.8439967730,체력단련장업,사립,,
올굿 교정운동센터,20251031,,13,영업중,,,,14923,"경기도 시흥시 은계호수로 31, 그린타워 4층 410호 (은행동)",경기도 시흥시 은행동 611-1 그린타워,14923,37.4445110454,126.8034165283,,182534.5229181380,438060.2683255180,체력단련장업,사립,,
라비다 퀸즈서클,20251217,,13,영업중,,,241.28,15010,"경기도 시흥시 배곧4로 87, 베스트프라자 307,308,309호 (배곧동)",경기도 시흥시 배곧동 73 베스트프라자,15010,37.3746009077,126.7334059093,,176318.6727124520,430310.8795802200,체력단련장업,사립,,
