bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,buldng_tot_ar,mber_recrut_tot_psncnt,detls_indutype_nm
메이저골프아카데미,20030103,,13,영업중,,031-313-3183,14912,"경기도 시흥시 비둘기공원5길 24, 호경프라자 10층 1001호 (대야동)",경기도 시흥시 대야동 529-3 호경프라자,14912,37.4421126689,126.7896585264,,181315.63470891,437793.807149925,골프연습장업,사립,,5356.0,,
골프존스크린파크,20110125,,13,영업중,,031-316-8787,14902,경기도 시흥시 서해안로 1575 (대야동),경기도 시흥시 대야동 산 170-60,429010,37.4465935528,126.7838731146,,180804.519467937,438290.922360204,골프연습장업,사립,,,,
골프존에이스,20120423,,13,영업중,,031-314-7470,14910,경기도 시흥시 복지로 15 (신천동),경기도 시흥시 신천동 709-32 B120호,429828,37.4414133175,126.7872799027,,181072.038040894,437733.801613505,골프연습장업,사립,,91858.0,,
서해,20121105,,13,영업중,,02-514-9015,15040,경기도 시흥시 옥구상가1길 37 (정왕동),경기도 시흥시 정왕동 1852-1,429864,37.3518777067,126.7210250527,,175185.261058397,427812.896240081,골프연습장업,사립,,,,
K스크린골프,20140526,,13,영업중,,,15002,"경기도 시흥시 장곡로 17, 에이스프라자 지하층 1,2,3호 (장곡동)",경기도 시흥시 장곡동 823-7 에이스프라자,15002,37.3790542572,126.7868087306,,181056.54975171,430796.136491845,골프연습장업,사립,,,,
(주)아세코,20150624,,13,영업중,,031-319-5566,15003,"경기도 시흥시 마전로 307, 시흥아세코밸리골프장 (거모동)",경기도 시흥시 거모동 121-1 시흥아세코밸리골프장,15003,37.3678102711,126.7713755012,,,,골프연습장업,사립,,,,
대일골프랜드,20151230,,13,영업중,,,15068,"경기도 시흥시 황고개로206번길 33, 1층 (거모동)",경기도 시흥시 거모동 1714-1 1층,15068,37.3489650968,126.7850724491,,180828.552434609,427488.505994013,골프연습장업,사립,,2042.0,,
클라우드 골프클럽,20170126,,13,영업중,,,14950,"경기도 시흥시 수인로3325번길 10, 지하층 101~103호 (신천동, 우명프라자)",경기도 시흥시 신천동 774 우명프라자,14950,37.4382099813,126.788191992,,181187.399332234,437363.989567101,골프연습장업,공립,Y,,,
싱글 골프존,20170627,,13,영업중,,031-312-0753,14932,"경기도 시흥시 금오로238번길 5, 2층 (무지내동)",경기도 시흥시 무지내동 21-8,14932,37.4247124572,126.8370763423,,185509.088868656,435853.005739948,골프연습장업,사립,,698.0,,
Kclub골프아카데미,20171027,,13,영업중,,031-431-5677,15010,"경기도 시흥시 배곧4로 22, 5층 507,508,509호 (배곧동)",경기도 시흥시 배곧동 122 배곧타운2,15010,37.377578519,126.7269601551,,175732.499134758,430659.533763531,골프연습장업,공립,,14719.0,,
핀포인트 스크린골프 연습장,20180502,,13,영업중,,031-413-0753,14985,"경기도 시흥시 배미골길 24 (주)아이지디 2층 206,207,208호 (목감동)",경기도 시흥시 목감동 414-2 (주)아이지디,14985,37.3844407276,126.8635585,,187843.54733723,431383.527319576,골프연습장업,사립,Y,,,
브라보 퍼블릭 스크린골프,20180809,,13,영업중,,,15011,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 7층 716~721호 (정왕동)",경기도 시흥시 정왕동 1771-24 배곧중앙프라자,15011,37.3666139281,126.7277276688,,175810.848650867,429428.537944057,골프연습장업,사립,,34644.0,,
에이엠지 골프연습장,20220405,,13,영업중,,,14996,"경기도 시흥시 진말1로 18, 7층 702~710호 (장곡동)",경기도 시흥시 장곡동 260-21,14996,37.3778277752,126.789700539,,181268.875221092,430651.776551747,골프연습장업,사립,,,,
TRUE GOLF,20220412,,13,영업중,,,15011,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 4층 418호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.60072494,429602.843996773,골프연습장업,사립,,,,
비발디 골프연습장,20220513,,13,영업중,,,14976,"경기도 시흥시 하중로 175, 태양빌딩 6층 601호 (하중동)",경기도 시흥시 하중동 851-2 태양빌딩,14976,37.3955840958,126.8032369317,,182506.284100329,432627.937729428,골프연습장업,사립,,,,
(주)화인골프클럽,20030616,,13,영업중,,,15081,경기도 시흥시 산기대학로 105 (정왕동),경기도 시흥시 정왕동 2166-1,429921,37.3479730957,126.7221379802,,175261.167079369,427301.238354067,골프연습장업,사립,,,,
대가골프연습장,20110927,,13,영업중,,,14987,경기도 시흥시 조남길 149-25 (조남동),경기도 시흥시 조남동 514-1 2층,429870,37.3692748226,126.8609874583,,187610.83691764,429693.957032217,골프연습장업,사립,,298.0,,
솔트베이골프클럽 골프연습장,20140225,,13,영업중,,031-400-0022,14970,경기도 시흥시 마유로 987 (장곡동),경기도 시흥시 장곡동 724-2,429842,37.3910929635,126.7773182936,,180144.893028429,432039.41927254,골프연습장업,사립,Y,,,
서해그린골프연습장,20020426,,13,영업중,,031-431-7555,15040,경기도 시흥시 옥구상가1길 37 (정왕동),경기도 시흥시 정왕동 1852-1,429864,37.3518777067,126.7210250527,,175185.261058397,427812.896240081,골프연습장업,사립,,2813.0,,
대양스크린골프,20071022,,13,영업중,,031-435-5518,14916,"경기도 시흥시 은행로 86, 601호 (은행동)",경기도 시흥시 은행동 547-4 경동프라자 601호,429839,37.4392911141,126.7971459146,,181977.351795671,437476.202959602,골프연습장업,사립,,14042.0,,
시흥 파라다이스 인도어스크린,20090907,,13,영업중,,,15081,"경기도 시흥시 산기대학로 105, 화인골프 4,5층 (정왕동)",경기도 시흥시 정왕동 2166-1 화인골프,15081,37.3479730957,126.7221379802,,175261.167079369,427301.238354067,골프연습장업,사립,,,,
메이저 골프아카데미,20171228,,13,영업중,,031-434-8200,15010,"경기도 시흥시 배곧4로 32-29, 파크뷰 3층 301,302,303,304,305호 (배곧동)",경기도 시흥시 배곧동 132 파크뷰,15010,37.3778825929,126.7252176279,,175593.647090052,430683.038860811,골프연습장업,사립,Y,6864.0,,
(주)아세코,20181205,,13,영업중,,031-488-8000,15003,"경기도 시흥시 마전로 307, 시흥아세코밸리골프장 2층 (거모동)",경기도 시흥시 거모동 121-1 시흥아세코밸리골프장,15003,37.3678102711,126.7713755012,,,,골프연습장업,사립,,,,
대양골프연습장,20031205,,13,영업중,,031-404-5536,14916,"경기도 시흥시 은행로 86, 602호 (은행동)",경기도 시흥시 은행동 547-4 6층 602호,429839,37.4392911141,126.7971459146,,181977.351795671,437476.202959602,골프연습장업,사립,,,,
스카이골프스쿨,20070502,,13,영업중,,,15036,경기도 시흥시 중심상가로 160 (정왕동),경기도 시흥시 정왕동 1731-13 5층,429862,37.3459366332,126.7332796968,,176295.313485731,427133.33769346,골프연습장업,사립,,,,
탑골프연습장,20071017,,13,영업중,,,14912,"경기도 시흥시 비둘기공원4길 9, 국민은행시흥 3층 301~303,306호 (대야동)",경기도 시흥시 대야동 531-1 국민은행시흥,14912,37.4433587805,126.7900311065,,181348.672550524,437934.440929474,골프연습장업,사립,,9924.0,,
평화스크린골프,20080222,,13,영업중,,031-435-4747,14976,경기도 시흥시 연성로13번길 3 (하중동),경기도 시흥시 하중동 875-1 2층,429252,37.39044629,126.804764366,,182638.097770638,432067.305202698,골프연습장업,사립,,,,
대양스크린골프장,20080319,,13,영업중,,031-405-3800,14983,경기도 시흥시 동서로857번길 28-30 (물왕동),경기도 시흥시 물왕동 121-1,429280,37.3865272513,126.8396945352,,185731.84677284,431616.476243124,골프연습장업,사립,,,,
1박2일 스크린골프,20090402,,13,영업중,,031-434-7421,15040,경기도 시흥시 중심상가로 39 (정왕동),경기도 시흥시 정왕동 1859-6 신우프라자 5층,429864,37.3528545057,126.7229005711,,175378.879627625,427904.982190266,골프연습장업,사립,,2726.0,,
인필드,20090923,,13,영업중,,031-431-7552,15036,경기도 시흥시 정왕대로 184 (정왕동),"경기도 시흥시 정왕동 1726-4 한성타운 502,503호",429862,37.3474673039,126.7344157414,,176399.920060954,427300.959184284,골프연습장업,사립,,9946.0,,
굿샷스크린골프연습장,20090929,,13,영업중,,031-311-0047,14949,경기도 시흥시 신천로 95 (신천동),경기도 시흥시 신천동 766-3 두성빌딩 5층,429831,37.438980891,126.7859917014,,180993.004287726,437451.601589808,골프연습장업,사립,,,,
더 골프존,20101216,,13,영업중,,031-498-0753,15020,"경기도 시흥시 함송로14번길 5-4, 쌍용프라자 2층 201,202,205호 (정왕동)",경기도 시흥시 정왕동 1883-1 쌍용프라자,15020,37.3634869613,126.7292277666,,175941.924905526,429080.724794457,골프연습장업,사립,,,,
SBS스크린골프,20081118,,35,직권말소,20181107,,15066,경기도 시흥시 중심상가4길 12 (정왕동),경기도 시흥시 정왕동 1739-3,429861,37.3442183639,126.737982438,,176712.167121655,426941.976979816,골프연습장업,사립,,,,
장곡스크린골프,20090213,,35,직권말소,20180220,,15002,경기도 시흥시 진말로 7 (장곡동),경기도 시흥시 장곡동 819-2 중앙프라자 207호,429842,37.3780534691,126.7852708047,,180899.565005542,430686.214950238,골프연습장업,사립,,,,
그랜드 슬램 골프연습장,20020718,,35,직권말소,20181001,,,,경기도 시흥시 정왕동 101 지원상가 B-138호,429845,,,,,,골프연습장업,사립,,125.0,,
에이스,20070921,,35,직권말소,20200121,031-434-7958,15080,경기도 시흥시 협력로 281 (정왕동),경기도 시흥시 정왕동 2164-2 메가폴리스 C동 201호,429450,37.3516251323,126.7155402835,,174676.932901493,427814.339690803,골프연습장업,사립,,,,
이글스크린골프,20070411,,35,직권말소,20180226,,15070,경기도 시흥시 군자로 526 (거모동),"경기도 시흥시 거모동 1756-4 그랜드프라자 201,202호",429873,37.3433773231,126.7851931663,,180892.180106344,426863.042899512,골프연습장업,사립,,,,
스카이스크린골프,20070423,,35,직권말소,20181017,031-315-9691,14912,경기도 시흥시 비둘기공원6길 13-1 (대야동),경기도 시흥시 대야동 541-2 월드프라자 1001호,429874,37.4422499113,126.7914998721,,181477.928219942,437808.8059647,골프연습장업,사립,,,,
월드스크린골프,20080227,,35,직권말소,20200121,,15040,경기도 시흥시 옥구상가1길 29 (정왕동),경기도 시흥시 정왕동 1853-5,429864,37.3527263466,126.7212308137,,175230.965185326,427889.993814623,골프연습장업,사립,,,,
강남스크린골프,20080822,,35,직권말소,20191202,,15062,경기도 시흥시 평안상가3길 12 (정왕동),경기도 시흥시 정왕동 1627-2 광영빌딩 201호,429858,37.3369562156,126.7497170651,,177748.929090835,426135.007370798,골프연습장업,사립,,,,
연성스크린골프,20081111,,35,직권말소,20180207,,14998,경기도 시흥시 시청로68번길 25 (장현동),경기도 시흥시 장현동 530-3 삼하빌딩 4층,429844,37.3822263343,126.8017904655,,182375.640507344,431145.866963343,골프연습장업,사립,,,,
오성스크린골프,20091014,,35,직권말소,20200121,,15024,경기도 시흥시 역전로 304 (정왕동),경기도 시흥시 정왕동 2304-9,429450,37.3524540837,126.7389492622,,176797.114512556,427858.09788094,골프연습장업,사립,,,,
와이스크린골프장,20100427,,35,직권말소,20191202,,14910,경기도 시흥시 수인로 3362 (신천동),경기도 시흥시 신천동 711-2 태종빌딩 8층,429828,37.4406453692,126.7854898005,,180947.061934192,437633.954293419,골프연습장업,사립,,,,
윈골프연습장,20110725,,35,직권말소,20211123,031-316-9595,14912,경기도 시흥시 비둘기공원7길 45 (대야동),"경기도 시흥시 대야동 545-1 트윈스빌딩 B동 403, 404호",429874,37.4420193646,126.7921350993,,181538.331499407,437792.872576114,골프연습장업,사립,,,,
태화골프,20001223,,35,직권말소,20180228,,14912,경기도 시흥시 비둘기공원7길 46 (대야동),경기도 시흥시 대야동 541-3,429874,37.442161068,126.7917154962,,181496.707399738,437799.755836763,골프연습장업,사립,,128.0,,
코포모 스크린골프,20060117,,35,직권말소,20191202,,15078,경기도 시흥시 공단1대로 341 (정왕동),경기도 시흥시 정왕동 1289-5 코포모테크로센터 제713호,429850,37.3316162113,126.7378275507,,176711.425350698,425538.248952077,골프연습장업,사립,,,,
씨엔지골프클럽,20030610,,35,직권말소,20180319,,14976,경기도 시흥시 하중로 195 (하중동),경기도 시흥시 하중동 856-3 하중랜드 4층,429252,37.3942322182,126.804797183,,182640.789336207,432482.929989648,골프연습장업,사립,,402.0,,
홀인원 골프연습장,20040203,,35,직권말소,20181017,031-315-0202,14912,경기도 시흥시 비둘기공원6길 19 (대야동),경기도 시흥시 대야동 541-19 701호,429874,37.4419679306,126.7910729593,,181441.089864589,437780.105280215,골프연습장업,사립,,2996.0,,
탑스크린골프,20050118,,35,직권말소,20200121,,15054,경기도 시흥시 다솜마을2길 4 (정왕동),"경기도 시흥시 정왕동 1801 301호, 302호",429863,37.3500382689,126.7403285317,,176922.46342989,427591.938288481,골프연습장업,사립,,,,
함현골프연습장,20050419,,35,직권말소,20180308,,15020,경기도 시흥시 함송로29번길 9 (정왕동),경기도 시흥시 정왕동 1881-4 3층,429865,37.364033501,126.7314920232,,176143.79472588,429143.666179759,골프연습장업,사립,,,,
로얄 스크린 골프,20050601,,35,직권말소,20180226,031-491-6660,15068,경기도 시흥시 군자로 507 (거모동),경기도 시흥시 거모동 1757-1 3층,429873,37.3447661065,126.7853041907,,180908.228585348,426991.219427269,골프연습장업,사립,,86.0,,
이글스크린골프,20060501,,35,직권말소,20180314,,15066,경기도 시흥시 중심상가3길 22 (정왕동),"경기도 시흥시 정왕동 1742-5 월드프라자 402, 403",429861,37.3443667638,126.7358358707,,176522.799819026,426959.360452141,골프연습장업,사립,,,,
JJ골프아카데미,20060510,,35,직권말소,20181107,,15066,경기도 시흥시 중심상가4길 30 (정왕동),경기도 시흥시 정왕동 1744-5 정인빌딩 2층,429861,37.3430484691,126.7368765863,,176612.695676902,426814.182084841,골프연습장업,사립,,,,
플러스,20100413,,35,직권말소,20200206,,15049,경기도 시흥시 오동마을로 41 (정왕동),경기도 시흥시 정왕동 2316-4 2층,429450,37.3519424031,126.7463161393,,177451.035723874,427797.750095391,골프연습장업,사립,,,,
최선생 골프아카데미,20180516,,35,직권말소,20210518,031-431-5677,15010,"경기도 시흥시 배곧4로 22, 배곧타운2 5층 511, 512호 (배곧동)",경기도 시흥시 배곧동 122 배곧타운2,15010,37.377578519,126.7269601551,,175732.499134758,430659.533763531,골프연습장업,사립,,14719.0,,
우림골프,20061031,,35,직권말소,20180308,,15020,경기도 시흥시 함송로 15 (정왕동),경기도 시흥시 정왕동 1881-11 3층,429865,37.3640347307,126.7302949768,,176035.535074099,429144.230146749,골프연습장업,사립,,,,
세종골프스쿨,20011018,,03,폐업,20100630,,,경기도 시흥시 함송로 24 (정왕동),경기도 시흥시 정왕동 1882-4 세종프라자 501,429866,37.3632151301,126.7303936899,,176034.146009185,429060.860673841,골프연습장업,사립,,316.0,,
굿샷스크린골프,20021015,,03,폐업,20201113,,15040,경기도 시흥시 정왕대로 64 (정왕동),경기도 시흥시 정왕동 1861-2,429451,37.3542557561,126.7235297297,,175417.656719379,428065.936335703,골프연습장업,사립,,430.0,,
SK스크린골프,20140623,,03,폐업,20160509,,14912,"경기도 시흥시 비둘기공원5길 23-1, 4층 401(일부)호 (대야동)",경기도 시흥시 대야동 540-3,429874,37.4419441374,126.7901123002,,181354.534585169,437775.194121622,골프연습장업,사립,,,,
Gv스크린골프,20150703,,03,폐업,20210831,,14984,"경기도 시흥시 수인로 2323, 3층 (목감동)",경기도 시흥시 목감동 235-2,429820,37.3866531893,126.8626473949,,187769.784491336,431626.799467535,골프연습장업,사립,,,,
㈜아세코,20170428,,03,폐업,20210329,031-488-8000,15003,"경기도 시흥시 마전로 307 (거모동, 시흥아세코밸리골프장)",경기도 시흥시 거모동 121-1번지 시흥아세코밸리골프장,15003,37.3678102711,126.7713755012,,,,골프연습장업,사립,,,,
세망 스크린골프클럽,20171228,,03,폐업,20210831,031-318-4063,14998,"경기도 시흥시 시청로68번길 10, 봉빈빌딩 7층 701,702,703,704호 (장현동)",경기도 시흥시 장현동 545-5 봉빈빌딩,14998,37.3809407911,126.8008422795,,182297.095277797,431009.132142731,골프연습장업,사립,Y,4106.0,,
씨앤씨골프연습장,20050915,,03,폐업,,,,"경기도 시흥시 정왕대로 230  (정왕동,제일프라자 5층)",경기도 시흥시 정왕동 1734-7 제일프라자 5층,429861,37.3449788088,126.7384940896,,176756.587046982,427023.699054553,골프연습장업,사립,,,,
골프존파크 은행삼은스쿨점,20030415,,03,폐업,20211008,031-316-0079,14916,"경기도 시흥시 대은로 100, 5층 502,503호 (은행동, 삼은넥스타운)",경기도 시흥시 은행동 528-1 삼은넥스타운,14916,37.4452894217,126.7993847234,,182175.782377755,438146.160649937,골프연습장업,사립,,310.0,,
디아망골프아카데미,20030821,,03,폐업,20171030,,14912,경기도 시흥시 비둘기공원7길 33 (대야동),경기도 시흥시 대야동 543-1번지 7층,429874,37.4430055784,126.7927588701,,181596.577677484,437913.268307503,골프연습장업,사립,,,,
준골프아카데미,20031128,,03,폐업,20171214,,14917,경기도 시흥시 은행로 157 (은행동),경기도 시흥시 은행동 531-2 4층,429837,37.4448904333,126.7989814654,,182137.699308626,438108.547088769,골프연습장업,사립,,,,
오성골프클럽,20040813,,03,폐업,20050412,031-434-6501,,,경기도 시흥시 정왕동 10블럭 1-6롯트 2층,429450,,,,,,골프연습장업,사립,0,,,
한성스크린골프,20050104,,03,폐업,20080121,031-499-9629,,"경기도 시흥시 산기대학로 105  (정왕동,한성스포츠센타 3층)",경기도 시흥시 정왕동 2166-1 한성스포츠센타 3층,429450,37.3479730957,126.7221379802,,175261.167079369,427301.238354067,골프연습장업,사립,0,,,
파인힐스크린골프,20050325,,03,폐업,20210928,032-251-5185,15079,경기도 시흥시 마유로 226 (정왕동),"경기도 시흥시 정왕동 1366-14 117, 118, 120, 121호",429887,37.337676488,126.7285659225,,175875.780062189,426217.270224591,골프연습장업,사립,,,,
월곶J&B스포츠클럽,20050912,,03,폐업,20100909,,,"경기도 시흥시 월곶중앙로 61  (월곶동,영진빌딩 3층)",경기도 시흥시 월곶동 1014-2 영진빌딩 3층,429834,37.3886669861,126.7383348187,,176757.490762097,431873.446804747,골프연습장업,사립,,2337.0,,
오성골프클럽,20060203,,03,폐업,20150209,,,경기도 시흥시 역전로 304 (정왕동),경기도 시흥시 정왕동 2304-9 2층,429450,37.3524540837,126.7389492622,,176797.114512556,427858.09788094,골프연습장업,사립,,,,
정왕 골드 스크린,20200807,,03,폐업,20210310,031-433-9222,15092,"경기도 시흥시 옥구천동로 114, 이경타워 2층 (정왕동)",경기도 시흥시 정왕동 1359-10,15092,37.3362058326,126.7105869422,,174309.204491191,426035.837428681,골프연습장업,사립,Y,,,
디오엠,20200813,,03,폐업,20210402,031-365-3251,14923,"경기도 시흥시 은계번영길 13, 아리테타워 5층 507~510호 (은행동)",경기도 시흥시 은행동 646-6 아리테타워,14922,37.4373401072,126.8025447826,,182455.724042505,437264.79332952,골프연습장업,사립,Y,,,
브라보 골프,20201210,,03,폐업,20250207,031-413-0072,14989,"경기도 시흥시 목감남서로 94, 4층 401~402호 (산현동)",경기도 시흥시 산현동 497,14989,37.3731063557,126.8430197505,,186024.737496311,430127.171238792,골프연습장업,사립,Y,,,
베스트 스크린골프클럽,20060219,,03,폐업,20210831,031-314-9898,14912,경기도 시흥시 비둘기공원5길 23 (대야동),경기도 시흥시 대야동 540-1 베스트프라자 7층,429874,37.4421973177,126.7902455628,,181373.545645908,437814.66885875,골프연습장업,사립,,,,
PGA골프아카데미,20060404,,03,폐업,20251113,031-319-1513,15062,경기도 시흥시 정왕대로 350 (정왕동),경기도 시흥시 정왕동 1622-4 2층,429858,37.3382607578,126.7493315537,,177719.486938064,426273.804706589,골프연습장업,사립,,,,
장현골프클럽,20060410,,03,폐업,20210831,,14998,"경기도 시흥시 시청로 61, 지하1층 101, 107호 (장현동, 새재마을대동아파트)","경기도 시흥시 장현동 540 대동아파트 상가동 지하 101, 107호",,,,,182156.656283955,430870.820736321,골프연습장업,사립,,,,
목감휘트니스,20060829,,03,폐업,20180220,,,"경기도 시흥시 목감초등길 14-22  (조남동,지하1)",경기도 시흥시 조남동 171-18 지하1,429869,37.3852378798,126.8592818605,,187468.461378283,431470.670342224,골프연습장업,사립,0,,,
한성스크린,20070704,,03,폐업,20090828,,,경기도 시흥시 산기대학로 105  (정왕동),경기도 시흥시 정왕동 2166-1,429450,37.3479730957,126.7221379802,,175261.167079369,427301.238354067,골프연습장업,사립,,,,
경희어린이골프,20070726,,03,폐업,20100909,,,"경기도 시흥시 월곶중앙로 61  (월곶동,영진빌딩 3층)",경기도 시흥시 월곶동 1014-2 영진빌딩 3층,429834,37.3886669861,126.7383348187,,176757.490762097,431873.446804747,골프연습장업,사립,,,,
명품스크린골프,20070921,,03,폐업,20210928,031-433-5335,15040,경기도 시흥시 옥구상가1길 25 (정왕동),경기도 시흥시 정왕동 1853-2 2층,429864,37.3530345742,126.7214986162,,175255.5435,427921.562,골프연습장업,사립,,,,
함현스크린골프연습장,20071022,,03,폐업,20210831,031-431-0576,15020,경기도 시흥시 함송로13번길 6-7 (정왕동),"경기도 시흥시 정왕동 1880-11 3층, 4층",429865,37.3640658099,126.7309157621,,176095.955239421,429144.284078992,골프연습장업,사립,,,,
대야 GDR 골프연습장,20210723,,03,폐업,20210831,031-404-3005,14912,"경기도 시흥시 비둘기공원5길 23-1, SK프라자 4층 401호 (대야동)",경기도 시흥시 대야동 540-3 SK프라자,14912,37.4419441374,126.7901123002,,181354.534585169,437775.194121622,골프연습장업,사립,,,,
AM골프연습장,20210803,,03,폐업,20210831,031-314-4000,14923,"경기도 시흥시 은계중앙로 358, 7층 701호 (대야동)",경기도 시흥시 대야동 653-5,15120,37.4517597522,126.796113474,,181889.821930772,438863.799409639,골프연습장업,사립,,,,
케이골프스튜디오,20211224,,03,폐업,20231227,,14923,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 2층 2112호 (은행동)",경기도 시흥시 은행동 601-302 시흥 센트럴돔 그랑트리 캐슬,14923,37.4458457243,126.8020023203,,182412.013839023,438208.757043569,골프연습장업,사립,,,,
지디 아카데미,20220322,,03,폐업,20240627,,15086,"경기도 시흥시 공단1대로 13, 1층 108호 (정왕동)",경기도 시흥시 정왕동 1234-12,15086,37.349346768,126.7077396341,,174036.552627639,427524.100343172,골프연습장업,사립,,,,
윈스포츠센타,19991202,,03,폐업,20100512,,,,경기도 시흥시 대야동 545 트윈빌딩 4층,429874,,,,,,골프연습장업,사립,,330.0,,
마스터골프클럽,20010522,,03,폐업,20151012,,14908,경기도 시흥시 복지로 96 (대야동),"경기도 시흥시 대야동 568-2 803호, 804호",429874,37.447263341,126.7918143639,,181510.001721431,438365.479097905,골프연습장업,사립,,813.0,,
나이스 골프,20010811,,03,폐업,20110207,,,"경기도 시흥시 진말로 7  (장곡동,중앙프라자 5층)",경기도 시흥시 장곡동 819-2 중앙프라자 5층,429842,37.3780534691,126.7852708047,,180899.565005542,430686.214950238,골프연습장업,사립,,257.0,,
싱싱골프스쿨,20020403,,03,폐업,20210831,,15036,"경기도 시흥시 중심상가로 150, 세은프라자 4층 401호 (정왕동)",경기도 시흥시 정왕동 1731-4 세은프라자,15036,37.346489661,126.7323821519,,176215.725023367,427195.259339524,골프연습장업,사립,,1661.0,,
주영골프클리닉,20021009,,03,폐업,20040116,,,"경기도 시흥시 하중로 235  (하중동,법조타운 5층)",경기도 시흥시 하중동 873-3 법조타운 5층,429252,37.390826509,126.8065796459,,182798.796432034,432106.758582994,골프연습장업,사립,0,264.0,,
