indutype_nm,cmpnm_nm,signgu_nm,emd_nm,roadnm_addr,lotno_addr,detail_addr,rprs_telno_info,opr_hr_info,sat_opr_hr,sun_opr_hr,restday_info,image_nm,dat_crtr_ymd,refine_wgs84_lat,refine_wgs84_logt
동물위탁관리업,시화종합사료,시흥시,정왕동,"경기도 시흥시 오동마을로6번길 4, C.M건축자재 백화점  (정왕동)",경기도 시흥시 정왕동 2320-2번지,1층,031-433-0774,,,,,323115064051_1.jpeg,20221118,37.3529327465,126.7419027019
동물위탁관리업,메리그루밍,시흥시,정왕동,"경기도 시흥시 서울대학로278번길 19-13, 265동 (정왕동, 시흥배곧 C1블럭 호반 써밋플레이스 아파트)",경기도 시흥시 배곧동 191번지,2층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,323115073010_1.jpeg,20221122,37.3705080067,126.7277555139
동물미용업,뽀송하개,시흥시,배곧동,"경기도 시흥시 해송십리로 472-11 (배곧동, 배곧중흥에스클래스)",경기도 시흥시 정왕동 2381번지,,0507-1342-0804,,,,,313115073095_1.jpeg,20221123,37.3847282623,126.734183892
동물미용업,시흥24시센트럴동물의료센터,시흥시,정왕동,"경기도 시흥시 정왕대로 174, 광개토빌딩110 , 203호 (정왕동)",경기도 시흥시 정왕동 1726-1번지,,031-432-2475,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,313115061070_1.jpeg,20221118,37.3481553901,126.7334942325
동물미용업,소중하개,시흥시,신천동,경기도 시흥시 수인로3409번길 24 (신천동),경기도 시흥시 신천동 749-10번지,1층,0507-1480-8975,11:00~19:00,11:00~19:00,,"목요일,일요일",313115052074_1.jpeg,20221107,37.4397989284,126.7796874978
동물위탁관리업,소중하개,시흥시,신천동,경기도 시흥시 수인로3409번길 24 (신천동),경기도 시흥시 신천동 749-10번지,1층,0507-1480-8975,11:00~19:00,11:00~19:00,,"목요일,일요일",323115052031_1.jpeg,20221107,37.4397989284,126.7796874978
동물미용업,봉쥬르멍멍,시흥시,은행동,"경기도 시흥시 은계번영길 23, 은계타운 5층 509호 (은행동)",경기도 시흥시 은행동 646-10번지,5층,***-****-****,08:00~20:00,08:00~20:00,08:00~20:00,유동적,313115054078_1.jpeg,20221111,37.4371409352,126.8039256944
동물미용업,머피애견,시흥시,정왕동,경기도 시흥시 군서로28번길 6-1,경기도 시흥시 정왕동 1201-13번지,,031-497-9464,10:30~22:00,10:30~22:00,10:30~22:00,연중무휴,313115064003_1.jpeg,20221118,37.3453904324,126.749305741
동물미용업,호수동물병원,시흥시,조남동,"경기도 시흥시 목감남서로 9-19, 메이저타워 103호 (조남동)",경기도 시흥시 조남동 657-1,1층,031-403-0075,09:30~20:00,09:30~18:00,휴무,일요일,313115056011_1.jpeg,20221101,37.3777841561,126.852771635
동물위탁관리업,신나개놀개,시흥시,배곧동,"경기도 시흥시 서울대학로 278번길 21, 새롬프라자2 4층 406호 (배곧동)",경기도 시흥시 배곧동 193-3번지,4층,0507-1308-2831,12:00~20:00,10:30~20:00,10:30~20:00,연중무휴,323115073042_1.jpeg,20221122,37.3695093281,126.7280367972
동물미용업,사랑스럽개,시흥시,배곧동,"경기도 시흥시 서울대학로 278번길 61, 서영베니스스퀘어 s동 3층 303호 (배곧동)",경기도 시흥시 배곧동 204번지,3층,031-497-1003,11:00~20:00,11:00~20:00,11:00~20:00,연중무휴,313115073062_1.jpeg,20221124,37.3681926149,126.7306929431
동물위탁관리업,개구쟁이,시흥시,배곧동,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 2층 218호 (배곧동)",경기도 시흥시 배곧동 219번지,2층,0507-1436-3393,07:00~22:00,07:00~22:00,07:00~22:00,월요일,323115073001_1.jpeg,20221122,37.3683599517,126.7273257955
동물미용업,개정촌,시흥시,정왕동,"경기도 시흥시 중심상가3길 11, 그린프라자 (정왕동)",경기도 시흥시 정왕동 1737-13번지,,0507-1436-1105,12:00~21:00,12:00~21:00,12:00~21:00,수요일,313115065082_1.jpeg,20221118,37.3450145635,126.7370486178
동물미용업,도그매니저,시흥시,거모동,"경기도 시흥시 한우물로 4, 101호 (거모동)",경기도 시흥시 거모동 1756-8번지,,031-495-2060,,,,,313115068077_1.jpeg,20221104,37.3429525428,126.7850052687
동물미용업,배곧도담동물병원,시흥시,배곧동,"경기도 시흥시 배곧1로 27-16 (배곧동, 한라비발디캠퍼스2차)",경기도 시흥시 배곧동 245번지,,031-499-3007,10:00~21:00,10:00~21:00,10:00~21:00,목요일,313115073031_1.jpeg,20221122,37.3619447034,126.7140213156
동물미용업,독욕탕,시흥시,배곧동,"경기도 시흥시 서울대학로264번길 35, 시흥배곧 아브뉴프랑 센트럴 그린 3층 315호 (배곧동)",경기도 시흥시 배곧동 218번지,3층,***-****-****,,,,,313115073027_1.jpeg,20221122,37.3677274711,126.7284729076
동물미용업,망쿠애견샵,시흥시,정왕동,"경기도 시흥시 정왕대로266번길 4, 금강아파트 상가동 105호 (정왕동)",경기도 시흥시 정왕동 1789번지,,***-****-****,08:00~20:00,08:00~20:00,08:00~20:00,연중무휴,313115065041_1.jpeg,20221118,37.3431587747,126.7414139095
동물미용업,Dog Do,시흥시,월곶동,"경기도 시흥시 월곶중앙로70번길 12, 2층 202호 (월곶동, 부성파인 하버뷰)",경기도 시흥시 월곶동 1008-2번지,2층,***-****-****,10:00~19:00,10:00~19:00,,일요일,313115069035_1.jpeg,20221123,37.3898625245,126.7392264551
동물위탁관리업,개들의집,시흥시,은행동,"경기도 시흥시 은계중앙로 238, 호수의 아침 3층 304호 (은행동)",경기도 시흥시 은행동 608-6번지,3층,***-****-****,10:30~20:00,10:30~20:00,10:30~20:00,연중무휴,323115054040_1.jpeg,20221103,37.445371883,126.8041885946
동물위탁관리업,사랑스럽개,시흥시,배곧동,"경기도 시흥시 서울대학로 278번길 61, 서영베니스스퀘어 s동 3층 303호 (배곧동)",경기도 시흥시 배곧동 204번지,3층,031-497-1003,11:00~20:00,11:00~20:00,11:00~20:00,연중무휴,323115073044_1.jpeg,20221124,37.3681926149,126.7306929431
동물미용업,위드미펫살롱,시흥시,은행동,"경기도 시흥시 은계중앙로 220, 302호 (은행동)",경기도 시흥시 은행동 608-13번지,3층,***-****-****,"10:00~19:00,화요일 11:00~21:00",10:00~19:00,10:00~19:00,월요일,313115054045_1.jpeg,20221103,37.4441258467,126.8053532289
동물위탁관리업,개정촌,시흥시,정왕동,"경기도 시흥시 중심상가3길 11, 그린프라자 (정왕동)",경기도 시흥시 정왕동 1737-13번지,,0507-1436-1105,12:00~21:00,12:00~21:00,12:00~21:00,수요일,323115065024_1.jpeg,20221118,37.3450145635,126.7370486178
동물위탁관리업,보드레도그,시흥시,조남동,"경기도 시흥시 목감둘레로 258, 메트로타워1 102호 (조남동)",경기도 시흥시 조남동 711-2,1층,031-411-3123,"10:00~19:00,수요일10:00~17:00",10:00~17:00,휴무,일요일,323115056020_1.jpeg,20221101,37.3809982663,126.862028829
동물위탁관리업,뛰뛰멍멍,시흥시,정왕동,"경기도 시흥시 옥구상가1길 9, 21세기프라자 4층 (정왕동)",경기도 시흥시 정왕동 1857-2번지,4층,031-499-6688,12:00~20:00,12:00~20:00,12:00~20:00,연중무휴,323115062002_1.jpeg,20221122,37.3540055062,126.72248222
동물미용업,그루밍펫살롱,시흥시,배곧동,경기도 시흥시 서울대학로 278번길 34 (배곧동),경기도 시흥시 배곧동 216번지,4층,***-****-****,10:00~20:00,10:00~20:00,,일요일,313115073056_1.jpeg,20221123,37.3682081085,126.7289197215
동물미용업,박한준종합동물병원,시흥시,대야동,"경기도 시흥시 복지로 47, 박한준동물병원 (대야동)",경기도 시흥시 대야동 490-2번지,1층,031-315-7582,09:00~20:00,09:00~20:00,09:00~20:00,연중무휴,313115051057_1.jpeg,20221104,37.4438221596,126.7891449539
동물미용업,꿈꾸는강아지,시흥시,거모동,"경기도 시흥시 군자로 471 (거모동, 금탑아트빌)",경기도 시흥시 거모동 1724-13번지,,,,,,,313115068054_1.jpeg,20221104,37.347772001,126.783040205
동물위탁관리업,다독다독,시흥시,정왕동,경기도 시흥시 오동마을로5번길 29-1 (정왕동),경기도 시흥시 정왕동 2312-3번지,1층,0507-1349-5525,09:30~20:00,09:30~20:00,09:30~20:00,연중무휴,323115064004_1.jpeg,20221118,37.3526839405,126.745281237
동물미용업,목감동물병원,시흥시,조남동,경기도 시흥시 동서로 1064 (조남동),경기도 시흥시 조남동 707-1,1층,031-482-7585,09:30~20:00,09:30~17:00,휴무,일요일,313115056013_1.jpeg,20221101,37.3838893135,126.8599259022
동물미용업,위드유 펫 스토어,시흥시,은행동,"경기도 시흥시 은계번영길 1, 태산W타워 (은행동)",경기도 시흥시 은행동 646번지,2층,,09:00~22:00,09:00~22:00,09:00~22:00,연중무휴,313115054079_1.jpeg,20221111,37.4365775346,126.8016249551
동물위탁관리업,히히냥냥,시흥시,정왕동,"경기도 시흥시 중심상가로 192, 상록프라자 3층(정왕동)",경기도 시흥시 정왕동 1742-12번지,,031-497-1006,10:30~22:30,10:30~22:30,10:30~22:30,,323115065012_1.jpeg,20221118,37.3441353392,126.7362898077
동물위탁관리업,개ST하우스,시흥시,신천동,"경기도 시흥시 신천3길 23-1, 2층 (신천동)",경기도 시흥시 신천동 761-1번지,2층,0507-1360-6235,11:00~20:00,11:00~20:00,11:00~20:00,"화요일,수요일",323115052014_1.jpeg,20221107,37.4387769793,126.7835745759
동물위탁관리업,와와리 애견미용,시흥시,배곧동,"경기도 시흥시 배곧4로 106-25, 정문상가동 102호 (배곧동, 호반베르디움 센트로하임아파트)",경기도 시흥시 배곧동 174번지,,0507-1336-6890,10:00~17:00,10:00~17:00,10:00~17:00,수요일,323115073006_1.jpeg,20221123,37.3710666931,126.7332724678
동물미용업,소풍애견호텔,시흥시,정왕동,경기도 시흥시 서울대학로264번길 44-4 (정왕동) 에스프라자 6층 607호,경기도 시흥시 배곧동 231번지,6층,031-504-5009,10:00~22:00,10:00~22:00,10:00~22:00,,313115073061_1.jpeg,20221122,37.3671759068,126.7282075179
동물미용업,이지종합동물병원,시흥시,대야동,"경기도 시흥시 비둘기공원로 21 (대야동, 대야하이빌)",경기도 시흥시 대야동 562-6번지,1층,031-314-7975,10:30~21:30,10:30~21:30,10:30~21:30,연중무휴,313115051058_1.jpeg,20221109,37.4439484989,126.7921734489
동물위탁관리업,애견용품 창고형 할인매장(비제이코리아),시흥시,정왕동,"경기도 시흥시 오동마을로6번길 4, C.M건축자재 백화점 (정왕동)",경기도 시흥시 정왕동 2320-2번지,,031-520-0289,10:00~22:00,10:00~22:00,10:00~22:00,연중무휴,323115064052_1.jpeg,20221122,37.3529327465,126.7419027019
동물위탁관리업,킨더개든,시흥시,배곧동,"경기도 시흥시 서울대학로278길 19-13, B동 2층 229-231호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191번지,2층,0507-1383-4425,07:00~21:00,07:00~21:00,07:00~21:00,연중무휴,323115073003_1.jpeg,20221122,37.3709989287,126.7270163836
동물미용업,개편한세상,시흥시,은행동,"경기도 시흥시 은계번영길 40, 샤르망프라자 202호 (은행동)",경기도 시흥시 은행동 645-2번지,2층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,313115054022_1.jpeg,20221111,37.4365649144,126.8025406729
동물위탁관리업,뽀숑뽀숑,시흥시,은행동,"경기도 시흥시 은계번영길 11, 208호 (은행동)",경기도 시흥시 은행동 646-5번지,2층,***-****-****,09:30~18:30,09:30~18:30,09:30~18:30,연중무휴,323115054055_1.jpeg,20221111,37.4374281699,126.8021935463
동물위탁관리업,샤이니독,시흥시,신천동,경기도 시흥시 비둘기공원2길 10 1층,경기도 시흥시 대야동 557-2번지,1층,031-503-4470,11:00~19:00,11:00~19:00,11:00~19:00,월요일,323115051021_1.jpeg,20221110,37.4397786972,126.7927553286
동물미용업,쭈스타일,시흥시,은행동,"경기도 시흥시 은행로 107, 대우3차아파트 (은행동)",경기도 시흥시 은행동 549-1번지,1층,,10:00~18:00,10:00~18:00,10:00~1800,격주 일요일 휴무,313115054005_1.jpeg,20221103,37.4408898558,126.7977074833
동물미용업,뽀독,시흥시,정왕동,경기도 시흥시 정왕천로 438 (정왕동),경기도 시흥시 정왕동 1500-12번지,,0507-1469-0190,09:30~20:00,09:30~20:00,09:30~20:00,수요일,313115064090_1.jpeg,20221118,37.3461054246,126.7540404648
동물미용업,캣살롱코코,시흥시,장곡동,"경기도 시흥시 인선길 39, B동 2층 209호 (장곡동, 엘에이치17단지)",경기도 시흥시 장곡동 355-12,2층,***-****-****,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,313115071042_1.jpeg,20221109,37.3762886636,126.7840903194
동물위탁관리업,목감시티동물병원,시흥시,조남동,경기도 시흥시 목감둘레로 253-24 (조남동),경기도 시흥시 조남동 707-1,1층,031-504-7559,09:30~20:00,09:30~20:00,09:30~20:00,수요일,323115056027_1.jpeg,20221101,37.380972798,126.8606510065
동물미용업,오늘은 그루밍,시흥시,정왕동,"경기도 시흥시 함송로13번길 28, 세계로교회 105호 (정왕동)",경기도 시흥시 정왕동 1879-5번지,,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,313115072084_1.jpeg,20221122,37.3645690855,126.7320737891
동물위탁관리업,Dog Do,시흥시,월곶동,"경기도 시흥시 월곶중앙로70번길 12, 2층 202호 (월곶동, 부성파인 하버뷰)",경기도 시흥시 월곶동 1008-2번지,2층,***-****-****,10:00~19:00,10:00~19:00,,일요일,323115069013_1.jpeg,20221123,37.3898625245,126.7392264551
동물미용업,능곡동물병원,시흥시,능곡동,"경기도 시흥시 승지로60번길 25, 센타프라자 (능곡동)",경기도 시흥시 능곡동 719,1층,031-317-7234,09:30~19:00,09:30~17:00,휴무,"일요일,공휴일",313115067053_1.jpeg,20221104,37.3679920221,126.8122671683
동물미용업,서로가 서로에개,시흥시,능곡동,"경기도 시흥시 승지로69번길 8-5, 101호 (능곡동)",,1층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,수요일,313115067033_1.jpeg,20221104,37.3708171063,126.8098244966
동물미용업,댕이냥이살롱,시흥시,대야동,"경기도 시흥시 호현로 155-9, 2동 101호 (대야동, 아크로힐 더 파크)",경기도 시흥시 대야동 303-76번지,1층,0507-1340-4513,10:00~20:00,10:00~20:00,10:00~20:00,월요일,313115051096_1.jpeg,20221108,37.4529011205,126.7880301777
동물미용업,베베독,시흥시,정왕동,"경기도 시흥시 정왕신길로49번길 19, 서해2차아파트 (정왕동)",경기도 시흥시 정왕동 1886-4번지,2층,031-496-0103,11:00~07:00,11:00~07:00,,"일요일,공휴일",313115072016_1.jpeg,20221122,37.3596616918,126.7273133546
동물미용업,펫 하우스,시흥시,월곶동,"경기도 시흥시 월곶중앙로 38, 마린월드상가 129 - 1호 (월곶동)",경기도 시흥시 월곶동 995-1번지,,031-318-0304,10:00~19:00,10:00~19:00,10:00~19:00,월요일,313115069092_1.jpeg,20221123,37.3880373624,126.7413460252
동물미용업,아띠 강아지이발소,시흥시,정왕동,"경기도 시흥시 정왕천로369번길 59-7, 102호 (정왕동)",경기도 시흥시 정왕동 1592-11번지,,031-488-8991,10:00~19:00,10:00~19:00,10:00~19:00,수요일,313115065065_1.jpeg,20221118,37.3442815559,126.7436154194
동물위탁관리업,참누리종합동물병원,시흥시,대야동,"경기도 시흥시 대은로 81, 모비딕빌딩 (대야동)",경기도 시흥시 대야동 573-2번지,1층,031-312-0075,09:00~22:00,09:00~22:00,09:00~20:00,연중무휴,323115051045_1.jpeg,20221104,37.4447000348,126.7972761971
동물미용업,애견나라 백화점,시흥시,신천동,경기도 시흥시 신천천서로 28 (신천동),경기도 시흥시 신천동 761-8번지,1층,031-404-1474,,,,,313115052083_1.jpeg,20221107,37.4385797198,126.7837460165
동물미용업,에이미 그루밍,시흥시,대야동,경기도 시흥시 비둘기공원7길 33 디아망타운 107호,경기도 시흥시 대야동 543-2번지,1층,031-404-8394,10:00~19:00,10:00~19:00,10:00~19:00,월요일,313115051001_1.jpeg,20221110,37.4430055784,126.7927588701
