sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,sanittn_bizcond_nm,ratg_div_nm,rk_cnt_faclt_div_nm,factry_prdc_dut_emply_cnt,multi_utlz_bizest_yn,traditn_bizest_apnt_id,traditn_bizest_food_desc
,"경기도 시흥시 마유로238번길 26, 1층 (정왕동)",경기도 시흥시 정왕동 1366-4 롯데마트 1층,15079,031-496-7745,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 GS마트 시화점,15079,031-496-7762,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 오이도어시장로 8,"경기도 시흥시 정왕동 2005-3 B동 21,22호",15015,,37.3446490932,126.6888897946,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 정왕대로117번길 26,경기도 시흥시 정왕동 1870-1 신우상가104호,15032,,37.3536003162,126.730819309,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 오이도어시장로 7,"경기도 시흥시 정왕동 2004-3 A동 94,95호",15015,031-434-7741,37.3451101492,126.6890880534,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 오이도어시장로 8,경기도 시흥시 정왕동 2005-3 오이도종합어시장 B동 22호,15015,,37.3446490932,126.6888897946,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 GS마트시화점,15079,031-623-5223,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 오이도로 167,경기도 시흥시 정왕동 2003-8 오이도직판장 A동 138호,15015,,37.3458883179,126.6882103529,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 정왕대로 210,경기도 시흥시 정왕동 1734-1 이마트매장,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 비둘기공원로 28,경기도 시흥시 대야동 542,14912,031-979-1624,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 새우개2길 62-1, 1,2층 (포동)",경기도 시흥시 포동 88-8,14961,031-316-1335,37.4052277513,126.7731375152,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,02-3397-6093,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 희망공원로 269 (정왕동, 홈플러스시화점)",경기도 시흥시 정왕동 2166-4 홈플러스시화점,15081,02-3289-0550,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧4로 32-13, 107~110호, B103호 (정왕동)",경기도 시흥시 정왕동 2477-3,15010,031-767-0338,37.376956103,126.7268874805,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 일부호 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,031-858-1226,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 월곶중앙로14번길 27, 104호 (월곶동)",경기도 시흥시 월곶동 994 104호,14967,,37.3890720433,126.7438660226,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 신천1길 12, 1층 2호 (신천동)",경기도 시흥시 신천동 755-9,14948,,37.4396448836,126.7810341695,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 정왕대로 210,경기도 시흥시 정왕동 1734-1 이마트 2층,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계중앙로 214, 은계호수 수변공원 (은행동)",경기도 시흥시 은행동 0 은계호수 수변공원 2 관리소 및 화장실,14923,,37.4439308794,126.8059202725,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,,경기도 시흥시 정왕동 0-0 시화공단지원시설2구역3나802-1호,15119,031-496-7760,,,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 GS마트내,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 희망공원로 269 (정왕동, 홈플러스내)",경기도 시흥시 정왕동 2166-4 홈플러스내,15081,031-310-8000,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4,15079,031-498-7561,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 하중로 207, 3층 302일부호 (하중동)",경기도 시흥시 하중동 857-6 훼미리타운,14976,031-435-4487,37.3932808722,126.8054950992,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 새재로17번길 3, 이마트에브리데이  1층 일부 호 (장현동)",경기도 시흥시 장현동 543-1,14998,070-7567-6565,37.3810543546,126.8017561503,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧4로 30, 배곧타운I 1층 109호 (배곧동)",경기도 시흥시 배곧동 124 배곧타운I,15010,,37.377338562,126.7274821771,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로264번길 26-29, 다인 로얄팰리스 배곧5차 1층 106호 일부호 (배곧동)",경기도 시흥시 배곧동 228-3 다인 로얄팰리스 배곧5차,15011,,37.3668168759,126.7270592906,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서울대학로264번길 22, 다인로얄팰리스 배곧플러스 9차 지하1층 일부호 (배곧동)",경기도 시흥시 배곧동 223-1 다인로얄팰리스 배곧플러스 9차,15011,,37.3678768718,126.7265063355,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 희망공원로 269,경기도 시흥시 정왕동 2166-4 홈플러스내,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 복지로91번길 4-2, 1층 101호일부호 (대야동, 태원탑스빌)",경기도 시흥시 대야동 443-4 태원탑스빌,14906,031-381-9922,37.4476815319,126.7909059916,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 롯데마트(시흥배곧점) (정왕동)",경기도 시흥시 정왕동 1771-1 롯데마트(시흥배곧점),15011,070-4300-9589,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 오이도중앙로36번길 12 (정왕동),경기도 시흥시 정왕동 2002-11 성신수산 11-9호,15015,031-497-7844,37.3458642221,126.688639633,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 시흥대로 1133, 상가동 101호 (신천동, 휴먼시아)",경기도 시흥시 신천동 946 휴먼시아 상가동 101호,14950,031-312-3588,37.4371797542,126.7907451038,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 오이도로 173 (정왕동, 105,106호)","경기도 시흥시 정왕동 2003-12 105,106호",15015,,37.3454457514,126.6880796381,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧1로 27-15, 상가1동 106호 일부호 (배곧동, 한라비발디캠퍼스)",경기도 시흥시 배곧동 243 한라비발디캠퍼스 상가1동 106호 일부호,15011,031-433-4803,37.3636798562,126.7119931155,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 롯데마트(시흥배곧점) (정왕동)",경기도 시흥시 정왕동 1771-1 롯데마트(시흥배곧점),15011,,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧1로 28-11, 롯데마트 시흥배곧점 (정왕동)",경기도 시흥시 정왕동 1771-12,15012,070-4300-9589,37.36051463,126.7117777843,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 시흥배곧 롯데마트 1층 (정왕동)",경기도 시흥시 정왕동 2537 시흥배곧 롯데마트,15011,031-734-0951,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 2층 2070호 (은행동)",경기도 시흥시 은행동 601-302 시흥 센트럴돔 그랑트리 캐슬,14923,,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 월곶중앙로70번길 12, 1층 107호 일부호 (월곶동, 부성파인 하버뷰)",경기도 시흥시 월곶동 1008-2 부성파인 하버뷰,14966,,37.3898625245,126.7392264551,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 희망공원로 269, 2(일부)층 (정왕동, 홈플러스 시화점)",경기도 시흥시 정왕동 2166-4 홈플러스 시화점 2층 일부,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 오이도로 167,경기도 시흥시 정왕동 2003-8 A동 19호,15015,031-433-6691,37.3458883179,126.6882103529,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서울대학로264번길 26-16, 해든메디컬센터 6층 607호 (배곧동)",경기도 시흥시 배곧동 224-1 해든메디컬센터,15011,,37.3669339731,126.7256690253,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 호현로21번길 31,경기도 시흥시 신천동 718-2,14904,,37.4438508037,126.7819548324,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕천로355번길 22, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1437-7 1층 3호,15058,031-431-6560,37.3416935519,126.7462718158,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 문화마을로16번길 69,경기도 시흥시 대야동 463-9,14905,031-692-8095,37.4467524637,126.7863022249,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 목감남서로 38, 418동 106호 (조남동, 호반베르디움 더 레이크)",경기도 시흥시 조남동 660 호반베르디움 더 레이크,14989,031-411-2252,37.376257737,126.8489219703,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕천로411번길 34, 1층 (정왕동)",경기도 시흥시 정왕동 1188-10,15052,,37.3462090505,126.7490492084,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 비둘기공원로 28, 2층 (대야동, 롯데마트시흥점 )",경기도 시흥시 대야동 542,14912,02-589-3764,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 GS마트시화점,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도어시장로 8 (정왕동, 147-149호)",경기도 시흥시 정왕동 2005-3 147-149호,15015,,37.3446490932,126.6888897946,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,,경기도 시흥시 대야동 542 GS마트 시흥점,,,,,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 희망공원로 269,경기도 시흥시 정왕동 2166-4,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서해안로 699, 시흥 프리미엄 아울렛 야외주차장 옆 임시매장 (배곧동)",경기도 시흥시 배곧동 36 시흥 프리미엄 아울렛 야외주차장 옆 임시매장,15010,,37.3796992102,126.7370588161,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 장곡로53번길 5, 1층 일부호 (장곡동)",경기도 시흥시 장곡동 809-14 101호,15002,,37.3789498495,126.7829581088,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧4로 32-13, 1층 일부호 (배곧동)",경기도 시흥시 배곧동 126,15010,,37.376956103,126.7268874805,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계남길 44, 2층 202호 일부호 (은행동)",경기도 시흥시 은행동 671-1,14922,,37.4306900973,126.7998372952,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 신천로44번안길 21, 1(일부)층 (신천동)",경기도 시흥시 신천동 773-2 1층일부,14950,031-315-6333,37.4376741924,126.7875301386,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 군자로533번길 4 (거모동),경기도 시흥시 거모동 1762-1,15068,031-492-2644,37.3434479805,126.7864456561,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 정왕천로396번길 21 (정왕동),경기도 시흥시 정왕동 1523-8,15051,031-499-3024,37.3420970378,126.7530414823,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 마유로238번길 26, 롯데마트 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1366-4,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,,경기도 시흥시 포동 13-3 태산상가13/107,14957,031-695-9980,37.4068185186,126.7841953867,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 GS마트(내),15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,,경기도 시흥시 포동 1-5,14957,031-314-1464,37.40741609,126.7873948462,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 정왕대로 210,경기도 시흥시 정왕동 1734-1 2층,15066,031-496-4123,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕대로 210, 2층 (정왕동, 이마트시화점)",경기도 시흥시 정왕동 1734-2 이마트시화점 2층,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 마유로238번길 26, 1층 (정왕동, 롯데마트 시화점)",경기도 시흥시 정왕동 1366-4 롯데마트 시화점 1층,15079,02-3278-5600,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 희망공원로 269, 홈플러스시화점 2층 (정왕동)",경기도 시흥시 정왕동 2166-4 홈플러스시화점,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 뱀내장터로19번길 22-1, 1층 일부호 (대야동)",경기도 시흥시 대야동 491,14909,,37.4436440391,126.7880048576,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도어시장로 7 (정왕동,오이도종합어시장 A동 69,70호)","경기도 시흥시 정왕동 2004-3 오이도종합어시장 A동 69,70호",15015,031-431-5856,37.3451101492,126.6890880534,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 LG마트내,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕대로 210, 2층 (정왕동)",경기도 시흥시 정왕동 1734-1,15066,031-858-1227,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,상수도전용,,N,,
,경기도 시흥시 인선길 100,경기도 시흥시 장곡동 803-5 연성프라자 107동,15002,031-507-4277,37.3798432287,126.7801596941,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 승지로 49 (능곡동, 베스트(프)내)",경기도 시흥시 능곡동 724 베스트(프)내,14995,,37.3685893934,126.8095964474,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 군자로 520, 동운디오빌아파트 103호 일부호 (거모동, 동운디오빌아파트)",경기도 시흥시 거모동 1756-1 동운디오빌아파트,15070,,37.3438261411,126.7848840878,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 정왕천로 440-1 (정왕동),경기도 시흥시 정왕동 1500-14,15051,,37.3463503452,126.7542864248,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 비둘기공원로 28,경기도 시흥시 대야동 542 롯데마트내,14912,02-833-1322,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕시장길 51 (정왕동, 정왕시장101호)",경기도 시흥시 정왕동 1203 정왕시장101호,15052,031-319-5530,37.3458093904,126.7485677164,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 대야로13번길 15-1 (대야동),경기도 시흥시 대야동 475-6,14905,031-311-8144,37.4452902941,126.7874692262,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 일부호 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 대골안길 92, 1층 (신천동)",경기도 시흥시 신천동 707-50 1층,14910,070-8811-7949,37.442018564,126.7860080554,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 대야로23번길 8-1, 1층 일부호 (대야동)",경기도 시흥시 대야동 467-19,14905,,37.4459569617,126.7889099583,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 옥구상가3길 25,경기도 시흥시 정왕동 1857-1,15040,031-434-7942,37.3541595445,126.7226048352,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 정왕대로 74 (정왕동),경기도 시흥시 정왕동 1861-7,15040,031-496-8541,37.3534522826,126.7247122889,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 마유로238번길 26, 롯데마트 시화점 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1366-4,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
