bizplc_nm,licensg_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,stockrs_idntfy_id,right_wk_pehs_have_id
더좋은 동물병원,20220824,0000,정상,,031-431-0075,88.1,15011,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 2층 233호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,37.3681926149,126.7306929431,,176072.60072494,429602.843996773,,000
비타민 동물병원,20221118,0000,정상,,031-432-9199,124.3,15010,"경기도 시흥시 배곧4로 32-27, 광장프라자 2층 205호 (배곧동)",경기도 시흥시 배곧동 131 광장프라자,15010,37.3776954647,126.7255471026,,175621.112587005,430662.360321249,,000
시흥탑동물의료센터,20230110,0000,정상,,031-316-0750,0,14923,"경기도 시흥시 은계호수로 31, 그린타워 207, 208, 209, 210, 211호 (은행동)",경기도 시흥시 은행동 611-1 그린타워,14923,37.4445110454,126.8034165283,,182534.522918138,438060.268325518,,000
목감준동물병원,20250901,0000,정상,,,79.3,14988,"경기도 시흥시 목감남서로 9-15, 106호 (조남동)",경기도 시흥시 조남동 657-2,14988,37.3777190846,126.8524107573,,186857.179712795,430637.467079415,,000
온숲동물병원,20251114,0000,정상,,031-362-5702,131.61,14922,"경기도 시흥시 은계남길 44, 1층 101호 (은행동)",경기도 시흥시 은행동 671-1,14922,37.4306900973,126.7998372952,,182217.555795239,436524.383486182,,000
목감동물병원,20161201,0000,정상,,031-482-7585,55.08,14984,경기도 시흥시 동서로 1064 (조남동),경기도 시흥시 조남동 169-45,14984,37.3838893135,126.8599259022,,187525.239516308,431321.164451321,,000
정다운동물병원,20170224,0000,정상,,031-498-7582,59.22,15036,"경기도 시흥시 중심상가로 146, 105호 (정왕동, 한일프라자)",경기도 시흥시 정왕동 1731-1 105호,15036,37.3467038502,126.7320525562,,176178.31945847,427223.954898429,,000
숲속동물병원,20170411,0000,정상,,031-317-8275,73.4,14948,"경기도 시흥시 삼미시장1길 39, 1층 (신천동)",경기도 시흥시 신천동 743 1층,14948,37.4412632357,126.7818439067,,180628.320803485,437701.073169699,,000
호수동물병원,20170713,0000,정상,,031-403-0075,40,14963,"경기도 시흥시 월곶해안로161번길 15, 월곶Ⅱ 유호N플러스빌(상가동) 108동 110호 (월곶동)",경기도 시흥시 월곶동 1012-1 월곶Ⅱ 유호N플러스빌(상가동),14963,37.389181627,126.7356749232,,176480.723133451,431893.660220227,,000
24시배곧스마트동물의료센터,20170829,0000,정상,,031-432-1224,420.15,15011,"경기도 시흥시 배곧3로 86, 센터프라자2 206,207,208,209,210,211,212호 (배곧동)",경기도 시흥시 배곧동 194-2 센터프라자2,15011,37.3702222869,126.7295541408,,175971.233747393,429834.311801204,,000
시흥24시센트럴동물의료센터,20180223,0000,정상,,031-432-2475,196.85,15036,"경기도 시흥시 정왕대로 174, 광개토빌딩1 2층 203호 (정왕동)",경기도 시흥시 정왕동 1726-1 광개토빌딩1 203호,15036,37.3481553901,126.7334942325,,176313.285156484,427368.540805943,,000
배곧코코동물병원,20180831,0000,정상,,031-434-0863,75,15020,"경기도 시흥시 함송로 15, 화신프라자 104,105호 (정왕동)",경기도 시흥시 정왕동 1881-11 화신프라자,15020,37.3640347307,126.7302949768,,176035.535074099,429144.230146749,,000
목감시티동물병원,20181031,0000,정상,,031-504-7559,0,14986,"경기도 시흥시 목감둘레로 253-24, 110호 (조남동)",경기도 시흥시 조남동 707-1,14986,37.380972798,126.8606510065,,187571.603834676,430994.498092742,,000
만세동물병원,20190102,0000,정상,,031-319-7583,52.29,15010,"경기도 시흥시 배곧4로 95, 지음프라자 101호 (정왕동)",경기도 시흥시 정왕동 1772-31 지음프라자,15010,37.3742440446,126.7339742565,,176366.853612678,430275.682261144,,000
청안동물병원,19960619,0000,정상,,031-311-4148,0,,경기도 시흥시 삼미시장1길 19 (신천동),경기도 시흥시 신천동 738-2,14948,37.4405908634,126.7839303247,,180806.647232344,437627.778199337,,000
신천동물병원,20020321,0000,정상,,031-315-3727,21,,경기도 시흥시 호현로22번길 27 (신천동),경기도 시흥시 신천동 709-10,14910,37.4406190777,126.7871065669,,181089.183614231,437631.292475563,,000
서울동물병원,19960306,0002,폐업,20250124,031-313-6109,22.68,14904,"경기도 시흥시 수인로 3390, 지하1층 (신천동)",경기도 시흥시 신천동 713-16,14904,37.4417804809,126.7824154918,,180675.845648624,437759.497940969,,000
서해동물병원,19990423,0002,폐업,20170222,031-498-7582,0,,"경기도 시흥시 중심상가로 146 (정왕동,한일프라자1층)",경기도 시흥시 정왕동 1731-1 한일프라자1층,15036,37.3467038502,126.7320525562,,176178.31945847,427223.954898429,,000
애견종합동물병원,19990614,0002,폐업,20041213,,0,,경기도 시흥시 대야로 4,경기도 시흥시 대야동 490-5,14909,37.4441637718,126.7889947589,,,,,000
정왕동물병원,19990713,0002,폐업,20031021,,0,,경기도 시흥시 함송로13번길 16-8,경기도 시흥시 정왕동 1881-1    고려프라자105호,15020,37.3643510855,126.731816276,,,,,000
LG 펫월드,20010305,0002,폐업,20040504,,0,,,경기도 시흥시 정왕동 공단지원시설 2구역 3나 802-1,15119,,,,,,,000
보람동물병원,20011103,0002,폐업,20070802,031-497-7585,0,,경기도 시흥시 정왕천로369번길 62-1 (정왕동),경기도 시흥시 정왕동 1580,15057,37.3450589211,126.7439576098,,177242.393744941,427033.298036117,,000
시흥동물병원,20021212,0002,폐업,20220919,031-313-7780,0,,경기도 시흥시 호현로 40 (대야동),경기도 시흥시 대야동 495,14909,37.4439972677,126.7852996586,,180929.911708589,438004.333813164,,000
우리들종합동물병원,20020524,0002,폐업,20181026,,89.67,,경기도 시흥시 정왕대로 78 (정왕동),경기도 시흥시 정왕동 1861-8,15040,37.3532919711,126.7250075078,,175566.862699337,427950.088902739,,000
튼튼동물병원,20020417,0002,폐업,,031-431-8775,83.93,15010,"경기도 시흥시 서울대학로278번길 19-13, 114~115호 (배곧동, 시흥배곧 C1블럭 호반 써밋플레이스 아파트)",경기도 시흥시 배곧동 191 시흥배곧 C1블럭 호반 써밋플레이스 아파트,,,,,175778.500048456,429887.847826116,,000
장곡종합동물병원,20090513,0002,폐업,,031-317-4567,52.24,,"경기도 시흥시 진말로19번길 16-1 (장곡동,(1층))",경기도 시흥시 장곡동 814-3 (1층),15002,37.3792701006,126.7837457162,,180776.400881136,430819.204097109,,000
능곡동물병원,20101130,0002,폐업,20260423,031-317-7234,40.25,,"경기도 시흥시 승지로60번길 25, 111호 (능곡동,송죽센타프라자)",경기도 시흥시 능곡동 762 송죽센타프라자 111호,14995,37.3679920221,126.8122671683,,183299.263019354,429563.86993943,,000
개팔자상팔자 우리동물병원,20030718,0002,폐업,20031016,,16.66,,"경기도 시흥시 대은로 81 (대야동,모비딕빌딩102호)",경기도 시흥시 대야동 573-2 모비딕빌딩102호,14914,37.4447000348,126.7972761971,,181992.191375186,438080.194127793,,000
수림동물병원,20040202,0002,폐업,20051118,,50,,"경기도 시흥시 정왕대로 174 (정왕동,광개토1빌팅 109호)",경기도 시흥시 정왕동 1726-1 광개토1빌팅 109호,15036,37.3481553901,126.7334942325,,176313.285156484,427368.540805943,,000
정왕동물병원,20040220,0002,폐업,20070502,031-434-5190,316.68,,경기도 시흥시 정왕천로411번길 12 (정왕동),경기도 시흥시 정왕동 1193-10,15052,37.3449421398,126.7511053021,,177874.270587787,427019.467830047,,000
닥터K동물병원,20040326,0002,폐업,20090504,031-317-4567,61.04,,,경기도 시흥시 장곡동 391,,,,,180922.807471451,430881.23779896,,000
메디펫동물병원,20040423,0002,폐업,20040429,,83.41,,경기도 시흥시 은행로 172 (대야동),경기도 시흥시 대야동 581-6,14915,37.4461666672,126.7983590789,,182086.901636017,438243.429549966,,000
메디펫동물병원,20040501,0002,폐업,20050823,,83.41,,경기도 시흥시 은행로 172 (대야동),경기도 시흥시 대야동 581-6,14915,37.4461666672,126.7983590789,,182086.901636017,438243.429549966,,000
올펫동물병원,20040907,0002,폐업,20090414,031-404-8566,49.02,,경기도 시흥시 월곶중앙로 71 (월곶동),경기도 시흥시 월곶동 1011-15,14963,37.3889758169,126.7373037111,,176666.626925636,431907.771708719,,000
애견종합동물병원,20041215,0002,폐업,20050627,031-315-7582,70.2,,경기도 시흥시 대야로 4 (대야동),경기도 시흥시 대야동 490-5,14909,37.4441637718,126.7889947589,,181243.878231668,437988.152126073,,000
V1동물병원,20050203,0002,폐업,20120423,031-488-9975,58.89,,"경기도 시흥시 군서마을로 18-2 (정왕동,(1층))",경기도 시흥시 정왕동 1214-13 (1층),15052,37.3442648658,126.7494862939,,177731.407587927,426945.379369551,,000
정왕동물병원,20070613,0002,폐업,20091016,031-434-5190,0,,"경기도 시흥시 정왕천로 395 (정왕동,(1층))",경기도 시흥시 정왕동 1215-7 (1층),15052,37.3433905945,126.7509174965,,177859.263368788,426845.750312244,,000
쿨펫동물병원,20070705,0002,폐업,20141006,031-499-7991,66.56,,"경기도 시흥시 희망공원로 269 (정왕동,홈플러스시화점(1층))",경기도 시흥시 정왕동 2166-4 홈플러스시화점(1층),15081,37.3452082082,126.725237369,,175571.408649221,427063.061719326,,000
다나동물병원,20070813,0002,폐업,20120504,031-497-7585,27.68,,경기도 시흥시 중심상가2길 12-2,경기도 시흥시 정왕동 1736-2    1층 105호,15066,37.3455426947,126.7364787738,,,,,000
내마음속동물병원,20090414,0002,폐업,20210510,031-404-8566,49.02,14963,"경기도 시흥시 월곶중앙로 71, 110호 (월곶동, 센타프라자)",경기도 시흥시 월곶동 1011-15 센타프라자 110호,14963,37.3889758169,126.7373037111,,176666.626925636,431907.771708719,,000
엘리스동물병원,20100226,0002,폐업,20100804,031-7544-7871,7760.92,,"경기도 시흥시 장현능곡로 178 (능곡동,능곡타운 109호)",경기도 시흥시 능곡동 719 능곡타운 109호,14995,37.3696097976,126.8099146126,,183094.315546217,429741.225241601,,000
엘리스동물병원,20100804,0002,폐업,20101027,031-313-4535,38.44,,"경기도 시흥시 장현능곡로 178, 109호 (능곡동,능곡타운)",경기도 시흥시 능곡동 719 능곡타운 109호,14995,37.3696097976,126.8099146126,,183094.315546217,429741.225241601,,000
김현수동물병원,20101027,0002,폐업,20121115,031-313-4535,27.57,,"경기도 시흥시 장현능곡로 178, 109호 (능곡동,능곡타운)",경기도 시흥시 능곡동 719 능곡타운 109호,14995,37.3696097976,126.8099146126,,183094.315546217,429741.225241601,,000
펫츠나라동물병원,20101227,0002,폐업,20150331,031-314-0706,115.24,14910,"경기도 시흥시 수인로 3376-1, 1층 (신천동)",경기도 시흥시 신천동 712-6,14910,37.4412846629,126.7838897999,,180804.91720934,437704.197630953,,000
제다 동물병원,20200818,0002,폐업,20220420,031-312-8813,28.62,14911,"경기도 시흥시 수인로3312번길 16, 105동 1층 A105호 (대야동)",경기도 시흥시 대야동 418-21,14911,37.4413231865,126.7902764284,,181327.055829927,437611.716007368,,000
장곡애니동물병원,20140801,0002,폐업,20240510,031-438-7552,69.63,15002,"경기도 시흥시 장곡로 23, 106호 (장곡동)",경기도 시흥시 장곡동 823-3 106호,15002,37.3790954387,126.7861645217,,180990.945,430801.077,,000
배곧 코코동물병원,20160315,0002,폐업,20180829,031-434-0863,77.1,15020,"경기도 시흥시 함송로 15, 1층 104,105호 (정왕동, 화신프라자)","경기도 시흥시 정왕동 1881-11 1층 104,105호",15020,37.3640347307,126.7302949768,,176035.535074099,429144.230146749,,000
목감동물병원,20160901,0002,폐업,20161130,031-482-7585,55.08,14984,경기도 시흥시 동서로 1064 (조남동),경기도 시흥시 조남동 169-45,14984,37.3838893135,126.8599259022,,187525.239516308,431321.164451321,,000
