park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
옥구공원,근린공원,경기도 시흥시 서해안로 277,경기도 시흥시 정왕동 2138,37.3524477195,126.7104733452,334910.0,체육시설+축구장,조합놀이대+그네 등,주차장+화장실+관리사무소+매점,야외무대,,19940422,경기도 시흥시청,031-310-3862,20251219
사랑공원,어린이공원,,경기도 시흥시 정왕동 1872-7,37.3553967329,126.7338508126,1650.0,체육시설물,조합놀이대+그네,,,,19940422,경기도 시흥시청,031-310-3865,20251219
시흥공원,어린이공원,,경기도 시흥시 정왕동 1871-2,37.3519795517,126.7303673582,1650.0,체육시설물,조합놀이대+시소,,,,19940422,경기도 시흥시청,031-310-3865,20251219
해공원,어린이공원,,경기도 시흥시 정왕동 1542-5,37.3417681718,126.7559868279,2685.0,체육시설물,조합놀이대+그네,,,,19940422,경기도 시흥시청,031-310-3864,20251219
새싹공원,어린이공원,,경기도 시흥시 정왕동 1412-9,37.340107201,126.751173851,2278.0,,조합놀이대+그네,,,,19940422,경기도 시흥시청,031-310-3864,20251219
별공원,어린이공원,경기도 시흥시 군서로18번길 16-1,경기도 시흥시 정왕동 1192-1,37.3456614033,126.7508159077,1794.0,체육시설물,조합놀이대,,,,19940422,경기도 시흥시청,031-310-3864,20251219
무지개공원,어린이공원,경기도 시흥시 군서로54번길 4,경기도 시흥시 정왕동 1207-1,37.3465743968,126.7469681789,1822.0,,조합놀이대+그네,,,,19940422,경기도 시흥시청,031-310-3864,20251219
연못공원,어린이공원,,경기도 시흥시 정왕동 1825-2,37.3484450993,126.7447025946,2092.0,체육시설물,조합놀이대,,,,19940422,경기도 시흥시청,031-310-3864,20251219
군서희망공원,어린이공원,,경기도 시흥시 정왕동 1607,37.3458062763,126.7424007255,2187.0,체육시설물,오르는기구+조합놀이대,,,,19940422,경기도 시흥시청,031-310-3864,20251219
함현공원,어린이공원,,경기도 시흥시 정왕동 1878-6,37.3657973409,126.7357648478,1621.0,,조합놀이대+시소,,,,19940422,경기도 시흥시청,031-310-3865,20251219
온들녘공원,어린이공원,,경기도 시흥시 정왕동 1876-5,37.3610482021,126.731451895,1590.0,,조합놀이대,,,,19940422,경기도 시흥시청,031-310-3865,20251219
풀잎사랑공원,어린이공원,,경기도 시흥시 정왕동 1875-6,37.3585126109,126.7293361535,1638.0,,조합놀이대+그네,,,,19940422,경기도 시흥시청,031-310-3865,20251219
서해공원,어린이공원,,경기도 시흥시 정왕동 1867-4,37.3547626555,126.7247245843,1650.0,,오르는 기구+흔들기구,,,,19940422,경기도 시흥시청,031-310-3864,20251219
샛말공원,근린공원,경기도 시흥시 하중로173번길 23,경기도 시흥시 하중동 848,37.3950617613,126.8048460085,11079.0,체육시설+농구장,조합놀이대+그네 등,,,,19960708,경기도 시흥시청,031-310-3872,20251219
관곡공원,어린이공원,경기도 시흥시 관곡지로40번길 15,경기도 시흥시 하중동 826-2,37.399543756,126.8006355932,1626.0,체육시설,조합놀이대,,,,19960708,경기도 시흥시청,031-310-3872,20251219
연꽃공원,어린이공원,경기도 시흥시 하상로 55,경기도 시흥시 하상동 367,37.3953410212,126.8109779825,2420.0,,,,,,19960708,경기도 시흥시청,031-310-3872,20251219
하상공원,어린이공원,경기도 시흥시 하상로 14-9,경기도 시흥시 하상동 372,37.3918336187,126.8138908215,6460.0,농구장+풋살경기장+체육시설+인라인트랙,,,,,19960708,경기도 시흥시청,031-310-3872,20251219
매꼴공원,어린이공원,,경기도 시흥시 장곡동 798-2,37.3812459302,126.7806415636,7524.0,체육시설,조합놀이대,,,,19960708,경기도 시흥시청,031-310-3872,20251219
진말공원,어린이공원,,경기도 시흥시 장곡동 825-2,37.3783466144,126.787780062,7524.0,체육시설+농구장,조합놀이대,,,,19960708,경기도 시흥시청,031-310-3872,20251219
장곡공원,어린이공원,경기도 시흥시 진말로19번길 13,경기도 시흥시 장곡동 815,37.3790107711,126.7840870342,3284.0,체육시설,조합놀이대+시소 등,,,,19960708,경기도 시흥시청,031-310-3872,20251219
서촌공원,근린공원,경기도 시흥시 정왕대로118번길 33,경기도 시흥시 정왕동 1848-2,37.3489204878,126.7264073063,10064.0,체육시설,,화장실+주차장,,,19940422,경기도 시흥시청,031-310-3865,20251219
정왕동 체육3공원,체육공원,경기도 시흥시 역전로 2,경기도 시흥시 정왕동 2160,37.3387595179,126.7555129621,112983.0,축구장,그네 등,,,,19860623,경기도 시흥시청,031-310-3863,20251219
대야공원,어린이공원,경기도 시흥시 대골길 47-6,경기도 시흥시 대야동 459,37.4468833331,126.7885733377,1587.0,,조합놀이대+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
연합공원,문화공원,,경기도 시흥시 대야동 470-2,37.444683316,126.7888213436,1638.0,,조합놀이대,,,,19880609,경기도 시흥시청,031-310-2694,20251219
뱀내공원,어린이공원,경기도 시흥시 뱀내장터로25번길 7,경기도 시흥시 대야동 500,37.4423618693,126.7876326518,1601.0,,조합놀이대+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
신천공원,어린이공원,,경기도 시흥시 신천동 764,37.4380434411,126.7849343546,1871.0,,조합놀이대+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
신라공원,문화공원,,경기도 시흥시 신천동 742,37.4407697321,126.7817075771,1754.0,,조합놀이대+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
벌터공원,어린이공원,경기도 시흥시 신천1길 21,경기도 시흥시 신천동 753,37.4394762495,126.7799844983,1711.0,,조합놀이대.,,,,19880609,경기도 시흥시청,031-310-2694,20251219
소래공원,어린이공원,,경기도 시흥시 신천동 702,37.4442603955,126.7822301864,1636.0,,조합놀이대+철봉,,,,19880609,경기도 시흥시청,031-310-2694,20251219
대골공원,어린이공원,경기도 시흥시 복지로93번길 11,경기도 시흥시 대야동 444-13,37.44855417,126.7906264225,1552.0,,조합놀이대+시소+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
안골공원,어린이공원,,경기도 시흥시 거모동 1715-1,37.349095249,126.7857779023,1579.0,,조합놀이대+그네 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
한우물공원,어린이공원,,경기도 시흥시 거모동 1735-3,37.3450033712,126.7832592638,1595.0,체육시설,조합놀이대,,,,19901012,경기도 시흥시청,031-310-3871,20251219
석곡공원,어린이공원,경기도 시흥시 한우물로21번길 30,경기도 시흥시 거모동 1739-1,37.3439477049,126.7811460118,1601.0,,조합놀이대,,,,19901012,경기도 시흥시청,031-310-3871,20251219
도일공원,어린이공원,경기도 시흥시 군자로534번길 36,경기도 시흥시 거모동 1775-2,37.3401452639,126.785833419,1500.0,,초합놀이대+그네 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
옥터공원,어린이공원,,경기도 시흥시 정왕동 1998-5,37.3464459118,126.6896460072,1534.0,,조합놀이대,,,,19920811,경기도 시흥시청,031-310-3864,20251219
비둘기공원,근린공원,경기도 시흥시 대은로 52,경기도 시흥시 은행동 551,37.4419325921,126.7942046426,63283.0,테니스장+배드민턴장+체육시설,미끄럼틀+그네 등,주차장+화장실+관리사무소,,,19921106,경기도 시흥시청,031-310-3892,20251219
은행공원,어린이공원,,경기도 시흥시 은행동 538-4,37.4423625714,126.7984637629,1774.0,,,,,,19921111,경기도 시흥시청,031-310-3894,20251219
정왕1공원,어린이공원,,경기도 시흥시 정왕동 2246-1,37.357174612,126.7523445401,1800.0,,,,,,19931230,경기도 시흥시청,031-310-3864,20251219
정왕2공원,어린이공원,,경기도 시흥시 정왕동 2253-4,37.3587594198,126.7549556905,1772.0,,,,,,19931230,경기도 시흥시청,031-310-3864,20251219
정왕4공원,어린이공원,,경기도 시흥시 정왕동 2307-3,37.3536625356,126.7430328011,1697.0,체육시설물+농구대,조합놀이대+그네,,,,19931230,경기도 시흥시청,031-310-3864,20251219
정왕5공원,어린이공원,,경기도 시흥시 정왕동 2322-3,37.3519805688,126.7438544029,1798.0,체율시설물,조합놀이대+그네+시소+회전기구,,,,19931230,경기도 시흥시청,031-310-3864,20251219
정왕6공원,어린이공원,,경기도 시흥시 정왕동 2312-4,37.3526462062,126.7456673233,1700.0,족구장+농구대+체육시설물,조합놀이대,,,,19931230,경기도 시흥시청,031-310-3864,20251219
중앙공원,근린공원,경기도 시흥시 옥구천동로374번길 88,경기도 시흥시 정왕동 1845-1,37.3495559,126.7354106873,37836.0,농구장+풋살경기장+체육시설+인라인트랙,그네+미끄럼틀,주차장+화장실+관리사무소,야외무대,,19940422,경기도 시흥시청,031-310-3865,20251219
희망공원,근린공원,경기도 시흥시 군자천로131번길 64,경기도 시흥시 정왕동 1358,37.3362238647,126.7146506471,126984.0,축구장+테니스장+체육시설,,화장실+주차장+관리사무소,,,19940422,경기도 시흥시청,031-310-3865,20251219
젊음과패기의 공원,근린공원,경기도 시흥시 정왕대로233번길 21-1,경기도 시흥시 정왕동 1800-5,37.347745532,126.7398209872,10647.0,,,,,,19940422,경기도 시흥시청,031-310-3864,20251219
도원공원,어린이공원,경기도 시흥시 신천4길 46,경기도 시흥시 신천동 818-1,37.4383076814,126.7775540397,1606.0,,조합놀이대,,,,19811231,경기도 시흥시청,031-310-3894,20251219
상아공원,문화공원,,경기도 시흥시 신천동 826-1,37.4361142555,126.777619506,1621.0,,조합놀이대,,,,19811231,경기도 시흥시청,031-310-2694,20251219
새말공원,어린이공원,경기도 시흥시 포도원로79번길 11-3,경기도 시흥시 신천동 843-19,37.4367828327,126.7832205629,1587.0,,조합놀이대+그네+시소,,,,19811231,경기도 시흥시청,031-310-2694,20251219
둥지공원,어린이공원,경기도 시흥시 수인로3325번길 29,경기도 시흥시 신천동 857-1,37.4364750859,126.7889770747,1467.0,,조합놀이대,,,,19811231,경기도 시흥시청,031-310-2694,20251219
복음공원,어린이공원,,경기도 시흥시 신천동 944,37.435116105,126.7903870241,1630.0,,조합놀이대+시소+그네,,,,19811231,경기도 시흥시청,031-310-2694,20251219
산호공원,어린이공원,경기도 시흥시 시흥대로1073번길 40,경기도 시흥시 신천동 870-1,37.4325726981,126.789059203,1610.0,,조합놀이대,,,,19811231,경기도 시흥시청,031-310-2694,20251219
신일공원,어린이공원,경기도 시흥시 시흥대로 1065번길 15,경기도 시흥시 신천동 890-1,37.4310242307,126.7908710046,1667.0,,조합놀이대+시소+그네,,,,19811231,경기도 시흥시청,031-310-2694,20251219
포도원공원,어린이공원,,경기도 시흥시 신천동 851-7,37.4353655198,126.7863257235,1654.0,,조합놀이대,,,,19811231,경기도 시흥시청,031-310-2694,20251219
하중어린이공원,어린이공원,,경기도 시흥시 하중동 872-2,37.39119143,126.8072863059,2810.0,,조합놀이대,,,,20180515,경기도 시흥시청,031-310-3872,20251219
생금공원,어린이공원,경기도 시흥시 죽율로 45-32,경기도 시흥시 죽율동 765,37.350593833,126.7582752593,7360.0,,,,,,20100225,경기도 시흥시청,031-310-3864,20251219
죽율공원,어린이공원,,경기도 시흥시 죽율동 755,37.3480537124,126.7621925632,1806.0,,,,,,,경기도 시흥시청,031-310-3864,20251219
꿈누리공원,어린이공원,,경기도 시흥시 정왕동 2759,37.3191120258,126.6976583565,2266.0,,,,,,,경기도 시흥시청,031-310-3865,20251219
꿈자람공원,어린이공원,,경기도 시흥시 정왕동 2788,37.3166466047,126.7031619334,1907.0,,,,,,,경기도 시흥시청,031-310-3865,20251219
오이도공원,문화공원,경기도 시흥시 오이도1길 26-1,경기도 시흥시 정왕동 2022-6,37.3420892043,126.6902043268,18355.0,,조합놀이대,,,,20161230,경기도 시흥시청,031-310-3862,20251219
조남소공원,소공원,,경기도 시흥시 조남동 175-5,,,446.0,,놀이기구,,,,20100617,경기도 시흥시청,031-310-3862,20251219
해담공원,어린이공원,,경기도 시흥시 배곧동 94,37.3792466918,126.7279384541,2724.0,,조합놀이대,,,,,경기도 시흥시청,031-310-3863,20251219
갯마루공원,어린이공원,,경기도 시흥시 배곧동 109,37.3770892423,126.7299637627,1603.0,,조합놀이대,,,,,경기도 시흥시청,031-310-3863,20251219
도란1공원,소공원,,경기도 시흥시 배곧동 196-3,37.369173219,126.7285869461,1863.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
갯골생태공원,근린공원,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,37.3897919258,126.7812507272,1502560.0,,,,,,20080428,경기도 시흥시청,031-310-3869,20251219
오이도선사유적공원,역사공원,,경기도 시흥시 정왕동 914,37.3456602302,126.6952913506,335121.0,,,,,,,경기도 시흥시청,031-310-3869,20251219
도란2,소공원,,경기도 시흥시 배곧동 228-1,37.3674436516,126.7276566213,1863.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
두드림,근린공원,경기도 시흥시 배곧4로 32-5,경기도 시흥시 배곧동 134,37.3766220913,126.7281897946,46561.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
해가든공원,어린이공원,,경기도 시흥시 미산동 350-16,37.4203990979,126.7954754605,1500.0,,조합놀이대+시소 등,,,,20051010,경기도 시흥시청,031-310-3894,20251219
목감공원,근린공원,경기도 시흥시 솔고개길 33,경기도 시흥시 목감동 398,37.3855642212,126.8612897865,15152.0,,,화장실+주차장,,,20071108,경기도 시흥시청,031-310-3872,20251219
꿈자람공원,어린이공원,,경기도 시흥시 목감동 421,37.3838057856,126.8636410401,1522.0,,,,,,20071108,경기도 시흥시청,031-310-3865,20251219
시화 1소공원,소공원,,경기도 시흥시 정왕동 876-131,37.3480479197,126.7482616713,2370.0,체육시설,,,,,20090703,경기도 시흥시청,031-310-3865,20251219
나래농업공원,도시농업공원,,경기도 시흥시 정왕동 2798,37.315483283,126.7043225083,10002.0,,,,,,20091022,경기도 시흥시청,031-310-3865,20251219
파코스,소공원,경기도 시흥시 군자로 499,경기도 시흥시 거모동 1508-8,37.3456214738,126.7851493127,1620.0,,,,,,20100617,경기도 시흥시청,031-310-3871,20251219
연성1지구 소공원,소공원,,경기도 시흥시 하상동 산11-3,37.3904878071,126.8107262905,5310.0,배드민턴장+체육시설,,,,,20100617,경기도 시흥시청,031-310-3871,20251219
배곧생명,근린공원,경기도 시흥시 배곧2로 25,경기도 시흥시 배곧동 187,37.3713951834,126.721467027,232456.0,,조합놀이대+시소 등,주차장+화장실+관리사무소+카페,야외무대,,20111004,경기도 시흥시청,031-310-3863,20251219
숲속향기공원,근린공원,,경기도 시흥시 배곧동 11,37.3828234867,126.7331046805,9999.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
도담공원,어린이공원,경기도 시흥시 목감남서로 92-15,경기도 시흥시 산현동 496,37.3745139018,126.8416521442,1556.0,,,,,,20111004,경기도 시흥시청,031-310-3872,20251219
물빛공원,근린공원,경기도 시흥시 배곧4로 81-80,경기도 시흥시 배곧동 62,37.3750180481,126.7351861825,10358.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
너울길공원,근린공원,,경기도 시흥시 배곧동 259,,,12466.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
옥구가람공원,근린공원,경기도 시흥시 서해안로 347,경기도 시흥시 배곧동 286,37.3568015707,126.7132167841,51734.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
문화공원,문화공원,,경기도 시흥시 정왕동 2134,37.3334449004,126.7458731449,14346.0,,,,,,20111028,경기도 시흥시청,031-310-3862,20251219
힘찬공원,체육공원,경기도 시흥시 엠티브이북로 253,경기도 시흥시 정왕동 2659,37.3180317882,126.7048406952,38552.0,,,,,,20111104,경기도 시흥시청,031-310-3865,20251219
해찬공원,어린이공원,,경기도 시흥시 산현동 519,37.3729161888,126.8477758762,1517.0,,,,,,20111221,경기도 시흥시청,031-310-3872,20251219
수풀안공원,어린이공원,,경기도 시흥시 조남동 722,37.3795231912,126.8634206747,1697.0,,,,,,20111221,경기도 시흥시청,031-310-3872,20251219
다니공원,체육공원,경기도 시흥시 마산로 43,경기도 시흥시 조남동 689,37.3758211424,126.8564366654,12096.0,,,,,,20111221,경기도 시흥시청,031-310-3872,20251219
새미공원,체육공원,,경기도 시흥시 조남동 705,37.377396846,126.8576072547,15911.0,,,,,,20111221,경기도 시흥시청,031-310-3872,20251219
남왕소공원,소공원,,경기도 시흥시 목감동 400,37.3835462483,126.8608555729,882.0,,,,,,20140922,경기도 시흥시청,031-310-3872,20251219
새늘공원,문화공원,경기도 시흥시 동서로 902-20,경기도 시흥시 산현동 495,37.3779461657,126.8461740007,4653.0,,,,,,20140922,경기도 시흥시청,031-310-3872,20251219
정왕동 체육4공원,체육공원,경기도 시흥시 함송로13번길 17,경기도 시흥시 정왕동 1878-1,37.3654012845,126.7311392836,11676.0,,,,,,20141231,경기도 시흥시청,031-310-3864,20251219
따오기문화공원,문화공원,경기도 시흥시 동서로 914,경기도 시흥시 산현동 16-9,37.3783487641,126.845628346,4793.0,,,,,,20200813,경기도 시흥시청,031-310-3873,20251219
오난산전망공원,근린공원,,경기도 시흥시 은행동 622,37.4420610771,126.8064694378,91454.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
검바위하늘공원,근린공원,,경기도 시흥시 은행동 654,37.431431322,126.7996937763,20127.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
은계숲생태공원,근린공원,경기도 시흥시 은계로 300,경기도 시흥시 대야동 674,37.448441279,126.800418046,26975.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
한마음건강공원,근린공원,,경기도 시흥시 대야동 663,37.4540646497,126.7989897728,21257.0,,,,,,,경기도 시흥시청,031-310-2694,20251219
밤비천물길공원,수변공원,,경기도 시흥시 대야동 642-64,,,43074.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
은행천물길공원,수변공원,,경기도 시흥시 은행동 602-30,,,62679.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
매화체육공원1,체육공원,,경기도 시흥시 매화동 154-1,37.4161361383,126.823479637,19084.0,,,,,,20171023,경기도 시흥시청,031-310-3894,20251219
매화체육공원2,체육공원,경기도 시흥시 매화로94번길 27,경기도 시흥시 매화동 306,37.4110146459,126.8123373291,28675.0,,,,,,20171023,경기도 시흥시청,031-310-3894,20251219
꿈마루공원,어린이공원,,경기도 시흥시 배곧동 86,37.3784550889,126.7297081294,1685.0,,조합놀이대,,,,,경기도 시흥시청,031-310-3863,20251219
라온공원,소공원,경기도 시흥시 서울대학로 1,경기도 시흥시 배곧동 305,37.352437628,126.7049295612,9174.0,,,,,,,경기도 시흥시청,031-310-3863,20251219
산현공원,근린공원,경기도 시흥시 목감남서로 15,경기도 시흥시 조남동 670,37.3754499427,126.8511878651,89676.0,,,화장실+주차장+관리사무소,,,20071108,경기도 시흥시청,031-310-3872,20251219
신천근린공원,근린공원,경기도 시흥시 포도원로109번길 9,경기도 시흥시 신천동 57,37.4357510051,126.785491119,24860.0,체육시설,조합놀이대,,,,20100318,경기도 시흥시청,031-310-3894,20251219
태평공원,근린공원,경기도 시흥시 상직길 16,경기도 시흥시 하상동 343-36,37.3889124508,126.8122116641,10404.0,인라인트랙,,,,,20100730,경기도 시흥시청,031-310-3872,20251219
차오름,근린공원,,경기도 시흥시 배곧동 149,37.3736832861,126.7316164718,25576.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
한울(1),수변공원,경기도 시흥시 해송십이로 289,경기도 시흥시 배곧동 42,37.3709170273,126.7173045579,213143.0,,조합놀이대,,,,20111004,경기도 시흥시청,031-310-3863,20251219
을미공원,어린이공원,,경기도 시흥시 조남동 681,37.3714811632,126.8548996643,1557.0,,,,,,20111221,경기도 시흥시청,031-310-3872,20251219
