인허가일자,사업장명,통합영업상태명,영업상태명,폐업일자,소재지시설전화번호,소재지면적,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,건물지상층수,건물지하층수,사용시작지상층수,사용끝지상층수,사용시작지하층수,사용끝지하층수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
20260331,DMA디엠에이,영업/정상,영업,,,246.17,"경기도 시흥시 도두머리길 11, 가동 (도창동)",경기도 시흥시 도창동 394-4,14942,37.4099990242,126.8143918632,일반세탁업,183499.3270080770,434216.7768907930,일반세탁업,0,0,,,,,,,,,2,0,0,4,,N
20130213,Dry Day,폐업,폐업,20210729,031-313-9738,41.76,"경기도 시흥시 신천3길 67 (신천동, 1층)",경기도 시흥시 신천동 452-5 1층,14947,37.4385939893,126.7786816873,일반세탁업,180343.1318291710,437406.7332716560,일반세탁업,0,0,,,,,,,,,2,,,1,,N
19980420,IMF세탁박사,폐업,폐업,20000823,,1.00,경기도 시흥시 대골안길 69,경기도 시흥시 대야동 492-30,14909,37.4436574320,126.7872360065,일반세탁업,181103.4610330850,437966.3070070380,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20061023,NS 빨래터,폐업,폐업,20191031,031-431-0172,61.48,경기도 시흥시 오이도중앙로6번길 5-14 (정왕동),경기도 시흥시 정왕동 1975-7,15015,37.3468167004,126.6895213064,일반세탁업,172419.5421643050,427243.2399965350,일반세탁업,,,1,1,,,,,,,,,,,,N
19980525,OK셀프크리닝,폐업,폐업,20010915,,1.00,경기도 시흥시 신천4길 21,경기도 시흥시 신천동 388-15,14948,37.4380795715,126.7800543997,일반세탁업,180465.0289010990,437348.9862834890,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20020306,가나안 빨래방,폐업,폐업,20180202,031-433-0292,27.95,경기도 시흥시 군서로10번길 36 (정왕동),경기도 시흥시 정왕동 1173,15052,37.3464587543,126.7528966636,일반세탁업,178035.2377057850,427187.0537473660,일반세탁업,,,,,,,,,,,,,,,,N
20141224,가나안세탁소,폐업,폐업,20171018,,27.50,"경기도 시흥시 정왕천로375번길 4-8, 103호 (정왕동)",경기도 시흥시 정왕동 1566-2 103호,15058,37.3423651000,126.7498213082,일반세탁업,177759.0030621240,426734.7281640720,일반세탁업,,,,,,,,,,,,,,,,N
20010516,거모세탁소,폐업,폐업,20020422,031-493-7318,1.00,,경기도 시흥시 군자동 1474-1 아주5차(아)상가102호,,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
20030428,거모세탁소,폐업,폐업,20141016,031-493-7318,21.83,경기도 시흥시 군자로504번길 25 (거모동),경기도 시흥시 거모동 1740-2 아주@5차상가 102호,15071,37.3459008132,126.7836450822,일반세탁업,180644.8000000000,426955.2200000000,일반세탁업,,,,,,,,,,,,,,,,N
20010516,건영2차세탁소,폐업,폐업,20010716,031-498-8833,1.00,,경기도 시흥시 정왕동 0 58-5-7건영2차(아)상가지하2호,15119,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20010716,건영2차세탁소,폐업,폐업,20150701,031-498-8833,29.61,경기도 시흥시 옥구천동로 399 (정왕동),경기도 시흥시 정왕동 1875-5 104호,15028,37.3582717082,126.7297892409,일반세탁업,175979.2534507550,428457.4685490090,일반세탁업,,,,,,,,,,,,,,,,N
19971017,건영세탁소,영업/정상,영업,,031-498-7588,23.76,경기도 시흥시 중심상가로 285 (정왕동),경기도 시흥시 정왕동 1785-1 건영(아)상가 109호,15063,37.3397339618,126.7457043648,일반세탁업,177378.5113395440,426459.1219966430,일반세탁업,,,,,,,,,,,,,,,,N
20231023,경기도노동자작업복시흥시블루밍세탁소,영업/정상,영업,,031-313-2733,109.76,"경기도 시흥시 봉우재로209번길 20, 1층 2층 (정왕동)",경기도 시흥시 정왕동 2255-8 (주)재원정밀,15047,37.3581781301,126.7545759227,일반세탁업,178187.1717139810,428486.4245711780,일반세탁업,0,0,,,,,,,,,6,0,0,0,,N
20090616,경남고급세탁,폐업,폐업,20210114,031-313-6646,39.93,경기도 시흥시 신천로44번길 12 (신천동),경기도 시흥시 신천동 866-1,14950,37.4356418990,126.7898214208,일반세탁업,181328.0147037960,437075.7841051520,일반세탁업,0,0,0,0,0,0,,,,,0,,,1,,N
19961127,경인가죽크리닝,폐업,폐업,20000302,031-692-5714,1.00,경기도 시흥시 시흥대로 1146,경기도 시흥시 신천동 83-38,14950,37.4378652222,126.7908177619,일반세탁업,181418.9796982910,437321.7421319840,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20000302,경인가죽크리닝,폐업,폐업,20040206,031-319-5714,1.00,경기도 시흥시 군서로50번길 4,경기도 시흥시 정왕동 1206-10,15052,37.3463677418,126.7470718540,일반세탁업,177518.0116106820,427177.8396829400,일반세탁업,,,,,,,,,,,,,,,,N
19921028,경인세탁소,영업/정상,영업,,031-692-1588,17.00,경기도 시흥시 복지로 105-20 (대야동),경기도 시흥시 대야동 343-10,14906,37.4490474518,126.7917184058,일반세탁업,181500.0450795550,438563.8620014250,일반세탁업,,,,,,,,,,,,,,,,N
19951226,경일사,폐업,폐업,20000308,031-693-4481,1.00,,경기도 시흥시 신천동 545-51,,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20010516,계룡2차세탁소,영업/정상,영업,,031-432-2870,22.68,경기도 시흥시 정왕대로28번길 4 (정왕동),경기도 시흥시 정왕동 1942-1 계룡2차(아)상가 105호,15041,37.3561347058,126.7200438583,일반세탁업,175013.5652110020,428301.2106684440,일반세탁업,,,,,,,,,,,,,,,,N
20150311,계룡세탁,폐업,폐업,20190215,031-499-7377,26.00,"경기도 시흥시 중심상가로 127, 상가동 106호 (정왕동, 계룡1차아파트)",경기도 시흥시 정왕동 1846 계룡1차아파트 상가동 106호,15037,37.3479762274,126.7308879792,일반세탁업,176137.5403555280,427419.8007419280,일반세탁업,0,0,,,,,,,,,2,0,0,1,,N
19980214,계룡세탁소,폐업,폐업,20140626,031-499-7377,22.68,경기도 시흥시 중심상가로 125 (정왕동),경기도 시흥시 정왕동 1846 계룡1차(아)상가1층 1호,15119,,,일반세탁업,176137.5403555280,427419.8007419280,일반세탁업,,,,,,,,,,,,,,,,N
19980718,계룡세탁소,폐업,폐업,20010516,031-432-2870,1.00,,경기도 시흥시 정왕동 1846 계룡1차상가 지1호,15119,,,일반세탁업,176137.5403555280,427419.8007419280,일반세탁업,,,,,,,,,,,,,,,,N
20190604,계룡세탁소,영업/정상,영업,,031-499-7377,20.80,"경기도 시흥시 중심상가로 127, 상가동 1층 106호 (정왕동)",경기도 시흥시 정왕동 1846 계룡리슈빌아파트,15037,37.3479762274,126.7308879792,일반세탁업,176137.5403555280,427419.8007419280,일반세탁업,0,0,,,,,,,,,1,0,0,1,,N
19970813,고려세탁소,폐업,폐업,20010915,031-405-8506,1.00,경기도 시흥시 논곡길 11,경기도 시흥시 논곡동 250-1,14982,37.3939037624,126.8549941981,일반세탁업,187086.2694538580,432431.5968935140,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20100113,고은세탁소,폐업,폐업,20121203,031-432-0084,58.40,"경기도 시흥시 오이도1길 6, 1층 (정왕동)",경기도 시흥시 정왕동 2015-3,15015,37.3439236333,126.6908845905,일반세탁업,172539.6536489430,426923.3551088650,일반세탁업,,,,,,,,,,,,,,,,N
20100914,공단크린,폐업,폐업,20130926,031-495-9556,170.10,"경기도 시흥시 금화로 630-23 (금이동,1층)",경기도 시흥시 금이동 328-20 1층,14980,37.3984633667,126.8368331116,일반세탁업,185480.2533200820,432942.6580783190,일반세탁업,,,,,,,,,,,,,,,,N
19971125,광림그린컴퓨터세탁,폐업,폐업,20010915,031-493-7077,1.00,,경기도 시흥시 거모동 1960-6 광림상가5호,,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20071030,구두빨래방,폐업,폐업,20100920,031-488-9982,32.00,경기도 시흥시 서촌상가2길 10,경기도 시흥시 정왕동 1728-1 205호,15036,37.3472726193,126.7335822388,운동화전문세탁업,176327.6030365570,427289.3139104930,운동화전문세탁업,,,,,,,,,,,,,,,,N
19921019,군자세탁소,폐업,폐업,20041215,031-499-0170,1.00,경기도 시흥시 정왕천로385번길 29,경기도 시흥시 정왕동 1558-16,15058,37.3441438708,126.7474666231,일반세탁업,177552.0365467280,426930.9011031770,일반세탁업,,,,,,,,,,,,,,,,N
20071008,굿모닝세탁소,영업/정상,영업,,031-433-1799,45.30,경기도 시흥시 큰솔로7번안길 13-12 (정왕동),경기도 시흥시 정왕동 1412-13,15059,37.3406036767,126.7506516575,일반세탁업,177834.0316734600,426538.1347352440,일반세탁업,,,,,,,,,,,,,,,,N
20030807,귀족세탁소,폐업,폐업,20140922,031-315-8525,24.48,경기도 시흥시 매화2로 34 (매화동),경기도 시흥시 매화동 368-6,14940,37.4172360855,126.8111390656,일반세탁업,183201.4379923990,435025.7365360040,일반세탁업,,,,,,,,,,,,,,,,N
20071019,그린벨리유통,폐업,폐업,20110905,031-498-2474,244.59,,경기도 시흥시 거모동 823-1,15067,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
20020722,그린세탁,영업/정상,영업,,031-317-4854,25.20,경기도 시흥시 진말로 46 (장곡동),경기도 시흥시 장곡동 829 진말삼환(아)상가 202호,15002,37.3814563165,126.7875427754,일반세탁업,181074.6684147520,431127.9140574400,일반세탁업,,,,,,,,,,,,,,,,N
20071231,그린세탁,영업/정상,영업,,,221.80,경기도 시흥시 두문로 9 (신천동),경기도 시흥시 신천동 141-7,14953,37.4298082783,126.7910181074,빨래방업,181433.9444635150,436429.7693786260,빨래방업,0,0,0,0,0,0,,,,,2,,,0,,N
20201113,그린세탁마을,영업/정상,영업,,031-498-7080,48.96,"경기도 시흥시 정왕천로375번길 5, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1567-5,15058,37.3419899030,126.7489331715,일반세탁업,177680.6718135580,426691.8937191470,일반세탁업,0,0,,,,,,,,,1,0,0,2,,N
20150112,그린세탁마을,폐업,폐업,20180309,031-498-7080,34.00,"경기도 시흥시 정왕천로375번길 5, 101호 (정왕동)",경기도 시흥시 정왕동 1567-5 101호,15058,37.3419899030,126.7489331715,일반세탁업,177680.6718135580,426691.8937191470,일반세탁업,0,0,0,0,0,0,,,,,2,,,1,,N
20080211,그린세탁소,폐업,폐업,20111223,031-497-2101,36.90,경기도 시흥시 중심상가로 104,경기도 시흥시 정왕동 1848-4 진로(아)상가 102호,15038,37.3490411068,126.7283141670,일반세탁업,175843.7264000790,427386.2997720680,일반세탁업,,,,,,,,,,,,,,,,N
20010516,그린세탁소,영업/정상,영업,,031-493-7077,36.00,"경기도 시흥시 군자로534번안길 12-1, 1층 101호 (거모동, 한우리빌)",경기도 시흥시 거모동 1766-6 한우리빌,15069,37.3424829213,126.7878434062,일반세탁업,181129.6492120010,426738.0213273490,일반세탁업,,,,,,,,,,,,,,,,N
20040324,그린세탁전문점,영업/정상,영업,,031-488-8512,55.68,경기도 시흥시 오이도5길 11-1 (정왕동),경기도 시흥시 정왕동 2026-1,15015,37.3432612460,126.6889273021,일반세탁업,172364.4728933430,426849.4501213030,일반세탁업,,,,,,,,,,,,,,,,N
19991218,그린컴퓨터세탁소,폐업,폐업,20250116,031-311-2973,20.10,경기도 시흥시 신천로 80 (신천동),경기도 시흥시 신천동 771-4,14950,37.4374860203,126.7862206771,일반세탁업,181011.1168201590,437282.1571954050,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20060302,극동세탁,폐업,폐업,20090417,031-311-5070,17.85,경기도 시흥시 소래산길 6,경기도 시흥시 대야동 332-13 극동@상가 103호,14902,37.4482930118,126.7861745346,일반세탁업,181060.0762094580,438557.9378552000,일반세탁업,,,,,,,,,,,,,,,,N
20090417,극동세탁소,영업/정상,영업,,031-311-5070,23.10,경기도 시흥시 소래산길 6 (대야동),경기도 시흥시 대야동 332-13 극동(아)상가 103호,14902,37.4482930118,126.7861745346,일반세탁업,181060.0762094580,438557.9378552000,일반세탁업,0,0,,,,,,,,,1,,,1,,N
19900515,극동세탁소,폐업,폐업,20171207,031-692-7510,23.10,"경기도 시흥시 대골길 66-1, 1층 (대야동)",경기도 시흥시 대야동 476-3 1층,14905,37.4458356579,126.7867292227,일반세탁업,181058.6707652680,438208.5193747270,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
19970327,금강세탁소,영업/정상,영업,,031-691-3520,37.70,경기도 시흥시 시흥대로1073번길 31 (신천동),경기도 시흥시 신천동 874-2,14951,37.4320695971,126.7893352340,일반세탁업,181284.5036330930,436678.7960816880,일반세탁업,,,,,,,,,,,,,,,,N
20091216,금강세탁소,폐업,폐업,20130719,031-315-8758,37.70,경기도 시흥시 매화2로40번길 2-1 (매화동),경기도 시흥시 매화동 358-5,14940,37.4170521336,126.8105079067,일반세탁업,183159.3964389050,435004.5273139860,일반세탁업,,,,,,,,,,,,,,,,N
20091023,금강세탁소,폐업,폐업,20151112,031-413-3004,25.40,경기도 시흥시 정왕대로266번길 4 (정왕동),경기도 시흥시 정왕동 1789 금강a 105호,15065,37.3431587747,126.7414139095,일반세탁업,176869.1662682370,426850.4860574300,일반세탁업,0,0,,,,,,,,,2,,,1,,N
20070507,금강세탁소,폐업,폐업,20090928,031-315-8758,19.20,,경기도 시흥시 매화동 358-5,14940,37.4169808852,126.8106554699,일반세탁업,183159.3964389050,435004.5273139860,일반세탁업,,,,,,,,,,,,,,,,N
19961004,금강세탁소,폐업,폐업,20080722,031-431-1643,1.00,경기도 시흥시 정왕대로266번길 4,경기도 시흥시 정왕동 1789 금강(아)상가 201,15065,37.3431587747,126.7414139095,일반세탁업,176869.1662682370,426850.4860574300,일반세탁업,,,,,,,,,,,,,,,,N
19940905,금강세탁소,폐업,폐업,20070105,031-315-8758,1.00,,경기도 시흥시 매화동 358-5,14940,37.4169808852,126.8106554699,일반세탁업,183159.3964389050,435004.5273139860,일반세탁업,,,,,,,,,,,,,,,,N
20010616,금호세탁소,영업/정상,영업,,031-317-0188,29.70,경기도 시흥시 하상로 36 (하상동),경기도 시흥시 하상동 369 금호상가 102호,14977,37.3931112614,126.8134950717,일반세탁업,183401.5546694900,432441.6784830380,일반세탁업,,,,,,,,,,,,,,,,N
20171103,김군세탁소,영업/정상,영업,,031-403-2262,20.10,"경기도 시흥시 논곡길 10, 1층 (논곡동)",경기도 시흥시 논곡동 246-2,14982,37.3941037174,126.8552975134,일반세탁업,187116.7148083150,432456.6307238440,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,1,,N
20010516,까치세탁소,폐업,폐업,20150819,031-433-4311,16.80,"경기도 시흥시 정왕대로143번길 34 (정왕동,주공4단지(아)상가101)",경기도 시흥시 정왕동 1843-1 주공4단지(아)상가101,15033,37.3525473966,126.7338560545,일반세탁업,176350.3188611580,427866.1612375750,일반세탁업,,,,,,,,,,,,,,,,N
20080822,깔끄미,폐업,폐업,20250818,031-434-5744,44.62,"경기도 시흥시 중심상가로 250, 주공6단지아파트(상가동) 102호 (정왕동)",경기도 시흥시 정왕동 1787-5 주공6단지아파트(상가동),15064,37.3409856002,126.7412777190,일반세탁업,177003.7413254810,426581.8496409540,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20080929,깔끄미 세탁소,폐업,폐업,20110719,031-319-3389,44.28,경기도 시흥시 군서로24번길 7,경기도 시흥시 정왕동 1201-4,15052,37.3452834209,126.7494874460,일반세탁업,177731.7545960930,427057.0408583390,일반세탁업,,,,,,,,,,,,,,,,N
20041007,깔끄미세탁,폐업,폐업,20051219,031-434-5744,41.85,경기도 시흥시 중심상가로 250,경기도 시흥시 정왕동 1787-5,15064,37.3409856002,126.7412777190,일반세탁업,177003.7413254810,426581.8496409540,일반세탁업,,,,,,,,,,,,,,,,N
19911031,깔끄미세탁소,폐업,폐업,19980720,,1.00,경기도 시흥시 신천로100번길 17-1,경기도 시흥시 신천동 776-8,14950,37.4385807420,126.7883919523,일반세탁업,181203.1431481690,437403.5563364100,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20030528,깔끄미세탁소,폐업,폐업,20041007,031-434-5744,.00,경기도 시흥시 중심상가로 250,경기도 시흥시 정왕동 1787-5 주공6단지상가 102호,15064,37.3409856002,126.7412777190,일반세탁업,177003.7413254810,426581.8496409540,일반세탁업,,,,,,,,,,,,,,,,N
20041118,나래세탁소,폐업,폐업,20091111,031-433-4337,34.30,경기도 시흥시 정왕천로369번길 52,경기도 시흥시 정왕동 1580-9,15057,37.3445058042,126.7448550542,일반세탁업,177321.0137168760,426971.7658433650,일반세탁업,,,,,,,,,,,,,,,,N
20020628,나래세탁소,폐업,폐업,20041004,031-433-4337,.00,경기도 시흥시 정왕천로369번길 52,경기도 시흥시 정왕동 1580-9,15057,37.3445058042,126.7448550542,일반세탁업,177321.0137168760,426971.7658433650,일반세탁업,,,,,,,,,,,,,,,,N
20180821,나오미세탁,영업/정상,영업,,031-433-3822,25.90,"경기도 시흥시 서촌상가3길 15-6, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1727-3 해남프라자,15036,37.3473228929,126.7329946337,일반세탁업,176274.0969640840,427289.1822163370,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,2,,N
20020927,나의 아름다운 세탁소,폐업,폐업,20110920,031-499-6866,21.00,경기도 시흥시 정왕천로408번길 26,경기도 시흥시 정왕동 1519,15051,37.3428781516,126.7539820732,일반세탁업,178131.1270937960,426789.3397698850,일반세탁업,,,,,,,,,,,,,,,,N
19890309,남도세탁소,폐업,폐업,19911217,,1.00,,경기도 시흥시 신천동 산 19-42,14903,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20040524,남매세탁소,폐업,폐업,20140513,031-318-9490,27.00,경기도 시흥시 인선길 63 (장곡동),경기도 시흥시 장곡동 806 숲속마을(아)상가 206호,15002,37.3772978004,126.7810537220,일반세탁업,180527.9710010040,430533.6076143360,일반세탁업,,,,,,,,,,,,,,,,N
20230922,네이처세탁,영업/정상,영업,,,42.27,"경기도 시흥시 은계중앙로 140, 네이처포레 205호 (은행동)",경기도 시흥시 은행동 632 네이처포레,14923,37.4385235567,126.8075979946,일반세탁업,182811.2209792710,437403.5576088620,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,,N
20170113,네이처세탁소,폐업,폐업,20230922,031-312-1114,39.95,"경기도 시흥시 은계중앙로 140, 상가동 2층 205호 (은행동, 네이처포레)",경기도 시흥시 은행동 3-1 네이처포레,14923,37.4385235567,126.8075979946,일반세탁업,182811.2209792710,437403.5576088620,일반세탁업,0,0,2,2,,,,,,임대,2,0,0,0,,N
20090918,논곡세탁,폐업,폐업,20171101,031-414-2651,20.67,"경기도 시흥시 논곡길 10 (논곡동,1층)",경기도 시흥시 논곡동 246-2 1층,14982,37.3941037174,126.8552975134,일반세탁업,187116.7148083150,432456.6307238440,일반세탁업,,,,,,,,,,,,,,,,N
20120618,늘새신처럼,폐업,폐업,20161221,,21.07,"경기도 시흥시 역전로 313, 1층 (정왕동)",경기도 시흥시 정왕동 2305-13,15025,37.3529870178,126.7377244407,운동화전문세탁업,176693.4712789510,427913.3883355340,운동화전문세탁업,0,0,0,0,0,0,,,,,1,,,0,,N
19950925,늘푸른벽산세탁소,영업/정상,영업,,031-312-1836,16.90,경기도 시흥시 은행로 233 (대야동),경기도 시흥시 대야동 570-2 늘푸른벽산(아)상가 203호,14914,37.4456778729,126.7949834253,일반세탁업,181790.3527900900,438227.6314820630,일반세탁업,,,,,,,,,,,,,,,,N
19970709,다모아크린메가세탁,영업/정상,영업,,031-319-4177,39.65,"경기도 시흥시 협력로 281, B동 129호 (정왕동, 메가폴리스)",경기도 시흥시 정왕동 2164-2 메가폴리스 B동 129호,15080,37.3518659383,126.7151538858,일반세탁업,174676.9329014930,427814.3396908030,일반세탁업,,,,,,,,,,,,,,,,N
20031007,다비다세탁소,폐업,폐업,20130227,031-497-3184,24.48,경기도 시흥시 정왕천로369번길 59-3,경기도 시흥시 정왕동 1592-13 1층,15057,37.3445082551,126.7438276527,일반세탁업,177230.5368337610,426972.0765805260,일반세탁업,,,,,,,,,,,,,,,,N
20060914,다운세탁소,폐업,폐업,20170202,031-433-5686,27.88,경기도 시흥시 군서로 48-1 (정왕동),경기도 시흥시 정왕동 1206-9 1층,15052,37.3462861207,126.7469936381,빨래방업,177510.8939390200,427168.3360859080,빨래방업,,,,,,,,,,,,,,,,N
19991103,대동세탁소,폐업,폐업,20201210,031-317-3754,46.20,경기도 시흥시 시청로 59 (장현동),경기도 시흥시 장현동 540 대동(아)상가 204호,14998,37.3799008690,126.8002758789,일반세탁업,182156.6562839550,430870.8207363210,일반세탁업,,,,,,,,,,,,,,,,N
20021002,대동세탁소,영업/정상,영업,,031-491-1117,22.96,경기도 시흥시 도일로123번길 3 (거모동),경기도 시흥시 거모동 1553-1,15070,37.3414387327,126.7835971538,일반세탁업,180757.2838244880,426627.2406847890,일반세탁업,,,,,,,,,,,,,,,,N
19920828,대동세탁소,폐업,폐업,20020422,,1.00,,경기도 시흥시 거모동 1554-8 1층104호,,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20020527,대림1차세탁소,폐업,폐업,20050727,031-432-3580,.00,,경기도 시흥시 정왕동 1863 대림1차(아)상가 108호,15119,,,일반세탁업,175222.9717146430,428132.0362461430,일반세탁업,,,,,,,,,,,,,,,,N
20020923,대림2차세탁소,폐업,폐업,20211007,031-433-2044,16.20,경기도 시흥시 중심상가로 72 (정왕동),경기도 시흥시 정왕동 1851 대림2차@상가 106호,15039,37.3491614776,126.7260435363,일반세탁업,175589.4870432930,427583.2240917980,일반세탁업,,,,,,,,,,,,,,,,N
20010516,대림2차세탁소,폐업,폐업,20010910,031-433-2044,1.00,,경기도 시흥시 정왕동 0 대림2차(아)상가202,15119,,,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20010910,대림4차세탁소,영업/정상,영업,,031-431-4445,16.20,경기도 시흥시 함송로29번길 51 (정왕동),경기도 시흥시 정왕동 1878-8 106호,15017,37.3650105942,126.7362250843,일반세탁업,176609.5940575670,429321.1400185380,일반세탁업,,,,,,,,,,,,,,,,N
20041014,대림세탁,영업/정상,영업,,031-432-3580,26.60,경기도 시흥시 중심상가로 13 (정왕동),경기도 시흥시 정왕동 1863 대림1차@상가 108호,15041,37.3542723533,126.7205712374,일반세탁업,175222.9717146430,428132.0362461430,일반세탁업,,,,,,,,,,,,,,,,N
19921120,대명세탁소,영업/정상,영업,,031-313-7383,18.50,경기도 시흥시 매화2로 24 (매화동),경기도 시흥시 매화동 220-16,14940,37.4170983887,126.8122591050,일반세탁업,183310.1102460600,435014.4050633060,일반세탁업,,,,,,,,,,,,,,,,N
19900425,대명세탁소,폐업,폐업,19920811,,1.00,경기도 시흥시 매화2로 29,경기도 시흥시 매화동 222-1,14940,37.4171033239,126.8115584109,일반세탁업,183248.2441464050,435014.5069757130,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20190621,대성산업,폐업,폐업,20210603,031-319-7986,143.00,"경기도 시흥시 봉우순환로 77, 1층 (정왕동)",경기도 시흥시 정왕동 2234-7 우리종합철강,15047,37.3584131797,126.7504068704,빨래방업,177818.5277328310,428516.6017784140,빨래방업,0,0,0,0,0,0,,,,,2,0,0,2,,N
20021108,대성세탁,영업/정상,영업,,031-432-9281,16.20,경기도 시흥시 중심상가로 13 (정왕동),경기도 시흥시 정왕동 1863 대림(아)상가 108호,15041,37.3542723533,126.7205712374,일반세탁업,175222.9717146430,428132.0362461430,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
19890508,대성세탁소,폐업,폐업,20170111,031-692-4532,27.60,경기도 시흥시 호현로 123 (대야동),경기도 시흥시 대야동 313-3,14902,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
20060915,대성세탁소,폐업,폐업,20110914,031-505-8345,50.05,경기도 시흥시 군서로46번길 18,경기도 시흥시 정왕동 1186-14 1층,15052,37.3471064913,126.7484305969,일반세탁업,177639.8466004970,427260.6651805210,일반세탁업,,,,,,,,,,,2,,,,,N
