bizplc_nm,licensg_ymd,bsn_state_nm,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,dat_updt_hr,bizcond_div_nm_info,xcrd_vl,ycrd_vl
아쿠아플러스(주) 시화점,20120830,폐업,032-426-3578,0,,경기도 시흥시 희망공원로 *** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:02,,175571.408649221,427063.061719326
롯데마트 시화점,20120827,폐업,,,,경기도 시흥시 마유로***번길 ** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:01,,176013.580530478,426137.322631345
뽀독,20141226,폐업,031-319-0171,0,15051,경기도 시흥시 정왕천로 *** (정왕동),경기도 시흥시 정왕동 ****-**,15119,2026-03-10 21:36:09,,178136.876829744,427148.999521957
딜라잇독앤캣 강아지고양이 분양 시흥,20181116,폐업,,0,14905,"경기도 시흥시 복지로**번길 *, ***호 (대야동)",경기도 시흥시 대야동 ***-**,,2026-03-17 21:32:50,,181279.995,438154.66
주니독 강아지전문켄넬 푸들말티즈말티푸분양,20210705,폐업,,0,14905,"경기도 시흥시 복지로**번길 *, *층 (대야동)",경기도 시흥시 대야동 ***-**,,2026-03-10 21:36:19,,181371.31705888,438196.403679243
러블리펫,20211029,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 ***호 (배곧동)",경기도 시흥시 배곧동 *** 서영베니스스퀘어 ***호,,2026-03-10 21:36:20,,176072.60072494,429602.843996773
D&amp;C forest,20240215,폐업,,0,14995,"경기도 시흥시 승지로 **, 시흥능곡휴먼시아아파트 상가동 *층 ***호 (능곡동)",경기도 시흥시 능곡동 *** 시흥능곡휴먼시아아파트,,2026-03-10 21:36:27,,183110.02087544,429455.927157366
초이펫,20241023,폐업,,0,15010,"경기도 시흥시 배곧*로 **, 배곧타운* ***호 (배곧동)",경기도 시흥시 배곧동 *** 배곧타운*,,2026-03-10 21:36:30,,175732.499134758,430659.533763531
핫도그,20120112,폐업,,0,,경기도 시흥시 큰솔로 ** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:01,,177963.424698185,426575.939952421
강아지친구들,20130423,폐업,,0,14915,"경기도 시흥시 대은로***번길 *, ***호 (대야동, 동신아파트 상가)",경기도 시흥시 대야동 *** 동신아파트 상가 ***호호,,2026-03-10 21:36:04,,182151.434407409,438273.82077931
시화종합사료,20110406,폐업,031-433-0774,0,15049,"경기도 시흥시 오동마을로*번길 *, C.M건축자재 백화점 ***호 (정왕동)",경기도 시흥시 정왕동 ****-* C.M건축자재 백화점,15119,2026-03-10 21:35:58,,177065.1119357,427903.539989077
마루펫,20170627,폐업,031-311-7582,0,14909,"경기도 시흥시 복지로 ** (대야동, 박한준동물병원)",경기도 시흥시 대야동 ***-*,,2026-03-10 21:36:13,,181266.089586862,437987.885439946
정다운동물병원,20171129,폐업,031-498-7582,0,15036,"경기도 시흥시 중심상가로 ***, ***,***호 (정왕동)",경기도 시흥시 정왕동 ****-* 한일프라자,15119,2026-03-10 21:36:14,,176178.31945847,427223.954898429
패리스하우스 배곧점,20180822,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 서영베니스스퀘어,,2026-03-10 21:36:15,,176072.60072494,429602.843996773
살롱wahl,20200513,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **, ***동 A-***호 (배곧동, 시흥배곧 C*블럭 호반 써밋플레이스 아파트)",경기도 시흥시 배곧동 *** 시흥배곧 C*블럭 호반 써밋플레이스 아파트 ***동 A-***호,,2026-03-10 21:36:17,,175567.50349741,429607.563940626
도그스타시흥,20160329,폐업,,0,15051,"경기도 시흥시 큰솔로**번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 **** ***호,15119,2026-03-10 21:36:11,,178089.082900961,426688.408587376
탑클래스펫 Jardin,20221007,폐업,,0,14994,"경기도 시흥시 승지로**번길 *-*, ***호 (능곡동)",경기도 시흥시 능곡동 ***,,2026-03-10 21:36:24,,183083.841094937,429880.43516239
어반네이처,20240503,폐업,,0,15119,"경기도 시흥시 거북섬북로 **, 아쿠아펫랜드 C동 *층 ***호 (정왕동)",경기도 시흥시 정왕동 **** 아쿠아펫랜드,15119,2026-03-10 21:36:29,,171450.600413716,425422.79435828
참누리동물병원,20110705,폐업,,,,경기도 시흥시 대은로 ** (대야동),경기도 시흥시 대야동 ***-*,,2026-03-10 21:36:00,,181992.191375186,438080.194127793
펫츠나라,20110810,폐업,031-314-0706,,,경기도 시흥시 수인로 ****-* (신천동),경기도 시흥시 신천동 ***-*,,2026-03-10 21:36:00,,180804.91720934,437704.197630953
에덴 급수원,20120906,폐업,,,,경기도 시흥시 과림저수지길 ** (과림동),경기도 시흥시 과림동 ***-*,,2026-03-10 21:36:03,,184615.940707207,439113.025374436
오픈주,20121120,폐업,,,,,경기도 시흥시 산현동 ***-*,,2026-03-10 21:36:03,,185572.404323873,429374.706423378
열린 cat.dog,20121203,폐업,,0,,경기도 시흥시 정왕시장길 **-* (정왕동),경기도 시흥시 정왕동 ****-**,15119,2026-03-10 21:36:03,,177503.355,426868.6355
큐티펫애견샆,20130530,폐업,031-318-4789,0,14995,"경기도 시흥시 장현능곡로 ***, ***호 (능곡동, 능곡프라자)",경기도 시흥시 능곡동 *** 능곡프라자 ***호,,2026-03-10 21:36:05,,183158.887773636,429720.68833487
프라임캣,20130717,폐업,,0,14966,"경기도 시흥시 월곶중앙로**번길 **, *층 (월곶동)",경기도 시흥시 월곶동 ***-*,,2026-03-10 21:36:05,,177168.319733325,432025.543845594
Dog을품은언니,20130823,폐업,,0,15053,"경기도 시흥시 봉우재로**번길 **, *층 (정왕동)",경기도 시흥시 정왕동 ****-* (*층),15119,2026-03-10 21:36:05,,177392.199029808,427476.613447603
애견사랑,20100204,폐업,031-313-5021,,,경기도 시흥시 호현로 ** (대야동),경기도 시흥시 대야동 ***-**,,2026-03-10 21:35:55,,181183.28,438430.885
머피애견,20100331,폐업,031-497-9464,,,"경기도 시흥시 군서로**번길 *-* (정왕동,(*층))",경기도 시흥시 정왕동 ****-** (*층),15119,2026-03-10 21:35:55,,177716.54,427068.891
이지동물병원,20101228,폐업,031-314-7975,,,"경기도 시흥시 비둘기공원로 **, ***호 (대야동)",경기도 시흥시 대야동 ***-* ***호,,2026-03-10 21:35:57,,181546.832263878,438000.766205583
핫도그,20110307,폐업,,,,경기도 시흥시 큰솔로 ** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:35:57,,177963.424698185,426575.939952421
펫피니스,20170728,폐업,,0,14912,"경기도 시흥시 비둘기공원로 **, ***호 (대야동)",경기도 시흥시 대야동 ***-* ***호,,2026-03-10 21:36:13,,181414.40198377,437998.763759701
보드레도그,20170804,폐업,031-411-3123,0,14986,"경기도 시흥시 목감둘레로 ***, ***호 (조남동, 메트로타워*)",경기도 시흥시 조남동 ***-* ***호,,2026-03-10 21:36:13,,187709.868426998,431000.05214151
아루루,20180119,폐업,,0,14917,"경기도 시흥시 대은로 **, 다이아몬드빌딩 ***호 (은행동)",경기도 시흥시 은행동 *** 다이아몬드빌딩 ***호,14923,2026-03-10 21:36:14,,182049.468604998,438055.186248531
도그마망,20180612,폐업,031-509-5250,0,15011,"경기도 시흥시 배곧*로 **-**, *동 ***호 (배곧동, 한라비발디캠퍼스)",경기도 시흥시 배곧동 *** 한라비발디캠퍼스 *동 ***호,,2026-03-10 21:36:14,,174465.929718868,429126.779076857
HUG pet,20190114,폐업,,0,14986,"경기도 시흥시 목감둘레로 ***, 메트로타워* *층 ***호 (조남동)",경기도 시흥시 조남동 ***-* 메트로타워*,,2026-03-10 21:36:15,,187709.868426998,431000.05214151
펫블리,20190222,폐업,,0,15010,"경기도 시흥시 배곧*로 **, 배곧타운I ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 배곧타운I ***호,,2026-03-10 21:36:16,,175790.838255874,430613.066045488
OH!DOG,20210408,폐업,,0,14904,"경기도 시흥시 수인로 ****, *층 (신천동)",경기도 시흥시 신천동 ***-**,,2026-03-10 21:36:18,,180687.043360501,437758.209893463
오독 강아지 안심분양센터 시흥점,20211014,폐업,,0,14904,"경기도 시흥시 수인로 ****, *층 (신천동)",경기도 시흥시 신천동 ***-**,,2026-03-10 21:36:20,,180687.043360501,437758.209893463
퍼피트렌드,20140303,폐업,031-318-0722,0,14968,경기도 시흥시 월곶중앙로**번길 ** (월곶동),경기도 시흥시 월곶동 ***-*,,2026-03-10 21:36:06,,177165.135024169,432111.804978295
도그스타,20140527,폐업,,0,15051,"경기도 시흥시 큰솔로**번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 **** ***호,15119,2026-03-10 21:36:06,,178089.082900961,426688.408587376
샤이니독,20140728,폐업,031-503-4470,0,14948,"경기도 시흥시 수인로****번길 **, *층 (신천동)",경기도 시흥시 신천동 ***-*,,2026-03-10 21:36:07,,180454.183979751,437540.219361674
로얄수족관,20140804,폐업,,0,15066,경기도 시흥시 정왕대로 *** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:07,,176599.546077229,427145.740913738
엠제이도그,20141222,폐업,,0,15036,"경기도 시흥시 중심상가로 ***, ***호 (정왕동, 에이스프라자)",경기도 시흥시 정왕동 ****-** 에이스프라자 ***호,15119,2026-03-10 21:36:09,,176324.901765416,427171.144403943
Ba둑이Home,20150902,폐업,031-8032-8199,0,14905,"경기도 시흥시 호현로 **, *층 (대야동)",경기도 시흥시 대야동 ***-**,,2026-03-10 21:36:10,,181183.28,438430.885
이리오시개,20151111,폐업,031-504-5055,0,15053,"경기도 시흥시 정왕신길로***번길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:11,,177224.2,427540.151
폼스홀릭,20170117,폐업,,0,14940,"경기도 시흥시 매화*로 **, *층호 (매화동)",경기도 시흥시 매화동 ***-** *층호,,2026-03-10 21:36:12,,183360.547826822,434834.433874091
럽숑,20170526,폐업,031-435-3991,0,14909,"경기도 시흥시 대야로 *, *층 (대야동)",경기도 시흥시 대야동 ***-* *층호,,2026-03-10 21:36:13,,181238.400450615,438037.658013686
러키켓,20211115,폐업,,0,15036,"경기도 시흥시 서촌상가*길 **, 두원프라자 *층 ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 두원프라자,15119,2026-03-10 21:36:21,,176327.603036557,427289.313910493
위드미펫살롱,20211129,폐업,,0,14923,"경기도 시흥시 은계중앙로 ***, ***호 (은행동)",경기도 시흥시 은행동 ***-**,14923,2026-03-10 21:36:21,,182706.048389493,438015.146514746
영캣하우스&amp;제이엠테크,20220224,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **-**, 다인로얄팰리스 배곧*차 *층 ***,***호 (배곧동)",경기도 시흥시 배곧동 ***-* 다인로얄팰리스 배곧*차,,2026-03-10 21:36:21,,175953.990514593,429717.307576491
코독스 강아지 배곧점,20220311,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 c-**호 (배곧동)",경기도 시흥시 배곧동 *** 서영베니스스퀘어,,2026-03-10 21:36:21,,176072.60072494,429602.843996773
손민제(일회성 분양),20220519,폐업,,0,15010,"경기도 시흥시 서울대학로***번길 **-**, 다인로얄팰리스 배곧*차 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 다인로얄팰리스 배곧*차,,2026-03-10 21:36:22,,175937.851298615,429781.680517774
퍼펙트독,20220808,폐업,,0,15119,"경기도 시흥시 거북섬로 ***, ***호 (정왕동)",경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:23,,172254.287668597,424594.169992226
캣슬,20230126,폐업,,0,15011,"경기도 시흥시 서울대학로***번길 **-**, 다인로얄팰리스 배곧*차 *층 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 다인로얄팰리스 배곧*차,,2026-03-10 21:36:25,,175953.990514593,429717.307576491
멍냥펀치,20230426,폐업,,0,14949,"경기도 시흥시 신천로 **, *층 ***호 (신천동)",경기도 시흥시 신천동 ***-*,,2026-03-10 21:36:25,,180993.004287726,437451.601589808
인연,20250911,폐업,,0,15010,"경기도 시흥시 배곧*로 **, 배곧타운* ***호 (배곧동)",경기도 시흥시 배곧동 *** 배곧타운* ***호,,2026-03-10 21:36:32,,175732.499134758,430659.533763531
땡큐애견,20080721,폐업,031-318-0722,,,"경기도 시흥시 월곶중앙로**번길 **, ***호 (월곶동,월곶풍산프라자)",경기도 시흥시 월곶동 ***-* 월곶풍산프라자 ***호,,2026-03-10 21:35:48,,177140.954859389,432063.926699336
해피퍼피,20090818,폐업,031-498-9553,,,경기도 시흥시 정왕천로***번길 * (정왕동),경기도 시흥시 정왕동 ****,15119,2026-03-10 21:35:54,,177977.310010423,426944.64228026
