sigun_nm,bizplc_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,xcrd_vl,ycrd_vl,parmacy_bsn_ar,apnt_ymd
,뉴코끼리약국,20110302,"경기도 시흥시 정왕신길로49번길 19, 110호 (정왕동, 서해아파트상가)",경기도 시흥시 정왕4동 1886번지 4호 서해2차아파트 상가동 110호,15021,37.3596616,126.7273133,,폐업,20131119,,175681.993724086,428768.375300457,,
,느티나무약국,20160405,경기도 시흥시  대은로  100 (대야동),경기도 시흥시 대야동 528번지 1호,,,,,영업중,,031-318-0008,181332.20462131,438007.174944203,,
,늘열린마트약국,20000325,경기도 시흥시 비둘기공원7길 38 (대야동),경기도 시흥시 대야동 542번지,14912,37.4430368,126.7919559,,폐업,20120807,031-311-1341,,,,
,늘좋은약국,20110804,"경기도 시흥시 시흥대로 1121, 106호 (신천동, 휴먼프라자)",경기도 시흥시 신천동 948번지 휴먼프라자 106호,14950,37.4355599,126.7911786,,영업중,,031-313-5007,181445.951025477,437065.406552095,,
,늘편한약국,20061129,"경기도 시흥시 봉우재로 11-1, 1층 (정왕동, 양지빌딩)",경기도 시흥시 정왕1동 1618-5,15056,37.3445468,126.7428224,,영업중,,031-431-1438,177140.005,426977.819,,
,늘푸른온누리약국,20001117,"경기도 시흥시 복지로 75, 1층 (대야동)",경기도 시흥시 대야동 455번지 2호,14905,37.4460833,126.7904349,,영업중,,031-313-3332,181381.353916371,438227.073473196,,
,능곡프라자약국,20090312,"경기도 시흥시 능곡로 188 (능곡동,효창프라자 109호)",경기도 시흥시 능곡동 752번지  효창프라자 109호,14995,37.3683865,126.8103662,,폐업,20100913,,183131.848259267,429609.302264444,,
,능곡프라자약국,20210101,"경기도 시흥시 능곡로 188, 효창프라자 109호 (능곡동)",경기도 시흥시 능곡동 752 효창프라자,14995,37.3683865,126.8103662,,영업중,,031-317-8101,183131.848259267,429609.302264444,,
,능곡프라자약국,20100913,"경기도 시흥시 능곡로 188, 109호 (능곡동, 효창프라자)",경기도 시흥시 능곡동 752번지 효창프라자 109호,14995,37.3683865,126.8103662,,폐업,20180813,031-317-8101,183131.848259267,429609.302264444,,
,능곡프라자약국,20180813,"경기도 시흥시 능곡로 188, 효창프라자 109호 (능곡동)",경기도 시흥시 능곡동 752번지 효창프라자,14995,37.3683865,126.8103662,,폐업,20210101,031-317-8101,183131.848259267,429609.302264444,,
,다나약국,20210512,"경기도 시흥시 군자로 327, 1층 (거모동)",경기도 시흥시 거모동 599-1번지 1층,15044,37.3573465,126.7730236,,폐업,20230908,031-362-6300,179823.488423575,428391.292691767,,
,다나약국,20260402,"경기도 시흥시 비둘기공원6길 4, 성원상떼빌 센트럴 오피스텔 101,102호 (대야동)",경기도 시흥시 대야동 534-1,14912,37.4435389,126.7915216,,영업중,,,181487.447272276,437963.787017635,,
,다솜약국,20170313,"경기도 시흥시 진말로9번길 2, 202호 (장곡동, 부석프라자)",경기도 시흥시 장곡동 820-3번지 부석프라자 202호,15002,37.378468,126.7852668,,영업중,,031-318-7533,180903.089589895,430743.560929967,,
,다온약국,20220221,"경기도 시흥시 은계로 347, 1층 105호 (대야동)",경기도 시흥시 대야동 646번지 1층 105호,14907,37.4500045,126.7950106,,폐업,20221115,031-314-3332,181791.354918463,438669.611253572,,
,다인약국,20231018,"경기도 시흥시 월곶중앙로58번길 5-6, 213호 (월곶동, 시흥 월곶역 블루밍더마크)",경기도 시흥시 월곶동 1008 시흥 월곶역 블루밍더마크,,,,,영업중,,,176827.522044341,431957.558237848,,
,다함 한약국,20170502,"경기도 시흥시 목감우회로 45, 405호 (목감동, 한울플러스)",경기도 시흥시 목감동 403-2번지 한울플러스 405호,14985,37.3820288,126.8609131,,영업중,,031-411-5475,187598.978579224,431110.985133973,,
,대성약국,20111226,"경기도 시흥시 중심상가로 143, 202호 (정왕동, 선빌딩)",경기도 시흥시 정왕동 1728번지 10호 선빌딩 202호,15036,37.3470928,126.7322743,,폐업,20120323,,176208.167294124,427262.359837002,,
,대야약국,20200228,"경기도 시흥시 은계로 353, 105호 (대야동)",경기도 시흥시 대야동 645번지,14907,37.450308,126.7945103,,영업중,,031-312-8255,181748.658912698,438705.271527649,,
,대우약국,19990407,경기도 시흥시 수인로2421번길 109 (논곡동),경기도 시흥시 논곡동 160번지 31호,14984,37.3873446,126.8604952,,영업중,,031-405-6169,187575.938849987,431706.165062758,,
,대학약국,20240229,"경기도 시흥시 서울대학로264번길 26-12, 배곧에토스 105호 (배곧동)",경기도 시흥시 배곧동 223-2 배곧에토스,15011,37.367369,126.7260372,,영업중,,031-431-4558,175660.37040111,429512.15814937,,
,대한약국,19961208,"경기도 시흥시 삼미시장2길 13, 101호 (신천동, 월드아트빌)",경기도 시흥시 신천동 743-1 월드아트빌,14948,37.441136,126.7816868,,영업중,,031-318-0916,180609.642301305,437689.359504864,,
,대홍약국,20210107,"경기도 시흥시 삼미시장1길 37, 1층 107호 (신천동)",경기도 시흥시 신천동 743-2,14948,37.44097,126.7825475,,영업중,,031-311-4544,180684.172017569,437670.537627928,,
,대홍프라자약국,20190123,"경기도 시흥시 삼미시장1길 37, 1층 (신천동)",경기도 시흥시 신천동 743-2번지 1층,14948,37.44097,126.7825475,,폐업,20210107,031-311-1366,180684.172017569,437670.537627928,,
,더나은약국,20190327,"경기도 시흥시 목감남서로 9-33, 더클래스투 104-1호 (조남동)",경기도 시흥시 조남동 654번지 더클래스투,14988,37.3783369,126.8533203,,영업중,,031-503-3177,186939.825181036,430705.355863492,,
,더드림약국,20250708,"경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 (대야동)",경기도 시흥시 대야동 542 롯데마트 시흥점,14912,37.4430368,126.7919559,,폐업,20260102,,181520.673307238,437898.181862031,,
,더아름다운약국,20140603,"경기도 시흥시 수인로 3362, 태종빌딩 1층 102호 (신천동)",경기도 시흥시 신천동 711-2 태종빌딩,14910,37.4406453,126.7854898,,영업중,,031-314-2100,180947.061934192,437633.954293419,,
,더아름다운약국,20130318,경기도 시흥시  수인로  3362 (신천동),"경기도 시흥시 신천동 711번지 2호 101호, 103호",14910,37.4406453,126.7854898,,폐업,20140603,031-314-2100,180947.061934192,437633.954293419,,
,더튼튼약국,20190213,"경기도 시흥시 배곧4로 103, 대경프라자 108호 (정왕동)",경기도 시흥시 정왕동 2471번지 2호 대경프라자,15010,37.3738692,126.7345653,,영업중,,031-434-8106,176419.764017771,430235.942627765,,
,더튼튼약국,20180514,"경기도 시흥시 배곧4로 103, 대경프라자 108호 (정왕동)",경기도 시흥시 배곧동 77번지 대경프라자 108호,15010,37.3738692,126.7345653,,폐업,20190213,031-434-8106,176419.764017771,430235.942627765,,
,도담약국,20221015,"경기도 시흥시 장현순환로 1, 메인프라자 104호 (장현동)",경기도 시흥시 장현동 584,14996,37.380673,126.7937061,,영업중,,,181663.354837362,430974.185472174,,
,돌고래약국,20180116,"경기도 시흥시 배곧4로 32-9, 골든프라자 108호 (정왕동)",경기도 시흥시 배곧동 125번지 골든프라자 108호,15010,37.3767326,126.7271721,,영업중,,031-431-2018,175765.244425981,430553.878700729,,
,동아약국,20100208,"경기도 시흥시 정왕대로 230, 1층 (정왕동, 제일프라자)",경기도 시흥시 정왕1동 1734번지 7호 1층,15066,37.3449788,126.738494,,영업중,,031-504-4477,176756.587046982,427023.699054553,,
,동안약국,20150302,"경기도 시흥시 월곶중앙로30번길 4, 104호 (월곶동)",경기도 시흥시 월곶동 994번지 1호,14967,37.3877015,126.7423886,,영업중,,031-435-0545,177119.926900913,431767.310701232,,
,동안약국,20090601,"경기도 시흥시 월곶중앙로30번길 4, 104호 (월곶동, 주영프라자)",경기도 시흥시 월곶동 994번지 1호 주영프라자 104호,14967,37.3877015,126.7423886,,폐업,20150302,,177119.926900913,431767.310701232,,
,동의세란약국,20051219,"경기도 시흥시 봉우재로 10 (정왕동, 세란약국)",경기도 시흥시 정왕1동 1593-6(1층),15057,37.344143,126.7430974,,영업중,,031-319-2539,177166.323630667,426931.858486977,,
,드림약국,20181101,"경기도 시흥시 서울대학로264번길 44-4, 107호 (정왕동)",경기도 시흥시 배곧동 231번지 에스프라자 107호,15011,37.3671759,126.7282075,,영업중,,031-498-5955,,,,
,든든약국,20210524,"경기도 시흥시 함송로 16, 1층 104호 (정왕동)",경기도 시흥시 정왕동 1882-1번지 1층 104호,15020,37.3637596,126.729575,,영업중,,031-496-9489,175974.682228517,429107.516992278,,
,등대약국,20090414,"경기도 시흥시 오이도로135번길 33, 1층 (정왕동)","경기도 시흥시 정왕3동 2004-1번지1층 ,일부",15015,37.345331,126.6884421,,폐업,20120330,031-432-7840,172323.927355764,427078.165438234,,
,따뜻한 온누리 약국,20191010,"경기도 시흥시 은계번영길 19, 은계 디스퀘어큐브 1층 104호 (은행동)",경기도 시흥시 은행동 646번지 8호 은계 디스퀘어큐브,14922,37.4372709,126.8030427,,영업중,,070-4107-9329,182499.160642918,437254.491739593,,
,라라약국,20230925,"경기도 시흥시 은행고길 24, 104호 (은행동)",경기도 시흥시 은행동 93-3,14923,37.4405381,126.7991916,,폐업,20231127,031-8042-5733,182172.965565365,437630.09209119,,
,라라약국,20240725,"경기도 시흥시 수풀안길 14-22, 로얄팰리스 4차 113~115호 (조남동)",경기도 시흥시 조남동 711 로얄팰리스 4차,14986,37.3812505,126.8620153,,영업중,,,187703.644585639,431038.731785399,,
,마이팜약국,20040510,"경기도 시흥시 정왕대로 78, B동 133호 (정왕동, 트윈프라자)",경기도 시흥시 정왕3동 1861-8,15040,37.3532919,126.7250075,,영업중,,031-319-0809,175566.862699337,427950.088902739,,
,매화메디칼약국,20010910,경기도 시흥시 매화2로 3 (매화동),경기도 시흥시 매화동 247-2 박애의원,14940,37.4158819,126.8138749,,영업중,,031-315-7602,183448.271635276,434876.231362866,,
,메가파크약국,20260618,"경기도 시흥시 중심상가1길 18, 1, 2층 (정왕동)",경기도 시흥시 정왕동 1745-5,15066,37.3429668,126.7354097,,영업중,,031-432-0205,176484.174751447,426803.749833526,,
,메디섬약국,20231204,"경기도 시흥시 거북섬2길 25, 퍼스트에비뉴2차 127,128호 (정왕동)",경기도 시흥시 정왕동 2703 퍼스트에비뉴2차,15119,37.3273135,126.6768182,,폐업,20250319,031-365-3124,171280.460811342,425101.57438579,,
,메디칼명약국,19970131,경기도 시흥시 신천3길 25 (신천동),경기도 시흥시 신천동 761번지 23호,14948,37.4387401,126.7834392,,폐업,20160816,031-314-8866,180764.778356523,437421.79836999,,
,메디칼명약국,20170515,경기도 시흥시 신천3길 25 (신천동),경기도 시흥시 신천동 761-23번지,14948,37.4387401,126.7834392,,폐업,20200811,031-314-8866,180764.778356523,437421.79836999,,
,메디칼명약국,20160816,경기도 시흥시 신천3길 25 (신천동),경기도 시흥시 신천동 761-23번지,14948,37.4387401,126.7834392,,폐업,20170515,031-314-8866,180764.778356523,437421.79836999,,
,메디팜보약국,20040616,경기도 시흥시 은행로 92,경기도 시흥시 은행동 547번지 7호  102호,14916,37.4397256,126.7974583,,폐업,20100531,031-313-8875,,,,
,메디팜선약국,19991112,"경기도 시흥시 진말로9번길 2, 111호 (장곡동, 부석프라자)",경기도 시흥시 장곡동 820번지 3호 부석프라자 111호,15002,37.378468,126.7852668,,폐업,20240319,031-317-2426,180903.089589895,430743.560929967,,
,명약국,20230511,"경기도 시흥시 신천천동로 7, 두성빌딩 102호 (신천동)",경기도 시흥시 신천동 766-1번지 두성빌딩 102호,14949,37.4391898,126.786261,,영업중,,031-313-0227,181015.781329059,437474.549206376,,
,모다365약국,20250527,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 5층 503호 (능곡동)",경기도 시흥시 능곡동 871 시흥 플랑드르,15121,37.3710186,126.8072928,,영업중,,031-8042-3658,182864.742763587,429902.071373508,,
,목감센타약국,20060331,경기도 시흥시 동서로 1106 (목감동),경기도 시흥시 목감동 202번지 23호,14984,37.3873759,126.8612857,,영업중,,031-485-6955,187646.327676918,431710.331596363,,
,목감온누리약국,20170110,"경기도 시흥시 목감남서로 9-19, 102호 (조남동)",경기도 시흥시 조남동 657-1번지 102호,14988,37.3777841,126.8527716,,영업중,,031-411-3181,186889.994340788,430645.139774233,,
,목감코끼리약국,20200302,"경기도 시흥시 수풀안길 22, 월컴시티 103,104호 (조남동)","경기도 시흥시 조남동 712-2번지 월컴시티 103,104호",14986,37.3811916,126.8627839,,폐업,20220105,031-414-2882,187777.27156254,431021.593976692,,
,미래약국,20100930,경기도 시흥시 삼미시장1길 13-1 (신천동),경기도 시흥시 신천동 737번지 2호,14948,37.4402707,126.7846568,,영업중,,031-311-1655,180872.87144084,437591.695149592,,
,미산보람약국,20201104,"경기도 시흥시 미산로 69, 103호 (미산동)",경기도 시흥시 미산동 93-1,14944,37.4220704,126.7963575,,폐업,20210415,031-311-7585,181911.727369053,435569.120181787,,
,미산보람약국,20210415,"경기도 시흥시 미산로 76-1, 다원하이테크 (미산동)",경기도 시흥시 미산동 85-10 다원하이테크,14944,37.4214312,126.7964765,,폐업,20220930,031-311-7585,181915.508310947,435498.522655025,,
,미소그린약국,20221128,"경기도 시흥시 장곡로 50, (주)진보유통 3층 301호 (장곡동)",경기도 시흥시 장곡동 877-1번지 (주)진보유통 3층 301호,15002,37.3797082,126.7831654,,영업중,,031-313-7558,180747.950806277,430873.203226797,,
,미소담약국,20110601,"경기도 시흥시 월곶중앙로70번길 3, 310-1호 (월곶동, 풍림프라자)",경기도 시흥시 월곶동 1010번지 4호 월곶동 풍림1차아파트 단지내주상가 310-1,14964,37.3896123,126.7381671,,영업중,,031-435-2589,176679.463152938,432080.027950486,,
,미소담약국,20080820,,경기도 시흥시월곶동 1010-4  아이원주상가310-1호,14964,37.3902457,126.7357544,,폐업,20110601,031-435-2589,,,,
,미소약국,20080103,"경기도 시흥시 시흥대로1074번길 5, 310호 (은행동)",경기도 시흥시 은행동 288번지 1호,14921,,,,폐업,20220720,031-311-7507,181674.382588185,436674.054225284,,
,미소지우약국,20170804,"경기도 시흥시 정왕대로 178 (정왕동, 광개토빌딩2)",경기도 시흥시 정왕동 1726-2번지 광개토빌딩2,15036,37.3478159,126.7339718,,폐업,20190407,031-499-6550,176352.574988974,427337.809330146,,
,미소지우약국,20190408,"경기도 시흥시 정왕대로 178, 광개토빌딩2 117호 (정왕동)",경기도 시흥시 정왕동 1726번지 2호 광개토빌딩2,15036,37.3478159,126.7339718,,영업중,,031-499-6550,176352.574988974,427337.809330146,,
,미소지우약국,20160617,"경기도 시흥시 정왕대로 178, 117호 (정왕동, 광개토빌딩2)",경기도 시흥시 정왕동 1726번지 2호,15036,37.3478159,126.7339718,,폐업,20170804,031-499-6550,176352.574988974,427337.809330146,,
,바로약국,20240130,"경기도 시흥시 중심상가로 161, 그라미아빌딩 103호 (정왕동)",경기도 시흥시 정왕동 1728-20 그라미아빌딩,15036,37.3460759,126.7339105,,영업중,,031-433-2285,176353.801746471,427148.72431247,,
,바른약국,20190812,"경기도 시흥시 은계번영길 13, 아리테타워 109호 (은행동)",경기도 시흥시 은행동 32번지 6호 아리테타워,14922,37.4373401,126.8025447,,영업중,,031-404-0660,182455.724042505,437264.79332952,,
,배곧다온약국,20171101,"경기도 시흥시 배곧3로 86, 1층 107호 (정왕동)",경기도 시흥시 정왕동 2513번지 1호 센터프라자2,15011,37.3702222,126.7295541,,영업중,,031-431-1661,175971.233747393,429834.311801204,,
,배곧싱싱약국,20230612,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 117,118호 (배곧동)",경기도 시흥시 배곧동 230 배곧중앙프라자,15011,37.3666139,126.7277276,,영업중,,031-498-8380,175810.848650867,429428.537944057,,
,배곧정문약국,20160218,"경기도 시흥시 배곧3로 80, 113~114호 (정왕동, 센터프라자)",경기도 시흥시 정왕동 1772번지 23호 113호,15011,37.3705347,126.7290879,,영업중,,031-431-8822,175930.289005003,429864.612794522,,
,배꽃온누리약국,20200914,"경기도 시흥시 배곧5로 66-7, 더 프리미엄 타워 103호 (배곧동)",경기도 시흥시 배곧동 18-3 더 프리미엄 타워,15010,37.3821628,126.7347182,,영업중,,,176434.772029146,431151.3148036,,
,백세약국,20070302,경기도 시흥시 동서로 1090 (목감동),경기도 시흥시 목감동 240번지 2호  103호,14984,37.3860279,126.8603595,,폐업,20120831,031-483-8652,187563.384982519,431562.611422021,,
,백제당온누리약국,20020930,경기도 시흥시 시흥대로 1075 (신천동),경기도 시흥시 신천동 883번지 8호,14951,37.4319187,126.7927388,,영업중,,031-315-4848,,,,
,베스트약국,20161103,"경기도 시흥시 목감우회로 51, 109호 (목감동)",경기도 시흥시 목감동 408번지 동한메티컬프라자 109호,14985,37.3822598,126.8619616,,영업중,,031-482-2588,187687.029845383,431135.269873078,,
,보룡온누리약국,20080407,경기도 시흥시 함송로 24 (정왕동),경기도 시흥시 정왕동 1882-4 세종프라자302호,15020,37.3632151,126.7303936,,영업중,,031-433-8307,176034.146009185,429060.860673841,,
