사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,업태구분명,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,총층수,주변환경명,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,총게임기수,제공게임물명,최초등록시점,지역구분명
DJ노래연습장,영업중,20110824,"경기도 시흥시 정왕천로375번길 4-4 (정왕동,(2층))",경기도 시흥시 정왕동 1566-4 (2층),15058,,37.3421655224,126.7496200824,,,,,,177741.8800855830,426712.7648674630,노래연습장업,유통관련업,,,164.550,,,,,,5,,,,,,,,,,,
IGO노래연습장,영업중,20160616,"경기도 시흥시 중심상가로 185, 4층 (정왕동, 동신빌딩)",경기도 시흥시 정왕동 1737-7 4층,15066,,37.3448179292,126.7359103278,,,,,,176532.0398078670,427010.1853829600,노래연습장업,유통관련업,,유흥업소밀집지역,289.170,,,,,,32,30,Y,Y,,Y,,,,,,일반상업지역
J&J 노래연습장,폐업,19980113,경기도 시흥시 월곶중앙로 87-1 (월곶동),경기도 시흥시 월곶동 1011-6,14963,031-318-2358,37.3897044558,126.7356809117,,20240705,,,,176524.2350000000,431990.3950000000,노래연습장업,유통관련업,,,181.240,,,,,,6,,N,N,N,,N,N,,,,
K 노래연습장,폐업,19990224,"경기도 시흥시 대은로 94 (은행동,5층)",경기도 시흥시 은행동 531-1 5층,14917,,37.4450518639,126.7988442993,,20190903,,,,182129.1754351400,438121.6437581100,노래연습장업,유통관련업,,,104.870,,,,,,4,,N,N,N,Y,N,N,,,,
K-1노래연습장,폐업,20060315,"경기도 시흥시 비둘기공원5길 23 (대야동,외1필지 베스트(프)3층)",경기도 시흥시 대야동 540-1 외1필지 베스트(프)3층,14912,,37.4421973177,126.7902455628,,20171030,,,,181373.5456459080,437814.6688587500,노래연습장업,유통관련업,,유흥업소밀집지역,262.440,,,근린생활시설,1.00,50.000,9,3,N,N,N,Y,N,N,,,,일반상업지역
K2노래연습장,등록취소,20100319,"경기도 시흥시 수인로3335번길 16  (신천동,2층)",경기도 시흥시 신천동 772-18 2층,14950,,37.4380230438,126.7870859784,20111207,,,,,181086.9174366730,437341.8590685810,노래연습장업,유통관련업,5,주택가주변,101.850,4,1,근린생활시설,1.00,50.000,5,1,Y,Y,,Y,,,,,,일반주거지역
KBS노래연습장,폐업,20040618,"경기도 시흥시 비둘기공원5길 12,  302-1호 (대야동,신주시티(프))",경기도 시흥시 대야동 531-2 신주시티(프) 302-1호,14912,,37.4432524568,126.7903373383,,20130626,,,,181376.7811019150,437920.7832710080,노래연습장업,유통관련업,6,유흥업소밀집지역,13.600,,,근린생활시설,,,,,,,,,,,,,,일반상업지역
K팝노래연습장,영업중,19990428,"경기도 시흥시 삼미시장4길 17, 2층 (신천동)",경기도 시흥시 신천동 759 2층호,14948,,37.4396459665,126.7826958708,,,,,,180698.3502462790,437520.3617709420,노래연습장업,유통관련업,,,220.740,,,근린생활시설,,,7,,N,N,N,,N,N,,,,
K팝노래연습장,영업중,20180814,"경기도 시흥시 서울대학로278번길 21, 새롬프라자2 509,510호 (배곧동)",경기도 시흥시 배곧동 193-3 새롬프라자2,15011,,37.3695093281,126.7280367972,,,,,,175839.5469831310,429749.9891504180,노래연습장업,유통관련업,,,177.600,,,,,100.000,8,1,,,,Y,,,,,,
K팝노래연습장,폐업,20160414,"경기도 시흥시 수인로3381번길 13, 3층 (신천동, 경도빌딩)",경기도 시흥시 신천동 740 3층,14948,,37.4400704716,126.7828387736,,20260213,,,,180707.3111937070,437570.7813994120,노래연습장업,유통관련업,,,226.240,,,근린생활시설,,,9,5,,,,,,,,,,
K王노래연습장(케이왕노래연습장),영업중,20030122,"경기도 시흥시 군서로60번길 9-1 (정왕동,(지하1층))",경기도 시흥시 정왕동 1209-1 (지하1층),15052,031-496-0050,37.3474911471,126.7465525720,,,,,,177472.8303711990,427304.0016772990,노래연습장업,유통관련업,6,주택가주변,145.150,5,1,,,,1,,N,N,N,,N,N,,,,
M2노래연습장,영업중,20101026,"경기도 시흥시 정왕천로411번길 16 (정왕동,2층)",경기도 시흥시 정왕동 1192-5 2층,15052,,37.3451920770,126.7507189611,,,,,,177839.0962973600,427046.8518967550,노래연습장업,유통관련업,4,주택가주변,126.030,4,,근린생활시설,1.00,40.000,5,1,Y,Y,,,,,,,,일반주거지역
M노래연습장,폐업,20140829,"경기도 시흥시 중심상가4길 32, 지층 (정왕동)",경기도 시흥시 정왕동 1744-7 지층,15066,,37.3428034401,126.7366194052,,20150330,,,,176589.4550607780,426784.6521648510,노래연습장업,유통관련업,,유흥업소밀집지역,248.200,,,근린생활시설,,50.000,4,,,,,,,,,,,중심상업지역
O2노래연습장,폐업,20031230,,경기도 시흥시 대야동 537-501,14912,,,,,20070516,,,,,,노래연습장업,유통관련업,,유흥업소밀집지역,174.450,,,근린생활시설,1.00,50.000,8,2,N,Y,Y,Y,N,Y,,,,
OK 노래연습장,직권말소,19980116,"경기도 시흥시 호현로9번길 4 (신천동,지하1층)",경기도 시흥시 신천동 706-13 지하1층,14904,031-315-2317,37.4420479631,126.7834190399,,20130411,,,,180750.7299870500,437796.8147273970,노래연습장업,유통관련업,,,133.330,,,근린생활시설,,,,,N,N,N,Y,N,Y,,,,
OK 노래연습장,폐업,20030822,"경기도 시흥시 연성로13번길 3, 5층호 (하중동)",경기도 시흥시 하중동 875-1 5층호,14976,,37.3904462900,126.8047643660,,20231031,,,,182638.0977706380,432067.3052026980,노래연습장업,유통관련업,,아파트지역,149.340,,,근린생활시설,1.00,40.000,7,1,N,Y,N,Y,N,Y,,,,
OK 노래연습장,폐업,20030602,"경기도 시흥시 오이도어시장로 5  (정왕동,(5층))",경기도 시흥시 정왕동 2004-2 (5층),15015,,37.3451775306,126.6883986439,,20201013,,,,172319.4223823100,427062.9509586880,노래연습장업,유통관련업,,주택가주변,159.680,,,근린생활시설,1.00,35.000,6,,N,Y,Y,N,N,Y,,,,
OK 노래연습장,폐업,19990730,"경기도 시흥시 월곶해안로 175  (월곶동,2층)",경기도 시흥시 월곶동 1015-2 2층,14963,031-318-4410,37.3881226445,126.7391875551,,20061207,,,,176832.8491224540,431812.3074041820,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
OK노래연습장,영업중,20041213,경기도 시흥시 군자로492번길 2 (거모동),경기도 시흥시 거모동 1727-9,15071,,37.3461833659,126.7841617440,,,,,,180807.0205561680,427148.7518636230,노래연습장업,유통관련업,,기타,110.000,,,근린생활시설,,,5,,N,N,N,,N,N,,,,일반주거지역
OK노래연습장,직권말소,20021116,"경기도 시흥시 옥구상가2길 16  (정왕동,(2층))",경기도 시흥시 정왕동 1859-5 (2층),15040,031-432-9697,37.3529550584,126.7231140656,,20090206,,,,175394.8949053510,427916.9340360390,노래연습장업,유통관련업,,유흥업소밀집지역,,,,,,,,,N,N,N,N,N,N,,,,
SBS 노래연습장,영업중,20010413,"경기도 시흥시 중심상가로 193, 센타프라자 401, 402호 (정왕동)",경기도 시흥시 정왕동 1737-17 센타프라자 401호,15066,031-432-4441,37.3444074082,126.7365467184,,,,,,176589.1354217750,426962.8034445140,노래연습장업,유통관련업,,,122.220,,,,,,7,1,N,N,N,Y,N,N,,,,
SBS노래연습장,영업중,20040719,"경기도 시흥시 오이도로 199 (정왕동,3층)",경기도 시흥시 정왕동 2030-12 3층,15015,,37.3431678092,126.6871332583,,,,,,172206.5181302300,426838.9783285790,노래연습장업,유통관련업,5,기타,141.600,,,근린생활시설,1.00,50.000,5,,Y,Y,N,,N,N,,,,일반주거지역
SBS도전노래연습장,폐업,20040327,"경기도 시흥시 새재로7번길 6-1  (장현동,지층)",경기도 시흥시 장현동 544-4 지층,14998,,37.3808977948,126.8011928345,,20120731,,,,182328.7183564400,431004.2703578160,노래연습장업,유통관련업,4,기타,259.500,,,위험물저장시설,,,,,,,,,,,,,,일반상업지역
SBS하이트 노래연습장,폐업,20030617,"경기도 시흥시 비둘기공원7길 52  (대야동,(4층))",경기도 시흥시 대야동 541-13 (4층),14912,,37.4418171487,126.7914813436,,20080226,,,,181478.6549314040,437762.0150264940,노래연습장업,유통관련업,,아파트지역,,,,근린생활시설,2.00,32.000,1,,N,Y,N,N,N,N,,,,
S노래연습장,영업중,20190502,"경기도 시흥시 서울대학로278번길 25-18, 다인로얄팰리스 배곧3차 3층 313,314,315,316호 (배곧동)",경기도 시흥시 배곧동 196-1 다인로얄팰리스 배곧3차,15011,,37.3697689118,126.7291409130,,,,,,175937.8512986150,429781.6805177740,노래연습장업,유통관련업,,,143.620,,,,,,6,,,,,Y,,,,,,
TOP노래연습장,영업중,20200522,"경기도 시흥시 월곶중앙로46번길 17, 1층 (월곶동)",경기도 시흥시 월곶동 1005-4,14966,,37.3896214110,126.7409798672,,,,,,176992.1700000000,431978.1500000000,노래연습장업,유통관련업,,,160.400,,,,,,2,,,,,,,,,,,
VIP 노래연습장,영업중,20030612,"경기도 시흥시 오이도로 187 (정왕동,(5층))",경기도 시흥시 정왕동 2006-15 (5층),15015,,37.3441800566,126.6875287781,,,,,,172239.8978008910,426951.7008991380,노래연습장업,유통관련업,,주택가주변,141.570,,,근린생활시설,1.00,30.000,6,,N,Y,N,Y,N,Y,,,,
VIP노래연습장,영업중,20130417,"경기도 시흥시 정왕천로423번길 1, 2층호 (정왕동)",경기도 시흥시 정왕동 1195-1 2층호,15052,,37.3451771779,126.7526384026,,,,,,178010.1460978830,427045.5886178450,노래연습장업,유통관련업,,,129.660,,,,,,6,,,,,,,,,,,
VOLUME UP 코인노래연습장,영업중,20220125,"경기도 시흥시 목감남서로 9-33, 더클래스투 3층 301호 (조남동)",경기도 시흥시 조남동 654 더클래스투,14988,,37.3783369935,126.8533203389,,,,,,186939.8251810360,430705.3558634920,노래연습장업,유통관련업,,,124.120,,,,,,20,,,,,Y,,,,,,
joyking동전노래연습장,폐업,20160729,"경기도 시흥시 비둘기공원6길 10, 3층 303호 (대야동, 이산 프라자  2)",경기도 시흥시 대야동 535 303호,14912,,37.4429332097,126.7912108125,,20201102,,,,181452.9803379330,437887.0191147740,노래연습장업,유통관련업,,,131.040,,,,,,21,21,Y,Y,,Y,,,,,,
가보자노래연습장,영업중,20070529,"경기도 시흥시 신천로 81 (신천동,2층)",경기도 시흥시 신천동 763-11 2층,14949,,37.4376096768,126.7858012599,,,,,,180973.0996506670,437294.2283549450,노래연습장업,유통관련업,2,주택가주변,146.100,2,,근린생활시설,1.00,30.000,6,,N,N,N,,N,Y,,,,일반주거지역
가자 노래연습장,영업중,20000306,"경기도 시흥시 중심상가3길 15-1 (정왕동,(지하1))",경기도 시흥시 정왕동 1737-16 (지하1),15066,031-497-9541,37.3445972662,126.7366351151,,,,,,176596.9120840050,426981.1940073430,노래연습장업,유통관련업,,,64.680,,,,1.00,60.000,2,,N,N,N,,N,N,,,,
가자 노래연습장,폐업,20011218,"경기도 시흥시 호현로22번길 6  (신천동,지하1층)",경기도 시흥시 신천동 707-10 지하1층,14910,031-312-2406,37.4416783838,126.7849034498,,20041004,,,,180894.0551105610,437747.2549760610,노래연습장업,유통관련업,5,,,4,1,근린생활시설,,,,,N,N,Y,N,N,N,,,,
가자노래연습장,영업중,20000411,"경기도 시흥시 오이도로 153 (정왕동,3층)",경기도 시흥시 정왕동 1973-14 3층,15015,031-432-4372,37.3471257316,126.6885808972,,,,,,172336.5840334860,427278.2384970370,노래연습장업,유통관련업,,,116.480,,,,,,4,,N,N,N,,N,N,,,,
가자노래연습장,직권말소,19981015,"경기도 시흥시 한우물로 42 (거모동,101,102호)","경기도 시흥시 거모동 1727-11 101,102호",15071,,37.3462356685,126.7838677038,,20220603,,,,180778.4482513710,427155.4125089880,노래연습장업,유통관련업,4,주택가주변,142.360,4,,근린생활시설,1.00,40.000,4,2,Y,Y,N,Y,N,N,,,,일반주거지역
가족 노래연습장,폐업,20001222,"경기도 시흥시 옥구상가2길 16  (정왕동,(4층))",경기도 시흥시 정왕동 1859-5 (4층),15040,,37.3529550584,126.7231140656,,20200522,,,,175394.8949053510,427916.9340360390,노래연습장업,유통관련업,,,126.650,,,,,,,,N,N,N,,N,N,,,,
강남노래연습장,영업중,20130619,"경기도 시흥시 군서마을로 28 (정왕동,지층)",경기도 시흥시 정왕동 1213-17 지층,15052,,37.3448448425,126.7485547487,,,,,,177649.1753224110,427009.1697228350,노래연습장업,유통관련업,,,127.200,,,,,,5,,,,,,,,,,,
갤러리노래연습장,영업중,19981002,"경기도 시흥시 오이도로 185-1 (정왕동,4층)",경기도 시흥시 정왕동 2006-16 4층,15015,031-432-9888,37.3442974582,126.6875613825,,,,,,172243.7205028650,426964.6046061340,노래연습장업,유통관련업,,,143.060,,,,,,5,2,N,N,N,Y,N,N,,,,
갤러리코인노래연습장,폐업,20170201,"경기도 시흥시 승지로60번길 32, 304호 (능곡동, 성광프라자)",경기도 시흥시 능곡동 751 304호,14995,02-807-3327,37.3684565045,126.8115401451,,20191023,,,,183235.9079648230,429615.6415405040,노래연습장업,유통관련업,,,76.170,,,,4.00,110.000,11,11,,,,Y,,,,,,
거문고노래연습장,폐업,20060524,경기도 시흥시 평안상가4길 21  (정왕동),경기도 시흥시 정왕동 1622-6,15062,,37.3377771272,126.7498217877,,20070328,,,,177773.5351923660,426231.7275091500,노래연습장업,유통관련업,,기타,82.640,,2,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
거북선 노래연습장,폐업,19990417,경기도 시흥시 월곶해안로 97  (월곶동),경기도 시흥시 월곶동 1011-1,14963,,37.3900058583,126.7348983813,,20060424,,,,176453.4815990050,432025.3834782880,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
고고 노래연습장,폐업,20030528,"경기도 시흥시 중심상가로 52  (정왕동,(3층))",경기도 시흥시 정왕동 1855-16 (3층),15040,,37.3518591710,126.7236899065,,20061023,,,,175448.3416566620,427792.8570007560,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,1.00,35.000,6,,N,Y,Y,N,N,Y,,,,
고고노래연습장,영업중,20040203,"경기도 시흥시 신천3길 35 (신천동,지층)",경기도 시흥시 신천동 840-3 지층,14948,,37.4385884888,126.7822198925,,,,,,180656.6135146850,437405.7478824180,노래연습장업,유통관련업,,기타,93.150,,,근린생활시설,,,4,1,N,N,N,Y,N,N,,,,일반주거지역
고고노래연습장,영업중,20200615,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 305호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,,37.3698358612,126.7283496731,,,,,,175866.6491494710,429786.1300355010,노래연습장업,유통관련업,,,153.600,,,,,,6,,,,,Y,,,,,,
고고노래연습장,폐업,20180525,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 305호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,,37.3698358612,126.7283496731,,20200609,,,,175866.6491494710,429786.1300355010,노래연습장업,유통관련업,,,153.600,,,,,,7,,,,,Y,,,,,,
고래고래노래연습장,영업중,20100112,"경기도 시흥시 오이도중앙로 50-1 (정왕동,2층)",경기도 시흥시 정왕동 2010-6 2층,15015,,37.3438213677,126.6891132026,,,,,,172382.6375336290,426910.8067243890,노래연습장업,유통관련업,2,주택가주변,132.530,2,,근린생활시설,1.00,50.000,6,2,Y,Y,,,,,,,,주거지역
고래고래노래연습장,영업중,20080613,"경기도 시흥시 월곶중앙로14번길 92 (월곶동,2층)",경기도 시흥시 월곶동 991-17 2층,14968,,37.3938605297,126.7399994507,,,,,,176907.8150000000,432450.4650000000,노래연습장업,유통관련업,3,주택가주변,120.560,3,,근린생활시설,1.00,50.000,5,1,Y,Y,Y,Y,Y,N,,,,일반주거지역
고래노래연습장,폐업,20120816,"경기도 시흥시 대골안길 86 (대야동,12번지 지층)",경기도 시흥시 대야동 498-11 12번지 지층,14909,,37.4423531395,126.7861857493,,20241007,,,,181011.0192252060,437828.1898949770,노래연습장업,유통관련업,,학교정화(상대),125.980,,,근린생활시설,,,1,,,,,,,,,,,일반주거지역
고릴라노래연습장,등록취소,20100311,"경기도 시흥시 승지로 58  (능곡동,2층 206,207호)","경기도 시흥시 능곡동 741 2층 206,207호",14995,031-311-0883,37.3690282853,126.8106653150,20110824,,,,,183158.7527373360,429679.8701789660,노래연습장업,유통관련업,6,아파트지역,215.530,2,4,근린생활시설,1.00,40.000,7,1,Y,Y,Y,Y,,,,,,준주거지역
고릴라노래연습장,영업중,20031218,"경기도 시흥시 비둘기공원5길 16  (대야동,(5층))",경기도 시흥시 대야동 530-2 (5층),14912,,37.4428182006,126.7900701283,,,,,,181353.3450237220,437872.1180357210,노래연습장업,유통관련업,,유흥업소밀집지역,183.420,,,근린생활시설,1.00,40.000,5,,N,Y,N,N,Y,Y,,,,
고추먹고맴맴 달래먹고맴맴 노래연습장,폐업,20011227,"경기도 시흥시 중심상가로 161  (정왕동,(2층))",경기도 시흥시 정왕동 1728-20 (2층),15036,031-431-4495,37.3460759255,126.7339105251,,20080226,,,,176353.8017464710,427148.7243124700,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
고향노래연습장,폐업,20080104,"경기도 시흥시 중심상가2길 4-3  (정왕동,3층)",경기도 시흥시 정왕동 1736-6 3층,15066,,37.3454765417,126.7360052638,,20100818,,,,176538.5750000000,427083.7409999990,노래연습장업,유통관련업,8,유흥업소밀집지역,97.250,6,2,근린생활시설,2.00,50.000,3,,Y,Y,Y,N,Y,Y,,,,중심상업지역
공주노래연습장,영업중,19990630,"경기도 시흥시 군서로54번길 9, 지하1층 (정왕동)",경기도 시흥시 정왕동 1208-1 지하1층,15052,,37.3472681914,126.7469273789,,,,,,177506.9260189550,427277.4986654710,노래연습장업,유통관련업,,,126.040,,,근린생활시설,,,6,,N,N,N,,N,N,,,,
과일 노래연습장,폐업,19980730,"경기도 시흥시 중심상가3길 10-1  (정왕동,지층)",경기도 시흥시 정왕동 1737-2 지층,15066,031-499-3369,37.3451929322,126.7367532743,,20061114,,,,176600.9939913920,427051.5464576870,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
과일노래연습장,폐업,19991020,"경기도 시흥시 중심상가3길 10-1  (정왕동,지층)",경기도 시흥시 정왕동 1737-2 지층,15066,,37.3451929322,126.7367532743,,20061114,,,,176600.9939913920,427051.5464576870,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
구월노래연습장,영업중,20120522,"경기도 시흥시 정왕천로411번길 44 (정왕동,지하)",경기도 시흥시 정왕동 1186-10 지하,15052,,37.3467800819,126.7481290151,,,,,,177611.6104745080,427224.0205919320,노래연습장업,유통관련업,,기타,144.980,,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
궁 노래연습장,폐업,20051116,"경기도 시흥시 월곶중앙로70번안길 21  (월곶동,2층)",경기도 시흥시 월곶동 1004-7 2층,14966,,37.3900996098,126.7410541227,,20061101,,,,176998.6420472180,432033.0649926570,노래연습장업,유통관련업,,유흥업소밀집지역,102.820,,,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
궁노래연습장,영업중,20050905,"경기도 시흥시 정왕시장길 62, 202호 (정왕동)",경기도 시흥시 정왕동 1189-11,15052,,37.3460667034,126.7493441685,,,,,,177717.1840721740,427141.8283040290,노래연습장업,유통관련업,,기타,105.800,,,근린생활시설,1.00,50.000,5,0,N,N,N,,N,N,,,,일반주거지역
궁노래연습장,영업중,20190930,"경기도 시흥시 목감우회로 39, 목감 시티프라자 3층 306호 (목감동)",경기도 시흥시 목감동 403-1 목감 시티프라자,14985,,37.3819082861,126.8602929025,,,,,,187567.9724462800,431106.3503046990,노래연습장업,유통관련업,,,108.000,,,,,,5,,,,,,,,,,,
궁노래연습장,영업중,20131205,"경기도 시흥시 정왕대로233번길 10, 3층호 (정왕동)",경기도 시흥시 정왕동 1610-6 3층호,15056,,37.3458914432,126.7402461221,,,,,,176912.7074428410,427125.2422260640,노래연습장업,유통관련업,,,174.400,,,,,,6,,,,,,,,,,,
궁노래연습장,영업중,20180306,"경기도 시흥시 수인로3335번길 11, 201호 (신천동)",경기도 시흥시 신천동 775-2,14950,,37.4380334202,126.7873119584,,,,,,181108.7521516480,437350.3024459540,노래연습장업,유통관련업,5,기타,89.380,4,1,근린생활시설,,,5,1,,Y,,Y,,,,,,일반주거지역
궁노래연습장,폐업,20131015,"경기도 시흥시 옥구상가4길 24-1, 2층호 (정왕동)",경기도 시흥시 정왕동 1853-7 2층호,15040,,37.3524634067,126.7209964184,,20180227,,,,175207.9792037370,427860.1477453740,노래연습장업,유통관련업,,,312.120,,,,,,10,3,,,,Y,,,,,,
궁노래연습장,폐업,20070720,"경기도 시흥시 옥구상가4길 24-6  (정왕동,1층)",경기도 시흥시 정왕동 1854-7 1층,15040,,37.3525036211,126.7216283009,,20081125,,,,175261.0101597320,427860.2857043360,노래연습장업,유통관련업,6,유흥업소밀집지역,468.000,5,2,근린생활시설,12.00,50.000,9,1,Y,Y,Y,Y,Y,Y,,,,일반상업지역
궁노래연습장,폐업,20180209,"경기도 시흥시 목감우회로 39, 목감 시티프라자 306호 (목감동)",경기도 시흥시 목감동 403-1 목감 시티프라자,14985,031-404-2258,37.3819082861,126.8602929025,,20190917,,,,187567.9724462800,431106.3503046990,노래연습장업,유통관련업,,,108.000,,,근린생활시설,,,5,1,,Y,,,,,,,,준주거지역
궁전 노래연습장,영업중,20040727,"경기도 시흥시 수인로3395번길 20 (신천동,지층)",경기도 시흥시 신천동 755-7 지층,14948,,37.4398794291,126.7810658380,,,,,,180555.2317069740,437549.3764891050,노래연습장업,유통관련업,3,주택가주변,116.400,,,근린생활시설,,,1,,N,N,N,,N,N,,,,일반주거지역
궁전 노래연습장,폐업,19971028,"경기도 시흥시 중심상가2길 4-3  (정왕동,3층)",경기도 시흥시 정왕동 1736-6 3층,15066,031-497-5556,37.3454765417,126.7360052638,,20071212,,,,176538.5750000000,427083.7409999990,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
궁전노래연습장,영업중,20021224,"경기도 시흥시 군자로 514 (거모동,외1필지 지층)",경기도 시흥시 거모동 1742-4 외1필지 지층,15070,,37.3443304026,126.7848002767,,,,,,180862.5927038580,426954.7459599980,노래연습장업,유통관련업,,주택가주변,296.300,,,위험물저장시설,,,1,,N,N,N,,N,N,,,,
궁전노래연습장,폐업,20060615,"경기도 시흥시 평안상가4길 8-6, 201호 (정왕동, 보운빌딩)",경기도 시흥시 정왕동 1623-2 201호,15062,,37.3380625920,126.7479337031,,20170328,,,,177596.1851581670,426253.9500218140,노래연습장업,유통관련업,2,기타,176.210,,,근린생활시설,1.00,50.000,6,,N,N,N,,N,N,,,,일반상업지역
그랜드 노래연습장,폐업,20030320,"경기도 시흥시 평안상가4길 8-3  (정왕동,지하103호)",경기도 시흥시 정왕동 1624-1 지하103호,15062,,37.3379398513,126.7484767930,,20070129,,,,177638.0761676260,426244.1295602440,노래연습장업,유통관련업,,유흥업소밀집지역,25.500,,,근린생활시설,,,1,,N,Y,N,N,N,Y,,,,
금노래연습장,직권말소,20190808,"경기도 시흥시 오이도로 249, 3층 (정왕동)",경기도 시흥시 정왕동 2042-16,15015,,37.3407311456,126.6893270587,,20230428,,,,172394.4587866750,426569.6082330680,노래연습장업,유통관련업,,,141.610,,,,,,5,,,,,,,,,,,
금영동전노래연습장,폐업,20151221,"경기도 시흥시 은행로155번길 6, 2층 202호 (은행동)",경기도 시흥시 은행동 531-4 202호,14917,,37.4447719891,126.7987677766,,20180813,,,,182122.1020817720,438087.4558283330,노래연습장업,유통관련업,,유흥업소밀집지역,153.360,,,근린생활시설,,,23,11,,,,Y,,,,,,일반상업지역
