indutype_nm,cmpnm_nm,signgu_nm,emd_nm,roadnm_addr,lotno_addr,detail_addr,rprs_telno_info,opr_hr_info,sat_opr_hr,sun_opr_hr,restday_info,image_nm,dat_crtr_ymd,refine_wgs84_lat,refine_wgs84_logt
동물위탁관리업,중독,부천시,원종동,경기도 부천시 성지로41번길 5 다온하우스 1층 102호,경기도 부천시 원종동 345-2 다온하우스 1층 102호,1층,032-675-7778,10:00~00:00,10:00~00:00,10:00~00:00,연중무휴,323105096021_1.jpeg,20221109,37.5226571124,126.810906526
동물미용업,아띠독,화성시,반송동,경기도 화성시 동탄공원로3길 32-10 (반송동),경기도 화성시 반송동 45-4,1층,0507-1341-7281,10:00~18:00,10:00~18:00,,"화요일,일요일",313124061044_1.jpeg,20221107,37.2082358628,127.0616967284
동물미용업,두리애견용품,수원시 권선구,세류동,경기도 수원시 권선구 정조로 596 (세류동),경기도 수원시 권선구 세류동 150-8,,031-225-7533,09:00~20:00,09:00~18:00,휴무,일요일,313101254054_1.jpeg,20221205,37.2619541265,127.0141772387
동물미용업,스파펫살롱,평택시,지산동,경기도 평택시 지산3로4번길 47 (지산동),경기도 평택시 지산동 1166,,031-662-8355,11:00~18:30,11:00~18:30,11:00~18:30,연중무휴,313107056078_1.jpeg,20221029,37.0764090947,127.0655167276
동물위탁관리업,베베호텔 유치원 & 애견스파,군포시,산본동,경기도 군포시 금산로 100 3층 301호(산본동),경기도 군포시 산본동 213-9번지,,0507-1374-1553,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,323116054008_1.jpeg,20221128,37.370922168,126.936823383
동물미용업,뉴에스동물병원,군포시,산본동,"경기도 군포시 산본로343번길 7 창선빌딩 101, 102, B01-03호",경기도 군포시 산본동 1132번지,,031-397-0071,09:30~19:30,09:30~19:30,,일요일,313116061005_1.jpeg,20221128,37.3607315267,126.9319873501
동물위탁관리업,어나더베이비 동탄 라크몽점,화성시,송동,"경기도 화성시 동탄대로5길 21, 라크몽 지하1층",경기도 화성시 송동 726-1,B1층,070-4202-0982,11:00~20:00,11:00~20:00,11:00~20:00,연중무휴,323124069074_1.jpeg,20221103,37.1669505985,127.1050522109
동물위탁관리업,핑구펫,성남시 분당구,대장동,경기도 성남시 분당구 판교대장로 77 판교 풍경채 7단지 단지내상가 102호 (대장동),경기도 성남시 분당구 대장동 623번지,,031-703-1582,,,,,323102368044_1.jpeg,20221205,37.3678397476,127.0675235021
동물위탁관리업,탑동물병원,남양주시,다산동,경기 남양주시 도농로 49 상가동 101호,경기도 남양주시 다산동 4435 상가동 101호,1층,031-553-7585,10:00~19:30,10:00~19:00,10:00~18:30,월요일,323113058050_1.jpeg,20221113,37.6100477225,127.1561535855
동물위탁관리업,(주)이마트 파주운정점,파주시,동패동,"경기도 파주시 한울로 123, 이마트운정점 (동패동)",경기도 파주시 동패동 1763 이마트운정점,1층,031-931-2123,10:00~23:00,10:00~23:00,10:00~23:00,둘째 넷째주 수요일,323120058054_1.jpeg,20221103,37.7103889772,126.7450715864
동물미용업,개린이미용실,수원시 장안구,송죽동,경기도 수원시 장안구 만석로209번길 10 레이크팰리스 1층 개린이미용실,경기도 수원시 장안구 송죽동 445-7,,,10:00~20:00,10:00~20:00,10:00~20:00,무휴,313101159003_1.jpeg,20221027,37.3053191164,127.0009554804
동물위탁관리업,도그365,성남시 분당구,서현동,경기도 성남시 분당구 새마을로51번길 5 (서현동),경기도 성남시 분당구 서현동 136-9번지,,031-701-3650,,,,,323102358018_1.jpeg,20221205,37.3837925383,127.1366985571
동물미용업,마리네,고양시 일산서구,일산동,경기 고양시 일산서구 일청로65번길 6 상가 107호 마리네 애견미용실,경기도 고양시 일산서구 일산동 1940,1층,0507-1345-5955,10:00~19:00,10:00~19:00,,일요일,,,37.6895945571,126.7736033792
동물미용업,러블리독,평택시,서정동,경기도 평택시 송탄로 169 (서정동),경기도 평택시 서정동 285-22,1층,031-611-0939,10:00~15:00,10:00~15:00,10:00~15:00,연중무휴,313107051030_1.jpeg,20221026,37.0589692239,127.0589238843
동물위탁관리업,휴독,성남시 분당구,분당동,경기도 성남시 분당구 서현로439번길 19 (분당동),경기도 성남시 분당구 분당동 104-9번지,,070-4216-6991,,,,,323102351023_1.jpeg,20221205,37.3754193416,127.1458198773
동물위탁관리업,사랑우리애동물병원,구리시,인창동,경기 구리시 동구릉로 99,경기도 구리시 인창동 495-10,1층,315697582,10:00~19:00,10:00~19:00,휴무,일요일,,,37.6087941563,127.1349158123
동물위탁관리업,쿤이수염을쫓아 (비마이독),평택시,안중읍,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4,1층,0507-1434-8313,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,323107012074_1.jpeg,20221021,36.9898118847,126.9132829131
동물위탁관리업,무지개좋아,양주시,옥정동,경기도 양주시 옥정동로 173 다올레이크프라자 3층,경기도 양주시 옥정동 1041-6,3층,0507-1484-2277,10:00~20:00,10:00~19:00,10:00~19:00,화요일,323126056016_1.jpeg,20221117,37.8225177188,127.0990168653
동물미용업,24시 모두의동물병원,광명시,하안동,경기도 광명시 하안로 289 태홍빌딩 A동 2층,경기도 광명시 하안동 51번지,,02-6951-2475,00:00~24:00,,,연중무휴,313106064019_1.jpeg,20221107,37.461694901,126.8801934925
동물미용업,멍뭉살롱,수원시 영통구,이의동,경기도 수원시 영통구 센트럴파크로127번길 72,경기도 수원시 영통구 이의동 1306-2,,0507-1312-4441,10:00~20:00,휴무,휴무,"토,일",313101462050_1.jpeg,20221205,37.2945103396,127.0525203961
동물미용업,도그스마일,화성시,영천동,"경기도 화성시 동탄대로 591, 서강프라자 5층 (영천동)",경기도 화성시 영천동 658-4,,031-377-5937,17:00~20:30,12:00~20:30,12:00~20:30,연중무휴,313124065096_1.jpeg,20221024,37.2065628281,127.09829832
동물미용업,멋지개,평택시,통복동,"경기도 평택시 평택로110번길 54, 1층 (통복동)",경기도 평택시 통복동 66-36,1층,031-618-0006,10:00~19:00,10:00~19:00,10:00~19:00,화요일,313107061088_1.jpeg,20221104,36.998445626,127.0834593131
동물위탁관리업,함께할개 사랑할개,부천시,중동,"경기도 부천시 중동로262번길 38, 2층",경기도 부천시 중동 1147 화이트몰빌딩,2층,032-329-7752,13:00~21:00,13:00~21:00,13:00~21:00,화요일,323105090003_1.jpeg,20221027,37.5026239445,126.7709950914
동물위탁관리업,반려동물 훈련학교,용인시 처인구,모현읍,"경기도 용인시 처인구 모현읍 초부로 84-41 ATS (초부리, 반려동물훈련학교)",경기도 용인시 처인구 모현읍 초부리 398-2번지 ATS반려동물훈련학교,,0507-1426-4665,00:00~24:00,00:00~24:00,00:00~24:00,,323119112106_1.jpeg,20221122,37.3125533028,127.2505152829
동물미용업,표나개 반려애견 미용실,광명시,광명동,경기도 광명시 광명로 862-1 2층,경기도 광명시 광명동 295-10번지,2층,02-0618-0077,10:00~20:00,10:00~20:00,10:00~20:00,월요일,313106057015_1.jpeg,20221031,37.476070422,126.8530785387
동물미용업,모들샵,구리시,교문동,경기 구리시 이문안로 13,경기도 구리시 교문동 764-12,1층,031-562-2300,정보없음,정보없음,정보없음,정보없음,,,37.5920764864,127.1327546786
동물위탁관리업,베베(BEBE),가평군,가평읍,경기도 가평군 가평읍 가화로 130번길 2층 베베BEBE,경기도 가평군 가평읍 읍내리 446-6번지,2층,0507-1496-0096,00:00~24:00,00:00~24:00,00:00~24:00,,323137011002_1.jpeg,20221102,37.8311851768,127.5131707541
동물미용업,빅토리살롱,양주시,만송동,경기도 양주시 고읍로 166 2층,경기도 양주시 만송동 343-2번지,2층,031-847-7721,10:00~19:00,10:00~19:00,,일요일,313126052028_1.jpeg,20221123,37.7913644712,127.0874641435
동물미용업,독스맘,화성시,봉담읍,"경기도 화성시 봉담읍 장등1길 3-18, 102호",경기도 화성시 봉담읍 상리 627-2,,0507-1390-1730,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,313124012067_1.jpeg,20221107,37.223078864,126.9448905595
동물미용업,강아지 이발소,수원시 장안구,송죽동,경기도 수원시 장안구 경수대로976번길 32,경기도 수원시 장안구 송죽동 77-1,,031-251-5933,09:30~19:30,09:30~19:30,휴무,일요일,313101159007_1.jpeg,20221025,37.3061811905,127.0044704759
동물위탁관리업,아이러브 강아지,안양시 만안구,박달동,경기도 안양시 만안구 박달로 479,경기도 안양시 만안구 박달동 137-7,,031-465-8259,11:00~20:00,11:00~20:00,,일요일,323104164002_1.jpeg,20221205,37.4026055968,126.905560181
동물미용업,퍼피돌,고양시 덕양구,동산동,경기도 고양시 덕양구 동산1로 50 동산마을24단지 상가,경기도 고양시 덕양구 동산동 343,1층,***-****-****,11:00~19:00,11:00~19:00,11:00~19:00,연중무휴,313110158050_1.jpeg,20221114,37.6442370993,126.8822617714
동물위탁관리업,HaRi Grooming(하리애견),여주시,하동,경기도 여주시 여흥로69번길 19,경기도 여주시 하동 184-3번지,1층,***-****-****,10:00~20:00,10:00~20:00,휴무,일요일,323128052001_1.jpeg,20221103,37.2983022673,127.6320361005
동물미용업,우성동물병원,성남시 분당구,서현동,경기도 성남시 분당구 돌마로 481 (서현동),경기도 성남시 분당구 서현동 95번지,,031-707-1776,,,,,313102358008_1.jpeg,20221205,37.3777415229,127.132887434
동물위탁관리업,토탄이네,김포시,구래동,"경기도 김포시 김포한강4로 531 제이스프라자 5층 507호, 508호 토탄이네",,,0507-1301-8134,13:00~21:00,10:00~22:00,10:00~22:00,금요일,323123063022_1.jpeg,20221025,37.6455920539,126.6248942624
동물위탁관리업,꽃담 멍발소,이천시,증포동,경기도 이천시 증신로153번길 34 꽃담멍발소,경기도 이천시 증포동 380-8 꽃담멍발소,1층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,323121054019_1.jpeg,20221027,37.288135049,127.4513533854
동물미용업,삐삐펫살롱,부천시,중동,경기도 부천시 부흥로 339 101동 207호,경기도 부천시 중동1118-1,2층,0507-1330-5231,11:00~19:00,11:00~19:00,11:00~19:00,연중무휴,313105090111_1.jpeg,20221103,37.4941989506,126.7802400177
동물미용업,영동동물병원,용인시 수지구,죽전동,"경기도 용인시 수지구 현암로 136 (죽전동, 세종프라자)",경기도 용인시 수지구 죽전동 1191-1번지 세종프라자,,031-264-7502,,,,,,,37.3315099716,127.1244093832
동물위탁관리업,털뭉치들,남양주시,진접읍,경기 남양주시 진접읍 장현로 61 2층,경기도 남양주시 진접읍 장현리 644-4,2층,0507-1312-4196,10:00~19:00,10:00~19:00,10:00~19:00,수요일,323113012044_1.jpeg,20221121,37.7164724709,127.179920663
동물위탁관리업,이리온동물병원(병점점),화성시,병점동,"경기도 화성시 경기대로 985, 홈플러스 병점점 2층 (병점동)",경기도 화성시 병점동 399-4 홈플러스 병점점, 2층,031-226-7582,10:00~20:30,10:00~20:30,,일요일,323124053043_1.jpeg,20221028,37.2037240986,127.0367619429
동물미용업,대박놀개,화성시,봉담읍,경기도 화성시 봉담읍 동화새터길 32,경기도 화성시 봉담읍 동화리 401-2,1층,0507-1472-1570,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,313124012061_1.jpeg,20221019,37.2216369539,126.9546623648
동물미용업,주주동물병원,용인시 기흥구,구갈동,경기도 용인시 기흥구 구갈로 94,경기도 용인시 기흥구 구갈동 345-1번지,,031-284-8875,,,,,313119252007_1.jpeg,20221205,37.2826940746,127.1115099683
동물미용업,알로하퍼피,의왕시,내손동,경기도 의왕시 계원대학로 25 102호,경기도 의왕시 내손동 741-1번지,,***-****-****,10:00~20:00,,,휴무유동적,313117054008_1.jpeg,20221205,37.3799105469,126.9743920726
동물위탁관리업,그루밍 스팟,용인시 수지구,죽전동,"경기도 용인시 수지구 달맞이로 36 1층 102호 그루밍스팟 (죽전동, 현대프라자)",경기도 용인시 수지구 죽전동 425-2번지 1층 102호 그루밍스팟,1층,0507-1373-0585,10:30~19:00 ,10:30~19:00 ,10:30~19:00 ,수요일,323119354086_1.jpeg,20221021,37.3257736943,127.1149227863
동물미용업,똥강쥐 장바구니,의정부시,금오동,경기도 의정부시 금오동 344-17 금오2차 신도브래뉴 업,"경기도 의정부시 동일로 660, 상가B동 1층 (금오동, 금오2차 신도브래뉴 업)",1층,031-840-1002,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,,,37.7471435957,127.0546785496
동물위탁관리업,바둑아 놀자,안산시 단원구,와동,경기도 안산시 단원구 와동로 80 와동피아노교습소,경기도 안산시 단원구 와동 709번지,,0507-1374-9777,10:00~22:00,10:00~22:00,10:00~22:00,연중무휴,323109259024_1.jpeg,20221110,37.3373504633,126.8288477327
동물미용업,멍브라더 애견카페,남양주시,다산동,경기 남양주시 가운로2길 65 2층 멍브라더애견카페,경기도 남양주시 다산동 679-2,2층,0507-1349-4029,10:00~21:00,10:00~21:00,10:00~21:00,,313113059104_1.jpeg,20221116,37.5998934066,127.157480448
동물미용업,펫인쥬,의정부시,의정부동,경기도 의정부시 호국로1310번길 44 1층 펫인쥬,경기도 의정부시 의정부동 182-8 1층 펫인쥬,1층,031-860-5271,10:00~22:00,10:00~22:00,10:00~22:00,,313103069041_1.jpeg,20221123,37.7415899363,127.0495361925
동물위탁관리업,유독,김포시,구래동,경기도 김포시 김포한강9로 90 성현프라자 6층 602호,,,***-****-****,07:00~20:30,07:00~20:30,07:00~20:30,연중무휴,323123063002_1.jpeg,20221024,37.6446368021,126.6261296553
동물미용업,와와리 애견미용,시흥시,배곧동,"경기도 시흥시 배곧4로 106-25, 정문상가동 102호 (배곧동, 호반베르디움 센트로하임아파트)",경기도 시흥시 배곧동 174번지,,***-****-****,10:00~17:00,10:00~17:00,10:00~17:00,수요일,313115073030_1.jpeg,20221123,37.3710666931,126.7332724678
동물미용업,마미펫,오산시,원동,"경기도 오산시 오산로 164, 양우프라자 (원동)",경기도 오산시 원동 845 양우프라자 1층,1층,031-377-0907,10:00~18:00,10:00~18:00,10:00~18:00,월요일,313114052038_1.jpeg,20221027,37.1414684967,127.0690745758
동물미용업,파우파우(PAW PAW),광주시,중대동,경기도 광주시 순암로 294(중대동),경기도 광주시 중대동 98-8번지,1층,031-765-8777,10:00~19:00,10:00~19:00,10:00~19:00,화요일,313125058014_1.jpeg,20221120,37.4022454287,127.2201748745
동물미용업,뷰티멍,성남시 수정구,창곡동,경기도 성남시 수정구 위례순환로4길 12 지하1층 쿠피커피 뒤쪽 창곡천 방향,경기도 성남시 수정구 창곡동 525-4번지,지하1층,0507-1308-2314,10:00~18:00,10:00~18:00,10:00~18:00,"매주 화요일 휴무 매달 셋째주 화 , 수 휴무",313102168024_1.jpeg,20221129,37.4690450243,127.1488277953
동물미용업,도그스케치,광명시,노온사동,경기도 광명시 광명로 554,경기도 광명시 노온사동 207-4번지,,070-8802-0002,12:00~20:00,12:00~20:00,,일요일,313106068006_1.jpeg,20221121,37.4498904789,126.8457066056
동물미용업,미스터 페이머스(Mr. Famous),용인시 기흥구,보정동,경기도 용인시 기흥구 죽전로 15번길 19-9,경기도 용인시 기흥구 보정동 1181-2번지,,031-889-8680,09:00~20:00,09:00~20:00,09:00~20:00,화요일,313119259040_1.jpeg,20221205,37.3222227441,127.1095797161
동물위탁관리업,쏭이네 애견샵,평택시,팽성읍,"경기도 평택시 팽성읍 안정순환로172번길 40, 1층",경기도 평택시 팽성읍 안정리 41-299,1층,031-654-0201,10:30~19:00,10:30~19:00,10:30~19:00,격주 일요일,323107011054_1.jpeg,20221026,36.9613544294,127.0449855269
동물위탁관리업,현대애견,포천시,소흘읍,경기도 포천시 소흘읍 송우로 87,경기도 포천시 소흘읍 송우리 728-4,1층,031-541-9489,10:00~20:30,휴무일,휴무일,"토요일,일요일,공휴일",323127011005_1.jpeg,20221114,37.8302369596,127.1392819934
동물위탁관리업,개랑와바,포천시,소흘읍,경기도 포천시 소흘읍 호국로429번길 63,경기도 포천시 소흘읍 이동교리 214-6,1층,0507-1318-0215,09:00~18:00,휴무일,휴무일,"토요일, 일요일",323127011012_1.jpeg,20221125,37.81417753,127.1283170572
동물위탁관리업,플레이어스,화성시,반송동,"경기도 화성시 노작로1길 35-1, 1층 (반송동)",경기도 화성시 반송동 123-2,,0507-1319-8860,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,323124060029_1.jpeg,20221119,37.1964899071,127.0789144666
동물미용업,신동물메디컬센터,화성시,향남읍,"경기도 화성시 향남읍 행정서로2길 28-37, 태평빌",경기도 화성시 향남읍 행정리 417-14 태평빌,1층,031-352-6633,09:30~20:00,09:30~18:00,휴무,일요일,313124014147_1.jpeg,20221111,37.1311906066,126.9150865418
동물위탁관리업,도고네,수원시 팔달구,행궁동,경기도 수원시 팔달구 행궁로 71 남문 메가박스,경기도 수원시 팔달로3가 84-5,B1층,0507-1333-6532,09:00~24:00,09:00~24:00,09:00~24:00,월요일,323101372020_1.jpeg,20221118,37.2762393051,127.0159127772
동물미용업,우리 똥강아지,고양시 일산동구,백석동,경기 고양시 일산동구 장백로 13 성우아뜨리움오피스텔,경기도 고양시 일산동구 백석동 1314 성우아뜨리움 117호,1층,031-932-9982,10:00~21:00,10:00~21:00,10:00~21:00,연중무휴,313110361059_1.jpeg,20221107,37.6396978726,126.7899803293
동물위탁관리업,어서오개,광명시,소하동,"경기도 광명시 금하로527번길 19 , 1층 3호",경기도 광명시 소하동 47-27번지,,***-****-****,10:00~20:00,,,,323106066012_1.jpeg,20221025,37.4525936994,126.8893361512
동물미용업,용인죽전 24시 스카이동물메디컬센터,용인시 수지구,죽전동,경기도 용인시 수지구 용구대로 2748 (죽전동),경기도 용인시 수지구 죽전동 899-8번지,,031-546-5975,,,,,313119355052_1.jpeg,20221205,37.3308661583,127.1093092325
동물미용업,프로펫,안성시,인지동,경기 안성시 장기로 54,경기도 안성시 인지동 420-6,,031-671-0990,09:00~20:00,09:00~20:00,09:00~20:00,연중무휴,313122052011_1.jpeg,20221028,37.0044770063,127.2687222074
동물미용업,S클래스 동물병원,수원시 영통구,원천동,"경기도 수원시 영통구 광교호수공원로 277 B1층 9, 10호",경기도 수원시 영통구 원천동 589 중흥 S-클래스,,031-217-7801,10:00~20:00,10:00~20:00,,일,313101460040_1.jpeg,20221122,37.2819999319,127.0575579762
동물미용업,미래애견,시흥시,신천동,"경기도 시흥시 시흥대로 1069-1, 염광교회 (신천동)",경기도 시흥시 신천동 888-7번지,1층,031-312-2625,,,,,313115052048_1.jpeg,20221109,37.4315756478,126.7926403664
동물미용업,몽스샵,광명시,소하동,경기도 광명시 영당로21번길 5 제상가동 103호,경기도 광명시 소하동 940번지,1층,0507-1306-6338,10:00~20:00,,,연중무휴,313106067007_1.jpeg,20221021,37.4347035553,126.8776015772
동물위탁관리업,사랑네 애견미용 호텔,안산시 단원구,고잔동,경기도 안산시 단원구 광덕대로 130 폴리타운 A동114호,경기도 안산시 단원구 고잔동 775번지,,***-****-****,09:30~20:00,09:30~20:00,09:30~20:00,연중무휴,323109273008_1.jpeg,20221109,37.3081200142,126.8306536124
동물미용업,엣지잇개,남양주시,진접읍,경기 남양주시 진접읍 해밀예당3로 69 상가동 102호 엣지잇개,경기도 남양주시 금곡리 1093,1층,***-****-****,10:00~19:00,,,"토요일,일요일",313113012090_1.jpeg,20221026,37.7168410474,127.196598193
동물미용업,로렌드 멍,부천시,도당동,"경기도 부천시 정주로14번길 28, 1층 (도당동)",경기도 부천시 도당동 283-20,1층,,11:00~20:00,11:00~20:00,11:00~20:00,연중무휴,313105088137_1.jpeg,20221025,37.5074540374,126.7796262476
동물미용업,아보네 멍빌리지,오산시,내삼미동,"경기도 오산시 수청로 80-6, 103호 (내삼미동)",경기도 오산시 내삼미동 887-1,1층,0507-1307-3743,10:30~20:00,10:30~20:00,10:30~20:00,연중무휴,313114054018_1.jpeg,20221026,37.1758783837,127.0552487056
동물미용업,시민동물병원,광주시,장지동,경기도 광주시 순암로 54 1층,경기도 광주시 장지동 83-13번지,1층,0507-1354-4676,10:00~20:00,10:00~20:00,10:00~20:00,,313125058034_1.jpeg,20221120,37.3948794053,127.2432381399
동물미용업,강남동물병원,고양시 일산동구,식사동,경기도 고양시 일산동구 위시티로 75,경기도 고양시 일산동구 식사동 670-28,1층,031-906-7575,10:00~20:00,10:00~20:00,휴무일,일요일,313110351028_1.jpeg,20221111,37.6787518603,126.8111889898
동물미용업,데이지 독,양주시,고암동,경기 양주시 고암길 154-64 1층 데이지독,경기도 양주시 고암동 586-3,1층,0507-1303-9268,10:00~20:00,10:00~20:00,10:00~20:00,일요일,313126055042_1.jpeg,20221027,37.8321574516,127.074668589
동물미용업,옆집강아지애견샵,광주시,오포읍,경기도 광주시 오포읍 양촌길 174-6 현성아름빌1층,경기도 광주시 오포읍 양벌리 630-24번지,1층,031-797-9991,,,,,,,37.3700824963,127.2517366436
동물위탁관리업,위드펫홈,부천시,오정동,"경기도 부천시 오정로252번길 76, 5층 (오정동)",경기도 부천시 오정동 114-22,5층,0507-1407-7907,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,323105096002_1.jpeg,20221028,37.5285296348,126.7904016463
동물미용업,다올동물의료센터 망포점,수원시 영통구,망포동,경기도 수원시 영통구 덕영대로 1478 망포역포레스퀘어 212,경기도 수원시 영통구 망포동 41-1 망포역 포레 스퀘어,,0507-1478-0217,09:00~22:00,09:00~22:00,09:00~22:00,무휴,313101468003_1.jpeg,20221031,37.2451586486,127.052429007
동물미용업,그랜드동물병원,고양시 일산서구,주엽2동,"경기도 고양시 일산서구 주엽로 134 시대프라자 101, 102, 103호",경기도 고양시 일산서구 주엽2동 115-1,1층,031-921-7582,10:00~19:00,10:00~17:00,휴무일,"일요일,둘째토요일,넷째토요일",313110456001_1.jpeg,20221116,37.6707056974,126.7581282251
동물미용업,포근한 동물병원,고양시 덕양구,삼송동,경기도 고양시 덕양구 동세로 63 강남프라자 103호,경기도 고양시 덕양구 삼송동 337-3,1층,02-381-7963,10:00~20:00,10:00~18:00,휴무일,일요일,313110170007_1.jpeg,20221114,37.6481325706,126.884315286
