개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4010000,202440100000101701,개방화장실,법제3조제16호-영제3조제1항제4호,군자도서관,경기도 시흥시 군자로 499,경기도 시흥시 거모동 1508-8,4,6,1,0,0,0,10,1,0,경기도 시흥시 중앙도서관,0313105197,정시,09:00-22:00,201003,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,N,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101704,개방화장실,법제3조제16호-영제3조제1항제1호,군자파출소,"경기도 시흥시 군자로 513 (거모동, 군자파출소)",경기도 시흥시 거모동 1757-6,1,1,0,0,0,0,1,0,0,시흥경찰서,0314910112,상시,,201611,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101709,공중화장실,법제3조제5호,나래솔공원,경기도 시흥시 함송로29번길 67,경기도 시흥시 정왕동 1878-11,1,3,1,0,0,0,4,1,0,경기도 시흥시 공원과,0313103865,상시,,199801,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101713,개방화장실,법제3조제16호-영제3조제1항제4호,능곡도서관,경기도 시흥시 능곡중앙로 85,경기도 시흥시 능곡동 552,6,9,3,0,0,0,15,3,0,경기도 시흥시 능곡도서관,0313102560,정시,09:00-22:00,201008,공공기관-지방자치단체,수세식,N,Y,장애인화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101714,개방화장실,법제3조제13호,능곡어울림센터,경기도 시흥시 능곡로 140,경기도 시흥시 능곡동 710,12,14,5,0,0,0,41,5,0,시흥도시공사,0314886947,정시,09:00-18:00,201810,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101715,공중화장실,법제3조제5호,능곡중앙공원 화장실,경기도 시흥시 능곡동 766,경기도 시흥시 능곡동 766,1,4,0,0,0,0,4,0,0,경기도 시흥시 공원과,0313103870,상시,,199801,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101716,개방화장실,법제3조제16호-영제3조제1항제1호,능곡파출소,"경기도 시흥시 장현능곡로 211 (능곡동, 능곡파출소)",경기도 시흥시 능곡동 613,1,1,0,0,0,0,1,0,0,시흥경찰서,0313150113,상시,,200901,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101718,공중화장실,법제3조제5호,능골공원 화장실,경기도 시흥시 능곡동 781,경기도 시흥시 능곡동 781,1,3,1,0,0,0,3,1,0,경기도 시흥시 공원과,0313103870,상시,,200904,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101719,개방화장실,법제3조제8호,달월역,"경기도 시흥시 서해안로736번길 55 (월곶동, 달월역)",경기도 시흥시 월곶동 662-3,2,4,1,0,1,0,6,1,1,경기도 시흥시 한국철도공사,03180775616,정시,05:00-00:00,201206,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101720,개방화장실,법제3조제13호,달월체육관,경기도 시흥시 군자로 9,경기도 시흥시 월곶동 950-20,2,2,0,1,0,0,2,0,0,시흥도시공사,03180840138,정시,09:00-18:00,200901,공공기관-국가공공기관,수세식,N,Y,남자화장실+여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101722,공중화장실,법제3조제11호,대광주유소,"경기도 시흥시 금오로 499 (과림동, SK대광주유소)",경기도 시흥시 과림동 305-1,1,1,0,0,0,0,1,0,0,개인,0226870651,정시,06:00-23:00,199401,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101727,개방화장실,법제3조제16호-영제3조제1항제1호,대야동주민센터,경기도 시흥시 복지로 37,경기도 시흥시 대야동 491-3,2,2,1,0,0,0,3,1,0,대야동 마을자치과,0313103787,정시,09:00-8:00,199703,공공기관-지방자치단체,수세식,N,Y,장애인화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101729,개방화장실,법제3조제5호,대야삼 2공원 공중화장실,경기도 시흥시 비둘기공원1길 6,경기도 시흥시 대야동 418-126,2,1,1,1,0,0,4,1,0,대야동 안전생활과,0313102694,상시,,202012,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101730,공중화장실,법제3조제5호,대야이 1수변공원 화장실,경기도 시흥시 은행로218번길 14(대야동),경기도 시흥시 대야동 358-3,2,1,1,1,0,0,4,1,0,대야동 안전생활과,0313102694,상시,,202108,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101731,개방화장실,법제3조제16호-영제3조제1항제1호,대야파출소,경기도 시흥시 호현로 42-1 (대야동),경기도 시흥시 대야동 494,1,1,0,0,0,0,1,0,0,시흥경찰서,0313110112,상시,,199101,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101732,공중화장실,법제3조제16호-영제3조제1항제4호,대야평생학습관,경기도 시흥시 은행로 173번길14,경기도 시흥시 대야동 571-3,4,4,1,0,0,0,5,1,0,시흥도시공사,0313102524,정시,09:00-18:00,199510,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101736,개방화장실,법제3조제17호-영제3조제2항제1호,길산지식산업센터,경기도 시흥시 경기과기대로 219,경기도 시흥시 정왕동 1277-14,6,4,1,2,0,0,6,1,0,길산지식산업센터관리단,03180634114,상시,,201909,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101737,공중화장실,법제3조제11호,동양주유소,"경기도 시흥시 금오로 580 (과림동, SK동양주유소)",경기도 시흥시 과림동 94-1,2,0,0,0,0,0,2,0,0,개인,0226111120,정시,06:00-23:00,199502,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101738,개방화장실,법제3조제17호-영제3조제2항제1호,더웰오피스텔,경기도 시흥시 뒷방울길 19-1,경기도 시흥시 정왕동 2638,2,1,0,0,0,0,3,0,0,더웰오피스텔관리단,0314311504,상시,,202302,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101743,개방화장실,법제3조제17호-영제3조제2항제1호,동우디지털파크,경기도 시흥시 정왕천로 197,경기도 시흥시 정왕동 1288-2,8,12,0,0,0,0,6,0,0,동우디지털파크관리단,0314981000,정시,08:00-19:00,200311,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101744,개방화장실,법제3조제16호-영제3조제1항제4호,매화도서관,경기도 시흥시 매화로 20,경기도 시흥시 매화동 77-1,2,3,1,0,0,0,4,1,0,경기도 시흥시 매화도서관,0313102580,정시,10:00-22:00,201201,공공기관-지방자치단체,수세식,N,Y,장애인화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101745,개방화장실,법제3조제16호-영제3조제1항제1호,매화동주민센터,"경기도 시흥시 매화로 22 (매화동, 매화동주민센터)",경기도 시흥시 매화동 77-8,2,3,1,0,0,0,4,1,0,경기도 시흥시 주민센터(매화동),0313104421,정시,09:00-18:00,201101,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101746,개방화장실,법제3조제16호-영제3조제1항제1호,매화파출소,"경기도 시흥시 매화로 36 (매화동, 매화파출소)",경기도 시흥시 매화동 202-1,1,1,0,0,0,0,1,0,0,시흥경찰서,0313150112,상시,,200002,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101751,공중화장실,법제3조제5호,목감공원 화장실,경기도 시흥시 솔고개길 43,경기도 시흥시 목감동 398,1,1,1,0,1,1,4,1,1,경기도 시흥시 공원과,0313103869,상시,,201512,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101754,개방화장실,법제3조제13호,목감다니생활체육관,경기도 시흥시 마산로 43,경기도 시흥시 조남동 산689,2,2,1,1,0,0,3,1,0,시흥도시공사,03180840143,정시,09:00-18:00,202211,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101755,개방화장실,법제3조제16호-영제3조제1항제4호,목감도서관,경기도 시흥시 솔고개길 33,경기도 시흥시 목감동 398,13,5,3,0,0,0,18,4,0,경기도 시흥시 목감도서관,0313102590,정시,09:00-22:00,201902,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101761,공중화장실,법제3조제11호,무지내주유소,경기도 시흥시 금오로 144 (무지내동),경기도 시흥시 무지내동 277-1,1,1,0,0,0,0,1,0,0,개인,0313138333,정시,06:00-23:00,201008,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101762,공중화장실,법제3조제5호,물빛공원,경기도 시흥시 배곧동 62,경기도 시흥시 배곧동 62,2,3,1,0,0,0,4,1,0,경기도 시흥시 공원과,0313103863,상시,,201601,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101763,공중화장실,법제3조제2호,물왕 공중화장실,경기도 시흥시 동서로857번길 11 (물왕동),경기도 시흥시 물왕동 95-14,2,2,0,0,0,0,2,0,0,경기도 시흥시 하수관리과,0313106163,상시,,199609,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101765,개방화장실,법제3조제16호-영제3조제1항제1호,배곧1동주민센터,경기도 시흥시 배곧4로 94-41,경기도 시흥시 배곧동 169,4,3,3,0,0,0,6,3,0,배곧1동주민센터,0313106904,정시,09:00-18:00,202107,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101766,개방화장실,법제3조제16호-영제3조제1항제1호,배곧2어울림센터,경기도 시흥시 배곧1로 30,경기도 시흥시 배곧동 274,4,4,2,0,0,0,6,2,0,배곧2동 행정복지센터,0313106792,정시,(월~금)09:00-21:00+(토) 09:00-18:00+(일) 09:00-17:00,202208,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101767,개방화장실,법제3조제16호-영제3조제1항제4호,배곧도서관,경기도 시흥시 배곧4로 102,경기도 시흥시 배곧동 162,1,5,5,0,1,0,12,5,1,경기도 시흥시 중앙도서관,0313105289,정시,09:00-22:00,202008,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101768,공중화장실,법제3조제5호,배곧생명공원,경기도 시흥시 배곧동 187,경기도 시흥시 배곧동 187,4,4,1,0,0,0,8,0,0,경기도 시흥시 공원과,0313103863,상시,,201601,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101769,공중화장실,법제3조제5호,배곧생명공원 간이화장실,경기도 시흥시 배곧동 187,경기도 시흥시 배곧동 187,2,3,1,0,0,0,4,1,0,경기도 시흥시 공원과,0313103863,상시,,201501,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101772,개방화장실,법제3조제16호-영제3조제1항제1호,배곧파출소,경기도 시흥시 서울대학로 264번길 45,경기도 시흥시 배곧동 212,1,1,0,0,0,0,1,0,0,시흥경찰서,0313109112,상시,,201906,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101773,공중화장실,법제3조제5호,배곧한울공원,경기도 시흥시 해송십리로 61,경기도 시흥시 정왕동 1771-9,5,11,5,0,0,1,18,6,0,시흥도시공사,0314886965,상시,,201702,공공기관-지방자치단체,수세식,N,Y,남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101776,공중화장실,법제3조제11호,보금자리주유소,"경기도 시흥시 금오로 94 (무지내동, gs신원주유소)",경기도 시흥시 무지내동 370,2,2,0,0,0,0,2,0,0,개인,0314352335,상시,,200705,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101779,공중화장실,법제3조제5호,비둘기공원 화장실,경기도 시흥시 대은로 16-29,경기도 시흥시 은행동 551,2,5,0,0,0,0,6,0,0,경기도 시흥시 공원과,0313103870,상시,,200810,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101782,공중화장실,법제3조제5호,산들공원(관리사무소) 화장실,경기도 시흥시 군자동 1352,경기도 시흥시 군자동 1352,2,3,1,0,0,0,4,1,0,경기도 시흥시 공원과,0313103870,상시,,201005,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101783,공중화장실,법제3조제5호,산들공원(물놀이장) 화장실,경기도 시흥시 군자동 1352,경기도 시흥시 군자동 1352,1,3,1,0,0,0,3,1,0,경기도 시흥시 공원과,0313103871,상시,,201611,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101784,공중화장실,법제3조제5호,산현 공중화장실,경기도 시흥시 물왕수변로 63 (산현동),경기도 시흥시 산현동 247,3,4,0,0,0,0,8,0,0,경기도 시흥시 하수관리과,0313106163,상시,,200905,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,202412,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101785,공중화장실,법제3조제5호,산현공원 화장실,경기도 시흥시 목감남서로 15,경기도 시흥시 조남동 670,1,1,1,0,1,1,4,1,1,경기도 시흥시 공원과,0313103869,상시,,201611,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101794,공중화장실,법제3조제5호,샛말공원 화장실,경기도 시흥시 하중로173번길 23(하중동),경기도 시흥시 하중동 848,1,2,0,0,0,0,2,0,0,경기도 시흥시 공원과,0313103871,상시,,201008,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101795,공중화장실,법제3조제5호,생금집,경기도 시흥시 죽율로 45-32 (죽율동),경기도 시흥시 죽율동 765,1,1,0,0,0,0,2,0,0,경기도 시흥시 문화예술과,0313106707,정시,09:00-18:00,200506,공공기관-지방자치단체,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101803,개방화장실,법제3조제16호-영제3조제1항제4호,소래빛도서관,경기도 시흥시 비둘기공원로 25,경기도 시흥시 대야동 562-4,8,9,0,0,1,0,17,0,1,경기도 시흥시 소래빛도서관,0313105243,정시,09:00-22:00,200608,공공기관-지방자치단체,수세식,N,Y,장애인화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101804,공중화장실,법제3조제2호,소래철교 공중화장실,경기도 시흥시 월곶해안로 29 (월곶동),경기도 시흥시 월곶동 991-25,1,2,0,0,0,0,4,0,0,경기도 시흥시 하수관리과,0313106163,상시,,200708,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101806,공중화장실,법제3조제5호,솔숲공원 화장실,경기도 시흥시 미산로 144번길 17,경기도 시흥시 미산동 산12-6,2,3,1,0,0,0,5,1,0,경기도 시흥시 공원과,0313103870,상시,,201010,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101807,공중화장실,법제3조제5호,송운공원,경기도 시흥시 정왕동 1873-1,경기도 시흥시 정왕동 1873-1,2,3,0,0,0,0,2,0,0,경기도 시흥시 공원과,0313103862,상시,,199801,공공기관-지방자치단체,수세식,N,Y,여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101813,개방화장실,법제3조제16호-영제3조제1항제1호,시화파출소,"경기도 시흥시 중심상가로 271 (정왕동, 시화파출소)",경기도 시흥시 정왕동 1785-4,1,1,0,0,0,0,1,0,0,시흥경찰서,0314320112,상시,,199801,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101815,개방화장실,법제3조제16호-영제3조제1항제1호,시흥경찰서,"경기도 시흥시 황고개로 513 (장곡동, 시흥경찰서)",경기도 시흥시 장곡동 340,1,1,0,0,0,0,1,0,0,시흥경찰서,0313109221,상시,,200401,공공기관-지방자치단체,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101816,개방화장실,법제3조제16호-영제3조제1항제4호,시흥교육지원청,"경기도 시흥시 마유로446번길 11-2 (정왕동, 시흥교육청)",경기도 시흥시 정왕동 806-20,6,9,0,0,0,0,15,0,0,경기도 시흥시 시흥교육지원청 경영지원과,0314882465,정시,09:00-18:00,201110,공공기관-국가공공기관,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101820,공중화장실,법제3조제16호-영제3조제1항제1호,시흥대야동우체국,"경기도 시흥시 호현로 58 (대야동, 시흥대야동우체국)",경기도 시흥시 대야동 485,1,1,0,0,0,0,1,0,0,시흥우체국,03180412753,정시,09:00-18:00,199407,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101822,개방화장실,법제3조제16호-영제3조제1항제1호,시흥배곧동우체국,경기도 시흥시 서울대학로278번길 45,경기도 시흥시 배곧동 208,0,0,1,0,0,0,1,1,0,시흥우체국,03180412753,정시,19:00-18:00,202111,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,Y,남자화장실+여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101823,개방화장실,법제3조제16호-영제3조제1항제1호,시흥세무서,"경기도 시흥시 마유로 368 (정왕동, 시흥세무서)",경기도 시흥시 정왕동 1799-1,15,15,1,0,0,0,25,1,0,시흥세무서,0313107247,정시,09:00-18:00,201101,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101824,개방화장실,법제3조제16호-영제3조제1항제3호,시흥소방서 공중화장실,"경기도 시흥시 정왕신길로 206 (정왕동, 시흥소방서)",경기도 시흥시 정왕동 1800-1,2,3,0,0,0,0,2,0,0,시흥소방서,0313100502,상시,,201201,공공기관-지방자치단체,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101825,개방화장실,법제3조제16호-영제3조제1항제3호,시흥시가족센터 공중화장실,경기도 시흥시 정왕천로 449번길 51,경기도 시흥시 정왕동 1187,3,3,1,0,0,0,10,1,0,경기도 시흥시 외국인주민과,0313102612,정시,19:00-18:00,201711,공공기관-지방자치단체,수세식,N,Y,장애인화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101827,개방화장실,법제3조제16호-영제3조제1항제3호,시흥시농업기술센터,경기도 시흥시 관곡지로 139,경기도 시흥시 하중동 271,3,4,0,0,0,0,7,0,0,시흥시농업기술센터,0313106203,상시,,201111,공공기관-지방자치단체,수세식,N,N,,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
4010000,202440100000101828,개방화장실,법제3조제16호-영제3조제1항제3호,시흥시보건소,"경기도 시흥시 호현로 55 (대야동, 시흥시보건소대야종합사회복지관)",경기도 시흥시 대야동 484-5,11,10,2,2,0,0,13,3,0,시흥시 보건소,0313105812,정시,09:00-18:00,200210,공공기관-지방자치단체,수세식,N,Y,장애인화장실+남자화장실+여자화장실,N,N,,202401,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:13
