bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,region_div_nm,tot_floor_cnt,circumfr_envrn_nm,buldng_purpos_nm,ground_floor_cnt,bsmnt_floor_cnt,ship_tot_tonge,ship_spec_cont,mtngrm_atstm_aceptnc_psncnt,playfaclt_cnt,infodesk_extno,subfaclt_info
NC소극장,20140312,,13,영업중,,,,"경기도 안산시 단원구 광덕대로 194, A관동 5층 (고잔동)",경기도 안산시 단원구 고잔동 725-1,425809,37.3134582083,126.8310125539,,184953.121683517,423556.960051606,공연장,공연장,중심상업지역,7,,문화시설,5,2,,,,,,
중앙씨네마타운4 3관,20020504,,13,영업중,,,,경기도 평택시 평택로32번길 25  (평택동),경기도 평택시 평택동 298-2,450828,36.9914156369,127.0889816175,,207848.496161395,387760.895664779,공연장,공연장,,,,,,,,,,,,
중앙씨네마타운4 4관,20020504,,13,영업중,,,,경기도 평택시 평택로32번길 25  (평택동),경기도 평택시 평택동 298-2,450828,36.9914156369,127.0889816175,,207848.496161395,387760.895664779,공연장,공연장,,,,,,,,,,,,
평택시 북부문화예술회관,20030114,,13,영업중,,031-8024-7391,,경기도 평택시 경기대로 1366 (서정동),경기도 평택시 서정동 800,459813,37.0672231902,127.0654116457,,205707.220027105,396094.485139448,공연장,공연장,,,,,,,,,,,,
평택시 서부문예회관,20030114,,13,영업중,,031-8053-3590,,경기도 평택시 안중읍 서동대로 1531,경기도 평택시 안중읍 학현리 572,451882,36.990134068,126.9201464674,,192805.041209647,387587.679296272,공연장,공연장,,,,,,,,,,,,
평택아트센터(대공연장),20251217,,13,영업중,,031-8053-3500,18017,"경기도 평택시 고덕로 310, 평택아트센터 (고덕동)",경기도 평택시 고덕동 2688 평택아트센터,18017,37.0394751118,127.0339722499,,,,공연장,공연장,,5,,문화시설,4,1,,,,,,
평택아트센터(소공연장),20251217,,13,영업중,,031-8053-3500,18017,"경기도 평택시 고덕로 310, 평택아트센터 (고덕동)",경기도 평택시 고덕동 2688 평택아트센터,18017,37.0394751118,127.0339722499,,,,공연장,공연장,,5,,문화시설,4,1,,,,,,
두드림뮤직센터,20180316,,13,영업중,,031-868-3300,11324,경기도 동두천시 상패로216번길 42 (보산동),경기도 동두천시 보산동 429-4,11324,37.9158484785,127.0564962091,,204887.726760054,490352.827614167,공연장,공연장,,,,,,,,,,,,
해돋이극장,20040921,,13,영업중,,031-481-4000,,경기도 안산시 단원구 화랑로 312 (고잔동),경기도 안산시 단원구 고잔동 817,425906,37.3184603572,126.8230002961,,184197.712451636,424213.914504418,공연장,공연장,주거지역,,기타,문화시설,,,,,,,,
통나무소극장,20180807,,13,영업중,,02-509-6250,13829,"경기도 과천시 광명로 181, 서울랜드 (막계동)",경기도 과천시 막계동 33 서울랜드,13829,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
지구별무대,20180807,,13,영업중,,02-509-6250,13829,"경기도 과천시 광명로 181, 서울랜드 (막계동)",경기도 과천시 막계동 33 서울랜드,13829,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
베니스무대,20210908,,13,영업중,,02-509-6259,13829,"경기도 과천시 광명로 181, 서울랜드 (막계동)",경기도 과천시 막계동 33 서울랜드,13829,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
구리시청소년수련관 공연장,20030807,,13,영업중,,031-553-7101,,경기도 구리시 건원대로34번길 32-10 (인창동),경기도 구리시 인창동 673-4,471841,37.6037947732,127.1418056987,,212452.473507195,455728.631803299,공연장,공연장,,,,,,,,,,,,
구리아트홀 유채꽃소극장,20121101,,13,영업중,,031-580-7900,,"경기도 구리시 아차산로 453 (교문동, 구리아트홀)",경기도 구리시 교문동 390 구리아트홀,471803,37.5955466466,127.1298603442,,211381.003384074,454789.588530847,공연장,공연장,,5,,문화시설,4,1,,,,,,
구리아트홀 코스모스대극장,20121101,,13,영업중,,031-580-7900,,"경기도 구리시 아차산로 453 (교문동, 구리아트홀)",경기도 구리시 교문동 390 구리아트홀,471803,37.5955466466,127.1298603442,,211381.003384074,454789.588530847,공연장,공연장,,5,,문화시설,4,1,,,,,,
북한강야외공연장,20080530,,13,영업중,,031-590-8766,,경기도 남양주시 화도읍 북한강로 1554,경기도 남양주시 화도읍 금남리 174-1,472842,37.6473281933,127.3656255247,,232207.308068897,460570.581948767,공연장,공연장,,2,,문화시설,2,,,,,,,
마상공연장,20110209,,13,영업중,,031-559-8018,,경기도 남양주시 수동면 비룡로 1621-7,경기도 남양주시 수동면 수산리 597 외 1필지,472851,37.7570796756,127.2744142007,,224125.115078317,472766.511610275,공연장,공연장,,1,,,,,,,,,,
우당아트홀,20131119,,13,영업중,,,,경기도 남양주시 진접읍 경복대로 425,경기도 남양주시 진접읍 금곡리 383,472948,37.7351035353,127.2115839768,,218503.388788701,470380.811152277,공연장,공연장,,3,학교정화(절대),문화시설,3,,,,,,,
오산문화예술회관 대공연장,20040729,,13,영업중,,,18131,"경기도 오산시 경기동로 41, 문화예술회관 (오산동)",경기도 오산시 오산동 34-5 문화예술회관,18131,37.1595157022,127.0768333561,,206756.593118463,406369.015736126,공연장,공연장,,,,,,,,,,,,
시민회관,20070326,,13,영업중,,,,경기도 오산시 오산천로 275 (오산동),경기도 오산시 오산동 345,447800,37.1562601917,127.0714232264,,206278.954863985,406028.227926422,공연장,공연장,,,,,,,,,,,,
오산장터 커뮤니티센터 공연장,20210713,,13,영업중,,031-379-9922,18136,"경기도 오산시 경기대로333번길 32, 오산장터 커뮤니티센터 (오산동)",경기도 오산시 오산동 354-1,18136,37.1546769997,127.0698442567,,206136.28816742,405877.395184225,공연장,공연장,,,,,,,,,,,,
MEG아트홀,20220427,,13,영업중,,,18114,"경기도 오산시 내삼미로 93, 백현프라자 4층 2호 (수청동)",경기도 오산시 수청동 620-1,18114,37.1705360635,127.0657894163,,205772.593788814,407635.473343038,공연장,공연장,,,,,,,,,,,,
대야평생학습관,20040426,,13,영업중,,031-310-2524,,경기도 시흥시 은행로173번길 14 (대야동),경기도 시흥시 대야동 571-3,429874,37.4455175348,126.7968163486,,181933.080911607,438152.135409829,공연장,공연장,,,,,,,,,,,,
정왕평생학습관,20040608,,13,영업중,,031-310-6001,,경기도 시흥시 정왕대로233번길 21 (정왕동),경기도 시흥시 정왕동 1800-7,429450,37.3478304211,126.7404072295,,176928.091882098,427334.540864059,공연장,공연장,,,,,,,,,,,,
한울림관,20070731,,13,영업중,,031-315-1890,14914,"경기도 시흥시 은행로 179, 시흥시청소년수련관 (대야동)",경기도 시흥시 대야동 571-2 시흥시청소년수련관,14914,37.4460408308,126.7969018918,,181992.276738745,438229.692309296,공연장,공연장,,,,,,,,,,,,
어울림 소극장,20180220,,13,영업중,,031-310-2063,14902,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 3동 지1층 (대야동)",경기도 시흥시 대야동 332-1 시흥ABC행복학습타운 3동,14902,37.4485093838,126.7846914585,,180906.714094577,438586.806375632,공연장,공연장,,,,,,,,,,,,
ABC홀,20220725,,13,영업중,,031-310-2062,14902,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 (대야동)",경기도 시흥시 대야동 332-1 시흥ABC행복학습타운,14902,37.4485093838,126.7846914585,,180906.714094577,438586.806375632,공연장,공연장,,1,기타,문화시설,,,,,,,,
군포문화예술회관 철쭉홀,20030121,,13,영업중,,,,경기도 군포시 고산로 599 (산본동),경기도 군포시 산본동 1101,435802,37.365784472,126.9274658783,,193490.055724808,429360.440501578,공연장,공연장,일반주거지역,6,주택가주변,문화시설,4,2,,,,,,
청소년 어울림 극장,20050412,,13,영업중,,031-390-1400,,경기도 군포시 산본로 322 (금정동),경기도 군포시 금정동 847-3,435050,37.3598345302,126.9347833004,,194142.393258719,428638.422554555,공연장,공연장,,0,,,0,0,,,,,,
평생학습관 공연장,20060403,,13,영업중,,,,경기도 의왕시 오전로 122 (오전동),경기도 의왕시 오전동 852 3층,437823,37.3549830946,126.9754353875,,197753.329429725,428106.861670041,공연장,공연장,,5,,문화시설,3,2,,,,,,
하남문화예술회관 대공연장,20061208,,13,영업중,,031-790-7915,12934,"경기도 하남시 신평로 125, 하남문화예술회관 (덕풍동)",경기도 하남시 덕풍동 694 하남문화예술회관,12934,37.5447463256,127.2068173091,,218233.118711864,449153.966996246,공연장,공연장,,,,,,,,,,,,
하남문화예술회관 소공연장,20061208,,13,영업중,,031-790-7915,12934,"경기도 하남시 신평로 125, 하남문화예술회관 (덕풍동)",경기도 하남시 덕풍동 694 하남문화예술회관,12934,37.5447463256,127.2068173091,,218233.118711864,449153.966996246,공연장,공연장,,,,,,,,,,,,
용인시문예회관,20030118,,13,영업중,,031-323-6394,,경기도 용인시 처인구 중부대로1392번길 15 (김량장동),경기도 용인시 처인구 김량장동 346,449926,37.2317489735,127.1988571909,,217578.616537021,414463.536098654,공연장,공연장,일반주거지역,4,주택가주변,문화시설,3,1,,,,,,
경기국악원 국악당,20040827,,13,영업중,,031-289-6412,,경기도 용인시 기흥구 민속촌로 89 (보라동),경기도 용인시 기흥구 보라동 312,446904,37.2595535859,127.1137602675,,210015.629599335,417446.196334873,공연장,공연장,,,,,,,,,,,,
평생학습관 큰어울마당,20040817,,13,영업중,,031-323-6530,,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),경기도 용인시 수지구 풍덕천동 1086,448509,37.3205436396,127.0954126088,,208390.429594965,424286.238679874,공연장,공연장,,,,,,,,,,,,
문화예술원 마루홀,20051220,,13,영업중,,031-323-6371,,경기도 용인시 처인구 중부대로 1199 (삼가동),경기도 용인시 처인구 삼가동 556,449704,37.2407024165,127.1792150942,,215680.562694918,415450.577139564,공연장,공연장,,,,,,,,,,,,
죽전야외음악당,20081222,,13,영업중,,031-260-3385,,경기도 용인시 수지구 죽전로168번길 9 (죽전동),경기도 용인시 수지구 죽전동 1340,448812,37.3254592086,127.1264824852,,211156.215754375,424859.380270251,공연장,공연장,,,,,,,,,,,,
구리시행정복지센터공연장,20111227,,13,영업중,,031-550-2174,,"경기도 구리시 체육관로 74, 1층 (수택동)",경기도 구리시 수택동 848,471828,37.5914726758,127.1386251666,,212169.991849648,454360.02971506,공연장,공연장,,,,,,,,,,,,
몽골민속예술공연장,20080317,,13,영업중,,031-590-2793,,경기도 남양주시 수동면 비룡로 1621-7,경기도 남양주시 수동면 수산리 597,472851,37.7570796756,127.2744142007,,224125.115078317,472766.511610275,공연장,공연장,관리지역,,,문화시설,1,1,,,,,,
다산아트홀,20180518,,13,영업중,,031-590-4244,,,경기도 남양주시 다산동 3475-4 다산아트홀,,,,,,,공연장,공연장,,3,,문화시설,2,1,,,,,,
오산문화예술회관 소공연장,20040729,,13,영업중,,,18131,"경기도 오산시 경기동로 41, 문화예술회관 (오산동)",경기도 오산시 오산동 34-5 문화예술회관,18131,37.1595157022,127.0768333561,,206756.593118463,406369.015736126,공연장,공연장,,,,,,,,,,,,
군포문화예술회관 수리홀,20030121,,13,영업중,,031-390-3500,,경기도 군포시 고산로 599 (산본동),경기도 군포시 산본동 1101,435802,37.365784472,126.9274658783,,193490.055724808,429360.440501578,공연장,공연장,일반주거지역,6,주택가주변,문화시설,4,2,,,,,,
상상극장,20160727,,13,영업중,,031-390-3054,15875,"경기도 군포시 고산로 263, 5층 (당동, 군포시평생학습원)",경기도 군포시 당동 871-1,15875,37.3463532765,126.9430923829,,194886.701274165,427147.544150542,공연장,공연장,,5,주택가주변,문화시설,5,2,,,,,,
하남 소극장,20131204,,13,영업중,,,,경기도 하남시 하남대로784번안길 10 (신장동),경기도 하남시 신장동 387-17,465810,37.540891608,127.2117338014,,218642.700023097,448754.678740057,공연장,공연장,,4,,식품위생시설,3,,,,,,,
그랜드 스테이지,20030118,,13,영업중,,,,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 가실리 148 삼성에버랜드내,449715,37.2965457388,127.2077156604,,217709.300345788,421038.893362133,공연장,공연장,자연녹지지역,1,기타,유기장,1,,,,,,,
안성맞춤아트홀 소공연장,20171103,,13,영업중,,031-660-0666,17596,"경기도 안성시 발화대길 21, 안성맞춤아트홀 (현수동)",경기도 안성시 현수동 619 안성맞춤아트홀,17596,37.0013964342,127.2794312174,,224816.537596463,388895.166775519,공연장,공연장,생산녹지지역,,기타,문화시설,,,,,,,,
1939뮤직홀,20190326,,13,영업중,,031-580-4426,12416,경기도 가평군 가평읍 석봉로 100,경기도 가평군 가평읍 대곡리 148-3,12416,37.8237673166,127.5133966903,,,,공연장,공연장,근린상업지역,4,기타,문화시설,3,1,,,,,,
경기아트센터 소극장,20021230,,13,영업중,,031-230-3272,,경기도 수원시 팔달구 효원로307번길 20 (인계동),경기도 수원시 팔달구 인계동,442070,37.2614188559,127.0380891883,,203282.926585419,417906.471053319,공연장,공연장,,3,,,2,1,,,,,,
수원청소년문화센터 온누리아트홀,20021230,,13,영업중,,031-218-0400,,경기도 수원시 팔달구 권광로 293 (인계동),경기도 수원시 팔달구 인계동 334-1,442828,37.2742363442,127.0356985864,,202999.001895104,419146.402231594,공연장,공연장,자연녹지지역,4,기타,문화시설,3,1,,,,,,
남문로데오아트홀,20161101,,13,영업중,,031-258-0336,16463,"경기도 수원시 팔달구 행궁로 88, 지하1층 (교동)",경기도 수원시 팔달구 교동 3-6 지하1층,16463,37.2746421752,127.0155056602,,201304.414411487,419194.355475513,공연장,공연장,,,,,,,,,,,,
미리내 마술극단,20191105,,13,영업중,,031-241-1238,16261,"경기도 수원시 팔달구 정조로 767-8, 조정빌딩 2층 (팔달로3가)",경기도 수원시 팔달구 팔달로3가 92 조정빌딩 2층호,16261,37.2767087546,127.016090249,,201356.867577033,419417.113021444,공연장,공연장,일반상업지역,5,기타,근린생활시설,4,1,,,,,,
가회당,20230622,,13,영업중,,031-257-6737,16261,"경기도 수원시 팔달구 행궁로 33, 가회당 (남창동)",경기도 수원시 팔달구 남창동 87-1,16261,37.2795710438,127.0150792584,,201265.307353136,419732.071287278,공연장,공연장,,,,,,,,,,,,
성남시야외공연장,20030305,,13,영업중,,,,경기도 성남시 분당구 성남대로 550 (수내동),경기도 성남시 분당구 수내동 65,463864,37.3803005535,127.1211729072,,210917.471273479,430615.255683637,공연장,공연장,자연녹지지역,,,문화시설,2,1,,,,,,
중원유스센터 공연장,20080317,,13,영업중,,031-750-4600,,경기도 성남시 중원구 둔촌대로 332 (하대원동),경기도 성남시 중원구 하대원동 240 공단로 288,462839,37.429925654,127.154978537,,213660.039791407,436455.810664992,공연장,공연장,,,,,,,,,,,,
티엘아이아트센터,20130626,,13,영업중,,031-759-8500,,"경기도 성남시 중원구 양현로405번길 12, 2층 (여수동, (주)티엘아이빌딩)",경기도 성남시 중원구 여수동 195 (주)티엘아이빌딩2층,462100,37.4180163225,127.1275263385,,211207.312499851,435103.725814703,공연장,공연장,관리지역,14,기타,문화시설,10,4,,,,,,
소극장 난장,20201022,,13,영업중,,,13595,"경기도 성남시 분당구 수내로46번길 33, 화동빌딩 지하1층 (수내동)",경기도 성남시 분당구 수내동 13-3,13595,37.3787126306,127.1151266797,,210126.672668312,430743.27197621,공연장,공연장,,7,,근린생활시설,5,2,,,,,,
신전무대,20160525,,13,영업중,,031-320-8344,17023,경기도 용인시 처인구 포곡읍 에버랜드로 199 (삼성에버랜드),경기도 용인시 처인구 포곡읍 전대리 310,17023,37.2965457388,127.2077156604,,219138.424611781,420903.964757574,공연장,공연장,자연녹지지역,2,기타,문화시설,2,1,,,,,,
파주시민회관 대공연장,20030429,,13,영업중,,031-950-8440,10932,경기도 파주시 시민회관길 33 (아동동),경기도 파주시 아동동 215-1,10932,37.7592016315,126.7807224813,,180548.068475653,473027.051834954,공연장,공연장,관리지역,5,기타,문화시설,4,1,,,,,,
문산행복센터 소공연장,20111101,,13,영업중,,031-950-8545,10813,"경기도 파주시 문산읍 통일로 1680, 문산읍행정복지센터",경기도 파주시 문산읍 선유리 1402 문산읍행정복지센터,10813,37.8564780107,126.7909411792,,181478.0770971,483818.41891853,공연장,공연장,,,,,,,,,,,,
솔가람아트홀,20140822,,13,영업중,,031-950-8440,,경기도 파주시 가람로116번길 170 (와동동),경기도 파주시 와동동 1339,413190,37.7305259946,126.7638641175,,178969.461655577,469922.016396101,공연장,공연장,일반주거지역,2,아파트지역,문화시설,1,1,,,,,,
노루목야외극장,20070424,,13,영업중,,1577-7766,10409,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816 고양아람누리,10409,37.6613085327,126.7731874988,,180046.443977774,462150.330147484,공연장,공연장,,,,,,,,,,,,
터 시어터,20160113,,13,영업중,,070-4190-7766,10408,"경기도 고양시 일산동구 정발산로 127, 지하1층 (마두동, 대한불교조계종 여래사)","경기도 고양시 일산동구 마두동 810 지하1층,대한불교조계종 여래사",10408,37.6594981628,126.7822297326,,180709.956008301,461916.828215607,공연장,공연장,,1,,,,,,,,,,
와7080,20230522,,13,영업중,,,10301,"경기도 고양시 일산동구 애니골길 36, 2층 (풍동)",경기도 고양시 일산동구 풍동 573-24 2층,10301,37.6708921658,126.7913840902,,181528.50039602,463191.140645574,공연장,공연장,,,,,,,,,,,,
과천시민회관 대극장,20030225,,13,영업중,,,,"경기도 과천시 통영로 5 (중앙동, 과천시민회관)",경기도 과천시 중앙동 6-2 과천시민회관,427805,37.4282074501,126.9891095986,,199016.614059421,436206.212449673,공연장,공연장,,,,,,,,,,,,
국립과천과학관 어울림홀,20090625,,13,영업중,,02-3677-1500,,경기도 과천시 상하벌로 110 (과천동),경기도 과천시 과천동 대공원광장길 100,427060,37.4385349016,127.005543405,,200440.469519522,437425.730709164,공연장,공연장,,,,,,,,,,,,
이천아트홀 소공연장,20090613,,13,영업중,,031-636-2200,17379,"경기도 이천시 부악로 40, 이천문화재단/이천아트홀 (중리동)",경기도 이천시 중리동 490 이천문화재단/이천아트홀,17379,37.2715590199,127.4341970877,,238455.359693408,418947.377140025,공연장,공연장,,5,,,3,2,,,,,,
안성 남사당 공연장,20110830,,13,영업중,,031-678-2515,,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 산 30,456874,37.0328338622,127.3077983761,,227320.254849097,392406.666951064,공연장,공연장,준주거지역,,기타,문화시설,,,,,,,,
안성맞춤아트홀 대공연장,20171103,,13,영업중,,031-678-5417,17596,"경기도 안성시 발화대길 21, 안성맞춤아트홀 (현수동)",경기도 안성시 현수동 619 안성맞춤아트홀,17596,37.0013964342,127.2794312174,,224816.537596463,388895.166775519,공연장,공연장,생산녹지지역,,기타,,,,,,,,,
통진두레문화센터 두레홀,20130315,,13,영업중,,031-983-7225,,경기도 김포시 통진읍 김포대로 2347-8,경기도 김포시 통진읍 마송리 160-27,415865,37.6957781006,126.5869754905,,163491.075481496,466001.905988473,공연장,공연장,자연녹지지역,3,기타,문화시설,2,1,,,,,,
김포아트홀,20131216,,13,영업중,,,,경기도 김포시 돌문로 26 (사우동),경기도 김포시 사우동 925,415040,37.6189409956,126.7201393866,,175224.179294509,457432.297956018,공연장,공연장,일반주거지역,7,기타,문화시설,5,2,,,,,,
김포한강괜찮은홀,20200827,,13,영업중,,070-8886-2516,10064,경기도 김포시 양촌읍 석모로 103,경기도 김포시 양촌읍 석모리 1192,10064,37.6515666141,126.6394363964,,168113.688244139,461081.96394828,공연장,공연장,,1,,근린생활시설,,,,,,,,
애기봉평화생태공원 야외공연장,20211026,,13,영업중,,031-989-6036,10004,"경기도 김포시 월곶면 평화공원로 289, 애기봉평화생태공원 야외공연장",경기도 김포시 월곶면 조강리 1-9,10004,37.7531569534,126.5942282604,,164155.138171882,472395.410507166,공연장,공연장,,1,기타,문화시설,1,,,,,,,
용설아트스페이스,20090106,,13,영업중,,,,경기도 안성시 죽산면 용설호수길 101,경기도 안성시 죽산면 용설리 산 12,456893,37.0567235383,127.4517489523,,240117.280085104,395094.546797384,공연장,공연장,자연녹지지역,2,기타,문화시설,2,,,,,,,
청소년 수련관 공연장,20021230,,13,영업중,,,,경기도 연천군 연천읍 문화로 140,경기도 연천군 연천읍 옥산리 852,486802,38.1054713866,127.0791569099,,206875.299589691,511420.699582742,공연장,공연장,,,주택가주변,,,,,,,,,
연천수레울아트홀 대공연장,20110429,,13,영업중,,031-834-3770,11012,경기도 연천군 연천읍 문화로 150,경기도 연천군 연천읍 옥산리 320,11012,38.1071319306,127.079774736,,206996.220241307,511585.944737878,공연장,공연장,자연녹지지역,4,기타,문화시설,3,1,,,,,,
연천수레울아트홀 소공연장,20110613,,13,영업중,,031-834-3770,,경기도 연천군 연천읍 문화로 150,경기도 연천군 연천읍 옥산리 320,486802,38.1071319306,127.079774736,,206996.220241307,511585.944737878,공연장,공연장,,4,,문화시설,3,1,,,,,,
가평문화예술회관,20030207,,13,영업중,,031-8078-8076,,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 337,477804,37.8256697632,127.5047043225,,244591.699295119,480385.483370692,공연장,공연장,준주거지역,3,기타,문화시설,2,1,,,,,,
씨어터양평,20220720,,13,영업중,,,12546,"경기도 양평군 양평읍 물안개공원길 38, 양평생활문화센터",경기도 양평군 양평읍 오빈리 150-21 양평생활문화센터,12546,37.4995621408,127.4768753974,,242101.210610774,444250.992404821,공연장,공연장,,,,근린생활시설,,,,,,,,
기산음악박물관 야외음악당,20240907,,13,영업중,,,12506,경기도 양평군 옥천면 사나사길 208-10,경기도 양평군 옥천면 용천리 319-19,12506,37.5293454813,127.5010412793,,244211.481111336,447563.399657817,공연장,공연장,,,,,,,,,,,,
경기아트센터 야외극장,20021230,,13,영업중,,031-230-3274,,경기도 수원시 팔달구 효원로307번길 20 (인계동),경기도 수원시 팔달구 인계동,442070,37.2614188559,127.0380891883,,203282.926585419,417906.471053319,공연장,공연장,,,,,,,,,,,,
수원제1야외음악당,20021230,,13,영업중,,031-228-2812,,경기도 수원시 팔달구 동수원로 335 (인계동),경기도 수원시 팔달구 인계동 1128,442835,37.25912249,127.0363439585,,203120.858456664,417411.647484532,공연장,공연장,,,,,,,,,,,,
수원청소년문화센터 은하수홀,20021230,,13,영업중,,031-218-0400,,경기도 수원시 팔달구 권광로 293 (인계동),경기도 수원시 팔달구 인계동 334-1,442828,37.2742363442,127.0356985864,,202999.001895104,419146.402231594,공연장,공연장,자연녹지지역,4,기타,문화시설,3,1,,,,,,
수원제2야외음악당,20060109,,13,영업중,,,,경기도 수원시 장안구 정조로 1087 (송죽동),경기도 수원시 장안구 송죽동 305-1,440210,37.3017923784,127.0025472073,,,,공연장,공연장,자연녹지지역,2,기타,문화시설,1,1,,,,,,
중앙광장 상설무대,20060427,,13,영업중,,031-202-2002,16230,"경기도 수원시 팔달구 월드컵로 310 (우만동, 수원월드컵경기장)",경기도 수원시 팔달구 우만동 228 수원월드컵경기장내,16230,37.2886121354,127.0399537068,,203263.61075856,420600.544733797,공연장,공연장,자연녹지지역,1,기타,문화시설,1,,,,,,,
한누리아트홀,20060623,,13,영업중,,031-240-3014,,경기도 수원시 장안구 송원로 101 (조원동),경기도 수원시 장안구 조원동 888,440200,37.3030403336,127.0099975815,,200824.150998501,422418.628362656,공연장,공연장,일반주거지역,6,아파트지역,문화시설,5,1,,,,,,
KBS 수원아트홀,20080704,,13,영업중,,031-216-5201,,"경기도 수원시 팔달구 인계로 123 (인계동,외 70필지)",경기도 수원시 팔달구 인계동 468 외 70필지,442829,37.2679514397,127.0305715905,,202771.605116862,418595.813512506,공연장,공연장,,2,,문화시설,,1,,,,,,
수원SK아트리움소공연장,20140129,,13,영업중,,031-250-5300,,경기도 수원시 장안구 이목로 24-25 (정자동),경기도 수원시 장안구 정자동,440301,37.308851061,126.9858671084,,198739.717768915,423032.312286835,공연장,공연장,,5,,문화시설,3,2,,,,,,
수원SK아트리움대공연장,20140129,,13,영업중,,031-250-5300,,경기도 수원시 장안구 이목로 24-25 (정자동),경기도 수원시 장안구 정자동 947,440301,37.308851061,126.9858671084,,198739.717768915,423032.312286835,공연장,공연장,,5,,문화시설,3,2,,,,,,
