librry_nm,sido_nm,signgu_nm,librry_type_nm,close_day_info,opr_bgng_hr,opr_end_hr,temp_1_cont,temp_2_cont,temp_3_cont,temp_cont,read_seat_cnt,book_data_cnt,contuatn_publctn_data_cnt,nonbook_data_cnt,loan_posbl_volm_cnt,loan_posbl_day_cnt,refine_road_nm_addr,opr_inst_nm,librry_telno,plot_ar,buldng_ar,hmpg_addr,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd,sigun_nm
내유작은도서관,경기도,고양시,작은도서관,일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,0,9444,10,0,5,14,경기도 고양시 덕양구 유산길 96(내유동),내유동복합커뮤니티,070-4422-2580,145.0,145.0,https://band.us/@naeyu,37.73129325,126.8483937,20250328,고양시
사리현작은도서관,경기도,고양시,작은도서관,월+일+법정공휴일,09:00,18:00,10:00,18:00,00:00,00:00,0,12671,6,0,5,14,"경기도 고양시 일산동구 공릉천로 68(사리현동, 동문아파트)",경기도 고양시 사리현동 동문굿모닝힐 입주자대표회의,031-815-5530,93.0,93.0,https://blog.naver.com/sarihyeon,37.69918492,126.8464339,20250328,고양시
삼송도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,110,86638,89,1053,7,14,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시청,031-8075-9360,45016.0,3836.14,https://www.goyanglib.or.kr/MP/index.do,37.648863,126.884854,20250328,고양시
마두도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,18:00,0,161509,89,3788,7,14,경기도 고양시 일산동구 일산로 355(마두동),경기도 고양시청,031-8075-9067,36029.3,3756.7,https://www.goyanglib.or.kr/MA/index.do,37.666716,126.782057,20250328,고양시
가좌도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,122,82764,68,1356,7,14,경기도 고양시 일산서구 가좌3로 16(가좌동),경기도 고양시청,031-8075-9380,1622.0,4159.54,https://www.goyanglib.or.kr/MT/index.do,37.68616531,126.7203004,20250328,고양시
풍동도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,18:00,0,87313,63,1552,7,14,경기도 고양시 일산동구 숲속마을로 108(풍동),경기도 고양시청,031-8075-9148,51109.3,1574.13,https://www.goyanglib.or.kr/ML/index.do,37.67072982,126.7971233,20250328,고양시
마상공원작은도서관,경기도,고양시,작은도서관,월+일+둘째 주 화+법정공휴일,10:00,19:00,10:00,19:00,00:00,00:00,0,7037,9,0,5,14,경기도 고양시 덕양구 원당로69번길 46(주교동),책과도서관,070-4422-2587,48.0,48.0,https://www.facebook.com/masanglib/,37.66014949,126.8330165,20250328,고양시
행신도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,204,142863,83,1528,7,14,경기도 고양시 덕양구 행당로33번길 25-6(행신동),경기도 고양시청,031-8075-9240,3753.0,2803.0,https://www.goyanglib.or.kr/MB/index.do,37.620759,126.828338,20250328,고양시
신원도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,170,85429,88,1618,7,14,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시청,031-8075-9340,14983.0,3982.89,https://www.goyanglib.or.kr/MO/index.do,37.666383,126.886359,20250328,고양시
일산도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,18:00,0,46826,84,597,7,14,경기도 고양시 일산서구 고양대로 586-65(일산동),경기도 고양시청,031-8075-9367,1272.0,2676.44,https://www.goyanglib.or.kr/MU/index.do,37.6850248233,126.7644125397,20250328,고양시
주엽어린이도서관,경기도,고양시,어린이도서관,금+법정공휴일(일요일 제외),09:00,18:00,09:00,18:00,09:00,18:00,0,120476,30,1307,7,14,경기도 고양시 일산서구 주엽로 104(주엽동),경기도 고양시청,031-8075-9168,1500.0,2049.78,https://www.goyanglib.or.kr/MG/index.do,37.668464,126.756504,20250328,고양시
화전작은도서관,경기도,고양시,작은도서관,일+첫째 주 월+첫째 주 토+셋째 주 토+다섯째 주 토+법정공휴일,10:00,18:00,10:00,14:00,00:00,00:00,0,19271,8,417,5,14,경기도 고양시 덕양구 화랑로 1-1(화전동),경기도 고양시 화전동 주민자치위원회,02-3159-2266,100.0,100.0,https://cafe.naver.com/hjslib,37.599469,126.872773,20250328,고양시
화정도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,18:00,0,156555,200,5220,7,14,경기도 고양시 덕양구 은빛로77번길 8(화정동),경기도 고양시청,031-8075-9215,4149.3,4580.1,https://www.goyanglib.or.kr/ME/index.do,37.637836,126.837104,20250328,고양시
아람누리도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,18:00,0,182022,190,2805,7,14,경기도 고양시 일산동구 중앙로 1286(마두동),경기도 고양시청,031-8075-9038,54239.4,4457.07,https://www.goyanglib.or.kr/MF/index.do,37.661486,126.774456,20250328,고양시
별꿈도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),10:00,19:00,09:00,18:00,09:00,18:00,0,16198,7,0,7,14,경기도 고양시 덕양구 고양대로 1937(동산동),경기도 고양시청,031-8075-9305,471.0,585.08,https://www.goyanglib.or.kr/MQ/index.do,37.6457835347,126.8942168236,20250328,고양시
모당공원작은도서관,경기도,고양시,작은도서관,월+일+둘째 주 화+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,0,8166,8,0,3,14,경기도 고양시 일산동구 중산로 73-2(중산동),책과도서관,070-4244-7442,174.0,174.0,https://www.facebook.com/modangparklibrary,37.67814936,126.7812889,20250328,고양시
관산작은도서관,경기도,고양시,작은도서관,셋째 주 월+토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,28489,8,0,5,14,경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 관산동 주민자치위원회,031-962-1969,198.0,198.0,https://cafe.daum.net/glibrary,37.688013,126.862536,20250328,고양시
화정어린이도서관,경기도,고양시,어린이도서관,월+법정공휴일(일요일 제외),09:00,18:00,09:00,18:00,09:00,18:00,0,103731,29,1137,7,14,경기도 고양시 덕양구 화신로 323(화정동),경기도 고양시청,031-8075-9299,1002.1,1688.7,https://www.goyanglib.or.kr/MI/index.do,37.632833,126.826303,20250328,고양시
문원도서관,경기도,과천시,공공도서관,월+국가지정공휴일+개관기념일,09:00,22:00,09:00,18:00,09:00,18:00,370,75587,82,1315,10,14,경기도 과천시 문원로 104,경기도 과천시청,02-2150-3080,1249.0,2538.0,https://www.gclib.go.kr/,37.42495599,127.007425,20251031,과천시
경기도교육청과천도서관,경기도,과천시,공공도서관,월+공휴일,09:00,22:00,09:00,17:00,00:00,00:00,840,177656,173,9621,5,14,경기도 과천시 도서관길 36,경기도교육청과천도서관,02-3677-0371,2574.0,5586.0,lib.goe.go.kr/kwa/,37.43232929,126.9966058,20250530,과천시
경기과천교육도서관,경기도,과천시,공공도서관,월+공휴일,09:00,22:00,09:00,17:00,00:00,00:00,840,162782,398,12114,5,14,경기도 과천시 도서관길 36,경기과천교육도서관,02-3677-0371,2574.0,5586.0,lib.goe.go.kr/kwa/,37.43232929,126.9966058,20240531,과천시
정보과학도서관,경기도,과천시,공공도서관,금+국가지정공휴일+개관기념일,09:00,22:00,09:00,18:00,09:00,18:00,840,320806,137,14959,10,14,경기도 과천시 중앙로 24,경기도 과천시청,02-2150-3008,24080.0,10027.0,https://www.gclib.go.kr/,37.418729,126.989709,20251031,과천시
광명도서관,경기도,광명시,공공도서관,"매주 금요일, 국가지정공휴일",07:00,23:00,07:00,23:00,00:00,00:00,1009,250196,232,27389,7,21,경기도 광명시 원광명안로 48,경기도 광명시,02-2680-6541,5027.0,9966.0,gmlib.gm.go.kr,37.4652995,126.8514147,20230508,광명시
소하도서관,경기도,광명시,공공도서관,"매주 월요일, 국가지정공휴일",07:00,23:00,07:00,23:00,00:00,00:00,388,142999,267,5422,7,21,경기도 광명시 소하일로 7,경기도 광명시,02-2680-0900,1750.0,7642.0,gmlib.gm.go.kr,37.445458839,126.8879877,20230508,광명시
철산도서관,경기도,광명시,공공도서관,"매주 월요일, 국가지정공휴일",07:00,23:00,07:00,23:00,00:00,00:00,647,154256,244,5111,7,21,경기도 광명시 철산로 56,경기도 광명시,02-2680-6820,2950.0,8509.0,gmlib.gm.go.kr,37.4769468,126.8722073,20230508,광명시
충현도서관,경기도,광명시,공공도서관,"매주 금요일, 국가지정공휴일",09:00,22:00,09:00,17:00,00:00,00:00,227,61948,53,224,7,21,경기도 광명시 충현로42번길 19,경기도 광명시,02-2680-6111,982.0,2767.0,gmlib.gm.go.kr,37.4340499,126.8847409,20230508,광명시
하안도서관,경기도,광명시,공공도서관,"매주 금요일, 국가지정공휴일",07:00,23:00,07:00,23:00,00:00,00:00,781,277246,867,15734,7,21,경기도 광명시 철망산로 46,경기도 광명시,02-2680-2874,2907.0,7329.0,gmlib.gm.go.kr,37.4678555,126.8737104,20230508,광명시
연서도서관,경기도,광명시,공공도서관,"매주 금요일, 국가지정공휴일",09:00,22:00,09:00,17:00,00:00,00:00,272,44571,85,1187,7,21,경기도 광명시 연서일로10,경기도 광명시,02-2680-6630,1587.0,845.0,gmlib.gm.go.kr,37.482798,126.8646514,20230508,광명시
송정작은도서관,경기도,광주시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,27,7355,8,0,5,14,"경기도 광주시 중앙로 174, 3층",경기도 광주시청,031-760-8743,,141.0,http://lib.gjcity.go.kr,37.415085662,127.2570716348,20251219,광주시
대주작은도서관,경기도,광주시,작은도서관,일+월+법정공휴일,11:00,20:00,09:00,18:00,00:00,00:00,20,12574,8,0,5,14,경기도 광주시 마루들길 276,경기도 광주시청,031-760-8744,,108.0,http://lib.gjcity.go.kr,37.37569702,127.261891,20251219,광주시
양벌도서관,경기도,광주시,공공도서관,월+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,62,25312,24,143,7,14,경기도 광주시 양벌로 195-25,경기도 광주시청,031-760-4130,3449.0,548.0,http://lib.gjcity.go.kr,37.37920349,127.2579682,20251219,광주시
오포도서관,경기도,광주시,공공도서관,금+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,208,90908,57,4392,7,14,경기도 광주시 태봉로 193,경기도 광주시청,031-760-5697,3619.0,8236.0,http://lib.gjcity.go.kr,37.38535,127.2298,20251219,광주시
곤지암도서관,경기도,광주시,공공도서관,월+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,176,89632,58,4635,7,14,경기도 광주시 곤지암읍 곤지암로11번길 47,경기도 광주시청,031-760-5935,3958.0,1668.0,http://lib.gjcity.go.kr,37.34906936,127.3410057,20251219,광주시
초월도서관,경기도,광주시,공공도서관,금+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,303,10188,57,2630,7,14,경기도 광주시 초월읍 무들로 3-26,경기도 광주시청,031-760-5688,4427.0,3012.0,http://lib.gjcity.go.kr,37.38738172,127.2910941,20251219,광주시
광남작은도서관,경기도,광주시,작은도서관,월+법정공휴일,09:00,21:00,09:00,18:00,09:00,18:00,40,26154,13,0,5,14,경기도 광주시 회안대로 350-17,경기도 광주시청,031-760-8745,,239.0,http://lib.gjcity.go.kr,37.38545669,127.2358943,20251219,광주시
중앙도서관,경기도,광주시,공공도서관,월+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,626,302009,110,25938,7,14,경기도 광주시 문화로 82,경기도 광주시청,031-760-5678,7726.0,4998.0,http://lib.gjcity.go.kr,37.41063314,127.2531348,20251219,광주시
능평도서관,경기도,광주시,공공도서관,월+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,375,77273,57,1977,7,14,경기도 광주시 창뜰아랫길 6,경기도 광주시청,031-760-5912,4736.0,1914.0,http://lib.gjcity.go.kr,37.34993644,127.1671086,20251219,광주시
광남도서관,경기도,광주시,공공도서관,일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,359,40319,45,0,7,14,경기도 광주시 고불로46번길 47,경기도 광주시청,031-760-4128,18553.0,2621.0,http://lib.gjcity.go.kr,37.3939938,127.2286878,20251219,광주시
만선도서관,경기도,광주시,공공도서관,금+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,129,31449,32,0,7,14,경기도 광주시 곤지암읍 곤지암로11번길 47,경기도 광주시청,031-760-3428,4145.0,1598.0,http://lib.gjcity.go.kr,37.3490423,127.341016,20251219,광주시
신현도서관,경기도,광주시,공공도서관,일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,0,31252,32,0,7,14,경기도 광주시 머루숯길 70,경기도 광주시청,031-760-1768,6888.0,2363.0,http://lib.gjcity.go.kr,37.36527,127.1586,20251219,광주시
퇴촌작은도서관,경기도,광주시,작은도서관,일+월+법정공휴일,09:00,20:00,09:00,18:00,00:00,00:00,19,13029,10,0,5,14,경기도 광주시 퇴촌면 광동로 57-2,경기도 광주시청,031-760-5691,,165.0,http://lib.gjcity.go.kr,37.47065196,127.3092016,20251219,광주시
도척작은도서관,경기도,광주시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,35,14249,9,0,5,14,경기도 광주시 도척면 노곡로 20,경기도 광주시청,031-760-5690,,315.0,http://lib.gjcity.go.kr,37.3048153,127.3311699,20251219,광주시
남한산성작은도서관,경기도,광주시,작은도서관,일+월+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,12,11862,8,0,5,14,경기도 광주시 남한산성면 남한산성로 745,경기도 광주시청,031-760-8740,,198.0,http://lib.gjcity.go.kr,37.4774108,127.1872969,20251219,광주시
퇴촌도서관,경기도,광주시,공공도서관,월+법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,125,26559,28,0,7,14,경기도 광주시 퇴촌면 탑골길 37,경기도 광주시청,031-760-5205,3871.0,1157.0,http://lib.gjcity.go.kr,37.4668894,127.3106677,20251219,광주시
수택작은도서관,경기도,구리시,작은도서관,둘째 금+넷째 금+법정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,17,17047,16,543,5,15,경기도 구리시 체육관로 74(수택동),경기도 구리시청,031-550-2853,213.0,213.0,http://www.gurilib.go.kr,37.591578,127.138668,20260228,구리시
교문방정환도서관,경기도,구리시,공공도서관,첫째 금+셋째 금+법정공휴일,09:00,22:00,09:00,17:00,00:00,00:00,370,160350,106,10062,5,15,경기도 구리시 안골로30번길 45(교문동),경기도 구리시청,031-550-2593,1668.0,2890.4,http://www.gurilib.go.kr,37.595199,127.134575,20260228,구리시
수택1동작은도서관,경기도,구리시,작은도서관,토+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,14,12977,7,737,5,15,경기도 구리시 검배로93번길 35(수택동),경기도 구리시청,031-550-8495,165.0,165.0,http://www.gurilib.go.kr,37.59643764,127.1491627,20260228,구리시
토평도서관,경기도,구리시,공공도서관,첫째 월+셋째 월+법정공휴일,08:00,23:00,08:00,22:00,00:00,00:00,536,190295,95,7500,5,15,경기도 구리시 장자대로 140(토평동),경기도 구리시청,031-550-8325,6013.0,6387.0,http://www.gurilib.go.kr,37.58619614,127.145712,20260228,구리시
갈매도서관,경기도,구리시,공공도서관,둘째 금+넷째 금+법정공휴일,09:00,22:00,09:00,17:00,00:00,00:00,326,55564,70,1284,5,15,경기도 구리시 갈매중앙로80(갈매동),경기도 구리시청,031-550-8999,3212.0,4454.0,http://www.gurilib.go.kr,37.63143,127.1177774,20260228,구리시
인창동작은도서관,경기도,구리시,작은도서관,첫째 금+셋째 금+법정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,32,17552,15,752,5,15,경기도 구리시 동구릉로 53번길34(인창동),경기도 구리시청,031-550-2852,250.0,250.0,http://www.gurilib.go.kr,37.60650827,127.133128,20260228,구리시
인창도서관,경기도,구리시,공공도서관,둘째 월+넷째 월+법정공휴일,08:00,23:00,08:00,22:00,00:00,00:00,677,256337,99,23483,5,15,경기도 구리시 건원대로 34번길 90(인창동),경기도 구리시청,031-550-2936,5880.0,7868.0,http://www.gurilib.go.kr,37.60527868,127.1458554,20260228,구리시
교문2동작은도서관,경기도,구리시,작은도서관,토+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,18,15198,9,814,5,15,경기도 구리시 장자대로 34(교문동),경기도 구리시청,031-550-2685,250.0,250.0,http://www.gurilib.go.kr,37.587001,127.134158,20260228,구리시
영어가족도서관,경기도,군포시,작은도서관,일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,72,11232,0,0,5,14,경기도 군포시 번영로200번길 72,군포시가족센터,031-397-1811,,298.0,https://www.gunpolib.go.kr/gfc,37.335832,126.9338205,20251125,군포시
재궁꿈나무도서관,경기도,군포시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,50,7062,0,0,5,14,경기도 군포시 번영로550번길 25,재궁동주민자치위원회,031-428-4560,,113.4,,37.35843909,126.9390402,20251125,군포시
꿈드림작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,12,5099,0,0,10,14,경기도 군포시 용호1로 21번길14,군포시노동종합복지관,031-688-8146,,41.0,www.gpstar.or.kr,37.3451357,126.9363509,20251125,군포시
꿈땅작은도서관,경기도,군포시,작은도서관,월+일+법정공휴일,13:00,17:00,13:00,17:00,00:00,00:00,0,2078,0,0,5,14,경기도 군포시 번영로 610번길 36,영광교회,031-452-5882,,56.0,,37.36187645,126.944014,20251125,군포시
꿈마을작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,13:00,19:00,00:00,00:00,00:00,00:00,67,7849,0,0,5,7,"경기도 군포시 삼성로 41, 관리동 B2층",부곡6단지아파트입주회,031-391-9801,,250.56,,37.33858358,126.9316471,20251125,군포시
꿈을노래하는작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,13:30,18:00,00:00,00:00,00:00,00:00,16,4199,0,0,3,7,경기도 군포시 송부로273번안길 4-18,부곡이웃교회,070-8880-7811,,119.8,,37.32186164,126.9420134,20251125,군포시
노루목작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,18,2908,0,0,3,14,경기도 군포시 산본천로 207,산본1동주민자치위원회,031-390-4010,,61.2,http://cafe.daum.net/g2020,37.37109729,126.940393,20251125,군포시
다온숲작은도서관,경기도,군포시,작은도서관,일+법정공휴일,10:00,18:00,10:00,14:00,00:00,00:00,30,3269,10,0,3,14,"경기도 군포시 고산로250번길 36, 201호",예일교회,031-342-8578,,125.85,,37.3493047,126.9450946,20251125,군포시
산본녹색작은도서관,경기도,군포시,작은도서관,일+월+법정공휴일,13:00,18:00,13:00,18:00,00:00,00:00,26,2556,0,0,2,14,경기도 군포시 산본천로 18,산본중앙교회,031-396-3996,,73.54,,37.35860355,126.926378,20251125,군포시
새봄작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,30,4032,0,0,5,7,경기도 군포시 삼성로 79,아파트입주자대표위,031-384-8788,,50.0,,37.3409834,126.9344157,20251125,군포시
샤론작은도서관,경기도,군포시,작은도서관,토+법정공휴일,10:00,18:00,00:00,00:00,10:00,15:00,40,6502,8,0,3,7,경기도 군포시 당산로 103,장자성결교회,031-477-5692,,142.68,http://cafe.daum.net/sharon-library,37.36081389,126.945999,20251125,군포시
송정작은도서관,경기도,군포시,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,74,3754,15,0,3,14,경기도 군포시 송부로49번길 15,아파트입주자대표위,031-419-0227,,192.17,,37.31721093,126.9183122,20251125,군포시
숲속작은도서관,경기도,군포시,작은도서관,토+법정공휴일,14:00,18:00,00:00,00:00,13:00,17:00,25,5804,2,0,4,14,경기도 군포시 삼성로59번길16,아파트입주자대표위,070-8830-7269,,57.0,,37.34161205,126.9307452,20251125,군포시
우리마을작은도서관,경기도,군포시,작은도서관,일+법정공휴일,10:00,18:00,14:00,18:00,00:00,00:00,80,9089,6,1164,7,14,경기도 군포시 곡란로8번길 35-10,창대한교회,031-394-9101,,253.0,,37.37552967,126.9379996,20251125,군포시
대야도서관,경기도,군포시,공공도서관,1월1일+설날연휴+추석연휴,09:00,22:00,09:00,18:00,09:00,18:00,406,98990,54,4900,10,14,경기도 군포시 대야2로 139 (대야미동),경기도 군포시청,031-501-5407,1508.0,4694.0,http://www.gunpolib.go.kr,37.33028283,126.9153714,20251125,군포시
중앙도서관,경기도,군포시,공공도서관,매주금요일+국가지정공휴일+설날연휴+추석연휴,09:00,22:00,09:00,18:00,09:00,18:00,909,391672,115,28093,10,14,경기도 군포시 수리산로 79,경기도 군포시청,031-390-8866,10730.0,12510.0,http://www.gunpolib.go.kr,37.35532434,126.9157245,20251125,군포시
그림책꿈마루,경기도,군포시,전문도서관,월+법정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,188,19398,19,0,0,0,경기도 군포시 청백리길 16,(사)참행복한,031-391-4545,3821.66,459.34,https://www.gunpo.go.kr/picturebook,37.36258429,126.9332329,20251125,군포시
공군제8249부대,경기도,군포시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,5848,0,0,0,0,경기도 군포시 수리산로 81-113,공군제8249부대,070-7790-1305,,58.0,,37.357211,126.902897,20251125,군포시
군포2동채움작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,34,2359,0,0,3,14,"경기도 군포시 고산로 263, 1층",군포2동 주민자치회,031-391-8694,,162.6,,37.34630759,126.9430854,20251125,군포시
그리심작은도서관,경기도,군포시,작은도서관,월+화+법정공휴일,13:00,18:00,13:00,18:00,13:00,18:00,62,1807,0,0,5,14,경기도 군포시 산본천로199번길 17,산본중앙교회,031-397-1204,,162.0,,37.371117,126.938902,20251125,군포시
글고운도서관,경기도,군포시,작은도서관,토+일+법정공휴일,13:00,17:00,00:00,00:00,00:00,00:00,20,8659,0,0,5,7,경기도 군포시 번영로200번길 71,아파트입주자대표위,031-393-7157,,57.72,,37.33638042,126.9334537,20251125,군포시
작은도서관버드나무에부는바람,경기도,군포시,작은도서관,토+법정공휴일,10:00,18:00,00:00,00:00,09:00,13:00,26,8157,9,0,3,14,경기도 군포시 금산로 18-1,갈릴리교회,031-429-2753,,127.0,,37.36420813,126.940866,20251125,군포시
송안작은도서관,경기도,군포시,작은도서관,토+일+법정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,40,5176,0,0,2,7,경기도 군포시 송부로49번길 16,아파트입주자대표위,031-502-0541,,125.7,,37.31859922,126.9186768,20251125,군포시
꿈미작은도서관,경기도,군포시,작은도서관,법정공휴일,10:00,18:00,10:00,18:00,10:00,18:00,62,2889,1,0,2,7,"경기도 군포시 송부로 291번안길 7, 503호",동행교회,031-461-0116,,146.44,,37.32178211,126.9443381,20251125,군포시
사랑아이엔지작은도서관,경기도,군포시,작은도서관,월+법정공휴일,09:00,18:00,09:00,18:00,13:00,14:00,174,11852,0,0,10,14,경기도 군포시 송부로74번길 24,사랑빚는교회,070-8899-0620,,586.83,https://cafe.daum.net/sarangING,37.3149437,126.9226607,20251125,군포시
