시흥 특징형 카페 목록,,,,,,,,,,,,,
선정 기준: 북·만화·보드게임·키즈·반려동물·갤러리·라이브 및 기타 테마카페 (일반 디저트·무인카페 제외),,,,,,,,,,,,,
총 47곳 · 북카페 4 · 만화카페 5 · 보드게임카페 5 · 키즈카페 23 · 반려동물카페 4 · 갤러리카페 1 · 라이브카페 1 · 기타 테마카페 4,,,,,,,,,,,,,
분류,id,place_name,category_name,category_group_code,category_group_name,address_name,road_address_name,phone,x,y,place_url,검색카테고리,검색기준지점
보드게임카페,1234195396,정글비 시흥은계점,"가정,생활 > 여가시설 > 보드카페 > 정글비",CE7,카페,경기 시흥시 은행동 646-2,경기 시흥시 은계번영길 7,031-315-9464,126.80184450,37.43703503,http://place.map.kakao.com/1234195396,카페,은행·은계
보드게임카페,1927022530,킹스맨보드게임카페,"가정,생활 > 여가시설 > 보드카페",CE7,카페,경기 시흥시 정왕동 1739-5,경기 시흥시 중심상가4길 16,031-434-2484,126.73783723,37.34407016,http://place.map.kakao.com/1927022530,카페,정왕
키즈카페,328648801,고고점프 배곧신도시점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 127,경기 시흥시 배곧4로 32-17,031-365-5215,126.72657619,37.37715192,http://place.map.kakao.com/328648801,카페,배곧
키즈카페,292504492,너티차일드 빌런 시흥장현점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 900-2,경기 시흥시 능곡번영길 25,070-5030-3355,126.80721759,37.36950529,http://place.map.kakao.com/292504492,카페,능곡
키즈카페,1746931678,뉴키즈온더퍼플 은계점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 은행동 646-11,경기 시흥시 은계번영길 25,,126.80396607,37.43678178,http://place.map.kakao.com/1746931678,카페,은행·은계
키즈카페,144350779,롤플레이 배곧점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 18-7,경기 시흥시 배곧5로 78,,126.73580696,37.38239162,http://place.map.kakao.com/144350779,카페,월곶
키즈카페,960286751,모넬로 시흥능곡역점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 212,경기 시흥시 능곡번영길 30,031-315-2053,126.80653192,37.37010426,http://place.map.kakao.com/960286751,카페,능곡
키즈카페,28517671,무인키즈카페 지니키즈,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 871,경기 시흥시 장현능곡로 155,0502-5550-3966,126.80731411,37.37105251,http://place.map.kakao.com/28517671,카페,능곡
키즈카페,628624274,베베앙쥬 배곧신도시점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 193-1,경기 시흥시 서울대학로278번길 19-14,010-8275-2783,126.72866075,37.37016208,http://place.map.kakao.com/628624274,카페,배곧
키즈카페,1431596828,뷰키즈키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 정왕동 2700,경기 시흥시 거북섬둘레길 33,,126.67958163,37.32544214,http://place.map.kakao.com/1431596828,카페,거북섬
키즈카페,217870841,블럭i카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 758,경기 시흥시 승지로60번길 17,070-4189-8433,126.81259513,37.36887781,http://place.map.kakao.com/217870841,카페,능곡
키즈카페,847061303,시흥플랑드르 다이나믹온,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 238-1,경기 시흥시 장현능곡로 155,031-315-2298,126.80737731,37.37106162,http://place.map.kakao.com/847061303,카페,능곡
키즈카페,9208284,아마존놀이동산,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 대야동 541-3,경기 시흥시 비둘기공원7길 46,031-404-5337,126.79169586,37.44213985,http://place.map.kakao.com/9208284,카페,대야·신천
키즈카페,1085387162,아이맘키즈룸 시흥은계점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 은행동 646-12,경기 시흥시 은계번영길 27,,126.80395993,37.43653489,http://place.map.kakao.com/1085387162,카페,은행·은계
키즈카페,1863639583,아이엠블럭,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 대야동 544-1,경기 시흥시 비둘기공원7길 39,070-7543-7647,126.79242270,37.44246549,http://place.map.kakao.com/1863639583,카페,대야·신천
키즈카페,1920045817,아이퍼니 키즈룸 시흥목감점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 목감동 402-2,경기 시흥시 솔고개길 3-4,0507-1442-5969,126.86096491,37.38238875,http://place.map.kakao.com/1920045817,카페,목감
키즈카페,1459901431,아토키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 능곡동 724,경기 시흥시 승지로 49,070-8623-3747,126.80959181,37.36858199,http://place.map.kakao.com/1459901431,카페,능곡
키즈카페,1636729793,오감그리다 배곧점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 127,경기 시흥시 배곧4로 32-17,010-2419-2705,126.72654924,37.37711222,http://place.map.kakao.com/1636729793,카페,배곧
키즈카페,667280913,와랑와랑키즈카페 배곧본점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 133,경기 시흥시 배곧4로 32-33,010-7229-6001,126.72484763,37.37807777,http://place.map.kakao.com/667280913,카페,배곧
키즈카페,549397120,점핑파크 시흥은계점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 은행동 645-5,경기 시흥시 은계번영길 28,031-318-0079,126.80317130,37.43651016,http://place.map.kakao.com/549397120,카페,은행·은계
키즈카페,1133490656,키즈타임 배곧점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 배곧동 133,경기 시흥시 배곧4로 32-33,,126.72485553,37.37807869,http://place.map.kakao.com/1133490656,카페,배곧
키즈카페,26567510,퐁당퐁당,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 월곶동 1014-2,경기 시흥시 월곶중앙로 61,070-4226-7621,126.73833250,37.38865393,http://place.map.kakao.com/26567510,카페,월곶
키즈카페,1627800155,프라이빗무인키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 정왕동 2700,경기 시흥시 거북섬둘레길 33,,126.67957401,37.32537815,http://place.map.kakao.com/1627800155,카페,거북섬
키즈카페,1184074947,프레리키즈카페 시흥목감점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 조남동 659,경기 시흥시 목감남서로 9-7,031-411-0099,126.85160602,37.37758033,http://place.map.kakao.com/1184074947,카페,목감
키즈카페,631796106,헬로방방 시흥은계점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,경기 시흥시 은행동 646-12,경기 시흥시 은계번영길 27,031-311-3192,126.80395990,37.43654571,http://place.map.kakao.com/631796106,카페,은행·은계
반려동물카페,169647270,고양이출근중,음식점 > 카페 > 테마카페 > 고양이카페,CE7,카페,경기 시흥시 능곡동 871,경기 시흥시 장현능곡로 155,0503-7154-0708,126.80731411,37.37105251,http://place.map.kakao.com/169647270,카페,능곡
반려동물카페,566540511,댕동산,음식점 > 카페 > 테마카페 > 애견카페,CE7,카페,경기 시흥시 배곧동 18-7,경기 시흥시 배곧5로 78,070-8872-5959,126.73584426,37.38237819,http://place.map.kakao.com/566540511,카페,월곶
반려동물카페,418591265,라레랑,음식점 > 카페 > 테마카페 > 애견카페,CE7,카페,경기 시흥시 배곧동 131,경기 시흥시 배곧4로 32-27,0503-7150-9639,126.72556261,37.37768929,http://place.map.kakao.com/418591265,카페,배곧
반려동물카페,416548306,호호멍 애견유치원카페,음식점 > 카페,CE7,카페,경기 시흥시 은행동 645-5,경기 시흥시 은계번영길 28,,126.80317240,37.43652007,http://place.map.kakao.com/416548306,카페,은행·은계
갤러리카페,387930525,더낭,음식점 > 카페 > 테마카페 > 갤러리카페,CE7,카페,경기 시흥시 장현동 548-3,경기 시흥시 시청로68번길 30,,126.80230219,37.38198987,http://place.map.kakao.com/387930525,카페,장현
라이브카페,16746061,쉘위정2020라이브카페,음식점 > 카페 > 테마카페 > 라이브카페,CE7,카페,경기 시흥시 정왕동 1742-18,경기 시흥시 중심상가3길 25,,126.73604920,37.34386436,http://place.map.kakao.com/16746061,카페,정왕
기타 테마카페,1325305764,더사운드,음식점 > 카페 > 테마카페,CE7,카페,경기 시흥시 대야동 531-2,경기 시흥시 비둘기공원5길 12,031-318-0322,126.79041594,37.44321159,http://place.map.kakao.com/1325305764,카페,대야·신천
기타 테마카페,102989346,별별룸카페,음식점 > 카페 > 테마카페,CE7,카페,경기 시흥시 배곧동 193-1,경기 시흥시 서울대학로278번길 19-14,070-4639-1010,126.72865624,37.37016117,http://place.map.kakao.com/102989346,카페,배곧
기타 테마카페,9980932,캔들스토리 물왕점,음식점 > 카페 > 테마카페,CE7,카페,경기 시흥시 물왕동 14-2,경기 시흥시 동서로857번길 2-1,031-414-8091,126.84126147,37.38300908,http://place.map.kakao.com/9980932,카페,목감
기타 테마카페,323076231,타카슬라임카페,음식점 > 카페 > 테마카페,CE7,카페,경기 시흥시 능곡동 871,경기 시흥시 장현능곡로 155,,126.80731411,37.37105251,http://place.map.kakao.com/323076231,카페,능곡
